"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.655791654E-3,-2.089721784E-3,-7.689079447E-3,5.501879096E-2,5.559277146E-2
1.562379167E-2,3.348597164E-2,1.526872460E-3,1.284633279E-3,3.354537105E-2
2.559079166E-2,3.764649399E-2,1.307583600E-4,1.864735544E-2,4.201189679E-2
3.555879166E-2,4.220442600E-2,-4.228770314E-3,1.490396798E-2,4.495802858E-2
4.552579166E-2,5.121269211E-2,3.536546775E-3,3.230001926E-3,5.143617316E-2
5.549279167E-2,4.794083691E-2,1.431672023E-2,-1.248731375E-2,5.156767715E-2
6.546079167E-2,5.806498018E-2,3.981275948E-2,-5.964159966E-5,7.040313415E-2
7.542779166E-2,6.843506282E-2,5.644544306E-2,-7.692596912E-3,8.904280944E-2
8.539579166E-2,6.580387973E-2,5.781600757E-2,-1.457476974E-2,8.879901594E-2
9.536279166E-2,7.652445727E-2,4.096042630E-2,2.344967365E-2,8.990904447E-2
1.053307917E-1,5.990482486E-2,9.941701004E-3,1.192598104E-2,6.188420222E-2
1.152977917E-1,5.884701787E-2,-1.080027783E-2,6.988592148E-3,6.023668262E-2
1.252647917E-1,5.335127469E-2,-2.132450312E-2,8.187856078E-3,5.803562640E-2
1.352327917E-1,4.555658905E-2,-1.383105415E-2,-1.546237707E-2,5.005782626E-2
1.451997917E-1,4.054728854E-2,1.507704556E-3,-1.351466954E-2,4.276683380E-2
1.551677917E-1,4.210548014E-2,2.942955258E-2,-1.291182160E-2,5.296871870E-2
1.651347917E-1,3.493879460E-2,4.883403565E-2,-3.176792264E-3,6.012964672E-2
1.751017917E-1,2.151033495E-2,3.841910304E-2,8.501266837E-3,4.484410246E-2
1.850697917E-1,1.392983099E-2,2.790872833E-2,6.855275631E-3,3.193637601E-2
1.950367917E-1,5.180258481E-3,1.951980569E-2,1.389006078E-2,2.451105222E-2
2.050047917E-1,-3.889869349E-3,1.432427593E-2,2.541609228E-2,2.943286787E-2
2.149717917E-1,4.336285992E-3,1.614370103E-2,-2.576867938E-3,1.691338841E-2
