"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.389458324E-3,-2.005337326E-2,-4.506750600E-3,-3.327825844E-2,3.911382192E-2
1.135745832E-2,-1.296143157E-2,2.465496752E-3,-9.554935098E-2,9.645597884E-2
2.132445833E-2,-1.053024153E-2,8.942960026E-3,-1.875786781E-2,2.329635434E-2
3.129145833E-2,-1.786525380E-3,3.980190558E-3,1.821641564E-2,1.873156130E-2
4.125945833E-2,-1.672349358E-3,3.996635852E-3,2.555116296E-2,2.591585960E-2
5.122645832E-2,5.775888758E-3,4.303034521E-3,8.647330284E-2,8.677274400E-2
6.119345833E-2,6.722470745E-3,8.761134460E-3,4.366057456E-2,4.503548446E-2
7.116145833E-2,-5.193506079E-3,1.215443359E-2,-2.654577434E-2,2.965435713E-2
8.112845833E-2,1.528051039E-3,1.182084080E-2,-4.316063762E-2,4.477619743E-2
9.109545832E-2,4.293829724E-3,9.140682709E-3,-7.265048504E-2,7.334904246E-2
1.010634583E-1,1.026912681E-2,-4.268631879E-3,-3.881908000E-2,4.038065323E-2
1.110304583E-1,7.631758461E-3,-1.746951607E-2,1.162718832E-2,2.232978364E-2
1.209974583E-1,9.673487395E-4,-2.152203395E-2,3.767477989E-2,4.339957083E-2
1.309654583E-1,1.076601223E-2,-1.385479476E-2,8.183236778E-2,8.369228622E-2
1.409324583E-1,1.676027622E-2,-1.250742269E-3,5.114501059E-2,5.383570677E-2
1.509004583E-1,5.798108177E-3,1.041581426E-2,2.644110918E-3,1.221059244E-2
1.608674583E-1,1.789503805E-3,1.815351239E-2,-2.220421672E-2,2.873638071E-2
1.708344583E-1,-5.732089458E-3,1.617465016E-2,-6.725993693E-2,6.941451774E-2
1.808024583E-1,-4.246988045E-3,6.997399516E-3,-5.513398111E-2,5.573828469E-2
