"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.036583334E-3,3.707550424E-2,-4.024606557E-3,-4.513816595E-2,5.855121261E-2
1.600458335E-2,5.236989263E-2,-1.819256997E-2,-5.052929878E-2,7.501190100E-2
2.597158334E-2,3.375536383E-2,-2.824813636E-2,-6.056195140E-2,7.486742785E-2
3.593858334E-2,3.599286485E-2,-2.680273663E-2,-1.985012770E-2,4.907036357E-2
4.590658334E-2,3.838363602E-2,-9.159663320E-3,1.202947676E-2,4.125422714E-2
5.587358335E-2,3.662966318E-2,1.394412925E-2,5.228463292E-2,6.534411837E-2
6.584158335E-2,7.682601828E-2,7.172859383E-2,9.674159825E-2,1.428501491E-1
7.580858334E-2,7.102025208E-1,4.599906613E-1,-1.807257414E-2,8.463484194E-1
8.577558334E-2,2.323257238E0,1.450951042E0,3.806478918E-2,2.739385342E0
9.574358334E-2,3.435326319E0,1.970620141E0,-4.919730306E-2,3.960710925E0
1.057105833E-1,3.494053122E0,2.082242903E0,-3.075050712E-3,4.067450329E0
1.156785833E-1,3.464578185E0,1.987270526E0,-8.866600871E-2,3.995047910E0
1.256455833E-1,2.888834435E0,1.648846548E0,3.156677842E-2,3.326417862E0
1.356125833E-1,2.180724486E0,1.362156980E0,-3.297244906E-3,2.571194624E0
1.455805833E-1,1.163110157E0,8.220240151E-1,1.381498253E-1,1.430955658E0
1.555475833E-1,1.912025631E-1,2.497629030E-1,-7.615413666E-3,3.146393529E-1
1.655155833E-1,-1.034758073E0,-4.587828093E-1,-1.067333204E-1,1.136924772E0
1.754825833E-1,-2.054156972E0,-8.320158103E-1,1.730272973E-1,2.223004638E0
1.854495833E-1,-2.313765745E0,-1.180776204E0,-2.029703039E-1,2.605559693E0
1.954175833E-1,-2.218556849E0,-1.213304776E0,-1.329422951E-2,2.528691303E0
2.053845833E-1,-2.166576563E0,-1.208823909E0,1.035600364E-2,2.481011184E0
2.153525833E-1,-2.125274609E0,-1.154071970E0,3.469153047E-3,2.418405738E0
2.253195833E-1,-2.080332764E0,-1.166746614E0,2.083830714E-2,2.385270698E0
2.352865833E-1,-2.057875801E0,-1.217473183E0,3.550780177E-2,2.391308129E0
2.452545833E-1,-2.064194741E0,-1.299177643E0,1.245223045E-2,2.439040290E0
2.552215833E-1,-2.000314933E0,-1.445757107E0,-1.612603605E-2,2.468143734E0
2.651895833E-1,-7.190965743E-1,-6.646782193E-1,-7.585008144E-2,9.821661027E-1
2.751565833E-1,2.222800758E-1,1.378642163E-1,1.690430045E-3,2.615680251E-1
2.851235833E-1,1.063410270E-2,2.684858702E-3,-2.255855799E-2,2.508348351E-2
2.950915833E-1,3.471761453E-2,3.650889534E-2,2.439458370E-3,5.043969820E-2
3.050585833E-1,3.862677969E-2,4.875721785E-2,3.267833412E-2,7.026498362E-2
3.150265833E-1,3.519138518E-2,5.818955328E-2,3.552417397E-2,7.672303851E-2
3.249935833E-1,3.138088265E-2,4.441320257E-2,2.819001138E-2,6.125331909E-2
3.349615833E-1,7.450193278E-3,4.851439395E-3,1.411751747E-2,1.668370893E-2
3.449285833E-1,-1.991228177E-2,-3.698677731E-2,-1.776442587E-2,4.560806385E-2
3.548955833E-1,-2.021214344E-2,-5.710394004E-2,-2.285442710E-2,6.474345950E-2
3.648635833E-1,-4.229858444E-2,-6.096032951E-2,-2.539855063E-2,7.842460324E-2
3.748305833E-1,-4.406083474E-2,-3.655961080E-2,-1.222477376E-2,5.854406369E-2
3.847985833E-1,-4.197480401E-2,7.382571143E-3,1.666631877E-2,4.576191331E-2
3.947655833E-1,-4.857179716E-2,5.388290993E-2,1.546939373E-2,7.417472349E-2
4.047325833E-1,-6.297385477E-2,7.270326986E-2,1.786499798E-2,9.782959668E-2
4.147005833E-1,-5.860978536E-2,7.585669611E-2,2.745852470E-3,9.590039098E-2
4.246675833E-1,-7.238674820E-2,5.018932431E-2,-2.330115438E-2,9.111395823E-2
4.346355833E-1,-6.605265135E-2,1.849472484E-2,-2.090671957E-2,7.170842712E-2
4.446030833E-1,-5.595131222E-2,-8.886429328E-3,-2.090671957E-2,6.038715831E-2
4.545700833E-1,-4.589152487E-2,-2.807386649E-2,-1.237504721E-2,5.520249839E-2
4.645380833E-1,-3.840411041E-2,-4.351798472E-2,1.292234659E-2,5.946156516E-2
4.745050833E-1,-2.080344312E-2,-4.010849155E-2,1.471861124E-2,4.751959445E-2
4.844730833E-1,-1.813544084E-2,-3.065843174E-2,2.714160562E-2,4.478281374E-2
4.944400833E-1,-1.826671997E-2,-1.483633214E-2,1.412044108E-2,2.744406431E-2
5.044070833E-1,-2.465859463E-2,-3.710241057E-3,-1.598131746E-1,1.617469102E-1
5.143750833E-1,-2.738764549E-2,-6.912030168E-3,-6.056662917E-2,6.682945350E-2
5.243420833E-1,6.475590337E-3,3.442407060E-2,6.143201709E-2,7.071663616E-2
5.343100833E-1,3.588461827E-2,6.995131893E-2,-2.658085763E-2,8.299057080E-2
5.442770833E-1,5.231584243E-2,6.888972495E-2,1.193673992E-1,1.474154591E-1
5.542440833E-1,6.458316383E-2,5.540895556E-2,1.096347088E-1,1.387836690E-1
5.642120833E-1,4.802984250E-2,8.418779983E-3,1.374703789E-1,1.458624239E-1
5.741790833E-1,1.992405843E-2,-3.223263924E-2,1.143247604E-2,3.958045787E-2
5.841470833E-1,6.260239212E-3,-2.272633653E-2,-2.229771370E-1,2.242197150E-1
5.941140833E-1,2.460786089E-2,4.169823071E-2,-8.211888134E-2,9.532995298E-2
6.040810833E-1,2.908335630E-2,4.729085037E-2,-2.628206491E-2,6.142485717E-2
6.140490833E-1,1.733650105E-2,3.224250185E-2,-1.005224079E-1,1.069807818E-1
6.240160833E-1,1.178530983E-2,1.282290738E-2,9.826596737E-2,9.979739889E-2
6.339840833E-1,1.244887744E-2,1.473767865E-3,2.093314898E-1,2.097065072E-1
6.439510833E-1,-3.443297390E-3,-1.923125931E-2,1.075408208E-1,1.093010786E-1
6.539180833E-1,-2.854424302E-2,-4.135901454E-2,-1.432567835E-3,5.027319508E-2
6.638860833E-1,-2.096558458E-2,-3.453104267E-2,-9.573587716E-2,1.039100901E-1
6.738530833E-1,-2.338971228E-2,-1.397237862E-2,-7.417953193E-2,7.902473640E-2
6.838210833E-1,-1.978427343E-2,-7.962738276E-3,-1.367441547E-1,1.383972056E-1
6.937880833E-1,-1.712318731E-2,2.299449532E-3,-1.053048456E-1,1.067127055E-1
7.037550833E-1,-1.743795024E-2,9.197259089E-3,1.208748114E-1,1.224720038E-1
7.137230833E-1,-3.531075974E-2,8.196065021E-3,1.421300250E-1,1.466798188E-1
7.236900833E-1,-4.105444313E-2,2.633311842E-3,4.692682922E-2,6.240616101E-2
7.336580833E-1,-5.214593514E-2,2.488022694E-2,4.483001769E-2,7.312971168E-2
7.436250833E-1,-6.457621112E-2,3.832216716E-2,-4.569014311E-3,7.522999024E-2
7.535930833E-1,-6.927058426E-2,3.142183143E-2,-1.072548920E-1,1.314890003E-1
7.635600833E-1,-7.168634313E-2,2.522087750E-2,-1.446741486E-1,1.634185844E-1
7.735270833E-1,-5.743883475E-2,1.230150933E-2,-4.273496032E-2,7.264174903E-2
7.834950833E-1,-6.597327540E-2,-1.576869351E-2,7.042912781E-2,9.778234404E-2
7.934620833E-1,-6.577760381E-2,-4.938013818E-2,7.132784486E-2,1.088703479E-1
8.034300833E-1,-5.591482194E-2,-4.973417795E-2,6.863344789E-2,1.015406615E-1
8.133970833E-1,-4.097018841E-2,-1.958041117E-2,8.404846251E-2,9.553058615E-2
8.233640833E-1,-2.678632331E-2,1.692959880E-2,6.689214706E-4,3.169488741E-2
8.333320833E-1,-1.998316099E-2,4.969427527E-2,-1.322534931E-1,1.426878907E-1
8.432990833E-1,-4.961371617E-3,4.708375844E-2,-1.162350458E-1,1.255072961E-1
8.532670833E-1,3.141060295E-3,4.296760641E-2,-1.399706483E-2,4.529899871E-2
8.632340833E-1,1.888394840E-2,1.155426715E-2,1.190025330E-2,2.513405310E-2
8.732010833E-1,1.513273115E-2,-2.832769961E-2,5.830375671E-2,6.656415074E-2
8.831690833E-1,2.754269720E-2,-4.074422550E-2,1.073999029E-1,1.181246428E-1
8.931360833E-1,4.605174772E-2,-1.788475518E-2,9.587153256E-2,1.078516513E-1
9.031040833E-1,5.073952446E-2,-2.683287263E-3,-1.774396062E-2,5.381958297E-2
9.130710833E-1,5.404961497E-2,1.633066119E-2,-8.674987614E-2,1.035064847E-1
9.230380833E-1,3.954910487E-2,1.982700379E-2,-5.351898015E-2,6.943718752E-2
9.330060833E-1,2.685038687E-2,3.324936954E-3,-5.860722721E-2,6.455079830E-2
9.429730833E-1,1.770736070E-2,-4.125343119E-3,-3.690119326E-2,4.113717471E-2
9.529410833E-1,1.551451779E-2,1.602311592E-2,6.518651426E-2,6.889645961E-2
9.629080833E-1,1.472885300E-2,4.778778147E-2,1.190744537E-1,1.291485064E-1
9.728750833E-1,2.254794164E-2,5.947434645E-2,6.294059873E-2,8.948254872E-2
9.828430833E-1,1.736814911E-3,4.461045931E-2,1.117987633E-3,4.465825234E-2
9.928100833E-1,-2.498351709E-2,5.306403022E-3,-3.376123846E-2,4.233385479E-2
1.002778083E0,-4.647810110E-2,-4.485432474E-2,-7.717038274E-2,1.006349457E-1
1.012745083E0,-7.462350005E-2,-7.005311987E-2,-9.228543520E-2,1.378140338E-1
1.022712083E0,-7.185902786E-2,-6.259555819E-2,-3.719764709E-2,1.023014601E-1
1.032680083E0,-5.675593478E-2,-5.187329957E-3,6.459126770E-2,8.614044572E-2
1.042647083E0,-5.100049300E-2,4.247075753E-2,8.330118835E-2,1.065077627E-1
1.052615083E0,-4.742375119E-2,7.055697627E-2,3.929153502E-2,9.365427807E-2
1.062582083E0,-5.740229879E-2,6.219431128E-2,3.629542172E-2,9.208970572E-2
1.072549083E0,-7.092735627E-2,3.201019380E-2,-2.058746159E-2,8.049339071E-2
1.082517083E0,-7.979400099E-2,7.747186152E-3,-9.887466252E-2,1.272921851E-1
1.092484083E0,-7.039792744E-2,-1.427656631E-2,-1.012696820E-1,1.241581130E-1
1.102452083E0,-4.072141679E-2,-2.260716297E-3,-2.882092595E-2,4.993986780E-2
1.112419083E0,-1.143122437E-2,2.123764913E-2,3.988619685E-2,4.661136482E-2
1.122386083E0,5.072550941E-4,1.324744721E-2,6.338674128E-2,6.475825149E-2
1.132354083E0,1.119102258E-2,-4.998825775E-3,7.446136773E-2,7.546338536E-2
1.142321083E0,-6.953709852E-3,-2.540440241E-2,6.487778127E-2,7.002045591E-2
1.152289083E0,-6.458807001E-3,-3.728028470E-2,-6.523738503E-3,3.839394456E-2
1.162256083E0,6.273824852E-3,-2.262628976E-2,-9.004887521E-2,9.305971090E-2
1.172223083E0,2.249314226E-2,1.416625493E-2,-7.687509835E-2,8.134128702E-2
1.182191083E0,4.198586804E-2,5.191123338E-2,-3.121886909E-2,7.370350774E-2
1.192158083E0,5.496918099E-2,6.734016255E-2,-9.788239002E-4,8.693253964E-2
1.202126083E0,4.073572420E-2,5.173366989E-2,4.617487729E-2,8.042320013E-2
1.212093083E0,3.299328891E-2,3.832196617E-3,7.805740535E-2,8.483042717E-2
1.222060083E0,1.821696382E-2,-2.732677506E-2,6.024210870E-2,6.861284185E-2
1.232028083E0,8.161077658E-3,-3.345956781E-2,1.264168024E-3,3.446366184E-2
1.241995083E0,1.281846715E-2,-2.387723759E-2,-5.546493351E-2,6.173163229E-2
