"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.489374995E-3,4.313525705E-2,1.495161822E-2,-7.192075253E-4,4.565871820E-2
1.645637500E-2,3.332162834E-2,1.281780477E-2,1.789247990E-4,3.570236755E-2
2.642337499E-2,3.085014733E-2,1.646130078E-2,-2.215510011E-3,3.503733006E-2
3.639037500E-2,2.932927740E-2,2.527689200E-2,6.018539071E-3,3.918355005E-2
4.635837500E-2,3.060135744E-2,1.636101189E-2,-7.902511954E-3,3.558897979E-2
5.632537500E-2,3.511162550E-2,1.132906255E-2,-2.513133287E-3,3.697958548E-2
6.629237499E-2,2.548875307E-2,1.432943793E-2,7.806032896E-4,2.925096008E-2
7.625937500E-2,2.779071964E-2,5.687819640E-3,-2.811341286E-3,2.850577188E-2
8.622737500E-2,3.316638476E-2,1.352286934E-2,1.978113055E-3,3.587185533E-2
9.619437500E-2,3.757249930E-2,1.350415825E-2,1.215636134E-2,4.173526225E-2
1.061613750E-1,3.169358991E-2,1.382009062E-2,1.228500009E-3,3.459751087E-2
1.161283750E-1,3.334457866E-2,1.185238379E-2,-4.758464098E-3,3.570690281E-2
1.260963750E-1,3.825934614E-2,1.805135057E-2,-5.059010983E-3,4.260542708E-2
1.360633750E-1,3.902698506E-2,1.648956384E-2,5.567718744E-3,4.273184726E-2
1.460303750E-1,3.662789075E-2,1.849899604E-2,6.017369628E-3,4.147317172E-2
1.559973750E-1,2.816233761E-2,9.869835069E-3,4.783022404E-4,2.984559728E-2
1.659653750E-1,3.455946562E-2,1.411853617E-2,9.291225672E-4,3.734371428E-2
1.759323750E-1,3.148374796E-2,2.033275140E-2,-4.460256100E-3,3.774309274E-2
1.858993750E-1,3.739138179E-2,1.295680862E-2,-1.149621069E-2,4.120870275E-2
1.958663750E-1,3.283706775E-2,1.403674824E-2,-1.204526424E-4,3.571159235E-2
2.058343750E-1,2.530915218E-2,2.015865969E-2,-8.700656891E-4,3.236791249E-2
2.158013750E-1,3.630246579E-2,1.546932521E-2,-7.158161402E-3,4.010496627E-2
2.257683750E-1,2.990583113E-2,1.719973559E-2,-6.259444356E-3,3.506237704E-2
2.357353750E-1,3.167571936E-2,9.354736484E-3,-3.265669942E-3,3.318925868E-2
2.457033750E-1,3.003795994E-2,1.041667307E-2,4.369624257E-3,3.209173930E-2
2.556703750E-1,2.814433001E-2,1.464658999E-2,1.050744653E-2,3.342203379E-2
2.656373750E-1,2.931213775E-2,9.554711259E-3,-1.149621069E-2,3.290375035E-2
2.756043750E-1,3.185162919E-2,1.831560361E-2,3.324726820E-3,3.689229494E-2
2.855723750E-1,3.125999146E-2,1.689334149E-2,4.222859144E-3,3.578274154E-2
2.955393750E-1,3.583905567E-2,1.662346965E-2,-4.607605934E-3,3.977446024E-2
3.055063750E-1,2.273741883E-2,2.355988453E-2,1.170904934E-2,3.477298105E-2
3.154733750E-1,2.124040372E-2,3.879696107E-3,-6.104493141E-3,2.243817347E-2
3.254413750E-1,4.134286618E-2,6.892985604E-3,5.122160912E-3,4.222537586E-2
3.354083750E-1,3.953912806E-2,1.867946031E-2,1.529046893E-3,4.375617521E-2
3.453753750E-1,4.398833840E-2,-3.752816096E-4,-1.254169285E-2,4.574285530E-2
3.553423750E-1,3.965040788E-2,9.007421010E-3,3.025934100E-3,4.077308862E-2
3.653103750E-1,2.539475908E-2,1.832826192E-2,5.870604515E-3,3.186350531E-2
3.752773750E-1,3.597077334E-2,1.660768216E-2,7.966246605E-3,4.041253180E-2
3.852443750E-1,4.421201267E-2,1.103340358E-2,1.036126614E-2,4.673108061E-2
3.952113750E-1,3.447514694E-2,9.628934353E-3,4.674264193E-3,3.609848860E-2
4.051793750E-1,2.861351425E-2,1.168658781E-2,1.979867220E-3,3.097142888E-2
4.151463750E-1,2.556688649E-2,2.079411498E-2,-8.648031950E-4,3.296678309E-2
4.251133750E-1,2.675644769E-2,2.000693358E-2,-5.648410320E-4,3.341412770E-2
4.350803750E-1,3.877940116E-2,1.467352829E-2,-7.748730183E-3,4.218053113E-2
4.450483750E-1,2.770344081E-2,9.871041058E-3,-3.107210398E-3,2.957317773E-2
4.550153750E-1,3.667597496E-2,5.419468987E-3,3.625273705E-5,3.707423765E-2
4.649823750E-1,3.275437533E-2,1.884395893E-2,3.328235149E-3,3.793443080E-2
4.749493750E-1,2.987869640E-2,1.174792419E-2,9.320461750E-4,3.211882519E-2
4.849173750E-1,3.653627219E-2,1.641974900E-2,-4.007681608E-3,4.025628963E-2
4.948843750E-1,3.997127384E-2,1.953027130E-2,1.365500271E-2,4.653593588E-2
5.048513750E-1,2.632596471E-2,1.616833700E-2,-5.660104752E-4,3.089970724E-2
5.148183750E-1,4.029619630E-2,8.027505325E-3,2.127217054E-3,4.114303502E-2
5.247863750E-1,3.428471957E-2,1.318493226E-2,-1.465896964E-3,3.676184556E-2
5.347533750E-1,3.455708105E-2,1.039229292E-2,-2.213755846E-3,3.615373173E-2
5.447203750E-1,4.098401159E-2,9.109692466E-3,-4.758464098E-3,4.225303165E-2
5.546873750E-1,3.158663155E-2,1.718609056E-2,2.726556659E-3,3.606259991E-2
5.646553750E-1,3.745693456E-2,-1.823659767E-3,2.578037381E-3,3.758981190E-2
5.746222500E-1,3.631395008E-2,1.194658791E-2,1.829009056E-3,3.827230340E-2
5.845892500E-1,3.456597065E-2,1.624286616E-2,4.374302030E-3,3.844179426E-2
5.945562500E-1,3.013919899E-2,1.311098325E-2,3.774962425E-3,3.308352368E-2
6.045242500E-1,2.827675117E-2,2.860906031E-2,7.966246605E-3,4.100626871E-2
6.144912500E-1,2.731545978E-2,1.401636064E-2,-5.954804420E-3,3.127382939E-2
6.244582500E-1,4.082895988E-2,1.836747937E-2,3.625273705E-3,4.491671039E-2
6.344252500E-1,2.679908669E-2,1.559959478E-2,-1.913793683E-3,3.106768435E-2
6.443932500E-1,4.232581967E-2,9.583709794E-3,-4.157955050E-3,4.359599861E-2
6.543602500E-1,3.374677573E-2,7.924804464E-3,3.327065706E-4,3.466638273E-2
6.643272500E-1,2.617668713E-2,1.455746106E-2,1.485134304E-2,3.343203571E-2
6.742952500E-1,3.377619454E-2,8.656734251E-3,3.309524059E-4,3.486946938E-2
6.842622500E-1,2.506391631E-2,1.897201295E-2,3.773208261E-3,3.166029495E-2
6.942292500E-1,2.352646404E-2,6.587148816E-3,3.924066424E-3,2.474435970E-2
7.041962500E-1,4.124709061E-2,1.034832917E-2,-1.914378405E-3,4.256847713E-2
7.141632500E-1,3.326156647E-2,1.372195333E-2,4.794716835E-4,3.598407565E-2
7.241312500E-1,3.012998049E-2,1.304300937E-2,5.417445302E-3,3.327588513E-2
7.340982500E-1,3.672346531E-2,1.286526315E-2,6.274062395E-4,3.891685418E-2
7.440652500E-1,2.843726638E-2,2.303213677E-2,4.218766093E-3,3.683687596E-2
7.540332500E-1,3.310281456E-2,1.503385382E-2,8.108918667E-3,3.725006919E-2
7.640002500E-1,3.852358547E-2,1.100434565E-2,-1.322055459E-3,4.008628308E-2
7.739672500E-1,3.427903681E-2,7.255184068E-3,-7.238852978E-4,3.504588521E-2
7.839342500E-1,3.261519332E-2,1.456441834E-2,-2.819527388E-3,3.583047379E-2
7.939022500E-1,3.059579344E-2,2.415369669E-2,1.200024068E-2,4.078614246E-2
8.038692500E-1,3.875293337E-2,8.833945999E-3,3.018332720E-3,3.986149494E-2
8.138362500E-1,4.160431894E-2,6.622839672E-3,4.964286089E-3,4.241963574E-2
8.238032500E-1,2.919352150E-2,1.627163629E-2,-2.071083784E-3,3.348607521E-2
8.337712500E-1,3.237770501E-2,2.100687597E-2,-3.419451714E-3,3.874657752E-2
8.437382500E-1,2.600349077E-2,8.785336451E-3,5.860664248E-3,2.806619059E-2
8.537052500E-1,3.242060895E-2,1.141191486E-2,-2.073422670E-3,3.443293143E-2
8.636722500E-1,2.801327929E-2,1.298314850E-2,-1.180494368E-2,3.305544822E-2
8.736402500E-1,2.951418646E-2,1.339856576E-2,-8.362687826E-3,3.347451739E-2
8.836072500E-1,3.800367664E-2,1.027571406E-2,2.865135670E-3,3.947250612E-2
8.935742500E-1,3.965602669E-2,1.130080406E-2,2.104997635E-5,4.123480409E-2
9.035412500E-1,2.483376442E-2,1.544062360E-2,-2.974478602E-3,2.939347266E-2
9.135092500E-1,2.878540412E-2,1.571075126E-2,2.414900064E-3,3.288250200E-2
9.234762500E-1,3.177964448E-2,1.599807339E-2,-1.326733232E-3,3.560399383E-2
9.334432500E-1,2.972457658E-2,6.154893399E-3,4.210579991E-3,3.064575256E-2
9.434102500E-1,3.594495423E-2,1.052679259E-2,-5.369498134E-3,3.783760837E-2
9.533782500E-1,3.324842851E-2,1.555797448E-2,2.865135670E-3,3.682007021E-2
9.633452500E-1,2.508073619E-2,1.034934330E-2,-2.073422670E-3,2.721123510E-2
9.733122500E-1,3.587346288E-2,1.011946093E-2,3.215968609E-4,3.727482063E-2
9.832792500E-1,3.400743364E-2,1.664107068E-2,9.901674986E-3,3.913405095E-2
9.932472500E-1,2.559810514E-2,1.345185308E-2,6.609107852E-3,2.966303499E-2
1.003214250E0,2.884951335E-2,1.569173411E-2,-4.767819643E-3,3.318519315E-2
1.013181250E0,3.162521403E-2,1.885438798E-2,1.069455743E-3,3.683457404E-2
1.023148250E0,4.163942051E-2,4.970064783E-3,7.506070733E-3,4.260145517E-2
1.033116250E0,3.394950966E-2,8.796587773E-3,-5.518017411E-3,3.550207992E-2
1.043083250E0,2.338312503E-2,6.287702853E-3,-2.824205160E-3,2.437789733E-2
1.053050250E0,3.250035949E-2,1.909122306E-2,2.863381505E-3,3.780141689E-2
1.063017250E0,3.210006276E-2,1.705181474E-2,-5.800437927E-4,3.635264593E-2
1.072985250E0,3.683355742E-2,1.979233619E-2,8.400694728E-3,4.264996127E-2
1.082952250E0,3.908100785E-2,1.022649695E-2,9.298827052E-3,4.145328212E-2
1.092919250E0,2.468001919E-2,1.996014215E-2,1.364740133E-3,3.177063325E-2
1.102886250E0,3.093141449E-2,1.336024823E-2,3.459212780E-3,3.387055931E-2
1.112854250E0,3.078713444E-2,8.813768537E-3,-1.481684446E-3,3.205815889E-2
1.122821250E0,2.975888330E-2,7.622535392E-3,-3.728184700E-3,3.094500835E-2
1.132788250E0,3.158743554E-2,6.703316546E-3,-4.344481230E-4,3.229379634E-2
1.142755250E0,3.511144278E-2,8.771175225E-3,1.809713244E-3,3.623564531E-2
1.152723250E0,2.595526951E-2,7.285585022E-3,-1.632542610E-3,2.700779443E-2
1.162690250E0,2.428357797E-2,1.227109011E-2,1.064777970E-3,2.722876353E-2
1.172657250E0,2.511931867E-2,-3.757932410E-3,-2.857008040E-2,3.822763033E-2
1.182624250E0,3.125568828E-2,2.683299140E-2,-5.962405801E-3,4.162304362E-2
1.192592250E0,2.683738595E-2,4.571813209E-2,8.235744774E-2,9.794458681E-2
1.202559250E0,4.681851869E-2,-1.784033918E-2,-3.619251072E-2,6.180735576E-2
1.212526250E0,2.125334068E-2,2.093197680E-2,-1.912039518E-3,2.989160481E-2
1.222493250E0,1.511564632E-2,2.580983830E-2,4.376056194E-3,3.022880058E-2
1.232461250E0,3.712439245E-2,1.134005806E-2,2.218959868E-2,4.471236653E-2
1.242428250E0,4.986047781E-2,-8.529571015E-3,1.006364286E-2,5.157613534E-2
1.252395250E0,3.269264152E-2,1.175179797E-2,-9.549087882E-3,3.602913605E-2
1.262362250E0,3.381125042E-2,7.161751958E-3,4.371378422E-3,3.483676643E-2
1.272330250E0,2.879760104E-2,9.920395212E-3,-8.804152608E-3,3.170534923E-2
1.282297250E0,2.759309289E-2,2.526004471E-2,-8.794212341E-4,3.741954056E-2
1.292264250E0,1.850353220E-2,2.729952612E-2,-9.718072414E-3,3.438147411E-2
1.302231250E0,5.408239592E-2,3.022111940E-2,2.995411634E-2,6.881475635E-2
1.312199250E0,2.902035255E-2,8.354186523E-3,3.313032389E-3,3.038008358E-2
1.322166250E0,1.992065060E-2,7.434095163E-4,-4.309397936E-4,1.993917469E-2
1.332133250E0,1.485485137E-2,2.095763602E-2,1.625525951E-4,2.568882131E-2
1.342100250E0,3.065675980E-2,1.067323793E-2,3.310693502E-3,3.262998040E-2
1.352068250E0,4.797353564E-2,1.863525901E-3,1.890053988E-2,5.159615546E-2
1.362035250E0,4.671441997E-2,9.632570590E-3,3.464884579E-2,5.895393086E-2
1.372002250E0,2.829959186E-2,3.973484533E-3,1.163186610E-2,3.085378077E-2
1.381969250E0,4.316386272E-2,6.320744189E-3,-1.701539755E-4,4.362453214E-2
1.391937250E0,1.750545817E-2,2.383915303E-2,-2.471442640E-2,3.854282236E-2
1.401904250E0,3.634665795E-2,2.136679037E-2,-2.740706921E-2,5.028684437E-2
1.411871250E0,4.042224948E-2,2.356370349E-2,-1.959401965E-3,4.682996510E-2
1.421838250E0,3.300495593E-2,2.289830863E-2,4.916923642E-3,4.047018399E-2
1.431806250E0,2.323932921E-2,2.729281096E-2,-1.559276998E-2,3.909089955E-2
1.441773250E0,4.401121563E-2,9.143263707E-3,5.101695657E-2,6.799497209E-2
1.451740250E0,2.511147061E-2,-5.858302065E-2,-2.892208278E-2,6.999316493E-2
1.461707250E0,-2.520667973E-2,-1.291641167E-1,4.015867710E-3,1.316619646E-1
1.471675250E0,-4.703810904E-4,-1.586078259E-2,7.154711545E-2,7.328557437E-2
1.481642250E0,4.527845345E-2,-5.011812989E-2,9.704565346E-2,1.182363064E-1
1.491609250E0,3.728535533E-2,-1.015850297E-1,2.103342873E-1,2.365380062E-1
1.501576250E0,-2.646538061E-1,-9.898853704E-2,3.891433114E-1,4.809083949E-1
1.511544250E0,-4.299435011E-1,-2.777888269E-1,1.662532979E-1,5.381990390E-1
1.521511250E0,5.553298049E-2,-9.516249257E-3,-4.365841109E-1,4.402046760E-1
1.531478250E0,6.030018617E-1,1.271730027E-1,6.110661954E-1,8.678629575E-1
1.541445250E0,2.164791628E-1,1.170924669E-1,-1.601400340E-1,2.936302167E-1
1.551413250E0,4.674137381E-1,2.451224064E-1,-1.697680593E-1,5.544202293E-1
1.561380250E0,7.281023097E-1,9.694581226E-2,4.761832094E-1,8.753752983E-1
1.571347250E0,3.400667533E-1,-2.395201343E-1,5.542014384E-1,6.929318335E-1
1.581313667E0,-1.587293384E-1,-1.161179005E-1,1.092780286E-1,2.249890157E-1
1.591281667E0,-7.618381128E-2,2.105933189E-1,-1.298847860E-1,2.588891205E-1
1.601248667E0,3.610929023E-1,3.849704094E-1,4.263766265E-1,6.785184801E-1
1.611215667E0,7.330293198E-1,1.521704252E-1,6.714182317E-1,1.005629287E0
1.621182667E0,3.018579034E-1,-1.831448441E-1,6.277962488E-1,7.202696424E-1
1.631150667E0,-3.679923609E-1,-2.072131167E-1,5.699199235E-1,7.093408015E-1
1.641117667E0,-6.219292988E-1,9.912519744E-3,2.797752357E-1,6.820326189E-1
1.651084667E0,-7.183858453E-1,4.461293980E-1,-1.910922700E-1,8.669636199E-1
1.661051667E0,-1.170090344E0,-8.698366244E-1,-6.833179003E-1,1.610170960E0
1.671019667E0,-1.304776644E0,-1.679178540E0,-3.519105810E-1,2.155440493E0
1.680986667E0,-1.603885991E0,-1.946428894E0,1.112666082E0,2.756639534E0
1.690953667E0,-1.368937557E0,-1.754352830E0,2.854536422E0,3.619409078E0
1.700920667E0,-1.694697343E0,-1.050069665E0,4.618365396E0,5.030302607E0
1.710888667E0,-2.907963601E0,-9.695464886E-1,5.035910388E0,5.895478448E0
1.720855667E0,-3.629210635E0,2.711343665E-1,3.941277119E0,5.364545554E0
1.730822667E0,-3.565314309E0,1.195357844E0,3.069707526E0,4.854219895E0
1.740789667E0,-3.192870938E0,9.545562742E-1,2.420485910E0,4.118780711E0
1.750757667E0,-2.559762493E0,7.964476360E-1,1.070497717E0,2.886637875E0
1.760724667E0,-2.452087625E0,8.938723353E-1,-4.857960320E-1,2.654757853E0
1.770691667E0,-2.625065660E0,1.125531418E0,-1.440145826E0,3.198720165E0
1.780658667E0,-2.340756201E0,8.355875820E-1,-1.562247384E0,2.935636743E0
1.790626667E0,-1.906281765E0,1.505464634E0,-1.769346991E0,3.005149365E0
1.800593667E0,-1.598859432E0,2.855744164E0,-1.120565670E0,3.459377637E0
1.810560667E0,-8.091260806E-1,3.568688444E0,2.771802413E-1,3.669748100E0
1.820527667E0,5.156145660E-1,3.449980904E0,1.236213071E0,3.700871434E0
1.830495667E0,1.036913649E0,2.980412357E0,1.492468466E0,3.490774965E0
1.840462667E0,7.307388192E-1,2.541237929E0,1.463144095E0,3.022029133E0
1.850429667E0,3.409444935E-1,2.619664294E0,9.743765080E-1,2.815722597E0
1.860396667E0,7.105548886E-1,3.179811181E0,6.422967589E-1,3.320938501E0
1.870364667E0,1.414179950E0,3.089081106E0,7.527524167E-1,3.479793558E0
1.880331667E0,2.204634774E0,2.768604571E0,8.815618998E-1,3.647291755E0
1.890298667E0,2.444433620E0,2.237980422E0,1.179138399E0,3.517695191E0
1.900265667E0,2.708169504E0,1.633411360E0,1.260784825E0,3.404672247E0
1.910233667E0,3.347707839E0,1.288045129E0,1.055387342E0,3.738990569E0
1.920200667E0,3.794024348E0,9.935159066E-1,8.802515388E-1,4.019519546E0
1.930167667E0,4.038501112E0,5.716907528E-1,6.358420175E-1,4.128028176E0
1.940134667E0,4.261692842E0,2.370022684E-1,1.746481454E-1,4.271849474E0
1.950102667E0,4.208270926E0,-2.104231650E-1,-2.131795424E-1,4.218917825E0
1.960069667E0,4.152306348E0,-7.752115721E-1,-3.744422418E-1,4.240614104E0
1.970036667E0,4.236568526E0,-1.123597744E0,-3.862436771E-1,4.400019198E0
1.980003667E0,4.460887599E0,-1.498478527E0,-1.983094883E-1,4.710019397E0
1.989971667E0,4.685759819E0,-1.540399555E0,1.087582111E-2,4.932473431E0
1.999938667E0,5.104021094E0,-1.563037342E0,3.250321001E-1,5.347874618E0
2.009905667E0,5.262779431E0,-1.666517272E0,4.106084400E-1,5.535587273E0
2.019872667E0,5.163872024E0,-1.856093359E0,3.027606404E-1,5.495663822E0
2.029840667E0,4.883524931E0,-2.545834133E0,3.704491782E-1,5.519720988E0
2.039807667E0,4.529997303E0,-3.362320031E0,-3.495874822E-2,5.641568370E0
2.049774667E0,4.122627051E0,-3.555817846E0,-4.950030577E-1,5.466710380E0
2.059741667E0,3.362797164E0,-3.720659918E0,-7.487394726E-1,5.070732274E0
2.069709667E0,3.030904818E0,-3.878207297E0,-8.727723652E-1,4.998860616E0
2.079676667E0,2.895197375E0,-3.868862277E0,-7.684749949E-1,4.892935415E0
2.089643667E0,2.348435203E0,-3.863430798E0,-4.448678613E-1,4.543033441E0
2.099610667E0,2.174030448E0,-4.023011253E0,-1.091757023E-1,4.574160826E0
2.109578667E0,2.261843932E0,-4.243815857E0,8.305385113E-3,4.808947908E0
2.119545667E0,1.620186713E0,-4.436569906E0,-3.151479667E-1,4.733653532E0
2.129512667E0,5.816214811E-1,-4.805920685E0,-6.937621969E-1,4.890446111E0
2.139479667E0,-1.453292560E-1,-4.938704520E0,-1.059463436E0,5.053156014E0
2.149447667E0,-6.119298657E-1,-5.013942983E0,-1.388543563E0,5.238524184E0
2.159414667E0,-7.351201379E-1,-5.086046169E0,-1.600359535E0,5.382324581E0
2.169381667E0,-9.654790923E-1,-4.927366769E0,-1.724832138E0,5.309061976E0
2.179348667E0,-1.513779228E0,-4.927535169E0,-1.699739982E0,5.427821515E0
2.189316667E0,-1.817587105E0,-5.013118526E0,-1.574325392E0,5.559989270E0
2.199283667E0,-1.739704824E0,-4.732211562E0,-1.769106671E0,5.343232874E0
2.209250667E0,-1.782083250E0,-4.562789657E0,-1.941400727E0,5.269146700E0
2.219217667E0,-2.525658900E0,-4.590328289E0,-1.922351083E0,5.580815386E0
2.229185667E0,-3.699764308E0,-4.553766527E0,-1.807791265E0,6.139475122E0
2.239152667E0,-4.354091421E0,-4.417919335E0,-1.667762144E0,6.423204334E0
2.249119667E0,-4.335177725E0,-4.532505173E0,-1.813123341E0,6.528765986E0
2.259086667E0,-4.047701999E0,-3.975778907E0,-2.600046886E0,6.241069876E0
2.269054667E0,-3.936560170E0,-3.332529929E0,-2.858059369E0,5.896674068E0
2.279021667E0,-4.504797850E0,-2.970469751E0,-2.640206147E0,6.007294126E0
2.288988667E0,-5.101478140E0,-2.533829507E0,-2.360636149E0,6.165871732E0
2.298955667E0,-5.505473379E0,-1.992961767E0,-1.871446393E0,6.146905347E0
2.308923667E0,-5.721680610E0,-1.549003440E0,-1.123744217E0,6.033228135E0
2.318890667E0,-5.706208293E0,-8.666564700E-1,-4.184700215E-1,5.786797359E0
2.328857667E0,-5.529024210E0,-1.455608788E-1,5.977515006E-1,5.563146910E0
2.338824667E0,-4.836652481E0,4.549879298E-1,1.331560108E0,5.037189053E0
2.348792667E0,-4.523144658E0,1.152488398E0,1.801010249E0,5.003069560E0
2.358759667E0,-4.800375478E0,1.672125921E0,2.148233117E0,5.518560985E0
2.368726667E0,-5.186700139E0,1.988375357E0,2.152853587E0,5.957371355E0
2.378693667E0,-5.773803275E0,1.780144313E0,2.010192634E0,6.367620628E0
2.388661667E0,-6.167112728E0,1.867817173E0,1.651707444E0,6.652079214E0
2.398628667E0,-6.039111330E0,2.520183860E0,1.137321451E0,6.641964501E0
2.408595667E0,-5.784084435E0,2.970077988E0,1.029566622E0,6.583084644E0
2.418562667E0,-4.925177572E0,3.341124752E0,1.089198282E0,6.050358801E0
2.428530667E0,-3.890184733E0,3.681317512E0,1.171207820E0,5.482459635E0
2.438497667E0,-3.238489452E0,3.744481475E0,1.447268904E0,5.157862225E0
2.448464667E0,-2.672409980E0,3.892300256E0,1.572458961E0,4.976384588E0
2.458431667E0,-2.059972174E0,3.848307559E0,1.707439011E0,4.687035780E0
2.468399667E0,-1.964602186E0,3.922989367E0,1.574466895E0,4.661378909E0
2.478366667E0,-2.006137006E0,4.139772256E0,1.580518178E0,4.864189319E0
2.488333667E0,-1.696833185E0,4.223333061E0,1.709576168E0,4.861937441E0
2.498300667E0,-1.261846387E0,4.183897977E0,1.653264558E0,4.672316586E0
2.508268667E0,-7.269920696E-1,4.269521679E0,1.696135173E0,4.651258686E0
2.518235667E0,5.034144784E-2,4.380358576E0,1.801780327E0,4.736716992E0
2.528202667E0,1.228834762E0,4.363843700E0,1.887621546E0,4.910833107E0
2.538169667E0,2.293311747E0,4.264920505E0,1.900200661E0,5.201883143E0
2.548137667E0,3.173487418E0,4.053964951E0,1.957459520E0,5.507930827E0
2.558104667E0,3.461022201E0,3.816023328E0,1.915736128E0,5.496430990E0
2.568071667E0,3.162836422E0,3.539952011E0,2.013500989E0,5.156450398E0
2.578039042E0,3.048754613E0,3.499604761E0,1.922342312E0,5.023697656E0
2.588007042E0,3.764637997E0,3.523730958E0,1.903997258E0,5.496761289E0
