"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.861083326E-3,-1.034957170E-3,1.269336643E-2,-4.993814528E-2,5.153650203E-2
1.682808333E-2,-7.241593860E-4,-9.361131876E-3,1.690430045E-3,9.540060301E-3
2.679508332E-2,-2.477055967E-2,1.248580626E-2,-5.647825599E-3,2.830854850E-2
3.676308334E-2,-1.068542115E-2,7.750854366E-3,1.545477569E-2,2.032496151E-2
4.673008333E-2,-1.335708708E-2,1.735627652E-2,2.682410181E-2,3.462924411E-2
5.669808332E-2,-1.695085891E-2,1.134079125E-2,1.828950584E-2,2.739436416E-2
6.666508333E-2,-1.355768312E-2,1.678784493E-2,-1.179968119E-2,2.459420633E-2
7.663308333E-2,-2.853455856E-2,1.608927853E-2,-7.285630703E-4,3.276609101E-2
8.660012500E-2,-3.429273209E-2,7.140455302E-5,-2.512957871E-2,4.251461277E-2
9.656812499E-2,-2.870041849E-2,-1.792692822E-2,-1.764923573E-2,3.816522368E-2
1.065351250E-1,-3.058822861E-2,-1.771838362E-2,1.602137089E-4,3.534977392E-2
1.165031250E-1,-2.000807561E-2,-1.108492760E-3,-1.491039991E-3,2.009415452E-2
1.264701250E-1,-1.688374383E-2,7.694657142E-3,2.066172123E-2,2.777004283E-2
1.364381250E-1,-1.289440786E-2,9.874394070E-3,1.037237585E-2,1.927058881E-2
1.464051250E-1,-9.827587109E-2,-6.598139754E-2,-4.469670117E-2,1.265286005E-1
1.563731250E-1,-4.209881980E-2,-5.025220471E-2,-2.339470983E-2,6.960536729E-2
1.663401250E-1,4.814926274E-3,8.101876426E-2,-3.077214181E-2,8.679947229E-2
1.763081250E-1,-4.669147879E-3,6.583923711E-3,9.314614534E-3,1.232521956E-2
1.862751250E-1,4.618841724E-2,4.488693668E-2,5.496324241E-2,8.467092174E-2
1.962431250E-1,3.547432646E-3,-2.727770641E-2,1.595892262E-1,1.619425166E-1
2.062101250E-1,-2.839022370E-2,-7.464294204E-2,1.228804064E-1,1.465509054E-1
2.161781250E-1,2.357051733E-1,-5.524753769E-1,2.629884642E-1,6.557048903E-1
2.261451250E-1,1.153429946E0,-1.572553101E0,3.103169972E-1,1.974745689E0
2.361131250E-1,1.917804873E0,-1.128389829E0,2.590310687E-1,2.240164332E0
2.460801250E-1,1.950753933E0,-2.273533759E-1,1.102890122E-1,1.967052143E0
2.560481250E-1,1.380413595E0,-2.412926629E-3,4.537544596E-1,1.453079703E0
2.660151250E-1,9.398547661E-1,-2.276399077E-1,1.037358037E0,1.418188495E0
2.759831250E-1,1.287365683E0,-2.503523389E-1,1.006286518E0,1.653057546E0
2.859501250E-1,1.779743925E0,2.450812475E-3,6.434509993E-1,1.892491383E0
2.959181250E-1,1.732464655E0,2.888471542E-1,5.143129027E-1,1.830132296E0
3.058851250E-1,1.335575391E0,6.723831685E-1,6.527942652E-1,1.631564005E0
3.158531250E-1,6.865550651E-1,9.296126369E-1,1.651934316E0,2.016041790E0
3.258201250E-1,5.083072275E-2,9.750104924E-1,2.177341726E0,2.386220068E0
3.357881250E-1,-2.251240884E-1,1.120679545E0,1.505239955E0,1.890066353E0
3.457551250E-1,7.775802791E-2,1.122645525E0,2.610682386E-1,1.155221152E0
3.557231250E-1,1.218138742E-1,7.845044788E-1,-3.235621101E-1,8.573087753E-1
3.656901250E-1,1.140288913E-1,3.160714979E-1,-1.832388747E-1,3.827274030E-1
3.756581250E-1,4.769170350E-1,-2.435709574E-1,2.400469136E-1,5.868553402E-1
3.856251250E-1,1.032580277E0,-7.936262083E-1,5.228767347E-1,1.403376167E0
3.955931250E-1,1.301304860E0,-7.568922454E-1,5.825528330E-1,1.614201974E0
4.055601250E-1,1.300124892E0,-6.797625008E-1,-4.680906630E-1,1.539970994E0
4.155271250E-1,8.543565595E-1,-5.699353090E-1,-1.603269110E0,1.904001897E0
4.254951250E-1,2.519904363E-1,3.163002337E-1,-2.061810100E0,2.101096358E0
4.354621250E-1,-7.531816024E-1,4.425555068E-1,-1.617209457E0,1.838070817E0
4.454301250E-1,-1.364364742E0,-1.461515207E-1,-1.104496937E0,1.761466690E0
4.553971250E-1,-1.242269617E0,-1.260672851E-1,-3.348776418E-1,1.292776004E0
4.653651250E-1,-1.385569085E0,-1.623566403E-1,5.733686113E-1,1.508281450E0
4.753321250E-1,-1.669027482E0,-3.171200864E-2,1.554399251E0,2.280968088E0
4.853001250E-1,-1.758361827E0,7.961715744E-1,2.461497111E0,3.128049475E0
4.952671250E-1,-1.927024178E0,1.375424750E0,1.983606514E0,3.088674510E0
5.052351250E-1,-2.138488732E0,1.265670905E0,1.280540228E0,2.795503563E0
5.152021250E-1,-2.250678089E0,1.017356686E0,1.305028952E0,2.793504439E0
5.251701250E-1,-2.203686941E0,9.147553005E-1,1.140384808E0,2.644520921E0
5.351371250E-1,-1.974805285E0,5.478168637E-1,1.738263777E0,2.687288632E0
5.451051250E-1,-2.066370344E0,1.062262206E-1,2.288390291E0,3.085109485E0
5.550721250E-1,-2.487228953E0,1.493100221E-1,2.793036577E0,3.742947324E0
5.650401250E-1,-2.286133851E0,3.109396525E-1,3.947536563E0,4.572322864E0
5.750071250E-1,-2.515662793E0,-8.056374125E-1,3.936843760E0,4.740922876E0
5.849751250E-1,-5.178830371E0,-1.199451589E-1,-1.618478887E0,5.427167287E0
5.949421250E-1,3.536466193E-1,-4.972515680E-1,2.022162470E0,2.112218291E0
6.049101250E-1,1.784651493E0,-5.947225698E-1,3.288210374E0,3.788271816E0
6.148771250E-1,-1.840440947E0,2.109513878E-1,1.240169882E0,2.229292422E0
6.248451250E-1,-7.521963465E-1,3.829319604E-1,2.310663505E0,2.460000420E0
6.348121250E-1,-7.667810565E-1,4.317792710E-1,3.767312221E0,3.868724324E0
6.447801250E-1,-1.432046848E0,2.458656972E-1,4.133146192E0,4.381107800E0
6.547471250E-1,-1.016852437E0,7.947899139E-2,3.200102482E0,3.358714290E0
6.647151250E-1,-7.353429168E-1,2.559442870E-1,2.012429779E0,2.157802192E0
6.746821250E-1,-8.702726805E-1,4.446317799E-1,1.539141526E0,1.823191870E0
6.846501250E-1,-9.809844464E-1,1.514425382E-1,1.182867607E0,1.544163560E0
6.946171250E-1,-1.108651968E0,-7.290742631E-1,7.575687683E-1,1.527929614E0
7.045851250E-1,-1.652147740E0,-1.909864208E0,5.486909493E-1,2.584228164E0
7.145521250E-1,-1.572615666E0,-2.476588482E0,9.387706192E-1,3.080243630E0
7.245201250E-1,-5.695416087E-1,-9.678353740E-1,1.576516929E0,1.935584816E0
7.344871250E-1,-1.032718856E0,2.343931677E-1,1.760316844E0,2.054303722E0
7.444551250E-1,-1.684593939E0,5.415381600E-1,2.376433864E0,2.962863181E0
7.544221250E-1,-1.435696680E0,5.691835033E-3,2.881951092E0,3.219766987E0
7.643901250E-1,-1.111892495E0,-4.380163498E-1,3.264979386E0,3.476816595E0
7.743571250E-1,-1.891308800E0,-1.199155757E-1,4.117366018E0,4.532563475E0
7.843241250E-1,-2.354193102E0,1.044257350E-1,4.980355992E0,5.509725556E0
7.942921250E-1,-2.723670473E0,4.291943084E-3,5.690382804E0,6.308633427E0
8.042591250E-1,-2.914609546E0,-8.748377480E-2,6.389453688E0,7.023369608E0
8.142271250E-1,-2.281021630E0,-2.558552449E-2,7.203390200E0,7.555960870E0
8.241941250E-1,-8.954029901E-1,9.050428195E-2,7.939475713E0,7.990319902E0
8.341621250E-1,8.131231642E-1,1.177695562E-1,7.896732566E0,7.939359179E0
8.441291250E-1,-2.336113804E0,2.289845481E-1,-6.416900518E0,6.832750097E0
8.540971250E-1,-1.520812844E1,3.781197019E-1,-2.655147655E1,3.060083417E1
8.640641250E-1,-2.236326098E0,3.244221624E-2,7.352615236E0,7.685255866E0
8.740321250E-1,-2.940274145E0,8.133081372E-2,1.617450947E-1,2.945842532E0
8.839991250E-1,-3.150242397E0,5.944795632E-3,-1.048009325E0,3.319997898E0
8.939671250E-1,-2.736782562E0,-1.589927828E-2,6.448321116E-1,2.811768132E0
9.039341250E-1,-2.482273730E0,-3.340216460E-2,-6.905561686E-3,2.482508059E0
9.139021250E-1,-2.217647899E0,-1.006486072E-1,-2.681030238E-1,2.236061622E0
9.238691250E-1,-1.796981371E0,-1.173844439E-1,5.821277404E-1,1.892562776E0
9.338371250E-1,-1.511001070E0,-2.495814200E-1,-3.652510035E-1,1.574427964E0
9.438041250E-1,-5.432353509E-1,-1.901871210E-1,-2.344224769E-1,6.214738009E-1
9.537721250E-1,9.824727455E-2,4.902043392E-2,1.888966405E-1,2.184890631E-1
9.637391250E-1,-1.355033755E-1,1.663695479E-2,-3.890503407E-1,4.123082835E-1
9.737071250E-1,-9.751283686E-2,-4.012491857E-3,-4.521534920E-2,1.075605934E-1
9.836741250E-1,-7.221736624E-2,-4.735998456E-2,1.227353954E-1,1.500742930E-1
9.936421250E-1,-7.564208045E-2,-5.122800908E-2,-1.112269056E-1,1.439356029E-1
1.003609125E0,-8.312467553E-2,-3.284313424E-2,9.654103875E-2,1.315619828E-1
1.013577125E0,-1.072038750E-1,-1.234592990E-2,-1.557698250E-2,1.090308910E-1
1.023544125E0,-1.343380803E-1,1.705212537E-3,-1.541904920E-1,2.045099885E-1
1.033512125E0,-1.377535486E-1,-3.983027372E-3,-6.707165658E-2,1.532661468E-1
1.043479125E0,-1.262200984E-1,-2.380675580E-2,-1.901146156E-1,2.294381004E-1
1.053447125E0,-1.088092646E-1,-4.198200339E-2,-1.618211085E-1,1.994693355E-1
1.063414125E0,-1.045102729E-1,-6.206042832E-2,-3.488331914E-2,1.264544972E-1
1.073382125E0,-1.201906872E-1,-4.826183078E-2,-8.068572879E-2,1.525948637E-1
1.083349125E0,-1.450009348E-1,-1.566691542E-2,-4.086619020E-2,1.514621036E-1
1.093317583E0,-1.603721867E-1,-7.639072048E-3,-3.445179462E-3,1.605909803E-1
1.103284583E0,-1.590277108E-1,-1.636711035E-2,-7.349950075E-2,1.759541751E-1
1.113252583E0,-1.329730660E-1,-5.735696916E-2,-5.359031618E-2,1.544136658E-1
1.123219583E0,-9.747043541E-2,-6.807007779E-2,-3.637494385E-2,1.243268185E-1
1.133187583E0,-7.298196735E-2,-6.868221275E-2,-2.634521484E-2,1.036227979E-1
1.143154583E0,-7.338587291E-2,-3.615732236E-2,6.675883055E-2,1.055915705E-1
1.153122583E0,-8.803371456E-2,2.289654076E-2,7.588750362E-2,1.184613848E-1
1.163089583E0,-9.137158848E-2,8.202105012E-2,-8.989509344E-3,1.231138949E-1
1.173057583E0,-8.075309054E-2,7.645072754E-2,-4.536854625E-2,1.201002929E-1
