"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.569166663E-3,-3.206563728E-2,-7.600998452E-2,5.140579641E-2,9.720225689E-2
8.397833328E-3,-2.764019039E-2,-4.793393446E-2,-3.077155709E-2,6.331296015E-2
1.836583333E-2,-2.473810762E-2,-6.909442318E-2,-2.883145094E-2,7.884964075E-2
2.833283333E-2,-1.599732421E-2,-7.747352432E-2,-1.655873001E-2,8.082235392E-2
3.830083333E-2,-1.708715385E-2,-8.059404627E-2,1.113309860E-2,8.313433109E-2
4.826783334E-2,-1.199280376E-2,-8.386276773E-2,1.292527020E-2,8.569628792E-2
5.823583333E-2,-1.155084562E-2,-7.876640766E-2,2.474775553E-2,8.336678244E-2
6.820283334E-2,-8.797866851E-3,-7.506440752E-2,1.351993203E-2,7.677796754E-2
7.817083334E-2,-1.260476969E-2,-8.300325444E-2,-5.496382713E-4,8.395667078E-2
8.813783333E-2,-1.712238332E-2,-7.158298903E-2,-1.162601888E-2,7.451486190E-2
9.810583333E-2,-2.395012222E-2,-8.300608668E-2,-1.805854082E-2,8.825944526E-2
1.080728333E-1,-3.298882127E-2,-9.344851948E-2,-1.520802319E-2,1.002605211E-1
1.180408333E-1,-3.115518926E-2,-7.221078356E-2,-1.129565120E-2,7.945209132E-2
1.280078333E-1,-5.983064745E-2,-7.122748745E-2,-2.292167008E-2,9.580430210E-2
1.379758333E-1,-1.243608848E-1,-6.966089047E-2,-1.476439494E-1,2.052242801E-1
1.479428333E-1,-7.597290952E-2,3.733986234E-2,1.387427330E-2,8.578253762E-2
1.579098333E-1,-4.246531231E-2,-2.677773521E-3,1.544729125E-1,1.602259465E-1
1.678778333E-1,-1.581303459E-1,-5.346060392E-2,1.329370326E-1,2.133904804E-1
1.778448333E-1,-1.644088668E-1,-9.467566732E-2,1.800480491E-1,2.615550754E-1
1.878128333E-1,-1.843112906E-1,-1.205633193E-1,5.431361675E-1,5.860913429E-1
1.977798333E-1,-2.092719944E-1,-3.211723896E-2,7.126773548E-1,7.434616982E-1
2.077478333E-1,-3.765855387E-1,7.905134065E-3,1.149524590E0,1.209663566E0
2.177148333E-1,-4.540882625E-1,7.566052202E-2,1.835812876E0,1.892651469E0
2.276828333E-1,-5.731479520E-1,9.069234668E-1,2.529054671E0,2.747203356E0
2.376498333E-1,-3.843263751E-1,1.690678844E0,2.674781318E0,3.187562833E0
2.476178333E-1,5.558028446E-1,1.563401916E0,2.278632458E0,2.818742314E0
2.575848333E-1,2.899207980E0,1.788450283E0,1.438658879E0,3.697796736E0
2.675528333E-1,3.858666194E0,1.349862624E0,1.259881430E0,4.277702084E0
2.775198333E-1,4.958437704E0,2.017685549E0,5.127546197E-1,5.377738999E0
2.874868333E-1,5.470388331E0,2.595216793E0,-2.085180252E0,6.403770404E0
2.974548333E-1,3.875300938E0,1.776398441E0,-3.636816693E0,5.603568902E0
3.074218333E-1,3.301360469E0,-1.226175302E0,-1.499296260E0,3.827580971E0
3.173898333E-1,4.608662818E0,-4.672416180E0,-1.462991483E0,6.723956425E0
3.273568333E-1,2.263914139E0,-3.570240880E0,-5.075523520E0,6.605517858E0
3.373248333E-1,-3.854914328E-1,-1.286345344E0,-7.938098693E0,8.050881868E0
