"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.012916667E-3,2.723849581E-2,-1.579269679E-2,3.798409760E-2,4.933696987E-2
1.597991666E-2,3.345742992E-2,-1.497405005E-2,-1.620146513E-2,4.007629305E-2
2.594791666E-2,3.373780391E-2,-9.516005432E-3,-4.210053742E-2,5.478365653E-2
3.591491666E-2,3.544440516E-2,-8.673800812E-3,1.310361028E-3,3.651380183E-2
4.588291666E-2,4.068707353E-2,-1.022277164E-2,-1.276096344E-2,4.384957469E-2
5.584991667E-2,3.607793271E-2,-9.025248166E-3,-6.172905564E-3,3.769850257E-2
6.581791666E-2,3.890045679E-2,-6.197936672E-3,4.172865450E-2,5.738414907E-2
7.578491665E-2,4.038787882E-2,-1.859661714E-2,-4.674848914E-3,4.470871433E-2
8.575291667E-2,3.961888773E-2,-2.330284459E-2,1.194703102E-2,4.749116109E-2
9.571991666E-2,4.424120307E-2,-3.168412701E-2,-5.719746351E-3,5.471639107E-2
1.056879167E-1,3.526537986E-2,-1.188478558E-2,-4.403187275E-2,5.765154780E-2
1.156549167E-1,2.899928430E-2,-3.770998653E-2,4.314075708E-3,4.776623099E-2
1.256229167E-1,5.936518167E-2,-9.456541990E-3,-3.370627463E-2,6.891853111E-2
1.355899167E-1,3.813963354E-2,-1.012646845E-2,1.898415506E-2,4.379012620E-2
1.455579167E-1,4.504452827E-2,-7.025105269E-3,2.497345805E-2,5.198110463E-2
1.555249167E-1,3.628329788E-2,7.951984880E-5,2.916474223E-2,4.655175849E-2
1.654929167E-1,2.816383596E-2,-5.731986675E-3,1.373569429E-2,3.185477397E-2
1.754599167E-1,3.393261669E-2,-2.806125387E-2,7.041217089E-3,4.459187350E-2
1.854279167E-1,-6.200750188E-2,-5.890041939E-2,-5.033926427E-2,9.923825483E-2
1.953949167E-1,6.673737857E-3,-1.578897604E-2,6.312654018E-3,1.826691387E-2
2.053629167E-1,-5.052953633E-2,-1.120821248E-1,-7.986536443E-2,1.466087077E-1
2.153299167E-1,-6.178537895E-1,-6.723742515E-1,7.530453622E-2,9.162429876E-1
2.252979167E-1,2.928425749E-1,-9.684179029E-1,4.790974617E-2,1.012859986E0
2.352649167E-1,1.197422496E0,-3.373086217E-1,-6.978651881E-3,1.244044389E0
2.452329167E-1,3.492335064E-1,3.695176939E-2,1.602575630E-1,3.860206753E-1
2.551999167E-1,4.506768508E-1,-6.573405119E-2,3.989695573E-1,6.054810459E-1
2.651679167E-1,1.405657194E0,-5.912536360E-1,4.613499928E-1,1.593203322E0
2.751349167E-1,1.764955148E0,-9.683777764E-1,2.616120297E-1,2.030089418E0
