"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.300125005E-3,3.687442398E-2,1.662634301E-2,4.048319757E-2,5.722803256E-2
1.526712500E-2,2.089089554E-2,4.003873609E-2,-3.203163207E-2,5.536745756E-2
2.523512499E-2,-3.499781493E-2,7.305504384E-3,-2.177444637E-2,4.186100762E-2
3.520212500E-2,-3.947968746E-2,1.832100315E-2,5.037610173E-2,6.657369228E-2
4.517012500E-2,-1.573816465E-2,1.090526961E-2,-1.564188659E-2,2.472414504E-2
5.513712500E-2,-1.286983129E-2,1.628321651E-2,8.191949129E-4,2.077129697E-2
6.510512500E-2,-1.757327674E-2,2.549123585E-2,-8.312401772E-3,3.205805958E-2
7.507312500E-2,-3.186149636E-2,2.543742091E-3,-1.518697321E-2,3.538742333E-2
8.504012501E-2,-2.424147801E-2,-8.546507384E-3,1.292234659E-3,2.573639282E-2
9.500812500E-2,-1.918986741E-2,-8.388123214E-3,1.150147319E-3,2.097461469E-2
1.049751250E-1,-1.014088092E-2,-1.113967215E-2,9.376595020E-3,1.774402141E-2
1.149431250E-1,-4.334409401E-2,-4.902909054E-2,2.361281097E-2,6.957102160E-2
1.249101250E-1,-6.469275344E-2,-4.613524413E-2,2.106167078E-2,8.220223278E-2
1.348781250E-1,2.695540834E-2,7.230919037E-2,-7.426665545E-2,1.071015834E-1
1.448461250E-1,-4.695818491E-2,-7.252925581E-2,1.388713717E-2,8.751238003E-2
1.548131250E-1,1.895951818E-1,-8.021434088E-1,-2.847827911E-2,8.247371664E-1
1.647811250E-1,1.037547633E0,-2.466939699E0,1.001744986E-2,2.676265480E0
1.747481250E-1,2.321873202E0,-2.320175317E0,1.806935817E-1,3.287393928E0
1.847161250E-1,3.266726534E0,-1.078321730E0,2.857920206E-1,3.451949750E0
1.946831250E-1,2.959584282E0,1.564921571E-1,1.905724525E-1,2.969839521E0
2.046511250E-1,1.853944361E0,6.929356930E-1,2.677223700E-1,1.997234297E0
2.146181250E-1,4.888156803E-1,2.328397087E-1,9.022452557E-1,1.052236476E0
2.245861250E-1,-1.560951860E-1,-3.283246307E-1,1.186688908E0,1.241125834E0
2.345541250E-1,-9.939557634E-2,-9.481445647E-2,1.328085693E0,1.335170726E0
2.445211250E-1,9.907946125E-2,6.295213236E-1,1.889041834E0,1.993638104E0
2.544891250E-1,6.313273823E-1,1.155310776E0,2.027041971E0,2.417067729E0
2.644561250E-1,1.043413998E0,1.476782872E0,2.532047276E0,3.111408657E0
2.744241250E-1,1.391298772E0,1.420637322E0,3.129263172E0,3.707588255E0
2.843911250E-1,1.778132579E0,1.069151761E0,3.061413835E0,3.698255755E0
2.943591250E-1,2.570928336E0,6.063241035E-1,1.653998383E0,3.116570564E0
3.043261250E-1,3.421134250E0,1.952616089E-1,-5.155408180E-1,3.465266077E0
3.142941250E-1,5.055401496E0,5.161973872E-1,-1.866794933E0,5.413729523E0
3.242621250E-1,5.778551799E0,-4.174818055E-1,-3.376514440E0,6.705729022E0
