"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.866249368E-4,-1.749049478E-1,8.758571735E-3,5.146192968E-1,5.436004728E-1
1.013462502E-2,-1.389974523E-2,2.141408886E-2,5.577191234E-2,6.133736484E-2
2.008262486E-2,3.562406086E-2,-4.274891598E-2,-1.847252369E-1,1.929247436E-1
3.003062494E-2,9.436666938E-2,-1.957541363E-2,-3.204461288E-1,3.346251434E-1
3.997962503E-2,1.077436279E-2,-1.335719671E-2,-4.535568237E-2,4.849370599E-2
4.992762487E-2,-1.774013252E-2,3.360263273E-2,2.912387019E-1,2.937070492E-1
5.987562495E-2,-5.891375835E-2,2.864229351E-2,2.614272577E-1,2.695095971E-1
6.982462504E-2,-4.340367165E-2,5.403261236E-3,1.095487547E-1,1.179576348E-1
7.977262489E-2,2.431492453E-2,8.176275850E-3,-6.519119203E-2,7.005682379E-2
8.972062496E-2,3.193959324E-3,-2.778359335E-2,-1.495998430E-1,1.521914665E-1
9.966962505E-2,1.396439351E-2,-7.762996475E-3,1.586700439E-2,2.251733174E-2
1.096176249E-1,-1.717162784E-2,-4.596048547E-4,1.632063138E-1,1.641078210E-1
1.195656250E-1,-2.545561580E-2,-7.714980785E-3,1.856420803E-1,1.875379729E-1
1.295136251E-1,4.742640071E-4,-2.087179159E-2,8.919401228E-2,9.160474026E-2
1.394626249E-1,2.276871971E-2,-2.992227186E-2,-3.687254190E-2,5.266252270E-2
1.494106250E-1,2.783681215E-2,-1.747996340E-2,-5.392126858E-2,6.315014202E-2
1.593586251E-1,-1.505713762E-2,-1.526401028E-2,2.859814703E-2,3.574299116E-2
1.693076249E-1,-4.333632817E-2,1.098428240E-2,1.114029068E-1,1.200387414E-1
1.792556250E-1,-5.417801617E-2,2.337040277E-2,1.223214126E-1,1.358085459E-1
1.892036251E-1,-2.781619158E-2,2.392692065E-2,5.493225217E-2,6.605899162E-2
1.991526249E-1,-3.306965902E-3,2.022965767E-2,-1.514019549E-2,2.548333951E-2
2.091006250E-1,1.940592203E-2,1.255787320E-2,-6.004505754E-3,2.388187762E-2
