"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.013083315E-3,-8.214698453E-3,2.765090724E-2,1.741563946E-1,1.765290450E-1
7.934916764E-3,-1.269758145E-1,5.873728664E-2,5.595896477E-1,5.768132281E-1
1.788291661E-2,-1.279351324E-1,1.518453383E-2,3.365587163E-1,3.603744410E-1
2.783091669E-2,4.797353564E-2,1.252708167E-2,-9.768416941E-2,1.095471809E-1
3.777991678E-2,2.255059116E-2,-4.560508896E-2,-3.285474461E-1,3.324631975E-1
4.772791662E-2,2.764896121E-2,1.370016332E-2,-1.073613113E-1,1.117077021E-1
5.767591670E-2,-6.472390814E-2,3.223799310E-2,2.211849654E-1,2.327042359E-1
6.762391678E-2,-7.790830135E-2,6.082461015E-2,2.829163599E-1,2.996848400E-1
7.757191663E-2,-4.921351081E-2,2.482365056E-2,8.633764744E-2,1.024322832E-1
8.751991671E-2,1.261944255E-2,-5.738356942E-4,-1.071742004E-1,1.079161195E-1
9.746891656E-2,-6.628970113E-3,-5.634020688E-3,-1.015766609E-1,1.019485334E-1
1.074169166E-1,-3.639804035E-2,1.095610613E-2,6.444508731E-2,7.481993639E-2
1.173649167E-1,-4.759244336E-2,2.038855119E-2,1.687377799E-1,1.765026120E-1
1.273129166E-1,-6.259477247E-2,4.350218810E-3,1.206514478E-1,1.359919181E-1
1.372609166E-1,-2.431239378E-2,-9.992224602E-3,-5.917382240E-4,2.629234105E-2
1.472099167E-1,-1.036990905E-2,-2.682697516E-2,-3.873312593E-2,4.824392868E-2
1.571579166E-1,-1.073199788E-2,-1.182843304E-2,1.083255172E-2,1.929849174E-2
1.671059167E-1,-2.792628368E-2,-1.000095888E-2,1.064707804E-1,1.105256693E-1
1.770539167E-1,-3.110744309E-2,3.649375197E-3,1.040523720E-1,1.086641020E-1
1.870019166E-1,-2.636832962E-2,1.288493355E-3,4.147663951E-2,4.916564499E-2
1.969499167E-1,-1.897001211E-2,7.999667097E-3,-1.553722143E-2,2.579265947E-2
2.068989167E-1,-3.627228867E-2,1.130275465E-2,1.307145059E-2,4.017827782E-2
2.168469166E-1,-4.625891274E-2,1.581425155E-2,7.264580727E-2,8.756363899E-2
2.267949167E-1,-5.440167217E-2,1.824175053E-2,7.592317164E-2,9.516633538E-2
2.367429167E-1,-4.311917720E-2,1.618657757E-2,4.987031758E-2,6.788458817E-2
2.466909166E-1,-2.621831199E-2,1.502315524E-2,1.275219262E-2,3.279807149E-2
2.566389167E-1,-1.988658143E-2,5.616584108E-3,1.545828402E-2,2.580660154E-2
2.665879168E-1,-1.505391251E-2,7.326634303E-3,3.686669469E-2,4.049015966E-2
2.765357916E-1,-1.664132193E-2,8.328161845E-3,7.667395413E-2,7.889985499E-2
2.864837917E-1,-1.754325494E-2,-2.070535608E-3,6.199627340E-2,6.446387226E-2
2.964317917E-1,-1.198783362E-2,-1.296772190E-2,2.577511132E-2,3.124462081E-2
3.063797916E-1,-1.802490106E-2,-7.001136253E-3,2.713225007E-2,3.331774243E-2
3.163287917E-1,-2.255536029E-2,-7.874440751E-3,2.923315465E-2,3.775352204E-2
3.262767917E-1,-4.658951797E-2,2.612070004E-3,5.258401036E-2,7.030280393E-2
3.362247916E-1,-5.088060681E-2,1.981160003E-2,5.302839875E-2,7.611403759E-2
3.461727917E-1,-4.754124368E-2,2.698181218E-2,6.365220487E-2,8.390346372E-2
3.561207918E-1,-2.422327856E-2,2.635345576E-2,3.206730008E-2,4.805812719E-2
3.660687916E-1,-8.546637576E-3,5.057448680E-3,5.062870145E-2,5.159349001E-2
3.760177917E-1,2.721970249E-3,-7.444556197E-4,4.868216336E-2,4.876388382E-2
3.859657918E-1,1.470021078E-2,-8.841218473E-4,5.452002347E-2,5.647398363E-2
3.959137916E-1,1.363811888E-2,-9.453147864E-3,4.853832185E-2,5.129648116E-2
4.058617917E-1,-3.195656843E-2,-2.262445337E-2,4.016277015E-2,5.609042933E-2
4.158097918E-1,-4.702500762E-2,-1.323347328E-2,4.480779827E-2,6.628887495E-2
4.257577916E-1,-5.865760462E-2,-1.946285016E-2,5.693141520E-2,8.402799030E-2
4.357067917E-1,-5.988926578E-2,-4.414775725E-3,5.393179357E-2,8.071463782E-2
4.456547918E-1,-4.561400140E-2,1.428791813E-2,4.344890535E-2,6.459558115E-2
4.556027916E-1,-2.860858066E-2,1.928738801E-2,3.806186557E-2,5.137275381E-2
4.655507917E-1,-3.838450396E-2,2.241594074E-2,4.420085728E-2,6.268620525E-2
4.754987918E-1,-3.692156715E-2,2.491839373E-2,3.147380769E-2,5.454107661E-2
