"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.720833480E-4,3.081893781E-3,2.230609532E-2,2.312930471E-1,2.323866037E-1
1.062008319E-2,1.818081158E-2,1.795214891E-2,2.303042829E-2,3.439799685E-2
2.056908328E-2,5.333767992E-2,2.971312198E-2,-1.647569954E-2,6.323943700E-2
3.051808337E-2,5.432944992E-2,3.184601038E-2,-3.814606547E-2,7.362730347E-2
4.046608321E-2,3.299852399E-2,4.441970760E-2,6.350836337E-2,8.423375349E-2
5.041508330E-2,3.840374496E-2,4.918859619E-2,1.560013747E-1,1.680202206E-1
6.036408315E-2,4.349997712E-2,3.203563604E-2,5.133738399E-2,7.452554583E-2
7.031308324E-2,3.911476638E-2,1.006792092E-2,1.271944821E-2,4.234515726E-2
8.026108332E-2,5.136080026E-2,-2.328692463E-3,-8.514130712E-3,5.211377009E-2
9.021008317E-2,1.643658715E-2,-2.500840430E-3,4.628246605E-2,4.917806690E-2
1.001590833E-1,2.591636726E-2,3.926382470E-4,1.193217909E-1,1.221044719E-1
1.101080833E-1,2.722503807E-2,-5.786779197E-4,6.331774414E-2,6.892513539E-2
1.200560832E-1,5.175765261E-2,1.399203074E-2,8.980153799E-3,5.436243823E-2
1.300050833E-1,4.988999711E-2,2.111609557E-2,1.827605724E-2,5.717443111E-2
1.399540834E-1,4.338141569E-2,3.519787650E-2,4.552759051E-2,7.206663053E-2
1.499020832E-1,4.331931643E-2,2.480535745E-2,9.162411511E-2,1.043400566E-1
1.598510833E-1,3.950068261E-2,3.379408565E-2,6.092506349E-2,8.008874773E-2
1.698000832E-1,3.963044512E-2,1.673783068E-2,1.975832641E-2,4.734045436E-2
1.797490832E-1,3.269492559E-2,1.077383288E-2,2.904955208E-2,4.504342472E-2
1.896970833E-1,3.140758798E-2,6.826306789E-3,5.989302993E-2,6.797212723E-2
1.996460832E-1,2.951034922E-2,5.769735477E-3,8.563598156E-2,9.076162127E-2
2.095950833E-1,4.248500098E-2,-3.675434135E-3,6.496665895E-2,7.771197398E-2
2.195430833E-1,3.525588728E-2,2.279450228E-3,3.068735719E-2,4.679623246E-2
2.294920832E-1,3.673324113E-2,6.778421290E-3,2.860048592E-2,4.704535890E-2
2.394410833E-1,2.808003805E-2,2.528633205E-2,5.150812268E-2,6.388250017E-2
2.493900834E-1,2.689469780E-2,2.913760750E-2,6.243130624E-2,7.395940062E-2
2.593380832E-1,2.369426086E-2,2.948746057E-2,6.466903567E-2,7.492004073E-2
2.692870833E-1,4.663953907E-2,3.241783838E-2,3.487688720E-2,6.665253266E-2
2.792360832E-1,4.973331914E-2,2.758391550E-2,3.024238408E-2,6.441177860E-2
2.891840832E-1,4.954607120E-2,2.926162785E-2,5.494803965E-2,7.956345328E-2
2.991330833E-1,3.356297216E-2,2.558508138E-2,7.904792368E-2,8.960827935E-2
3.090820832E-1,3.943004094E-2,7.495778720E-3,5.688756108E-2,6.962118523E-2
3.190309166E-1,2.997598859E-2,5.397217590E-3,5.419140995E-2,6.216428847E-2
3.289789166E-1,3.119096691E-2,3.044339125E-3,3.638312995E-2,4.801954355E-2
3.389279165E-1,2.117665079E-2,1.229082446E-3,4.357578993E-2,4.846452982E-2
3.488769166E-1,1.133420628E-2,6.076915297E-3,5.899665177E-2,6.038210042E-2
3.588249166E-1,1.354586991E-2,1.514128499E-2,6.348205090E-2,6.665373124E-2
3.687739165E-1,2.374243643E-2,2.170448991E-2,4.551589608E-2,5.573584992E-2
3.787229166E-1,3.918929097E-2,3.326970232E-2,3.997565925E-2,6.512086418E-2
3.886719167E-1,4.725806485E-2,2.341981631E-2,4.446807504E-2,6.898711609E-2
3.986199165E-1,5.654151555E-2,3.035055757E-2,7.231076181E-2,9.667960281E-2
4.085689166E-1,5.477719132E-2,4.226252357E-2,5.734013557E-2,8.985851509E-2
4.185179167E-1,4.179442654E-2,1.848110037E-2,4.820795417E-2,6.642538676E-2
4.284659165E-1,3.567408197E-2,1.501174404E-2,4.461542487E-2,5.906376825E-2
4.384149166E-1,3.361504893E-2,8.995756272E-3,4.790916145E-2,5.921302978E-2
4.483639165E-1,1.674492728E-2,-8.594354053E-3,5.195134163E-2,5.525574548E-2
4.583129166E-1,1.738312346E-2,-5.063681903E-3,5.973398566E-2,6.241764894E-2
4.682609166E-1,2.444507989E-2,-8.854982271E-3,5.344530523E-2,5.943377233E-2
4.782099165E-1,2.872557979E-2,6.466666481E-3,3.922429204E-2,4.904611907E-2
4.881589166E-1,4.102016383E-2,1.443727794E-2,4.700635135E-2,6.403659815E-2
4.981069167E-1,4.775358897E-2,6.632932972E-3,5.388969362E-2,7.230836838E-2
5.080559165E-1,4.500685028E-2,2.572568179E-2,4.924817383E-2,7.150391529E-2
5.180049166E-1,4.729609916E-2,2.971659833E-2,4.700401247E-2,7.300256434E-2
5.279539167E-1,4.240505858E-2,2.475856374E-2,5.389027834E-2,7.290636167E-2
5.379019165E-1,2.954854799E-2,3.243472449E-2,5.044977665E-2,6.686036199E-2
5.478509166E-1,2.556674944E-2,1.639332689E-2,6.586596072E-2,7.253085292E-2
5.577999165E-1,2.337110169E-2,1.532994677E-2,5.493751466E-2,6.163883662E-2
5.677479166E-1,2.270226245E-2,1.005634983E-2,5.493809938E-2,6.028861962E-2
5.776969166E-1,3.313590615E-2,-3.188194335E-4,5.239456058E-2,6.199419247E-2
5.876459165E-1,2.901080514E-2,5.569954847E-3,4.685549319E-2,5.539032816E-2
5.975949166E-1,3.787904872E-2,1.333770447E-3,5.239456058E-2,6.466677086E-2
6.075429167E-1,2.851331673E-2,1.029699701E-2,4.820210695E-2,5.694278262E-2
6.174919165E-1,3.303490464E-2,1.359500251E-2,5.134440064E-2,6.254899276E-2
6.274409166E-1,4.174882740E-2,1.830129620E-2,5.254249513E-2,6.956015976E-2
6.373889167E-1,4.214059085E-2,2.395331078E-2,5.029833376E-2,6.985351010E-2
6.473379165E-1,4.136958978E-2,2.731801109E-2,4.101704836E-2,6.434372498E-2
6.572869166E-1,3.947754957E-2,2.565954201E-2,5.718284547E-2,7.407271315E-2
6.672359165E-1,3.636114808E-2,1.941037825E-2,6.167409182E-2,7.417944105E-2
6.771839166E-1,3.009097774E-2,1.888468615E-2,5.673436403E-2,6.693942317E-2
6.871329166E-1,3.989331401E-2,9.709911437E-3,5.284128785E-2,6.691756559E-2
6.970819165E-1,3.973066092E-2,1.443770049E-2,5.149584353E-2,6.662427871E-2
7.070299166E-1,2.479723759E-2,7.876523822E-3,5.493926883E-2,6.078869861E-2
7.169789167E-1,2.036026072E-2,2.935500972E-3,4.490895510E-2,4.939606898E-2
7.269279165E-1,2.574076806E-2,5.190655561E-3,5.358856201E-2,5.967632717E-2
7.368769166E-1,3.169036481E-2,1.176292595E-2,5.867739379E-2,6.771766528E-2
7.468249167E-1,4.009583781E-2,1.044710372E-2,4.250984251E-2,5.936248728E-2
7.567739165E-1,4.610399807E-2,1.707889694E-2,3.712163329E-2,6.160586836E-2
7.667229166E-1,4.455686135E-2,2.209261941E-2,4.176081419E-2,6.494122980E-2
7.766709167E-1,3.795920125E-2,1.998186135E-2,5.882532835E-2,7.280518524E-2
7.866199166E-1,3.967368711E-2,2.669052947E-2,4.355824828E-2,6.468158011E-2
7.965689166E-1,3.981643226E-2,3.331789845E-2,4.819801390E-2,7.084122514E-2
8.065179165E-1,3.064947819E-2,1.989416682E-2,4.624972165E-2,5.894238831E-2
8.164659166E-1,3.228513627E-2,1.353128614E-2,5.373415768E-2,6.413100210E-2
8.264149167E-1,3.394868740E-2,1.227458245E-2,5.792544186E-2,6.825346559E-2
8.363639165E-1,2.736850499E-2,-4.475472565E-4,5.029131711E-2,5.725776751E-2
8.463119166E-1,1.812223893E-2,-5.495583289E-4,5.582804561E-2,5.869828136E-2
8.562609167E-1,2.267823405E-2,9.296072465E-3,5.477905512E-2,6.001219995E-2
8.662099165E-1,2.168620823E-2,1.628550972E-2,4.609593987E-2,5.348219449E-2
8.761589166E-1,3.577774214E-2,2.252468753E-2,5.537664056E-2,6.967051529E-2
8.861069167E-1,4.397906508E-2,1.986803251E-2,4.579597771E-2,6.652945555E-2
8.960559166E-1,5.643531550E-2,2.559192673E-2,4.400029778E-2,7.599945891E-2
9.060049166E-1,4.271336216E-2,3.319605710E-2,5.208348870E-2,7.509393657E-2
9.159529165E-1,4.199751679E-2,2.434868306E-2,4.265426874E-2,6.462225952E-2
9.259019166E-1,2.867480951E-2,1.428297083E-2,5.133621454E-2,6.051160946E-2
9.358509167E-1,2.774056150E-2,1.992961100E-2,5.837099969E-2,6.763062732E-2
9.457999165E-1,1.749285012E-2,5.317318586E-3,5.253430903E-2,5.562488029E-2
9.557479166E-1,2.648865435E-2,4.198807902E-3,4.939143062E-2,5.620313350E-2
9.656969167E-1,2.608695064E-2,1.154751316E-2,5.687352777E-2,6.362760576E-2
9.756459165E-1,3.122962249E-2,6.132685400E-3,6.600103140E-2,7.327370126E-2
9.855939166E-1,3.296284684E-2,9.985317579E-3,5.656771839E-2,6.622811036E-2
9.955429167E-1,4.315875554E-2,1.424140992E-2,4.309339464E-2,6.263015726E-2
1.005491917E0,5.037782849E-2,1.529493885E-2,5.462001085E-2,7.586307628E-2
1.015440917E0,4.523723057E-2,1.225656572E-2,3.995227039E-2,6.158582907E-2
1.025388916E0,3.880669121E-2,2.744049427E-2,5.701736927E-2,7.422883811E-2
1.035337917E0,3.861225301E-2,2.719350194E-2,5.222674549E-2,7.041324857E-2
1.045286917E0,3.014679124E-2,1.385866626E-2,4.100126088E-2,5.274462101E-2
1.055234917E0,2.975470802E-2,1.480591291E-2,6.030993640E-2,6.886106400E-2
1.065183917E0,2.640189629E-2,1.043409138E-2,4.474114001E-2,5.298773443E-2
1.075132917E0,3.614857438E-2,5.329172902E-3,6.360191882E-2,7.335068909E-2
1.085081917E0,3.714468411E-2,-2.327146148E-4,4.563634872E-2,5.884265493E-2
