"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.484708326E-3,-2.507447601E-1,-7.366302179E-2,2.848073494E-1,3.865415913E-1
1.243270840E-2,-1.945905861E-1,-1.973488273E-2,1.995730716E-1,2.794358114E-1
2.238166658E-2,-2.051588619E-1,-1.049502850E-1,4.534398794E-2,2.348633607E-1
3.233066667E-2,-7.198733769E-2,-1.215672314E-1,-1.184148878E-1,1.843443902E-1
4.227866675E-2,-3.910922066E-2,-1.851974544E-1,-3.201993763E-2,1.919711037E-1
5.222766660E-2,7.984957695E-3,-1.740505600E-1,1.146773475E-1,2.085863155E-1
6.217666669E-2,-7.105472507E-3,-1.701381332E-1,1.430989087E-1,2.224292466E-1
7.212466677E-2,-5.118321849E-2,-1.609946228E-1,7.647222519E-2,1.854372984E-1
8.207366662E-2,-6.091103017E-2,-1.102677064E-1,-1.093546271E-2,1.264464512E-1
9.202266671E-2,-1.394748044E-1,-9.937565926E-2,-2.093478620E-2,1.725311798E-1
1.019716668E-1,-1.471241593E-1,-6.732345231E-2,6.425388336E-2,1.740876992E-1
1.119196666E-1,-1.697311670E-1,-5.587511569E-2,1.280089992E-1,2.198112861E-1
1.218686667E-1,-1.377980422E-1,-5.398154972E-2,8.966003537E-2,1.730353435E-1
1.318176666E-1,-9.024275609E-2,-6.567760728E-2,2.796489358E-2,1.150623240E-1
1.417656667E-1,-4.913605347E-2,-8.187848769E-2,5.630868673E-4,9.549217541E-2
1.517146667E-1,-2.017973707E-2,-1.036763960E-1,3.603989840E-2,1.116014837E-1
1.616636666E-1,-5.031839702E-3,-1.343661652E-1,8.692938566E-2,1.601134093E-1
1.716116667E-1,-2.523733650E-2,-1.410375093E-1,8.003610313E-2,1.641166658E-1
1.815606668E-1,-6.132481204E-2,-1.500227977E-1,3.782271445E-2,1.664275522E-1
