"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.914374815E-3,-5.430453530E-2,1.276546397E-1,2.437148720E-1,2.804311474E-1
1.786337490E-2,-1.262278186E-1,8.910981238E-2,4.632503378E-1,4.883389155E-1
2.781137498E-2,-1.373443074E-1,3.655996026E-2,1.248713833E-1,1.891902530E-1
3.775937483E-2,-3.727086520E-2,2.561753342E-2,-3.128377318E-2,5.499136183E-2
4.770837491E-2,2.435995722E-2,1.685970173E-2,-1.884206772E-1,1.907354415E-1
5.765637499E-2,2.780469814E-2,3.127471685E-2,-1.010948503E-1,1.094137921E-1
6.760537485E-2,-1.492317243E-2,5.464019745E-2,4.921309054E-2,7.503452894E-2
7.755337493E-2,-6.583183673E-2,6.035004465E-2,1.689459407E-1,1.910986382E-1
8.750237501E-2,-6.648823237E-2,7.884789409E-2,1.671239483E-1,1.963876003E-1
9.745037486E-2,-4.627750506E-2,8.278569234E-2,6.831711352E-2,1.168858688E-1
1.073993749E-1,-4.844920663E-2,7.024301277E-2,-6.523153782E-3,8.558012620E-2
1.173473750E-1,-5.179163955E-2,6.224605914E-2,-4.512939513E-2,9.270171579E-2
1.272953749E-1,-5.489296619E-2,7.945524621E-2,5.929661393E-3,9.675502453E-2
1.372443750E-1,-5.279624602E-2,8.442108546E-2,7.643714190E-2,1.255268893E-1
1.471923750E-1,-6.085983049E-2,8.249149516E-2,1.246263850E-1,1.613706961E-1
1.571413749E-1,-3.814436613E-2,7.182076514E-2,8.628677666E-2,1.185690634E-1
1.670893750E-1,-1.196382349E-2,4.657913916E-2,3.658252001E-2,6.042375400E-2
1.770383748E-1,4.683564920E-3,3.350362978E-2,-3.674975038E-3,3.402843561E-2
1.869863749E-1,8.817053027E-4,3.421846331E-2,-9.495878220E-3,3.552256098E-2
1.969353750E-1,-2.917639098E-2,2.334029874E-2,4.904293656E-2,6.165420475E-2
2.068833748E-1,-5.516549212E-2,4.281681220E-2,7.553667068E-2,1.028703045E-1
2.168313749E-1,-5.933663995E-2,5.008292782E-2,8.900105417E-2,1.181114903E-1
2.267803750E-1,-6.274648944E-2,4.851829057E-2,6.085431218E-2,9.997196491E-2
2.367283748E-1,-5.052798316E-2,5.933286667E-2,2.298365057E-2,8.125093441E-2
2.466773749E-1,-5.311361278E-2,8.150118697E-2,2.508397043E-2,1.004624552E-1
2.566253750E-1,-3.146278021E-2,9.078097402E-2,1.939755321E-2,9.801712531E-2
2.665743749E-1,-3.092415115E-2,9.122147036E-2,7.493089914E-2,1.220340093E-1
2.765223749E-1,-4.315824391E-2,9.156704994E-2,5.397096992E-2,1.147171489E-1
2.864703750E-1,-3.551629851E-2,7.603205776E-2,7.148221135E-2,1.102360549E-1
2.964193749E-1,-3.930227014E-2,6.400151205E-2,2.956995428E-2,8.071706250E-2
3.063673750E-1,-4.051592370E-2,4.777382581E-2,3.466463327E-2,7.159270428E-2
3.163163750E-1,-3.801520661E-2,3.540758141E-2,4.753961742E-2,7.041923018E-2
3.262643749E-1,-4.493685728E-2,2.187718149E-2,4.948557079E-2,7.033316379E-2
3.362133750E-1,-3.763228708E-2,3.272876407E-2,6.759498239E-2,8.400263491E-2
3.461613748E-1,-3.971436180E-2,3.284615377E-2,6.849136055E-2,8.571561597E-2
3.561103749E-1,-3.193961151E-2,3.846629189E-2,4.005050361E-2,6.406119914E-2
3.660583750E-1,-1.787904957E-2,4.666683826E-2,3.810805857E-2,6.284646637E-2
3.760063748E-1,-3.048984921E-2,6.495550813E-2,4.424880445E-2,8.430187208E-2
3.859553749E-1,-3.583891863E-2,7.644252316E-2,4.380090773E-2,9.511260145E-2
3.959033750E-1,-4.449047718E-2,9.178869596E-2,4.904059768E-2,1.131792715E-1
4.058523749E-1,-4.532649198E-2,1.049252425E-1,4.993756056E-2,1.247299376E-1
4.158003749E-1,-5.519427138E-2,9.089236348E-2,4.993697584E-2,1.174799170E-1
4.257493750E-1,-5.154417442E-2,6.258002195E-2,4.933705151E-2,9.490629966E-2
4.356973749E-1,-5.003759363E-2,4.103222371E-2,3.421849072E-2,7.320047313E-2
4.456463750E-1,-5.077955048E-2,3.263407115E-2,5.307926953E-2,8.038006096E-2
4.555943750E-1,-3.171094883E-2,1.796940961E-2,5.068483472E-2,6.242945161E-2
4.655423749E-1,-4.096517259E-2,1.829510866E-2,5.382712841E-2,7.007293428E-2
4.754913750E-1,-3.226948583E-2,2.082463242E-2,5.442588329E-2,6.661202447E-2
4.854393750E-1,-2.324389734E-2,3.660057785E-2,3.466872633E-2,5.551397705E-2
4.953883749E-1,-2.112015207E-2,5.375396512E-2,5.263488114E-2,7.814077235E-2
5.053363750E-1,-3.184366236E-2,7.548497764E-2,3.647200763E-2,8.967835872E-2
5.152853748E-1,-2.936170204E-2,8.315069564E-2,5.668173909E-2,1.048282752E-1
5.252333749E-1,-4.317694587E-2,9.207260569E-2,4.740220785E-2,1.121988533E-1
5.351823750E-1,-5.642272571E-2,9.659570108E-2,5.279158652E-2,1.236980398E-1
5.451303748E-1,-5.948699562E-2,8.154799210E-2,4.575563192E-2,1.108257890E-1
5.550783749E-1,-5.028998321E-2,6.766779849E-2,5.398792684E-2,1.001134837E-1
5.650273750E-1,-4.086263618E-2,5.178211499E-2,5.383706868E-2,8.514442103E-2
5.749752915E-1,-3.663594894E-2,3.834563825E-2,4.904469073E-2,7.223546509E-2
5.849242916E-1,-2.891164002E-2,2.557270629E-2,5.069068193E-2,6.371335394E-2
5.948722917E-1,-3.422908880E-2,1.838983812E-2,4.769866168E-2,6.152218293E-2
6.048212915E-1,-4.641177175E-2,2.220079747E-2,5.234076619E-2,7.339266837E-2
6.147692916E-1,-2.908251576E-2,4.051067948E-2,5.189520836E-2,7.197235946E-2
6.247182917E-1,-4.338319726E-2,4.782601221E-2,5.234485924E-2,8.312288216E-2
6.346662915E-1,-3.365358573E-2,5.895151857E-2,6.267221153E-2,9.238858952E-2
6.446142916E-1,-3.448355231E-2,7.041672532E-2,4.665434897E-2,9.123737646E-2
6.545632917E-1,-2.911684074E-2,8.032926790E-2,4.530831993E-2,9.671310951E-2
6.645112915E-1,-2.369316450E-2,6.984759481E-2,5.069886804E-2,8.950099309E-2
6.744602916E-1,-2.803697878E-2,7.578285674E-2,5.653848231E-2,9.861903232E-2
6.844082917E-1,-2.770548734E-2,7.325786456E-2,5.489190638E-2,9.564219851E-2
6.943572916E-1,-4.470264888E-2,6.668907509E-2,4.665961146E-2,9.285945776E-2
7.043052916E-1,-5.375093188E-2,6.288237325E-2,4.426576138E-2,9.382330826E-2
7.142532915E-1,-6.125234311E-2,4.643496875E-2,5.085148036E-2,9.216251361E-2
7.242022916E-1,-6.039322268E-2,4.212191173E-2,5.070003748E-2,8.939849324E-2
7.341502917E-1,-5.040522818E-2,3.618821439E-2,6.626474082E-2,9.078154969E-2
7.440992915E-1,-3.449706486E-2,3.875712692E-2,4.545566976E-2,6.898101394E-2
7.540472916E-1,-1.738689674E-2,3.133657628E-2,5.278807819E-2,6.380334153E-2
7.639962917E-1,-2.972139716E-3,3.005879292E-2,3.871733844E-2,4.910597665E-2
7.739442915E-1,4.194737691E-3,3.998583249E-2,3.887112021E-2,5.592339950E-2
7.838932916E-1,-1.344766410E-2,4.310162642E-2,3.513299525E-2,5.720941553E-2
7.938412917E-1,-2.930613521E-2,4.748952779E-2,5.010712981E-2,7.499886179E-2
8.037892915E-1,-5.400139371E-2,6.585499719E-2,4.771503389E-2,9.762046730E-2
8.137382916E-1,-7.009116788E-2,6.933253733E-2,5.864289522E-2,1.147116459E-1
8.236862917E-1,-7.356148124E-2,7.439590175E-2,4.621814668E-2,1.143772652E-1
8.336352916E-1,-7.120134400E-2,7.982989741E-2,3.723565400E-2,1.132649012E-1
8.435832916E-1,-6.349263984E-2,7.678859610E-2,6.821888030E-2,1.207543765E-1
8.535322915E-1,-4.320228989E-2,7.139521575E-2,4.890728116E-2,9.672454101E-2
8.634802916E-1,-1.763670076E-2,6.630292132E-2,5.968369961E-2,9.093555183E-2
8.734292916E-1,-2.909720689E-4,5.242865258E-2,2.989564419E-2,6.035393788E-2
8.833772915E-1,-3.202684466E-3,3.951064115E-2,5.070413053E-2,6.436036673E-2
8.933252916E-1,-5.441099117E-3,2.503451121E-2,4.786530733E-2,5.429014604E-2
9.032742917E-1,-2.244079141E-2,2.951070782E-2,3.020671606E-2,4.782171777E-2
9.132222915E-1,-3.230453258E-2,2.452770836E-2,5.071816385E-2,6.494246259E-2
9.231712916E-1,-5.026727957E-2,2.331632973E-2,4.682918072E-2,7.254945068E-2
9.331192917E-1,-7.382362836E-2,4.574655047E-2,4.488381207E-2,9.776109436E-2
9.430682915E-1,-6.731295473E-2,6.517830988E-2,4.817345560E-2,1.053561948E-1
9.530162916E-1,-2.903867078E-2,9.558173907E-2,4.967794418E-2,1.115661749E-1
9.629652917E-1,1.079965017E-1,1.686667179E-1,-6.196879148E-3,2.003749171E-1
9.729132915E-1,9.445689923E-2,3.510275875E-2,-2.656799376E-1,2.841480930E-1
9.828612916E-1,-9.757541120E-4,-2.970417528E-2,-3.556399351E-1,3.568796066E-1
9.928102917E-1,4.803003436E-2,1.374438471E-1,2.848009175E-1,3.198581841E-1
1.002758292E0,-9.096074849E-2,1.088914728E-1,4.463565624E-1,4.683645924E-1
1.012707292E0,-1.326307481E-1,2.610657992E-2,9.712400615E-2,1.664498166E-1
1.022655291E0,-8.656428186E-2,1.093042406E-2,1.613346201E-1,1.834167624E-1
1.032604292E0,-4.488768585E-2,1.197651378E-3,1.266097605E-2,4.665446414E-2
1.042552292E0,-9.043178561E-2,8.754686534E-4,7.874036014E-2,1.199112948E-1
1.052500291E0,-8.142825209E-2,3.740889603E-2,1.696318191E-1,1.918461357E-1
1.062449292E0,-7.325729812E-2,3.161469818E-2,5.976556063E-2,9.968973420E-2
1.072397292E0,-7.038224045E-2,4.184565820E-2,1.269477296E-1,1.510643735E-1
1.082346292E0,-7.294969803E-2,7.054596249E-2,1.580543321E-1,1.878285473E-1
1.092294292E0,-4.733136518E-2,8.747212605E-2,1.050773889E-1,1.446820259E-1
1.102243292E0,-3.785814492E-2,6.741679762E-2,-1.623888731E-2,7.900610862E-2
1.112191292E0,4.545780765E-3,8.146832379E-2,-1.966143805E-1,2.128731230E-1
1.122140292E0,1.993789075E-2,8.168185679E-2,-2.342815590E-1,2.489122217E-1
1.132088292E0,-2.203356938E-2,7.565751619E-2,-5.010303676E-2,9.338014900E-2
1.142036292E0,-5.312267597E-2,8.463166745E-2,1.560323650E-1,1.852852848E-1
1.151985292E0,-8.600149649E-2,6.740026554E-2,2.199114418E-1,2.455607775E-1
1.161933292E0,-8.607583836E-2,3.632582953E-2,1.486157566E-1,1.755427554E-1
1.171882292E0,-2.962500033E-2,1.933095662E-2,3.169015467E-2,4.749307772E-2
1.181830292E0,1.120886573E-2,8.655918839E-3,-6.728917301E-2,6.876333620E-2
1.191779291E0,-7.383419903E-2,-3.646318199E-2,9.951961040E-4,8.235316025E-2
1.201727292E0,-1.349982309E-1,-2.134122707E-2,2.448468930E-1,2.804103623E-1
1.211676292E0,-1.507670752E-1,2.178707270E-2,4.517816091E-1,4.767724927E-1
1.221624292E0,-1.908356503E-1,2.795060901E-2,3.673758817E-1,4.149271266E-1
1.231572292E0,-9.941746686E-2,1.321204598E-1,2.329109716E-1,2.856346781E-1
1.241521292E0,6.825662225E-2,2.482464276E-1,-2.239805192E-1,3.412514150E-1
1.251469292E0,-1.723234021E-1,8.133259529E-2,-1.206005770E-1,2.255101886E-1
1.261418292E0,-1.062557344E0,-6.618385191E-1,1.193104473E0,1.729322590E0
1.271366292E0,-1.625535015E0,-6.590787064E-1,1.396233237E0,2.241922406E0
1.281315292E0,-1.558367317E0,1.522878446E-1,9.599900186E-2,1.568730726E0
1.291263292E0,4.184338784E-1,1.486472731E0,4.907147098E-1,1.620336082E0
1.301211292E0,2.552364596E0,1.063576879E0,9.919035369E-1,2.937623774E0
1.311160292E0,2.336204728E0,9.214665154E-1,2.536051449E0,3.569104933E0
1.321108292E0,6.321654345E-1,1.119032676E0,1.525929742E0,1.995076150E0
1.331057292E0,4.985223872E-1,1.735468224E0,1.018072166E0,2.072883369E0
1.341005292E0,5.672554570E-1,1.241147097E0,3.513144574E0,3.768873793E0
1.350954292E0,1.398279470E0,1.880174386E0,2.300904502E0,3.283961438E0
1.360902291E0,2.817255744E-1,1.961955444E0,2.916978253E0,3.526669901E0
1.370851292E0,-6.351375742E-1,2.071595123E0,4.340456007E0,4.851233290E0
1.380799292E0,-1.036503540E0,2.175929916E0,2.926883436E0,3.791524395E0
1.390748292E0,-4.788138717E-1,1.650587849E0,2.042758702E0,2.669562901E0
1.400696292E0,2.691584462E-1,1.077536303E0,1.838220760E0,2.147693254E0
1.410644292E0,-3.253679495E-1,1.169823200E0,-1.077336620E0,1.623269791E0
