"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.733541660E-3,-1.190529378E-1,-2.438125022E-1,-4.166638166E-1,4.972191411E-1
1.468054164E-2,1.025507156E-1,1.354299747E-1,1.378436067E0,1.388864254E0
2.462854167E-2,2.640989967E-1,3.687836719E-1,2.536428595E-1,5.196964276E-1
3.457554165E-2,1.508161644E-1,3.748478924E-1,7.098636746E-2,4.102383724E-1
4.452354167E-2,1.126426992E-1,1.688560763E-1,5.561374515E-1,5.920216358E-1
5.447054165E-2,-9.200554543E-2,-3.475888308E-2,8.706270218E-2,1.313511114E-1
6.441754167E-2,-8.800320854E-2,-1.318510950E-1,-8.972792155E-1,9.111746630E-1
7.436554166E-2,-9.067414356E-2,-1.154185004E-1,-2.280390716E-1,2.711919038E-1
8.431254164E-2,-1.481190288E-2,3.249237439E-2,3.104485595E-1,3.124955279E-1
9.426054166E-2,1.199560677E-1,2.011516736E-1,3.216009539E-1,3.978424657E-1
1.042075416E-1,1.628715608E-1,2.156688849E-1,2.202394706E-1,3.486339593E-1
1.141555417E-1,1.043121254E-1,1.207854586E-1,1.918021220E-1,2.495159324E-1
1.241025417E-1,3.169810323E-2,-1.131012306E-2,1.424966455E-2,3.654779845E-2
1.340505416E-1,-2.174790777E-3,-9.564471541E-2,-2.486972845E-1,2.664638448E-1
1.439975417E-1,-2.758865723E-2,-9.162868325E-2,-1.905215818E-1,2.132027737E-1
1.539445417E-1,-3.291866496E-3,-1.555964185E-2,1.442917407E-1,1.451655788E-1
1.638925417E-1,4.462573973E-2,7.525181992E-2,2.024288517E-1,2.205260371E-1
1.738395416E-1,5.315637512E-2,8.748037610E-2,1.321383029E-1,1.671494766E-1
1.837875417E-1,5.442665988E-2,6.464265011E-2,1.264863843E-1,1.521175168E-1
1.937345417E-1,1.976781900E-2,2.741638821E-2,-2.663055897E-2,4.303035767E-2
2.036825416E-1,7.283993597E-3,6.045765169E-3,-9.577622294E-2,9.624288400E-2
2.136295417E-1,2.577026681E-2,3.055610547E-2,1.370587349E-3,3.999575906E-2
2.235765417E-1,3.408601017E-2,8.427875144E-2,8.634407938E-2,1.253796797E-1
2.335245417E-1,5.870357836E-2,1.165058815E-1,1.229342008E-1,1.792555390E-1
2.434715416E-1,5.499252417E-2,1.066601023E-1,9.370747805E-2,1.522552021E-1
