"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.708333338E-3,7.369316693E-2,-1.152346237E-1,8.821746880E-1,8.927160139E-1
1.565533335E-2,2.727069021E-1,4.715684863E-2,1.852339447E-2,2.773732845E-1
2.560333334E-2,1.031606533E-1,1.792770937E-1,4.954562169E-1,5.368978112E-1
3.555133333E-2,2.200761780E-2,2.063990563E-1,7.757062465E-1,8.029975632E-1
4.549833335E-2,-5.133447865E-2,1.740837064E-1,8.159584790E-1,8.358998774E-1
5.544633334E-2,1.082279783E-1,-7.315643365E-3,-1.129740536E-1,1.566204033E-1
6.539333335E-2,-1.170735685E-2,-1.774229782E-1,-5.638066596E-1,5.911801120E-1
7.534133334E-2,-2.819972324E-1,-2.584596495E-1,-2.521892416E-1,4.581738132E-1
8.528933334E-2,-9.748486158E-2,-2.959226140E-1,-9.093309116E-1,9.612264034E-1
9.523633335E-2,-1.007233146E-1,-1.842209876E-1,1.983878410E-1,2.888603362E-1
1.051843333E-1,1.170104049E-1,-5.628125050E-2,7.027125299E-2,1.476382843E-1
1.151313334E-1,1.205428357E-1,4.707365372E-2,3.650077593E-1,3.872688582E-1
1.250793333E-1,1.198384655E-1,8.276036658E-2,3.402740371E-1,3.701309990E-1
1.350263334E-1,7.140532960E-2,7.295464532E-2,4.510799432E-1,4.624869906E-1
1.449743334E-1,6.224759860E-2,6.707596891E-3,3.847655010E-1,3.898259178E-1
1.549223333E-1,1.659920005E-1,-1.263445436E-1,-3.250607514E-1,3.862392782E-1
1.648693334E-1,-2.123731566E-2,-2.089145833E-1,-1.752305281E-1,2.734996612E-1
1.748173333E-1,-2.325737335E-2,-2.782509579E-1,-4.304433650E-1,5.130750349E-1
1.847643334E-1,-4.778190228E-2,-2.256610272E-1,-1.590290630E-1,2.801718263E-1
1.947123334E-1,-1.248937855E-2,-1.501510162E-1,6.561277628E-2,1.643360844E-1
2.046593333E-1,7.502861617E-3,-6.307460046E-2,2.100571293E-1,2.194508959E-1
2.146073334E-1,1.236603884E-3,8.003562576E-3,2.899903214E-1,2.901033828E-1
2.245553333E-1,1.559896552E-2,3.658493655E-2,2.856861860E-1,2.884412976E-1
2.345023333E-1,6.643831405E-3,2.726281657E-2,2.448989332E-1,2.465012964E-1
2.444503334E-1,6.578482603E-2,-4.112676588E-2,-1.430234796E-1,1.627106939E-1
2.543973333E-1,-7.281204178E-3,-8.996474840E-2,-4.931892514E-2,1.028544032E-1
2.643453334E-1,1.438640945E-2,-1.229480696E-1,-2.442808825E-1,2.738546077E-1
2.742933334E-1,2.628920491E-2,-1.061635823E-1,-6.516721845E-2,1.273129799E-1
2.842403333E-1,4.140343054E-2,-6.812433356E-2,4.197891533E-2,9.009660491E-2
2.941883334E-1,4.923731080E-2,-3.250647166E-2,1.488508147E-1,1.601172961E-1
3.041353333E-1,4.843191623E-2,-1.188744881E-2,1.966137958E-1,2.028397067E-1
3.140833334E-1,4.707739502E-2,-2.712108098E-2,1.846749508E-1,1.925010951E-1
3.240303333E-1,3.544163459E-2,-7.716212355E-2,8.218846321E-2,1.181737968E-1
3.339783333E-1,4.051405534E-3,-1.300859120E-1,-2.825023770E-2,1.331797068E-1
3.439263334E-1,-3.763578627E-2,-1.721236284E-1,-6.972629249E-2,1.894854921E-1
3.538733333E-1,-3.824350384E-2,-1.854020521E-1,-9.685912728E-2,2.126456608E-1
3.638213333E-1,-2.734616223E-2,-1.533189280E-1,-7.952213287E-4,1.557406134E-1
3.737683333E-1,1.490692813E-2,-1.060640700E-1,7.268381417E-2,1.294401031E-1
3.837163333E-1,4.202325367E-2,-5.769002748E-2,1.388456440E-1,1.561160017E-1
3.936643334E-1,6.019492441E-2,-3.106634356E-2,1.415558285E-1,1.569286436E-1
4.036113333E-1,7.061987495E-2,-1.425084769E-2,1.011679405E-1,1.241982511E-1
4.135593333E-1,7.078557956E-2,-2.734753724E-2,4.027152836E-2,8.590856805E-2
4.235063333E-1,4.660265593E-2,-6.012085207E-2,-9.715733528E-3,7.668585183E-2
4.334543333E-1,1.836966523E-2,-7.477388770E-2,-4.535275877E-2,8.936135412E-2
4.434013334E-1,8.919058390E-3,-8.184336785E-2,-2.037637711E-2,8.481204636E-2
4.533493333E-1,-4.023889359E-4,-6.557703517E-2,3.993180513E-2,7.677928445E-2
4.632973333E-1,1.061744499E-2,-5.543670699E-2,7.704876065E-2,9.551162305E-2
4.732443333E-1,9.446271675E-3,-4.196190816E-2,1.005574912E-1,1.093702099E-1
4.831923333E-1,1.068879815E-2,-5.152786617E-2,1.022210240E-1,1.149717755E-1
4.931393334E-1,9.560642985E-3,-7.769847767E-2,6.302129030E-2,1.004994645E-1
5.030873333E-1,-8.818383497E-3,-1.080113664E-1,2.336430430E-2,1.108607680E-1
5.130353333E-1,-8.709878818E-3,-1.150575993E-1,-6.725467443E-3,1.155826330E-1
5.229823334E-1,1.980787700E-3,-1.217907960E-1,-9.881209731E-3,1.222070367E-1
5.329303333E-1,2.586747448E-2,-1.085597895E-1,2.183935046E-2,1.137159240E-1
5.428773334E-1,4.659110311E-2,-8.361969715E-2,5.416451275E-2,1.099853585E-1
5.528253333E-1,5.838946410E-2,-6.561454415E-2,7.586996198E-2,1.160639869E-1
5.627723334E-1,6.249011187E-2,-4.942301929E-2,8.830172718E-2,1.189320980E-1
5.727203334E-1,5.509812123E-2,-4.708044654E-2,6.526135862E-2,9.752649044E-2
5.826683333E-1,3.745077215E-2,-6.284728539E-2,3.787826300E-2,8.238388448E-2
5.926153334E-1,1.528247126E-2,-7.449260465E-2,1.767203987E-2,7.807050063E-2
6.025633333E-1,6.367934189E-3,-7.957070131E-2,2.185806155E-2,8.276365112E-2
6.125103333E-1,-3.241655244E-3,-7.253828245E-2,3.277773678E-2,7.966612064E-2
6.224583334E-1,-8.790065615E-3,-6.816525493E-2,5.402768791E-2,8.742287054E-2
6.324053333E-1,-1.660024524E-3,-5.399609010E-2,6.106305778E-2,8.152932266E-2
6.423533334E-1,-6.421658909E-5,-5.230780708E-2,7.184649289E-2,8.887085768E-2
6.523013333E-1,1.067182638E-2,-5.698302601E-2,6.377265751E-2,8.618529444E-2
6.622483333E-1,1.588147854E-2,-6.635581578E-2,4.057733774E-2,7.938410411E-2
6.721963334E-1,2.336423121E-2,-7.266624054E-2,2.156862438E-2,7.931882105E-2
6.821433333E-1,4.061228399E-2,-8.112905737E-2,1.078752816E-2,9.136548760E-2
6.920913334E-1,3.861981328E-2,-8.137760058E-2,2.051203251E-2,9.238261380E-2
7.020383333E-1,5.223653957E-2,-8.503803067E-2,3.457926393E-2,1.056212489E-1
7.119863333E-1,6.032879367E-2,-7.355482546E-2,5.194315553E-2,1.083880395E-1
7.219343334E-1,4.686293468E-2,-7.892586306E-2,5.868207157E-2,1.089449954E-1
7.318813333E-1,2.275192724E-2,-7.917279828E-2,4.401725471E-2,9.339968358E-2
7.418293333E-1,1.511812453E-2,-7.793260384E-2,4.267531872E-2,9.012897014E-2
7.517763333E-1,-2.550573740E-3,-7.875929050E-2,4.746711195E-2,9.199270614E-2
7.617243333E-1,-8.483504778E-3,-8.530225173E-2,3.893310070E-2,9.415004160E-2
7.716723334E-1,-1.064818855E-2,-7.828219425E-2,3.593640268E-2,8.679234352E-2
7.816193333E-1,1.027387767E-3,-7.027009268E-2,5.254834235E-2,8.775118082E-2
7.915673333E-1,5.085501610E-3,-5.829251453E-2,5.269744635E-2,7.874579626E-2
8.015143333E-1,1.964074484E-2,-4.682411465E-2,6.377792001E-2,8.152226476E-2
8.114623333E-1,2.032747976E-2,-4.798819936E-2,5.285532117E-2,7.422774877E-2
