"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.194958329E-3,1.013058252E-1,1.891563848E-1,1.019468481E0,1.041805640E0
1.514295835E-2,1.763847868E-1,4.526017541E-1,6.763450956E-1,8.327080096E-1
2.508995833E-2,3.027680590E-1,5.084928035E-1,-1.160672307E-1,6.030796223E-1
3.503795833E-2,5.546613037E-2,4.064736180E-1,8.829704940E-1,9.736191181E-1
4.498495834E-2,1.798543235E-1,1.109832229E-1,1.976405668E-1,2.893555721E-1
5.493295833E-2,-1.037386323E-1,-6.403099481E-2,-4.114779210E-1,4.291570244E-1
6.487995834E-2,-4.025273961E-2,-1.224019580E-1,-1.065006012E0,1.072772263E0
7.482795833E-2,-2.466495804E-2,-2.569853107E-2,1.125659180E-1,1.180671866E-1
8.477495835E-2,4.838863313E-2,1.513085639E-1,4.771725583E-1,5.029208603E-1
9.472295834E-2,2.138796003E-1,2.880424129E-1,2.400480831E-1,4.316665348E-1
1.046699583E-1,1.997770846E-1,3.041491531E-1,2.829257154E-1,4.609387718E-1
1.146179583E-1,1.616655177E-1,1.988191828E-1,1.604136837E-1,3.023199579E-1
1.245649583E-1,1.330798874E-2,8.561339669E-2,1.378089327E-1,1.627822416E-1
1.345129583E-1,-7.007755484E-3,-2.333722439E-2,-3.990496641E-1,3.997929078E-1
1.444599583E-1,-4.927243978E-2,-7.916874178E-3,-2.082731438E-1,2.141685146E-1
1.544069583E-1,-1.541565873E-2,7.216134718E-2,9.885302782E-2,1.233564902E-1
1.643549583E-1,4.382013045E-2,1.856543229E-1,2.828982335E-1,3.412024941E-1
1.743019583E-1,1.278702009E-1,2.511916153E-1,1.477269799E-1,3.182314825E-1
1.842499583E-1,1.405840943E-1,2.388327758E-1,1.938176572E-1,3.381867334E-1
1.941969583E-1,9.738732272E-2,1.741711223E-1,7.703297317E-2,2.139017284E-1
2.041449583E-1,6.484124074E-2,1.142818565E-1,-7.613484085E-2,1.518592875E-1
2.140919583E-1,3.717439299E-2,8.150998520E-2,-1.100802666E-1,1.419277220E-1
2.240399583E-1,2.524460669E-2,9.278142527E-2,1.607399583E-3,9.616790928E-2
2.339869583E-1,4.362427157E-2,1.429242596E-1,1.296175683E-1,1.978159121E-1
2.439349583E-1,7.311372156E-2,1.786245810E-1,1.373206902E-1,2.368740787E-1
2.538819583E-1,8.098907137E-2,1.713256661E-1,1.101013166E-1,2.191666340E-1
2.638299583E-1,7.344367355E-2,1.406134583E-1,7.476074517E-2,1.753718531E-1
2.737769167E-1,3.289507852E-2,9.726196390E-2,5.461884141E-3,1.028192978E-1
2.837249167E-1,2.266357718E-2,7.774732020E-2,-2.399112582E-2,8.446216695E-2
2.936719167E-1,7.966573227E-3,8.005338896E-2,1.672596037E-2,8.216914946E-2
3.036199167E-1,1.083005523E-2,1.013003617E-1,6.229097307E-2,1.194119705E-1
3.135669167E-1,4.770806291E-2,1.342500431E-1,9.492428362E-2,1.712009140E-1
3.235149167E-1,8.144202045E-2,1.517486948E-1,9.094349921E-2,1.947593107E-1
3.334619167E-1,9.575701850E-2,1.547696039E-1,6.135892689E-2,1.920623722E-1
3.434099167E-1,1.102747962E-1,1.524278489E-1,3.397290766E-2,1.911777661E-1
3.533569167E-1,8.544981170E-2,1.360947848E-1,1.326791704E-2,1.612435996E-1
3.633049167E-1,7.047680089E-2,1.301888960E-1,2.697145164E-2,1.504778632E-1
3.732519167E-1,5.125633609E-2,1.314871606E-1,5.687001944E-2,1.521521755E-1
3.831999167E-1,4.512029540E-2,1.329709647E-1,6.734822989E-2,1.557334344E-1
3.931469167E-1,5.711746173E-2,1.362867562E-1,6.482807994E-2,1.613665526E-1
4.030949167E-1,5.875424813E-2,1.289991156E-1,5.586137474E-2,1.523592028E-1
4.130419167E-1,5.697917964E-2,1.204678452E-1,4.013470352E-2,1.391758710E-1
4.229899167E-1,4.614440781E-2,1.178343872E-1,4.174561143E-2,1.332551884E-1
4.329369167E-1,3.162127401E-2,1.132842119E-1,4.499958694E-2,1.259292677E-1
