"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.001541788E-3,-2.329529802E-1,4.258603448E-2,6.426072460E-1,6.848538048E-1
1.694954163E-2,-9.200940094E-2,4.835775252E-2,3.502680981E-1,3.653654919E-1
2.689754171E-2,4.550531628E-2,3.443840998E-3,-2.365081787E-1,2.408707380E-1
3.684654180E-2,2.978925227E-2,-7.072803017E-2,-5.014788491E-1,5.073173463E-1
4.679454165E-2,-1.674126363E-2,-4.034898570E-4,-4.586497486E-2,4.882651565E-2
5.674354173E-2,-1.237840936E-1,4.794585273E-2,3.453809953E-1,3.700126194E-1
6.669154181E-2,-1.437465518E-1,6.595005099E-2,3.407821602E-1,3.756926417E-1
7.663954166E-2,-2.657425211E-2,4.410506801E-2,8.102135897E-2,9.599952348E-2
8.658854174E-2,7.705219589E-2,-9.149750462E-3,-2.054506928E-1,2.196149949E-1
9.653654182E-2,9.499963962E-2,-3.800078044E-3,-1.309858167E-1,1.618538115E-1
1.064855417E-1,6.560918572E-2,9.548896020E-3,7.081270516E-2,9.700611258E-2
1.164335418E-1,-4.995769691E-3,-2.289742241E-3,2.510005027E-1,2.510606560E-1
1.263815418E-1,-3.212870498E-2,-1.974147912E-3,1.346596223E-1,1.384534753E-1
1.363305417E-1,-3.299565520E-2,-2.468083689E-2,-4.435873210E-2,6.054381955E-2
1.462785418E-1,-3.777052805E-2,-4.639457728E-2,-6.902053356E-2,9.133949662E-2
1.562275416E-1,-5.315850844E-2,-2.733496573E-2,6.272191286E-2,8.664332475E-2
1.661755417E-1,-5.200009279E-2,-9.854901829E-3,1.400893468E-1,1.497536438E-1
1.761245418E-1,-3.629734034E-2,-1.566304620E-3,1.153626412E-1,1.209482915E-1
1.860725416E-1,-6.931992928E-3,3.158966479E-2,2.497930527E-3,3.243761866E-2
1.960205417E-1,1.033177424E-2,9.822102604E-2,-6.304701805E-2,1.171709947E-1
2.059695418E-1,2.435588244E-2,3.462976925E-2,7.573138297E-2,8.676215934E-2
2.159175416E-1,-1.371421491E-2,6.366576310E-2,5.356751204E-2,8.432607798E-2
2.258665417E-1,-1.471088195E-2,3.317788733E-2,7.331297457E-2,8.180448946E-2
2.358145418E-1,-3.893562231E-2,-1.982689415E-2,8.842978120E-2,9.863526053E-2
2.457625417E-1,-2.560573393E-2,-2.248167624E-3,-3.804666281E-2,4.591575349E-2
2.557115417E-1,-4.416665107E-2,-6.708802879E-3,6.704183578E-2,8.056245309E-2
2.656595418E-1,-1.513961990E-2,-5.751151381E-2,8.454839945E-2,1.033693096E-1
2.756085417E-1,6.654816633E-3,-8.064357402E-2,4.921133637E-2,9.470706543E-2
2.855565418E-1,1.863466515E-2,1.077813607E-2,1.200111777E-1,1.219266244E-1
2.955055416E-1,3.773531685E-2,-2.971387801E-2,-8.490098655E-2,9.754509829E-2
3.054535417E-1,6.171279307E-3,3.166230731E-3,5.102748156E-2,5.149673368E-2
3.154015418E-1,-3.591363508E-2,6.427722654E-2,2.261662084E-1,2.378497527E-1
3.253505416E-1,1.300971678E-2,2.057836186E-2,-2.146811074E-1,2.160571674E-1
3.352985417E-1,-5.874046150E-2,5.595067268E-2,4.083251023E-1,4.163055474E-1
3.452475418E-1,-1.768022597E-2,6.196622419E-2,-3.068870205E-1,3.135794105E-1
3.551955416E-1,-4.974385327E-2,-3.050327953E-4,2.701752770E-1,2.747166254E-1
3.651435417E-1,-5.257694802E-2,7.166253400E-2,-4.671808362E-2,1.004113220E-1
3.750925418E-1,-2.493590796E-2,3.009845121E-3,8.948461890E-2,9.294275493E-2
3.850405416E-1,-2.882869178E-3,-2.258167276E-3,1.001055014E-1,1.001724596E-1
3.949895417E-1,8.396738721E-3,-1.292158371E-2,2.361164153E-2,2.819542804E-2
4.049375418E-1,4.464129880E-2,-2.551436204E-2,-3.624688983E-3,5.154577189E-2
4.148865417E-1,-1.266232822E-3,-4.787351171E-2,8.200018287E-2,9.496055212E-2
4.248345417E-1,1.022807753E-2,1.282039491E-2,2.781695902E-2,3.229178386E-2
4.347825418E-1,-4.330534707E-2,-2.562465058E-2,6.239037573E-2,8.015319573E-2
4.447315417E-1,-1.897684604E-2,6.560283601E-3,7.646345437E-2,7.905578954E-2
4.546795418E-1,-5.516877204E-2,5.186672146E-3,2.257551491E-2,5.983434507E-2
4.646285416E-1,8.265788499E-3,1.640454167E-2,3.185738504E-2,3.677397488E-2
4.745765417E-1,-2.155918661E-2,2.119960112E-2,6.134313941E-2,6.839007506E-2
4.845245418E-1,1.330482759E-2,3.511511099E-2,5.879960060E-2,6.976734543E-2
4.944735416E-1,-1.302470941E-2,5.616041870E-2,1.718321264E-2,6.015728119E-2
5.044215417E-1,1.155087302E-2,4.374666110E-2,6.388784766E-2,7.828697276E-2
5.143705418E-1,-2.859559801E-2,3.101817255E-2,4.053640723E-2,5.850671385E-2
5.243185416E-1,-7.744920356E-3,1.028008120E-2,3.499792457E-2,3.728965788E-2
5.342675417E-1,-4.927876208E-2,-1.374128569E-2,6.328616917E-2,8.137787496E-2
5.442155418E-1,-3.880405082E-2,-4.744844197E-2,8.468931735E-2,1.045437204E-1
5.541635416E-1,-3.492192904E-2,-5.160751621E-2,2.586048067E-2,6.746585297E-2
5.641125417E-1,-1.806418704E-2,-4.001659433E-2,7.525775850E-2,8.712848495E-2
5.740605418E-1,1.323529140E-2,-3.362188743E-2,3.873371065E-2,5.297079000E-2
5.840095417E-1,9.518444818E-3,-1.829884768E-2,6.388083100E-2,6.712830392E-2
5.939575417E-1,3.589446718E-2,1.984561438E-2,3.095165133E-2,5.138351783E-2
6.039055418E-1,1.786886263E-2,2.083720622E-2,3.993823707E-2,4.846182204E-2
6.138545417E-1,-9.141345089E-3,4.050927250E-2,3.171120465E-2,5.225098897E-2
6.238025418E-1,-3.968851528E-2,4.200963606E-2,3.874949813E-2,6.958096990E-2
6.337515416E-1,-5.513571700E-2,5.197618316E-2,4.383832991E-2,8.754010552E-2
