"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.388750039E-3,5.915353074E-2,1.324375159E-1,2.713850659E-1,3.077152739E-1
8.559250040E-3,-7.005444006E-2,-1.476092133E-2,5.354587734E-1,5.402236642E-1
1.850824989E-2,-2.816119557E-2,-7.259011711E-2,4.345592201E-2,8.916723162E-2
2.845624997E-2,1.214978962E-1,-3.976475292E-2,-1.327914369E-1,1.843272635E-1
3.840525006E-2,2.257948919E-2,-4.553376663E-2,2.176158249E-2,5.528764517E-2
4.835324991E-2,-1.176246640E-1,-2.641614888E-2,1.114537776E-1,1.641807511E-1
5.830224999E-2,-1.125201452E-1,1.173916707E-2,1.677238727E-1,2.023113654E-1
6.825025007E-2,-1.240585929E-1,1.823520896E-2,1.518118447E-1,1.969007200E-1
7.819924993E-2,-4.575592428E-2,5.011063814E-2,4.654325187E-2,8.228581261E-2
8.814725000E-2,5.356943065E-2,4.244289190E-2,4.245078564E-4,6.834663986E-2
9.809525008E-2,1.022884315E-1,4.427376932E-2,-4.356175661E-3,1.115440098E-1
1.080442499E-1,7.732700589E-2,3.187495866E-2,-2.244219840E-2,8.659752363E-2
1.179922500E-1,5.263534709E-2,2.229155037E-2,4.374535918E-2,7.197950702E-2
1.279412501E-1,-4.801166131E-2,-1.436679158E-3,7.204822183E-2,8.659174289E-2
1.378892499E-1,-8.688350329E-2,-1.408202761E-2,9.255499184E-2,1.277242074E-1
1.478382500E-1,-1.035932651E-1,-3.000986132E-2,7.278438628E-2,1.301142699E-1
1.577862499E-1,-8.566759307E-2,-4.358997399E-2,6.738623679E-2,1.173879348E-1
1.677352500E-1,-5.237525563E-2,-2.960078920E-2,3.490027606E-2,6.955144422E-2
1.776832500E-1,-1.621832156E-2,-2.250747708E-2,2.426945329E-2,3.685955563E-2
1.876312499E-1,1.955435908E-2,1.548790382E-2,4.433534324E-2,5.087111935E-2
1.975802500E-1,3.885045396E-3,2.742592191E-2,-5.867739379E-2,6.488691172E-2
2.075282501E-1,1.771729001E-1,-2.742933888E-2,5.451774305E-1,5.738998483E-1
2.174772499E-1,2.084082875E-2,1.630367720E-2,-6.035548621E-1,6.041346056E-1
2.274252500E-1,1.314394876E-1,-2.634927592E-2,2.005916566E-1,2.412625871E-1
2.373742501E-1,-1.354200984E-1,1.620711135E-2,6.076461589E-1,6.227641030E-1
2.473222499E-1,1.414468875E-2,1.145864690E-2,-1.006153786E0,1.006318446E0
2.572712500E-1,-2.701586490E-1,3.361453730E-2,9.519746554E-1,9.901370497E-1
2.672192501E-1,-1.199430211E-1,2.050306069E-2,-5.659210128E-1,5.788551602E-1
2.771682499E-1,-4.111140780E-2,2.477180677E-2,6.412945461E-1,6.430882406E-1
2.871162500E-1,-7.049523789E-2,-1.594100822E-2,-2.751535964E-1,2.844876024E-1
2.970642501E-1,2.042392959E-1,-6.524428292E-3,1.255631089E-1,2.398381797E-1
3.070132500E-1,8.655798697E-2,-2.177746134E-2,-8.130494893E-2,1.207354035E-1
3.169612500E-1,1.319994041E-1,-5.827228225E-2,1.411646497E-1,2.018587623E-1
3.269102499E-1,4.445638974E-2,-4.483210989E-3,-1.200018221E-1,1.280504084E-1
3.368582500E-1,-1.350796991E-1,-6.417785129E-2,1.749001604E-1,2.301203768E-1
3.468072501E-1,-6.501088765E-2,3.607786875E-2,-8.311232328E-3,7.481380027E-2
3.567552499E-1,-2.042155050E-1,-2.699222296E-2,1.654533988E-1,2.642108623E-1
3.667042500E-1,-5.174404870E-2,3.456830496E-2,2.666915059E-2,6.770271691E-2
3.766522501E-1,-4.467767031E-2,1.764604717E-2,8.008755863E-2,9.338894074E-2
3.866012499E-1,1.155268932E-1,3.180643204E-2,1.781003416E-2,1.211416917E-1
3.965492500E-1,3.158472206E-2,2.869746291E-2,-5.681739450E-3,4.305137870E-2
4.064972501E-1,1.076767869E-1,2.734223820E-2,2.202587664E-2,1.132564685E-1
4.164462499E-1,1.482155878E-2,9.611840383E-3,4.224437892E-2,4.578923051E-2
4.263942500E-1,-1.052512522E-2,-5.678592003E-3,6.695120394E-2,6.801094307E-2
4.363432501E-1,-8.534184834E-2,-2.030589532E-2,6.096833289E-2,1.068302302E-1
4.462912499E-1,-1.203854086E-1,-2.875624113E-2,5.003930211E-2,1.335046807E-1
4.562402500E-1,-9.794528414E-2,-3.783612650E-2,7.383279204E-2,1.283593874E-1
4.661882499E-1,-9.795484981E-2,-2.980625488E-2,3.879101336E-2,1.094911327E-1
4.761372500E-1,-8.331944263E-3,2.504367032E-3,7.380764902E-2,7.431865313E-2
4.860852500E-1,5.462109807E-2,-6.226690812E-4,3.262921751E-2,6.362796481E-2
4.960332499E-1,1.143576053E-1,1.535720485E-2,5.627769649E-2,1.283771193E-1
5.059822500E-1,9.767396419E-2,1.394972522E-2,-3.288474083E-3,9.871986718E-2
5.159302501E-1,7.624089472E-2,1.352581579E-2,3.475292623E-2,8.487277303E-2
5.258792499E-1,-1.936738523E-2,5.506094573E-3,2.504713297E-2,3.213676334E-2
5.358272500E-1,-9.539202433E-2,2.152323537E-3,3.733622611E-2,1.024610393E-1
5.457762501E-1,-1.409182535E-1,4.264410920E-3,6.787447929E-2,1.564707139E-1
5.557242499E-1,-1.297759182E-1,-9.978638962E-5,8.956472576E-2,1.576820820E-1
5.656732500E-1,-8.503067597E-2,1.045454750E-3,7.532149315E-2,1.135985746E-1
5.756212501E-1,-4.008986268E-2,1.220551450E-3,4.970718026E-2,6.387089012E-2
5.855702499E-1,6.526295747E-2,9.877176066E-3,2.919046998E-2,7.217268016E-2
5.955182500E-1,9.157093286E-2,-2.952300296E-3,2.889226198E-2,9.606619917E-2
6.054662501E-1,1.164252813E-1,1.071528764E-2,1.378188729E-2,1.177268191E-1
6.154152500E-1,6.600457627E-2,-2.766002524E-3,3.115864277E-2,7.304187756E-2
6.253632500E-1,2.203426374E-2,-1.408013184E-2,5.168120027E-2,5.791981830E-2
6.353122499E-1,-7.943889228E-2,-3.194705300E-2,3.522596598E-2,9.258520660E-2
6.452602500E-1,-1.076590625E-1,-2.592834034E-2,4.586029708E-2,1.198579135E-1
6.552092500E-1,-1.242315426E-1,-2.641077218E-2,5.917908490E-2,1.401184112E-1
6.651572499E-1,-9.444405363E-2,-6.927031931E-4,5.512404084E-2,1.093563852E-1
6.751062500E-1,-4.889737744E-2,1.576884426E-2,5.825171649E-2,7.767156780E-2
6.850538333E-1,1.766338781E-2,1.257596759E-2,5.419842660E-2,5.837482057E-2
6.950018334E-1,6.984221354E-2,2.114117007E-2,4.386698127E-2,8.514220992E-2
7.049508332E-1,7.996382606E-2,3.535593405E-2,1.797784925E-2,8.926062186E-2
7.148988333E-1,5.019248089E-2,2.061937460E-2,2.083421409E-2,5.812493633E-2
7.248478334E-1,-1.568579553E-3,1.100502174E-2,4.180408359E-2,4.325681853E-2
7.347958332E-1,-4.368585463E-2,9.921994060E-5,5.154086709E-2,6.756422663E-2
7.447448333E-1,-9.575212145E-2,-2.072572083E-2,6.426499307E-2,1.171666062E-1
7.546928334E-1,-8.974743297E-2,-3.400767575E-2,6.156474888E-2,1.140234276E-1
7.646418333E-1,-6.140591475E-2,-2.057672647E-2,5.212324977E-2,8.313195057E-2
7.745898333E-1,-2.554463966E-2,-2.080868734E-2,4.956801653E-2,5.951905868E-2
7.845388334E-1,2.444936480E-2,-1.265456239E-2,4.462068737E-2,5.243009755E-2
7.944868333E-1,5.433313183E-2,-5.645345100E-3,3.504060924E-2,6.489840855E-2
8.044348333E-1,5.486107145E-2,7.375860550E-3,3.130599260E-2,6.359406932E-2
8.143838334E-1,3.182172616E-2,1.493353296E-2,3.371212184E-2,4.870461807E-2
8.243318333E-1,-8.717595544E-3,1.396342963E-2,4.270572424E-2,4.576846864E-2
8.342808334E-1,-5.983791078E-2,1.413692292E-2,4.151698530E-2,7.418954256E-2
8.442288332E-1,-9.524601753E-2,1.202799212E-2,4.885348678E-2,1.077178705E-1
8.541778333E-1,-9.634015949E-2,1.139142219E-2,5.902413368E-2,1.135563261E-1
8.641258334E-1,-6.613846838E-2,2.206149898E-3,6.155480862E-2,9.037786543E-2
8.740748332E-1,-2.081006692E-2,-7.083796696E-3,5.330964983E-2,5.766418148E-2
8.840228333E-1,3.724125453E-2,-1.159374956E-2,4.387165904E-2,5.870305388E-2
8.939708334E-1,6.856802302E-2,-9.306661407E-3,4.641636729E-2,8.332266727E-2
9.039198332E-1,6.689170852E-2,-1.729746175E-2,2.786256731E-2,7.449849333E-2
9.138678333E-1,4.114244373E-2,-2.798565120E-2,3.880387723E-2,6.310022375E-2
9.238168334E-1,-1.088744245E-2,-1.733146240E-2,5.258927286E-2,5.643179610E-2
9.337648333E-1,-4.987659420E-2,-1.528350252E-2,5.065209031E-2,7.271103321E-2
9.437138333E-1,-9.274738351E-2,-4.927832354E-3,5.768921435E-2,1.093362069E-1
9.536618334E-1,-9.491198620E-2,9.851361522E-3,6.471990645E-2,1.152996129E-1
9.636108333E-1,-6.015556077E-2,2.312165856E-2,4.914175451E-2,8.104452247E-2
9.735588334E-1,-1.999360375E-2,2.960976559E-2,4.808165431E-2,5.990265345E-2
9.835078332E-1,3.031453324E-2,3.205367790E-2,4.627661884E-2,6.393695835E-2
9.934558333E-1,6.388877956E-2,2.674155557E-2,3.938918352E-2,7.967681423E-2
1.003403833E0,6.886785728E-2,1.618180387E-2,2.442498922E-2,7.484124960E-2
