"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.450257110E-1,-5.655670166E-2,-4.832010269E-1,5.533666611E-1,7.368151427E-1
1.649688270E-1,-8.910655975E-3,-3.543343544E-1,4.386911392E-1,5.639877216E-1
1.849324500E-1,7.117724419E-2,-1.985669136E-2,1.517696381E-1,1.688031733E-1
2.048871630E-1,-2.218174934E-2,8.567976952E-2,-8.535385132E-2,1.229566299E-1
2.248473270E-1,-2.257227898E-1,-8.583664894E-2,4.564285278E-3,2.415357961E-1
2.448254370E-1,-3.266122341E-1,-2.117724419E-1,2.583761215E-1,4.672058848E-1
2.647880430E-1,-4.854767323E-1,-1.877596378E-1,3.585014343E-1,6.320321333E-1
2.847505270E-1,-6.237523556E-1,-2.667753696E-1,2.036876678E-1,7.083253242E-1
3.046980780E-1,-5.809323788E-1,-2.411570549E-1,2.957086563E-1,6.950415551E-1
3.246614980E-1,-1.482489109E-1,-6.412315369E-2,6.200895309E-1,6.407811989E-1
3.446229650E-1,3.916335106E-2,-1.804451942E-1,6.834592819E-1,7.079624469E-1
3.645810140E-1,2.070119381E-1,-1.078898907E-1,5.635766983E-1,6.100105457E-1
3.845636400E-1,2.446103096E-1,-1.354672909E-1,-7.798194885E-3,2.797255839E-1
4.045105400E-1,1.195228100E-1,-3.988885880E-2,-4.849338531E-1,5.010365906E-1
4.244733500E-1,1.675436497E-1,1.692299843E-1,-4.770936966E-1,5.332242094E-1
4.444517030E-1,-3.195512295E-1,-9.092833996E-1,-5.864801407E-1,1.128214627E0
4.644003530E-1,-6.583200693E-1,-7.163376808E-1,-7.297515869E-2,9.756281876E-1
4.843715850E-1,-7.909995317E-1,-4.552676678E-1,-6.363391876E-2,9.148760485E-1
5.043538850E-1,-9.345192313E-1,-4.491300583E-1,-8.663272858E-2,1.040456262E0
5.242969200E-1,-8.210207224E-1,-2.940135002E-1,3.771142960E-1,9.501232326E-1
5.442790170E-1,-4.198708534E-1,-1.741666794E-1,2.145252228E-1,5.026396691E-1
5.642420710E-1,-5.269182920E-1,-1.661052704E-1,9.147357941E-2,5.600011277E-1
5.841847390E-1,-1.598394513E0,-8.472058773E-1,3.290405273E-1,1.838719796E0
6.041671200E-1,-1.561312795E0,-1.281961441E0,5.732831955E-1,2.099946762E0
6.241103170E-1,-1.208116651E0,-1.133141756E0,6.349143982E-1,1.773886235E0
6.440917230E-1,-8.985500336E-1,-7.009439468E-1,3.375196457E-1,1.188542843E0
6.640527830E-1,-4.962748885E-1,-1.486725807E-1,2.856349945E-2,5.188527486E-1
6.840187660E-1,-1.535618305E-2,2.378368378E-2,2.259540558E-2,3.622193155E-2
7.039607830E-1,-1.383422017E-1,-1.729609966E-1,2.032594681E-1,3.006135102E-1
7.239126470E-1,-5.312680006E-1,-5.125968456E-1,3.271045685E-1,8.074643109E-1
7.438907160E-1,-7.081984282E-1,-6.171996593E-1,3.623905182E-1,1.006879993E0
7.638533630E-1,-7.076303959E-1,-5.222434998E-1,1.334524155E-1,8.895440391E-1
7.838158470E-1,-5.732309818E-1,-3.607952595E-1,-5.768871307E-2,6.797756729E-1
8.037786160E-1,-4.380289614E-1,-2.875444889E-1,4.879570007E-2,5.262435030E-1
8.237411820E-1,-4.160234630E-1,-2.934801579E-1,1.512460709E-1,5.311134519E-1
8.437044390E-1,-4.715098441E-1,-4.319729805E-1,1.897754669E-1,6.670359187E-1
8.636666390E-1,-5.765501261E-1,-5.427772999E-1,1.280374527E-1,8.021289388E-1
8.836290410E-1,-6.015145779E-1,-4.721441269E-1,-4.342460632E-2,7.659148519E-1
9.035918100E-1,-4.509432912E-1,-2.846400738E-1,-7.142257690E-2,5.380250997E-1
9.235544570E-1,-3.447782695E-1,-2.897853851E-1,6.990718842E-2,4.557791566E-1
9.435308170E-1,-3.918444514E-1,-5.169875622E-1,3.448152542E-1,7.346535055E-1
9.635112050E-1,-3.719514608E-1,-5.453212261E-1,3.005151749E-1,7.252809795E-1
9.834563550E-1,-2.831488252E-1,-3.430259228E-1,-5.407238007E-2,4.480668066E-1
1.003419205E0,-6.207491457E-2,-1.356232166E-1,-2.912216187E-1,3.271956343E-1
1.023381975E0,1.453202069E-1,-3.534197807E-2,-3.002710342E-1,3.354544857E-1
1.043342180E0,1.263681948E-1,-1.117434502E-1,-3.021068573E-1,3.460116653E-1
1.063307065E0,-7.511186600E-2,-2.314603329E-1,-1.961097717E-1,3.125295517E-1
1.083269387E0,-3.355719447E-1,-4.833531380E-1,9.281349182E-2,5.956955013E-1
