"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.195624995E-3,-8.214460909E-3,3.340181285E-2,1.405261338E-2,3.715688917E-2
1.516362499E-2,-6.465768842E-2,2.932711210E-2,-1.193510270E-1,1.388717532E-1
2.513062500E-2,-2.628919121E-2,1.952207606E-2,-2.222292781E-2,3.957387457E-2
3.509862500E-2,-1.692591688E-2,4.882694590E-3,2.955182791E-2,3.440403903E-2
4.506562500E-2,-3.441238074E-2,1.403497923E-2,2.309942544E-2,4.375815404E-2
5.503362500E-2,-2.634843081E-2,1.319688022E-2,2.637386620E-2,3.954716516E-2
6.500062499E-2,-3.013768237E-2,2.174135021E-2,-1.485777497E-3,3.719104385E-2
7.496862501E-2,-2.642552270E-2,1.420356976E-2,-3.188720584E-2,4.378177178E-2
8.493562500E-2,-3.344340574E-2,8.393593559E-3,-3.743328989E-2,5.089366357E-2
9.490362499E-2,-3.202167353E-2,2.696555417E-3,-2.187151015E-2,3.887186570E-2
1.048706250E-1,-3.019116612E-2,-1.138616427E-2,-1.319775045E-2,3.486161020E-2
1.148386250E-1,-2.783214351E-2,5.657542027E-3,1.582782805E-2,3.251393755E-2
1.248056250E-1,-1.746132083E-2,9.883540623E-3,2.644695640E-2,3.319674085E-2
1.347736250E-1,5.244057085E-3,2.876922377E-2,7.276859879E-3,3.013504705E-2
1.447406250E-1,1.423844520E-2,3.546922614E-2,1.669906318E-2,4.170920804E-2
1.547086250E-1,3.849148974E-3,1.979860368E-2,-1.473790705E-2,2.498012329E-2
1.646756250E-1,3.614328448E-3,-2.705140089E-3,-2.371396780E-2,2.413987203E-2
1.746436250E-1,-5.476228092E-3,-1.201975006E-2,-1.903794944E-2,2.317125341E-2
1.846106250E-1,-1.006086360E-1,-7.975217513E-2,-3.685675442E-2,1.335699346E-1
1.945786250E-1,2.340894414E-2,2.899724006E-2,-2.346253753E-2,4.403758922E-2
2.045456250E-1,-2.111813296E-3,-4.962257836E-3,4.475458860E-2,4.507834246E-2
2.145136250E-1,-2.700896153E-1,-1.012215156E-1,8.825962722E-2,3.016354709E-1
2.244806250E-1,-5.771170420E-1,-5.764521771E-1,1.276061261E-1,8.256176573E-1
2.344486250E-1,-2.676393761E-1,-1.452751108E0,7.231017709E-2,1.478967673E0
2.444156250E-1,1.144174096E0,-1.793046049E0,2.768446112E-1,2.144945555E0
2.543836250E-1,2.280239857E0,-1.004446180E0,2.449807942E-1,2.503681594E0
2.643506250E-1,2.112659388E0,3.246482304E-1,1.770186067E-1,2.144775454E0
2.743186250E-1,8.013170511E-1,1.550672235E0,2.666885823E-1,1.765733898E0
2.842856250E-1,-4.432837044E-1,1.564712570E0,3.915207893E-1,1.672756526E0
2.942536250E-1,-1.090077338E0,5.301570299E-1,9.680504054E-1,1.551275819E0
3.042206250E-1,-1.015388148E0,1.296493442E-1,1.685894945E0,1.972324468E0
3.141886250E-1,-5.528581137E-1,5.025245870E-1,3.028427938E0,3.119224075E0
3.241566250E-1,4.844315842E-1,1.124195987E0,2.890202098E0,3.138751145E0
3.341236250E-1,2.110691800E0,1.681003456E0,1.940433598E0,3.323563606E0
3.440916250E-1,1.804414059E0,2.272716391E0,1.994860066E0,3.521450919E0
3.540586250E-1,1.195713793E0,2.360318353E0,1.702671776E0,3.146414686E0
3.640266250E-1,1.046391108E0,1.782763427E0,5.605421591E-1,2.141818690E0
3.739936250E-1,1.682715521E0,1.322055313E0,-5.039101213E-1,2.198473831E0
3.839616250E-1,2.500966401E0,7.031222735E-1,-2.369653725E0,3.516315209E0
3.939286250E-1,1.949960174E0,-1.440964729E0,-4.384627628E0,5.010357618E0
4.038966250E-1,1.159793471E0,-2.888423375E0,-3.271677956E0,4.515748790E0
4.138636250E-1,-2.380541825E-1,-8.582482470E-1,-7.399183631E-1,1.157902859E0
4.238316250E-1,-1.719883055E0,1.015532720E-1,6.834325057E-1,1.853480720E0
4.337986250E-1,2.938448060E-1,-2.666582499E-1,8.678501791E-1,9.542616651E-1
4.437666250E-1,1.158155665E0,-4.792641073E-1,-5.110665286E-1,1.353590642E0
4.537336250E-1,7.916077495E-1,-8.026981634E-1,-7.816493565E-1,1.371839235E0
4.637016250E-1,1.125723499E-1,-2.311329795E-1,-1.082752311E-1,2.789596994E-1
4.736686250E-1,-4.813691050E-1,2.115736046E-1,5.063045561E-1,7.299478810E-1
4.836366250E-1,-1.223367907E0,3.003375542E-1,1.062340266E0,1.647846633E0
4.936036250E-1,-1.981524321E0,5.685847118E-2,1.440621790E0,2.450522936E0
5.035716250E-1,-2.473252353E0,-3.435321788E-1,1.675197464E0,3.006871813E0
5.135386250E-1,-2.688870769E0,-5.323578487E-1,1.577577614E0,3.162622649E0
5.235066250E-1,-2.737749399E0,-3.485613690E-1,1.001959578E0,2.936101122E0
5.334736250E-1,-2.605991165E0,-3.469773582E-1,5.050579298E-1,2.677063083E0
5.434416250E-1,-2.528910829E0,-3.352934519E-1,3.534758806E-1,2.575413924E0
5.534086250E-1,-2.679877167E0,3.840348914E-2,5.314388126E-1,2.732333008E0
5.633766250E-1,-2.857514409E0,6.422970513E-1,1.089779495E0,3.124988551E0
5.733436250E-1,-2.171189286E0,7.753182837E-1,2.600129916E0,3.475033372E0
5.833116250E-1,-1.072860577E0,5.584977532E-1,4.320858479E0,4.486955265E0
5.932786250E-1,-4.979868919E-1,1.004571475E-1,3.840348914E0,3.873804637E0
6.032466250E-1,-3.304284954E-1,-2.676467034E-1,3.232475006E0,3.260323974E0
6.132136250E-1,-1.658890164E0,-8.165271939E-1,1.856020269E0,2.619817641E0
6.231816250E-1,-1.792881449E0,-8.454896955E-1,3.622333140E0,4.129234081E0
6.331486250E-1,-1.050159931E-3,-9.836057532E-1,8.659039918E0,8.714726254E0
6.431166250E-1,-1.224852515E0,-3.809437243E-1,4.879548532E0,5.045332069E0
6.530836250E-1,-1.611897846E0,9.374210818E-1,2.645425957E0,3.236549311E0
6.630516250E-1,-8.236072218E-1,4.188161036E-1,1.894875455E0,2.108148186E0
6.730186250E-1,-1.115076304E0,-2.129080306E-1,1.722561080E0,2.062993375E0
6.829866250E-1,-2.342213911E0,-8.491393083E-1,1.259207246E0,2.791524039E0
6.929536250E-1,-1.465180095E0,-1.546406253E0,1.010935639E0,2.357989796E0
7.029216250E-1,6.252451086E-1,-1.233134018E-1,2.439750731E0,2.521610848E0
7.128896250E-1,-2.358201953E0,1.965399162E0,1.655968895E0,3.487999899E0
7.228566250E-1,-3.645922562E0,1.350309497E0,2.240465050E0,4.487289907E0
7.328246250E-1,-1.302276083E0,2.055779154E-2,2.772414617E0,3.063107642E0
7.427916250E-1,-1.533724666E-2,-1.000062449E0,2.896608308E0,3.064424876E0
7.527596250E-1,-1.810433037E0,-7.600720344E-1,3.891295704E0,4.358618994E0
7.627266250E-1,-2.421159509E0,1.630552730E-1,4.871518258E0,5.442452621E0
7.726946250E-1,-2.868567985E0,2.818422447E-1,5.661402249E0,6.352920018E0
7.826616250E-1,-3.118638196E0,3.398718309E-2,6.440120396E0,7.155571958E0
7.926296250E-1,-2.513325661E0,1.858043680E-2,7.120648005E0,7.551210441E0
8.025966250E-1,-1.170238644E0,9.588220373E-2,7.826907456E0,7.914488752E0
8.125646250E-1,5.035490558E-1,1.290612422E-1,8.030082997E0,8.046890791E0
8.225316250E-1,5.789439680E-2,2.365022584E-1,1.711477098E0,1.728710194E0
8.324996250E-1,-1.594766673E1,4.056536922E-1,-2.896602110E1,3.306845941E1
8.424666250E-1,-3.370783584E0,1.226931402E-1,5.456847349E0,6.415170970E0
8.524346250E-1,-2.687612156E0,1.285155143E-1,8.252374256E-1,2.814390191E0
8.624016250E-1,-3.324826223E0,3.165273249E-2,-8.723414254E-1,3.437506490E0
8.723696250E-1,-2.936650333E0,-1.406608938E-2,2.832765484E-1,2.950315006E0
8.823366250E-1,-2.730146849E0,-7.122550945E-2,8.764976263E-2,2.732481907E0
8.923046250E-1,-2.538786192E0,-2.267147686E-1,-2.316269231E-1,2.559391714E0
9.022716250E-1,-2.211785481E0,-2.817590497E-1,4.557442671E-1,2.275760535E0
9.122396250E-1,-1.832055748E0,-3.241777488E-1,-2.070779729E-1,1.872004477E0
9.222066250E-1,-1.056418864E0,-3.047588715E-1,-3.310149711E-1,1.148246357E0
9.321746250E-1,1.146228131E-1,9.562799603E-2,2.129555941E-1,2.600638152E-1
9.421412500E-1,-8.004876601E-2,4.163679840E-2,-3.025688517E-1,3.157361841E-1
9.521092500E-1,-4.285334359E-2,-1.557478979E-2,-1.650002396E-1,1.711842931E-1
9.620762500E-1,1.580856878E-2,-5.965924180E-2,1.813806295E-1,1.915934987E-1
9.720442500E-1,-2.067358925E-2,-3.817394025E-2,-9.449568272E-2,1.039907739E-1
9.820112500E-1,-6.289864495E-2,1.421441680E-2,8.788365126E-3,6.508090767E-2
9.919792500E-1,-8.775543278E-2,5.693004476E-2,5.560702085E-4,1.046057130E-1
1.001946250E0,-9.693522331E-2,5.308484266E-2,-1.567656058E-1,1.918069165E-1
1.011914250E0,-9.669048993E-2,1.657371350E-2,-8.760766268E-2,1.315250599E-1
1.021881250E0,-7.399661458E-2,-5.092668104E-2,-1.892439651E-1,2.094810353E-1
1.031849250E0,-4.740761196E-2,-8.825331406E-2,-1.175378054E-1,1.544385471E-1
1.041816250E0,-7.191989828E-2,-8.189422036E-2,3.664566994E-2,1.149871307E-1
1.051784250E0,-1.139748868E-1,-1.984440839E-2,-6.244592428E-2,1.314669876E-1
1.061751250E0,-1.485028871E-1,4.014866374E-2,-3.166851997E-3,1.538669933E-1
1.071719250E0,-1.491670760E-1,6.165424783E-2,3.395595074E-2,1.649395932E-1
