"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.442333331E-3,8.137845939E-2,3.257947963E-2,-1.137435472E-1,1.436017781E-1
1.440933332E-2,7.258556267E-2,1.870135082E-2,5.706239283E-2,9.420467667E-2
2.437733332E-2,7.668232296E-2,1.953675348E-2,-3.753386199E-2,8.758227096E-2
3.434433333E-2,6.016172776E-2,-1.457954801E-2,-3.363727748E-2,7.045184982E-2
4.431133333E-2,4.833193341E-2,-2.819309944E-2,3.784902692E-3,5.608165593E-2
5.427833332E-2,3.695115041E-2,-3.398721507E-2,1.875669837E-2,5.359414183E-2
6.424533333E-2,1.094339300E-2,-1.822917902E-2,2.534300208E-2,3.308063743E-2
7.421333333E-2,-1.159448046E-3,7.142958641E-3,1.576643229E-2,1.734781153E-2
8.418033333E-2,-1.745790387E-2,2.135530150E-2,1.703293920E-3,2.763563858E-2
9.414733332E-2,-3.467596225E-2,1.989922604E-2,-6.227284670E-3,4.046208879E-2
1.041143333E-1,-5.318870382E-2,1.004279388E-2,-3.002603710E-2,6.189877888E-2
1.140823333E-1,-6.832274146E-2,-1.289822683E-2,-4.425172806E-3,6.967024767E-2
1.240493333E-1,-6.525229543E-2,-2.846905148E-2,3.809460998E-3,7.129418591E-2
1.340163333E-1,-7.007164367E-2,-2.882766852E-2,8.600669503E-3,7.625641766E-2
1.439833333E-1,-6.782428460E-2,-1.422374493E-2,2.312222958E-2,7.305536258E-2
1.539503333E-1,-5.775207192E-2,-8.312712405E-3,6.358262300E-3,5.869267840E-2
1.639183333E-1,-5.790060947E-2,-3.414746532E-3,8.155111670E-3,5.857172455E-2
1.738853333E-1,-4.977440497E-2,-9.223242654E-3,-1.549278259E-2,5.293945511E-2
1.838523333E-1,-4.779906934E-2,-1.492192989E-2,-2.252698302E-2,5.490792280E-2
1.938193333E-1,-3.489060989E-2,-1.485415701E-2,-6.357677579E-3,3.845023671E-2
2.037863333E-1,-2.350111088E-2,-1.499217871E-2,-2.765148282E-3,2.801274138E-2
2.137543333E-1,-7.146978602E-3,1.643168097E-3,1.340006411E-2,1.527550401E-2
2.237213333E-1,2.023005053E-2,2.436240574E-2,1.983726382E-2,3.736708169E-2
2.336883333E-1,2.564990781E-2,1.348087446E-2,8.256268501E-4,2.898850473E-2
2.436553333E-1,2.127909584E-2,-2.341133785E-3,-2.171071172E-3,2.151730413E-2
2.536218333E-1,2.536686603E-2,-2.457931917E-2,-4.567844868E-3,3.561581151E-2
2.635898333E-1,3.249613853E-2,-3.029246913E-2,-8.459751606E-3,4.522388863E-2
2.735568333E-1,3.387794523E-2,-2.280647079E-2,1.414733827E-2,4.322033622E-2
2.835238333E-1,3.772745965E-2,-5.089571821E-3,-5.161921978E-3,3.841757920E-2
2.934908333E-1,3.146198535E-2,1.328946037E-2,1.055714786E-2,3.574800205E-2
3.034588333E-1,1.588535003E-2,1.732912808E-2,1.250310123E-2,2.662650120E-2
3.134258333E-1,1.427806009E-2,1.306302695E-2,5.915628076E-3,2.023611446E-2
3.233928333E-1,3.229746111E-3,-6.009110436E-4,8.609440327E-3,9.214923590E-3
3.333598333E-1,-2.105213251E-2,-4.966222979E-3,3.966751099E-3,2.199069731E-2
3.433268333E-1,-1.843005829E-2,-1.282153694E-2,-7.860996723E-3,2.378768857E-2
3.532948333E-1,-1.911747158E-2,-6.899952013E-3,1.399355650E-2,2.467603454E-2
3.632618333E-1,-3.269545550E-2,-3.882861827E-3,8.606516719E-3,3.403147890E-2
3.732288333E-1,-3.969946967E-2,-2.745085023E-3,-5.015156865E-3,4.010904116E-2
3.831958333E-1,-4.876015060E-2,-4.764512312E-3,8.007177114E-3,4.964239870E-2
3.931628333E-1,-5.040118994E-2,-6.239043055E-3,7.659852505E-5,5.078593775E-2
4.031308333E-1,-5.405279439E-2,-8.226292385E-3,2.216094732E-4,5.467563972E-2
4.130978333E-1,-6.278314417E-2,-1.641153549E-2,-1.576994061E-3,6.491185253E-2
4.230648333E-1,-5.402942380E-2,-1.215989708E-2,-7.114307284E-3,5.583596602E-2
4.330318333E-1,-5.231034240E-2,7.074372629E-3,-4.716948867E-3,5.299687044E-2
4.429988333E-1,-4.388686180E-2,1.714789180E-2,6.810836792E-3,4.760771292E-2
4.529668333E-1,-2.952951713E-2,6.569666555E-3,1.055013120E-2,3.203838586E-2
4.629338333E-1,-2.099188792E-2,-1.860647061E-2,1.069631159E-2,3.002117900E-2
4.729008333E-1,-1.412568530E-2,-1.795447866E-2,-2.479804158E-3,2.297928888E-2
4.828678333E-1,-7.294675615E-3,-2.361560667E-2,9.577739239E-4,2.473512688E-2
4.928348333E-1,5.478877611E-3,-2.363794486E-2,9.201763272E-3,2.595078003E-2
5.028028333E-1,-2.739201263E-3,-1.326471934E-2,-3.079143763E-3,1.389018103E-2
5.127698333E-1,2.380419765E-2,-8.917762181E-3,-7.421286106E-3,2.648097044E-2
5.227368333E-1,1.455560183E-2,2.553725755E-3,-1.886311769E-3,1.489782642E-2
5.327038333E-1,1.478704194E-2,1.993599040E-3,6.046605706E-3,1.609945611E-2
5.426708333E-1,1.610432826E-2,4.576588282E-3,3.948040009E-3,1.720120836E-2
5.526388333E-1,1.514090812E-2,-6.119522313E-3,-4.886518121E-3,1.704622279E-2
5.626058333E-1,8.775482979E-3,-7.245230097E-3,3.345776796E-3,1.186156326E-2
5.725728333E-1,9.185793065E-3,4.408343788E-3,1.172776043E-2,1.553552876E-2
5.825398333E-1,-3.279557079E-4,1.313924175E-3,-2.196798921E-3,2.580673784E-3
5.925078333E-1,1.488481835E-3,8.812375255E-3,-4.149768949E-3,9.853634768E-3
6.024748333E-1,-5.455708019E-3,4.844134944E-3,1.141493440E-2,1.354736582E-2
