"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.085458338E-3,-1.753505057E-2,-3.619534525E-2,-1.517060101E-2,4.298520852E-2
1.105245834E-2,-4.237669959E-2,-8.438674221E-4,-1.245930558E-1,1.316051912E-1
2.102045834E-2,-1.174634362E-2,5.663176367E-2,-1.018362772E-1,1.171143057E-1
3.098845834E-2,5.594149986E-3,8.921934717E-2,-3.611825109E-2,9.641532288E-2
4.095545835E-2,-5.789383035E-3,6.022813477E-2,-4.978904128E-3,6.071025169E-2
5.092345834E-2,-2.762132398E-2,8.046940465E-3,7.016658783E-2,7.583561720E-2
6.089045834E-2,-4.895199409E-2,-3.282437746E-2,7.824685514E-2,9.796074632E-2
7.085845833E-2,-6.169697818E-2,-4.220766024E-2,1.822050869E-2,7.694147540E-2
8.082545834E-2,-4.491540531E-2,-1.460682664E-2,-1.576116979E-2,4.979123910E-2
9.079345834E-2,-3.502853109E-2,4.103768720E-2,-6.680326939E-2,8.587063853E-2
1.007614583E-1,-8.508977853E-3,7.079795921E-2,-8.236680329E-2,1.089451422E-1
1.107284583E-1,-4.332147259E-3,7.526338644E-2,-2.607975125E-2,7.977153793E-2
1.206964583E-1,-7.183350110E-3,3.132453239E-2,4.010020494E-3,3.238683548E-2
1.306634583E-1,-1.227015364E-2,-1.151958357E-2,5.475625098E-2,5.728441758E-2
1.406314583E-1,-1.794681332E-2,-3.312847379E-2,5.969363987E-2,7.058976219E-2
1.505984583E-1,2.753198035E-3,-2.225347723E-2,2.691122532E-2,3.502872245E-2
1.605664583E-1,7.508784207E-3,1.779733473E-2,-1.395496488E-2,2.382998130E-2
1.705344583E-1,3.198284436E-2,5.312407839E-2,-4.209469020E-2,7.494686772E-2
1.805014583E-1,3.070385730E-2,5.835308346E-2,-7.083141625E-2,9.677240686E-2
1.904694583E-1,1.986882965E-2,3.473884723E-2,-4.732502460E-2,6.197754313E-2
2.004364583E-1,1.530038179E-2,3.141960218E-3,-5.107542872E-3,1.643352035E-2
2.104044583E-1,1.370805706E-2,-1.643076506E-2,3.081950426E-2,3.751963102E-2
2.203714583E-1,2.337155851E-2,4.352311017E-3,4.983055651E-2,5.521101992E-2
2.303394583E-1,3.975535627E-2,3.878709390E-2,2.333448350E-2,6.024471035E-2
2.403064583E-1,5.105875502E-2,5.821645048E-2,-1.228967786E-2,7.840400342E-2
2.502744583E-1,4.517327665E-2,5.735203100E-2,-9.594111443E-3,7.363373791E-2
2.602424583E-1,2.545268306E-2,2.888345005E-2,-3.803087533E-2,5.411506481E-2
2.702094583E-1,2.267613270E-2,-1.776469996E-2,-4.042004764E-2,4.963438133E-2
2.801774583E-1,8.270639861E-3,-4.347586649E-2,-2.244746089E-3,4.431245125E-2
2.901444583E-1,-6.193717998E-3,-2.826510927E-2,1.692067266E-2,3.351995984E-2
3.001124583E-1,2.371639805E-3,5.799770979E-3,2.740063727E-2,2.810795157E-2
3.100794583E-1,2.420245699E-2,4.924586692E-2,3.548441291E-2,6.534567999E-2
3.200474583E-1,-5.675545055E-3,5.293149943E-2,2.021616340E-2,5.694425964E-2
3.300154583E-1,-2.291574064E-2,3.723010599E-2,1.363102913E-2,4.579319727E-2
3.399824583E-1,-4.277269313E-2,4.364409728E-3,6.447724700E-3,4.347556214E-2
3.499504583E-1,-5.476717796E-2,-2.435911440E-2,-2.992429554E-2,6.699457963E-2
3.599174583E-1,-5.514732921E-2,-1.576948380E-2,-1.914612293E-2,6.046882305E-2
3.698854583E-1,-5.928490123E-2,1.360437862E-2,-2.288775623E-2,6.498944542E-2
3.798524583E-1,-3.990881827E-2,4.484828567E-2,-1.375499010E-2,6.158962782E-2
3.898204583E-1,-4.075720358E-2,5.118940375E-2,3.100135267E-2,7.240572192E-2
3.997884583E-1,-4.324794386E-2,3.197731920E-2,3.085107923E-2,6.200582779E-2
4.097554583E-1,-5.727368745E-2,4.251451115E-3,1.932446301E-2,6.059525544E-2
4.197234583E-1,-6.160599003E-2,-1.874557267E-2,4.012944102E-2,7.587533551E-2
4.296904583E-1,-5.475905581E-2,-1.331389991E-2,-2.385663986E-3,5.640483594E-2
4.396584583E-1,-2.919386867E-2,1.512878885E-2,-1.286504388E-2,3.530823663E-2
4.496254583E-1,-3.271188252E-3,4.045233980E-2,-2.768422723E-2,4.912747607E-2
4.595934583E-1,9.859090811E-3,6.306586162E-2,-4.519663811E-2,7.821279096E-2
4.695614583E-1,2.323516306E-2,4.381966907E-2,-2.234805822E-3,4.964907408E-2
4.795284583E-1,1.962350241E-2,1.651990541E-2,7.944611907E-3,2.685341654E-2
4.894964583E-1,1.441658428E-2,-3.003404047E-3,4.052705169E-3,1.527359674E-2
4.994634583E-1,2.058709614E-2,-1.568533643E-2,1.958817244E-3,2.595564045E-2
5.094314583E-1,4.230386521E-2,-5.502937990E-4,-8.246386707E-2,9.268338150E-2
5.193984583E-1,6.943082538E-2,3.619175927E-2,1.113830262E-1,1.361494087E-1
5.293664583E-1,7.470188929E-2,4.812460394E-2,5.030944347E-2,1.021145919E-1
5.393334583E-1,4.833503975E-2,2.462114732E-2,-1.013264000E-1,1.149326599E-1
5.493014583E-1,3.506073645E-2,2.661504101E-3,1.374218470E-1,1.418488734E-1
5.592694583E-1,7.713665161E-3,-2.439524837E-2,-3.232574701E-2,4.122599536E-2
5.692364583E-1,-2.535928292E-2,-2.713389460E-2,-1.110590905E-1,1.171044963E-1
5.792044583E-1,-2.427096077E-2,7.226829641E-3,1.183710337E-2,2.795395535E-2
5.891714583E-1,-2.642132915E-2,4.850081288E-2,-5.432531118E-2,7.747034864E-2
5.991394583E-1,-3.379116889E-2,6.544509823E-2,-2.870982885E-4,7.365450701E-2
6.091064583E-1,-3.201790938E-2,7.263710953E-2,3.369282603E-2,8.623515947E-2
6.190744583E-1,-4.743788500E-2,4.324158958E-2,1.587986827E-2,6.612380977E-2
6.290424583E-1,-6.855206195E-2,6.480690662E-3,4.821263194E-2,8.405856547E-2
6.390094583E-1,-7.404550279E-2,-1.126435717E-2,-2.513308704E-2,7.900186257E-2
6.489774583E-1,-5.642565846E-2,-8.411669678E-3,-4.893300891E-2,7.516016551E-2
6.589444583E-1,-3.596446018E-2,1.410184419E-2,3.129897594E-2,4.971851064E-2
6.689124583E-1,-2.467872184E-2,1.862268978E-2,-1.794861317E-2,3.574907832E-2
6.788794583E-1,-9.897737252E-3,3.921163373E-3,-3.920616567E-2,4.062590493E-2
6.888474583E-1,8.278871644E-3,-1.097335313E-2,2.785613537E-2,3.106313687E-2
6.988154583E-1,2.830691915E-3,-2.021069762E-2,4.356175661E-3,2.086771146E-2
7.087824583E-1,9.055235703E-4,-1.257644496E-2,-2.318713367E-2,2.639375132E-2
7.187504583E-1,1.798860264E-2,1.743171702E-2,2.246617198E-2,3.364793406E-2
7.287172500E-1,4.060013275E-2,6.385812736E-2,5.549592376E-3,7.587508936E-2
7.386852500E-1,5.248836271E-2,8.655201185E-2,-2.686210871E-3,1.012595413E-1
7.486522500E-1,5.558128397E-2,6.608458263E-2,2.425658941E-2,8.969299481E-2
7.586202500E-1,3.422183460E-2,1.625568207E-2,-1.511037469E-2,4.078853498E-2
7.685882500E-1,1.632538956E-2,-2.950294199E-2,-8.822863698E-3,3.485376384E-2
7.785552500E-1,6.514912862E-3,-4.357173342E-2,4.584217072E-4,4.405848606E-2
