"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.158666667E-3,-3.001278950E-2,7.982885588E-2,1.827254891E-2,8.721983609E-2
1.512666667E-2,-5.195982009E-2,6.746757704E-2,-6.016551018E-2,1.042668954E-1
2.509366667E-2,-5.885029779E-2,4.147192976E-2,-4.339803457E-2,8.406347550E-2
3.506066666E-2,-7.691075723E-2,1.789876908E-2,-2.543363392E-2,8.296083562E-2
4.502866666E-2,-7.655245995E-2,1.554469605E-2,-2.722872913E-2,8.272436394E-2
5.499566667E-2,-6.201954349E-2,3.867160225E-2,2.815609753E-2,7.832421352E-2
6.496266667E-2,-4.279344161E-2,7.659460102E-2,3.998033702E-2,9.641804239E-2
7.493066667E-2,-3.846515900E-2,1.008844693E-1,1.108632088E-2,1.085364046E-1
8.489766666E-2,-4.933466694E-2,8.783120904E-2,4.347404838E-3,1.008321902E-1
9.486466667E-2,-5.697539723E-2,5.086757391E-2,-3.352384150E-2,8.341195306E-2
1.048330000E-1,-6.367917515E-2,1.485536985E-2,-3.471959710E-2,7.403492274E-2
1.148000000E-1,-5.785995305E-2,5.495739177E-3,-1.151550651E-2,5.925018317E-2
1.247680000E-1,-3.372409950E-2,2.650003358E-2,-9.121071696E-3,4.384929436E-2
1.347350000E-1,-6.717071207E-3,5.219074400E-2,2.949803352E-2,6.032517539E-2
1.447020000E-1,5.060555013E-3,8.373090388E-2,4.251978278E-2,9.404469900E-2
1.546700000E-1,-7.643197076E-3,7.826085191E-2,1.153187871E-2,7.947429541E-2
1.646370000E-1,-7.067831056E-3,6.181069282E-2,2.099735141E-3,6.224889453E-2
1.746040000E-1,-1.070941301E-2,3.661192968E-2,-2.993072748E-2,4.848683707E-2
1.845720000E-1,-4.291700972E-3,1.321218348E-2,-5.776990592E-2,5.941668554E-2
1.945390000E-1,-1.043209054E-2,2.491043375E-2,-1.854970694E-2,3.276354452E-2
2.045060000E-1,1.182058498E-2,4.981756016E-2,8.996526003E-3,5.198512297E-2
