"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.248041666E-3,4.777869545E-3,1.068873305E-2,-8.370873928E-3,1.439265722E-2
1.221504166E-2,-4.518111558E-3,1.040602018E-2,-4.779514074E-3,1.231025356E-2
2.218204166E-2,1.135100788E-2,1.593490975E-2,3.752158284E-3,1.992097941E-2
3.215004166E-2,1.173973809E-2,3.616713015E-3,-6.576948166E-3,1.393407014E-2
4.211670833E-2,1.302125590E-2,7.286265674E-3,1.955308914E-3,1.504878751E-2
5.208370833E-2,1.324990030E-2,4.299526191E-3,6.086951494E-4,1.394332433E-2
6.205170833E-2,9.968241882E-3,3.326860140E-3,-7.475665212E-3,1.289648847E-2
7.201870834E-2,8.856658777E-3,1.238677818E-2,-7.027768493E-3,1.677087381E-2
8.198670833E-2,4.068424129E-3,5.882033994E-3,1.567053795E-4,7.153667268E-3
9.195370832E-2,4.849182735E-3,8.905551550E-3,6.443046927E-3,1.201400330E-2
1.019207083E-1,8.938972042E-3,1.583610095E-2,3.149895072E-3,1.845559951E-2
1.118887083E-1,6.294381469E-3,2.180125677E-2,1.354215145E-3,2.273209039E-2
1.218557083E-1,5.108447364E-3,2.302687885E-2,2.401451468E-3,2.370865566E-2
1.318227083E-1,3.310437687E-4,1.634849063E-2,9.435651898E-3,1.887893701E-2
1.417907083E-1,7.773690484E-3,1.314112382E-2,7.490867972E-3,1.700683692E-2
1.517577083E-1,-2.126472448E-3,9.515297371E-3,9.436821342E-3,1.356894860E-2
1.617257083E-1,6.435596296E-3,4.295944772E-3,6.046020985E-4,7.761287577E-3
1.716927083E-1,1.160909393E-2,3.179761553E-3,4.495339394E-3,1.284873619E-2
1.816597083E-1,8.536500880E-3,1.612905102E-2,-3.737540245E-3,1.862759622E-2
1.916277083E-1,9.926073407E-3,7.941035056E-3,-3.139370084E-3,1.309360972E-2
2.015947083E-1,5.024909838E-3,1.641307038E-2,-6.434276104E-3,1.833135312E-2
2.115617083E-1,4.947132734E-3,1.185918574E-2,-2.692058086E-3,1.312865513E-2
2.215297083E-1,1.066195006E-2,6.057952959E-3,-1.212244749E-2,1.724325104E-2
2.314967083E-1,2.685324652E-3,1.760789408E-2,6.016784906E-4,1.782164189E-2
2.414647083E-1,2.590339375E-3,1.599243174E-2,-1.944199204E-3,1.631709660E-2
2.514317083E-1,1.323837489E-2,1.535113836E-2,9.432143569E-3,2.235793709E-2
2.613987083E-1,1.182385120E-2,1.100633279E-2,-2.244161367E-3,1.630886504E-2
2.713667083E-1,7.992732665E-3,1.571279322E-3,-8.680191636E-3,1.190371459E-2
2.813337083E-1,1.507414022E-2,3.613291481E-3,7.507824898E-4,1.551931871E-2
2.913007083E-1,1.245035752E-2,1.176743927E-2,7.186812758E-3,1.857779069E-2
3.012687083E-1,4.573966172E-3,4.154515243E-3,7.336501479E-3,9.591945444E-3
3.112357083E-1,6.541974507E-3,6.542833317E-3,3.743387461E-3,9.980934222E-3
3.212027083E-1,-7.119460143E-3,2.136823847E-3,9.281285405E-3,1.189096244E-2
3.311707083E-1,4.958301829E-3,1.249447202E-2,-4.490661621E-4,1.344984195E-2
3.411377083E-1,-7.592883613E-4,1.572733360E-2,8.681361079E-3,1.798031065E-2
3.511057083E-1,8.859002232E-3,1.589060339E-2,3.441671133E-3,1.851589309E-2
3.610727083E-1,1.374559344E-2,1.953015252E-2,-3.893076181E-3,2.419760812E-2
