"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.504416669E-3,1.312654233E-3,1.438330540E-2,8.904724717E-3,1.696751772E-2
1.247241667E-2,-8.530260804E-3,2.413741128E-2,5.761261582E-3,2.624065753E-2
2.243941667E-2,2.168974397E-4,1.912947207E-2,-5.615081191E-3,1.993772512E-2
3.240641668E-2,-3.207572373E-3,1.227151951E-2,5.462468863E-3,1.381004264E-2
4.237441668E-2,-3.417834593E-3,-6.331209792E-4,-5.244952440E-4,3.515327971E-3
5.234141667E-2,-6.988066812E-3,8.035654882E-3,-7.110798955E-3,1.280501031E-2
6.230841667E-2,-1.124480783E-2,8.850190295E-3,-1.369710267E-2,1.980863935E-2
7.227641667E-2,-2.075268198E-3,1.717492604E-2,5.221563578E-4,1.730772861E-2
8.224341668E-2,-4.610059024E-3,1.595526537E-2,-4.416986704E-3,1.718525266E-2
9.221041667E-2,-1.313841948E-4,1.331761837E-2,-2.621306777E-3,1.357377877E-2
1.021784167E-1,-2.533589406E-3,1.668981270E-2,-3.968505263E-3,1.734122134E-2
1.121454167E-1,-1.535736473E-2,1.763913557E-2,-3.669712543E-3,2.367392121E-2
1.221124167E-1,-1.800586106E-3,1.350213914E-2,7.556356788E-3,1.557717559E-2
1.320804167E-1,7.653045980E-4,1.672555381E-2,-1.275277734E-3,1.679155069E-2
1.420474167E-1,-8.778260406E-3,1.416659297E-2,-2.922438383E-3,1.692013174E-2
1.520144167E-1,-9.557479550E-3,6.627892032E-3,-7.113722563E-3,1.363376019E-2
1.619824167E-1,-1.051934652E-3,1.022254551E-2,-6.065901518E-3,1.193323780E-2
1.719494167E-1,-3.562550896E-3,1.293643473E-2,-3.969674706E-3,1.399290640E-2
1.819164167E-1,-6.116680931E-3,9.117755229E-3,-3.070957661E-3,1.140079063E-2
1.918844167E-1,-1.288194142E-2,1.031724300E-2,4.414063096E-3,1.708431652E-2
2.018514167E-1,-1.597075593E-3,-1.754027652E-4,-8.309478164E-3,8.463382535E-3
2.118184167E-1,-4.297347190E-3,1.429195179E-2,-7.410761118E-3,1.666272664E-2
2.217864167E-1,-1.627979955E-2,9.231168372E-3,5.911535025E-3,1.962632388E-2
2.317534167E-1,-1.337658845E-2,6.565637458E-3,-3.753912449E-4,1.490575837E-2
2.417204167E-1,-1.017215439E-2,9.811984180E-3,9.354960322E-3,1.694883598E-2
2.516884167E-1,-4.313308261E-3,7.625340228E-3,2.618383169E-3,9.143652015E-3
2.616554167E-1,5.719307810E-5,9.801861187E-3,-5.763600469E-3,1.137096496E-2
2.716224167E-1,-8.611112265E-3,4.432902094E-3,-7.484436035E-5,9.685426015E-3
2.815904167E-1,-9.298411352E-3,8.333250750E-3,-7.558695674E-3,1.459580084E-2
2.915574167E-1,4.421956837E-6,1.424383560E-2,-7.858657837E-3,1.626792474E-2
3.015244167E-1,-6.027784981E-3,9.301549662E-4,-8.905894160E-3,1.079418041E-2
3.114924167E-1,1.512414305E-3,9.176195408E-3,-8.157450557E-3,1.237068950E-2
3.214594167E-1,-1.445718588E-2,1.789492385E-2,-1.271769404E-3,2.304031078E-2
3.314264167E-1,1.822508597E-3,1.137857659E-2,2.470448613E-3,1.178544268E-2
3.413944167E-1,-2.976817489E-3,1.536224350E-2,-3.067449331E-3,1.594582118E-2
3.513614167E-1,-6.773592769E-3,2.204189710E-2,2.770410776E-3,2.322502880E-2
3.613284167E-1,-1.020326797E-2,7.677727626E-3,5.614496469E-3,1.394907701E-2
3.712964167E-1,-8.481477667E-4,3.601368642E-3,7.410761118E-3,8.283030308E-3
3.812634167E-1,-5.320788086E-3,1.075018364E-2,3.369750381E-3,1.245923158E-2
3.912304167E-1,-4.513502307E-4,1.170422082E-2,8.250421286E-4,1.174194177E-2
4.011984167E-1,1.892574686E-3,1.672841803E-2,2.621306777E-3,1.703798867E-2
4.111654167E-1,-9.613082916E-3,1.356992116E-2,-1.569977403E-3,1.670386040E-2
4.211324167E-1,3.806893704E-3,9.334458522E-3,3.670881987E-3,1.072846355E-2
4.311004167E-1,-2.301445808E-3,1.786564209E-2,-2.915421724E-3,1.824767119E-2
4.410674167E-1,-2.569979187E-3,3.210473140E-3,3.520608544E-3,5.413558472E-3
4.510344167E-1,-6.483630259E-3,9.019540278E-3,9.747308493E-4,1.115076986E-2
4.610024167E-1,-8.446184238E-3,1.419751012E-2,-2.317836285E-3,1.668171714E-2
4.709694167E-1,-4.541157810E-3,4.759537610E-3,-1.279546201E-2,1.438746540E-2
4.809364167E-1,-2.509131599E-3,1.115246294E-2,-5.161337256E-3,1.254243091E-2
4.909044167E-1,-7.369456021E-3,1.227759057E-2,-3.515930772E-3,1.474482558E-2
5.008714167E-1,1.645538961E-3,1.120373571E-2,-3.718829155E-4,1.133003924E-2
5.108384167E-1,-4.406137378E-3,2.021274186E-2,-7.250547409E-5,2.068753821E-2
5.208064167E-1,1.203069189E-3,7.759830756E-3,-4.263789654E-3,8.935449124E-3
5.307734167E-1,-4.859963539E-3,1.769061848E-2,-5.761261582E-3,1.922938800E-2
5.407404167E-1,-9.605326219E-3,1.351443656E-2,1.125004292E-3,1.661830082E-2
5.507084167E-1,2.376660188E-3,3.481984944E-3,-5.215716362E-4,4.247913579E-3
5.606754167E-1,4.280522740E-3,1.230294373E-2,-1.174764097E-2,1.754116209E-2
5.706424167E-1,-9.610967869E-3,2.077123775E-2,-5.160752535E-3,2.346163651E-2
5.806104167E-1,4.071320328E-3,1.037210633E-2,-9.651414156E-3,1.474130368E-2
5.905774167E-1,-4.664250836E-4,1.079322006E-2,9.059675932E-3,1.409925103E-2
6.005444167E-1,3.446586449E-3,9.328693533E-3,-5.198174715E-4,9.958598867E-3
6.105124167E-1,-5.450632819E-3,8.308071177E-3,-4.112346768E-3,1.075382912E-2
6.204794167E-1,-3.459094008E-3,5.495318337E-3,-8.152772784E-3,1.042264645E-2
6.304464167E-1,2.750438880E-3,-4.032861181E-3,-3.683745861E-4,4.895363436E-3
6.404144167E-1,-7.487263712E-3,8.303000545E-4,-1.266506910E-3,7.638884462E-3
6.503814167E-1,-6.321383729E-3,4.811851918E-3,-8.174407482E-4,7.986364661E-3
6.603484167E-1,-8.742194963E-3,5.088114585E-3,-9.649075270E-3,1.397925378E-2
6.703164167E-1,-3.769142618E-3,1.170835042E-2,-5.906272531E-3,1.364463121E-2
6.802834167E-1,3.442890826E-3,1.295030359E-2,3.525286317E-3,1.385609988E-2
6.902504167E-1,-4.301458513E-3,1.254097566E-2,-3.660356998E-4,1.326320466E-2
7.002184167E-1,-1.415282917E-2,9.402610562E-3,5.921475291E-3,1.799376360E-2
7.101854167E-1,-7.457575388E-4,3.283079113E-3,-2.909574509E-3,4.449762532E-3
7.201534167E-1,-1.223939637E-2,2.675959057E-2,-5.154320598E-3,2.987382687E-2
7.301204167E-1,-9.181526424E-3,9.845354422E-3,-7.699028850E-3,1.550827123E-2
7.400880417E-1,-4.711398580E-3,5.914719016E-3,3.825248480E-3,8.474296641E-3
7.500560417E-1,-5.623057159E-3,1.017294011E-2,9.512835145E-3,1.502003711E-2
