"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.979708337E-3,2.374702284E-2,1.311282421E-2,-4.790916145E-2,5.505592614E-2
7.988291662E-3,9.552239897E-3,2.442229859E-2,-4.042472541E-2,4.818560345E-2
1.795529165E-2,2.038714877E-2,8.799145930E-3,-6.745932698E-3,2.320707677E-2
2.792329167E-2,2.407865133E-3,-1.287338530E-2,1.181663811E-2,1.763958049E-2
3.789029166E-2,1.545414529E-2,-2.925453354E-2,3.711403191E-2,4.972031480E-2
4.785829165E-2,2.099546020E-2,-2.987823959E-2,4.265076041E-2,5.614807132E-2
5.782679166E-2,2.234038375E-2,-1.957629071E-2,2.618207753E-2,3.959577109E-2
6.779379166E-2,1.534762546E-2,-2.499977052E-3,-2.920333385E-2,3.308525655E-2
7.776179166E-2,1.091766525E-2,1.653698110E-2,-5.899138927E-2,6.223062885E-2
8.772879167E-2,7.336857794E-3,1.633038710E-2,-3.144924939E-2,3.618793048E-2
9.769679166E-2,1.111495396E-2,9.002967076E-3,-1.632951915E-2,2.170826602E-2
1.076637917E-1,1.623014390E-2,1.196121052E-3,-1.659439802E-3,1.635854568E-2
1.176317917E-1,1.554759110E-2,6.282993103E-3,3.546453238E-2,3.922928304E-2
1.275987917E-1,1.676522808E-2,1.599237235E-2,4.534398794E-2,5.092058610E-2
1.375667917E-1,1.884796062E-2,1.154792658E-2,1.989573598E-2,2.973954502E-2
1.475337917E-1,1.996141666E-2,-4.429302402E-3,-3.903601170E-3,2.081621908E-2
1.575017917E-1,-6.397438645E-3,-1.417360506E-2,-4.162398934E-2,4.443393737E-2
1.674697917E-1,-1.145570959E-2,-2.217310314E-2,-1.692359626E-2,3.015440093E-2
1.774367917E-1,-7.020057477E-3,-1.273113807E-2,-1.991503179E-2,2.465707961E-2
1.874047917E-1,-4.420102173E-3,-1.738208192E-3,-4.794716835E-3,6.748924394E-3
1.973717917E-1,2.431729082E-3,1.102222991E-2,3.786598384E-2,3.951247387E-2
2.073397917E-1,5.766862119E-3,1.834287995E-2,4.984049678E-2,5.342090474E-2
2.173067917E-1,4.315336514E-3,1.420229753E-2,1.256800532E-2,1.944947666E-2
2.272747917E-1,6.964042978E-3,5.509529812E-3,-1.123308599E-2,1.431904446E-2
2.372417917E-1,1.270988253E-2,1.714924397E-4,-7.560449839E-4,1.273350414E-2
2.472097917E-1,8.123372253E-3,-2.283940706E-3,-2.246207893E-2,2.399480260E-2
2.571777917E-1,6.080099288E-4,-1.300855648E-2,-3.428631842E-2,3.667620276E-2
2.671447917E-1,1.071660326E-2,-8.072816678E-3,-1.303168952E-2,1.870403396E-2
2.771127917E-1,1.312934716E-2,-5.619466603E-3,1.487531662E-3,1.435865287E-2
2.870797917E-1,1.039146152E-2,-8.253527619E-3,3.816009879E-2,4.040168722E-2
2.970477917E-1,7.437183224E-3,-1.082540715E-2,2.887881339E-2,3.172517923E-2
3.070147917E-1,1.265032316E-2,1.367677446E-3,5.377684236E-3,1.381378678E-2
3.169827917E-1,6.239746548E-3,6.691133324E-4,3.366651356E-2,3.424640543E-2
3.269497917E-1,1.206128013E-2,1.593490519E-2,-3.579022229E-2,4.099189790E-2
3.369177917E-1,2.196305562E-3,1.966035814E-2,-4.985920787E-2,5.364041433E-2
3.468847917E-1,2.961203596E-3,-4.899509903E-3,-2.291406870E-2,2.361839259E-2
3.568527917E-1,7.523758560E-3,-7.953647682E-3,-1.209788918E-3,1.101503716E-2
3.668197917E-1,1.906192303E-2,-1.092508847E-2,3.306892812E-2,3.970224773E-2
3.767877917E-1,2.930896746E-2,-1.570717441E-2,-7.947535515E-3,3.418909508E-2
3.867557917E-1,1.171053856E-2,-3.328143787E-3,8.934837878E-2,9.017397654E-2
3.967227917E-1,1.066629893E-2,-3.797716317E-3,1.179383397E-3,1.138347606E-2
