"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.439791679E-3,-4.616055161E-2,2.269730145E-2,-8.352513671E-2,9.809389624E-2
1.440679167E-2,-3.691106957E-2,4.476806918E-2,-6.525726557E-2,8.732192041E-2
2.437479167E-2,-3.342734417E-2,4.594149572E-2,-3.785838246E-2,6.827346110E-2
3.434179167E-2,-3.330339233E-2,3.654110528E-2,2.771170914E-2,5.667721887E-2
4.430879166E-2,-4.153542230E-2,-3.180656908E-4,5.974860370E-2,7.276804323E-2
5.427679168E-2,-3.203825586E-2,-3.783986780E-2,4.598133445E-2,6.762091800E-2
6.424379167E-2,-3.908899295E-2,-4.941530370E-2,3.116507471E-2,7.029284097E-2
7.421179167E-2,-3.529732028E-2,-4.836633149E-2,7.516011000E-3,6.034644365E-2
8.417879167E-2,-1.495662033E-2,-2.825782995E-2,1.170846462E-2,3.404840068E-2
9.414679167E-2,1.320557110E-4,-2.005925245E-2,6.472283006E-3,2.107798603E-2
1.041137917E-1,1.533859883E-2,-1.114769837E-2,2.518629670E-2,3.152607388E-2
1.140817917E-1,2.760424828E-2,-1.365418502E-2,1.366377354E-2,3.369169035E-2
1.240487917E-1,3.624944799E-2,-2.656704816E-2,3.866237462E-2,5.928414407E-2
1.340157917E-1,3.885208935E-2,-2.945777910E-2,4.015809238E-2,6.316579755E-2
1.439837917E-1,7.017301063E-2,-1.541177582E-2,3.716197908E-2,8.088749560E-2
1.539507917E-1,7.970561667E-2,-2.529845817E-2,5.916388214E-2,1.024371137E-1
1.639187917E-1,1.027201844E-1,-3.265405447E-2,3.880446196E-2,1.145578885E-1
1.738857917E-1,1.082539253E-1,-4.971275796E-2,4.748406887E-2,1.282380889E-1
1.838537917E-1,1.021706009E-1,-6.581302971E-2,3.340982080E-2,1.260412738E-1
1.938207917E-1,1.083229042E-1,-6.532499277E-2,-1.472913623E-3,1.265044494E-1
2.037877917E-1,1.132712658E-1,-6.258032802E-2,4.357871354E-2,1.365495565E-1
2.137557917E-1,1.061753407E-1,-3.575794383E-2,3.519263685E-2,1.174323431E-1
2.237227917E-1,1.059552387E-1,-8.769905283E-3,6.302889168E-2,1.235963795E-1
2.336907917E-1,1.088264500E-1,1.774442657E-3,6.182494998E-2,1.251745553E-1
2.436575833E-1,8.915023126E-2,6.864663153E-3,1.196925044E-3,8.942214470E-2
2.536255833E-1,6.524247394E-2,-1.883171175E-2,-1.602254033E-2,6.977059246E-2
2.635925833E-1,3.701005197E-2,-4.397347825E-2,8.518808484E-3,5.810319126E-2
2.735595833E-1,9.970653858E-3,-5.448993771E-2,1.749194562E-2,5.809075152E-2
2.835275833E-1,-1.968693556E-3,-6.382758023E-2,2.362158179E-2,6.808681868E-2
2.934945833E-1,-1.736427533E-2,-4.725086090E-2,5.025974214E-2,7.113510802E-2
3.034625833E-1,-2.177570717E-2,-1.886694123E-2,3.678015590E-2,4.672175898E-2
3.134295833E-1,-4.228046721E-2,7.611676930E-3,-3.223160684E-2,5.370709462E-2
3.233975833E-1,-6.741123363E-2,4.112212008E-2,-1.031899077E-1,1.299363699E-1
3.333645833E-1,-7.934596723E-2,4.197782355E-2,-7.759839892E-2,1.186567811E-1
3.433325833E-1,-9.754702480E-2,4.596406689E-2,-3.838580132E-2,1.144621651E-1
3.532995833E-1,-1.034630183E-1,3.982897636E-2,-2.057752132E-2,1.127580503E-1
3.632665833E-1,-9.644268676E-2,4.346060892E-2,4.138776183E-2,1.135912109E-1
3.732345833E-1,-8.652537047E-2,2.889394306E-2,5.455569148E-2,1.062912186E-1
3.832015833E-1,-8.753955175E-2,3.690620908E-3,1.323751152E-2,8.861165564E-2
3.931695833E-1,-8.864411820E-2,-2.329787902E-2,-5.218055248E-2,1.054674401E-1
4.031365833E-1,-8.530801672E-2,-4.597460558E-2,-9.843729079E-2,1.381340736E-1
4.131045833E-1,-7.978628084E-2,-4.901666521E-2,-7.912803054E-2,1.225957964E-1
4.230715833E-1,-7.400840038E-2,-2.594759047E-2,-9.424659133E-2,1.226088935E-1
4.330385833E-1,-6.272664545E-2,1.082419659E-2,-4.843950391E-2,7.998862932E-2
4.430065833E-1,-3.470923657E-2,4.965033436E-2,3.763034105E-2,7.131570215E-2
4.529735833E-1,-4.097252273E-2,5.387412997E-2,1.861928880E-2,7.019862829E-2
4.629415833E-1,-2.585825598E-2,6.380510042E-2,-3.085575700E-3,6.891488243E-2
4.729085833E-1,-1.110573546E-3,4.904646773E-2,4.047267258E-2,6.359895122E-2
4.828765833E-1,-2.368213702E-3,-1.203912467E-2,-3.317476273E-2,3.537108764E-2
4.928435833E-1,-4.053806090E-3,-5.206613435E-2,-2.284799516E-2,5.700304003E-2
5.028105833E-1,2.666109240E-2,-6.016917839E-2,-1.820764482E-2,6.828368917E-2
5.127785833E-1,4.519785323E-2,-5.984608318E-2,-2.389581621E-2,7.871092454E-2
5.227455833E-1,6.966727216E-2,-5.391446663E-2,1.382691085E-2,8.917108267E-2
5.327135833E-1,8.542669692E-2,-4.080957727E-2,-9.671879411E-3,9.516662963E-2
5.426805833E-1,8.435213400E-2,-2.493056781E-2,-1.775273144E-2,8.973279888E-2
5.526485833E-1,7.543658280E-2,-7.211480699E-3,-1.071502268E-2,7.653427460E-2
5.626155833E-1,6.387165818E-2,-2.483435827E-3,-4.169883370E-2,7.631873233E-2
5.725835833E-1,6.168100798E-2,1.001289999E-3,9.494708776E-3,6.241553349E-2
5.825505833E-1,5.678982122E-2,6.338952784E-3,2.895658135E-2,6.406051608E-2
5.925175833E-1,5.131802422E-2,-5.698161903E-3,3.060374200E-2,6.002164346E-2
6.024855833E-1,2.699306807E-2,-1.664136761E-2,3.793965876E-2,4.944672432E-2
6.124525833E-1,1.236938272E-2,-3.291574934E-2,8.898877501E-3,3.627172734E-2
6.224205833E-1,-1.449848184E-2,-4.390048399E-2,-3.256255925E-2,5.654890569E-2
6.323875833E-1,-2.845756718E-2,-5.208160663E-2,-8.435134828E-2,1.031381444E-1
6.423545833E-1,-4.166583348E-2,-2.419339380E-2,-5.141632140E-2,7.046275675E-2
6.523225833E-1,-3.927888128E-2,-4.393405979E-4,-1.204584897E-2,4.108681068E-2
6.622895833E-1,-3.022008243E-2,2.533406224E-2,3.780224919E-2,5.462671632E-2
6.722575833E-1,-3.240472097E-2,3.381146969E-2,8.181190252E-2,9.426806892E-2
6.822245833E-1,-4.340086682E-2,2.415085988E-2,7.238034368E-2,8.778276268E-2
6.921925833E-1,-7.070673351E-2,3.028784618E-3,3.001668155E-2,7.687403249E-2
7.021595833E-1,-7.981358916E-2,-2.435665446E-2,-8.156281114E-3,8.384497930E-2
7.121275833E-1,-6.873193692E-2,-4.076026880E-2,-5.950009704E-2,9.962800918E-2
7.220945833E-1,-6.884709966E-2,-3.374559715E-2,-6.698570251E-2,1.018124393E-1
7.320615833E-1,-4.197507810E-2,-2.070303546E-2,-3.450266540E-2,5.814599538E-2
7.420295833E-1,-1.938594100E-2,-5.507816761E-3,-1.803749084E-2,2.704629050E-2
7.519965833E-1,2.465816522E-3,9.931587148E-3,4.408449769E-2,4.525659743E-2
