"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.761666594E-4,-7.540235831E-2,3.860952127E-2,-1.918939233E-2,8.685875632E-2
1.034416666E-2,-5.720889299E-2,2.039291605E-2,-4.807931542E-2,7.746191990E-2
2.031116666E-2,-4.852585997E-2,7.502349985E-3,-5.137305200E-2,7.106500414E-2
3.027916666E-2,-3.708219428E-2,1.550909769E-2,-4.071416259E-3,4.040046626E-2
4.024616667E-2,-2.478736128E-2,1.908964477E-2,-1.365207911E-2,3.413512971E-2
5.021416667E-2,-1.317999182E-2,4.215458305E-2,-1.978931665E-2,4.839770769E-2
6.018116666E-2,-3.276656312E-4,6.224565715E-2,3.413604498E-3,6.234005048E-2
7.014916666E-2,1.031137523E-2,7.358327125E-2,3.739352882E-2,8.318111724E-2
8.011616666E-2,2.458567802E-2,7.643720585E-2,3.395068824E-2,8.717655209E-2
9.008416666E-2,2.143900805E-2,6.821024195E-2,5.509246588E-3,7.171206294E-2
1.000511667E-1,1.015841115E-2,4.765627851E-2,1.916717291E-3,4.876461836E-2
1.100191667E-1,5.489226726E-3,3.640906327E-2,-5.418030024E-3,3.721701960E-2
1.199861667E-1,7.165047869E-3,2.451412957E-2,-3.400799096E-2,4.253027050E-2
1.299531667E-1,-9.955131328E-3,2.092328135E-2,-3.430853784E-2,4.140004965E-2
1.399211667E-1,-2.054485457E-3,2.127241037E-2,-1.795095205E-4,2.137214489E-2
1.498881667E-1,-1.515186936E-2,3.331153961E-2,2.736321509E-2,4.569445651E-2
1.598561667E-1,-1.511354954E-2,4.433973779E-2,1.808368385E-2,5.021405529E-2
1.698231667E-1,-2.635446075E-2,5.887417087E-2,2.422150612E-2,6.890142928E-2
1.797911667E-1,-4.785786127E-2,6.168528375E-2,2.496994972E-2,8.196918632E-2
1.897581667E-1,-6.358439087E-2,5.250636117E-2,-1.424966455E-2,8.368360452E-2
1.997261667E-1,-6.670956776E-2,5.093667612E-2,-3.490612328E-2,9.090186383E-2
2.096931667E-1,-8.216992571E-2,4.971763216E-2,-1.754223168E-2,9.762924527E-2
2.196611667E-1,-7.521344300E-2,4.719424797E-2,-8.860285878E-3,8.923487948E-2
2.296281667E-1,-7.579157274E-2,3.750876693E-2,-1.140557885E-2,8.533086970E-2
2.395961667E-1,-8.218468079E-2,2.624027103E-2,7.904850841E-3,8.663348225E-2
2.495631667E-1,-8.985689468E-2,3.919857800E-2,2.616745949E-2,1.014668713E-1
2.595301667E-1,-9.196336325E-2,3.626410942E-2,1.703586280E-2,1.003123444E-1
2.694981667E-1,-8.285707405E-2,4.765386653E-2,-6.268215179E-4,9.558545193E-2
2.794651667E-1,-7.303821482E-2,4.994412040E-2,-9.308767319E-3,8.896993389E-2
2.894331667E-1,-5.206268541E-2,4.887635944E-2,-5.566549301E-3,7.162686783E-2
2.994001667E-1,-4.021052546E-2,5.055090607E-2,-1.260250390E-2,6.581112039E-2
3.093681667E-1,-2.966767358E-2,4.818740669E-2,-8.112426996E-3,5.716649798E-2
3.193351667E-1,-2.786079030E-2,4.157386774E-2,-3.297829628E-4,5.004716647E-2
3.293031667E-1,-2.120156541E-2,3.596527559E-2,1.598570287E-2,4.470514647E-2
3.392701667E-1,-3.870283461E-3,2.384400896E-2,1.044722021E-2,2.631843969E-2
3.492381667E-1,2.412296226E-4,2.955250856E-2,2.167328954E-2,3.664888038E-2
3.592051667E-1,7.400450832E-3,4.439227137E-2,-5.870604515E-3,4.538617000E-2
3.691731667E-1,1.704549929E-2,4.183612450E-2,-2.652764797E-2,5.238822832E-2
3.791401667E-1,1.621527689E-2,4.944138320E-2,-1.754632473E-2,5.491137486E-2
3.891081667E-1,1.851233957E-2,4.528958143E-2,-5.720915794E-3,4.926034693E-2
3.990751667E-1,5.855787762E-3,4.532424445E-2,1.913793683E-3,4.574100996E-2
4.090431667E-1,-5.789604590E-3,3.364534938E-2,9.847880602E-3,3.553181404E-2
4.190101667E-1,-4.640708941E-3,4.138719081E-2,1.867951512E-2,4.564383889E-2
4.289771667E-1,-5.664503868E-3,3.625852488E-2,7.901927233E-3,3.753941508E-2
4.389451667E-1,-1.213372165E-2,4.013585469E-2,-8.414143324E-3,4.276577885E-2
4.489121667E-1,-1.926816072E-2,4.952809558E-2,-1.784394801E-2,5.605979620E-2
4.588801667E-1,-3.672746929E-2,4.109657506E-2,-1.020865381E-2,5.605401051E-2
4.688471667E-1,-5.451133487E-2,4.476584906E-2,-2.573944330E-3,7.058393628E-2
4.788151667E-1,-6.471255175E-2,3.782873297E-2,-7.776796818E-4,7.496220499E-2
4.887821667E-1,-6.585983941E-2,4.741394796E-2,1.883095801E-2,8.330789812E-2
4.987501667E-1,-7.099895725E-2,5.530235351E-2,2.272344947E-2,9.282002688E-2
5.087171667E-1,-7.615287585E-2,4.944400988E-2,9.401738048E-3,9.128177962E-2
5.186851667E-1,-7.966484148E-2,5.175567004E-2,7.455784678E-3,9.529283853E-2
5.286521667E-1,-7.138862392E-2,3.978896862E-2,8.653879166E-3,8.218507939E-2
5.386201667E-1,-7.425213790E-2,3.021413015E-2,-1.828950584E-2,8.222396042E-2
5.485871667E-1,-6.979432119E-2,3.228722620E-2,-3.984468162E-2,8.661010853E-2
5.585541667E-1,-6.348160779E-2,3.741343905E-2,-1.005604148E-2,7.436937487E-2
5.685221667E-1,-4.745879794E-2,4.609229450E-2,7.757501006E-3,6.661092955E-2
5.784891667E-1,-3.834980896E-2,5.545240311E-2,1.015252054E-2,6.818174632E-2
5.884571667E-1,-2.271976298E-2,5.105217691E-2,1.434322000E-2,5.769090359E-2
5.984241667E-1,-2.233636836E-2,4.389312929E-2,1.314571023E-2,5.097381531E-2
6.083921667E-1,-1.124983507E-2,4.276966902E-2,-2.571020722E-3,4.429913684E-2
6.183591667E-1,-1.209620583E-2,3.078021143E-2,-1.349888206E-2,3.572057429E-2
