"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.089124999E-3,6.882885452E-3,-5.024347044E-2,2.564179480E-2,5.682677251E-2
8.877874992E-3,-1.396141509E-2,-2.070081992E-2,1.097346961E-2,2.727383530E-2
1.884587499E-2,-8.758215420E-4,-1.341110301E-2,2.788712561E-2,3.095668784E-2
2.881287500E-2,-2.578110471E-3,-2.017761517E-2,5.734364390E-3,2.113446812E-2
3.878125000E-2,-2.420473192E-3,-2.776942070E-2,-3.123582602E-2,4.186497634E-2
4.874825000E-2,-6.456093527E-3,-3.435181866E-2,-2.270006061E-2,4.167758798E-2
5.871625000E-2,-1.258326290E-2,-3.036399246E-2,-1.745744705E-2,3.721656890E-2
6.868324999E-2,-5.298856460E-3,-2.456863658E-2,-8.927528858E-3,2.667201820E-2
7.865124999E-2,2.520131674E-3,-2.312999313E-2,1.487531662E-2,2.761562402E-2
8.861825000E-2,5.063908026E-3,-2.156146611E-2,3.644101739E-2,4.264373030E-2
9.858525000E-2,4.611095991E-3,-2.961937695E-2,1.716742516E-3,3.002527106E-2
1.085532500E-1,7.245942727E-3,-4.677843785E-2,-7.562788725E-3,4.793664263E-2
1.185202500E-1,-1.292260241E-2,-4.631741230E-2,-1.295216739E-2,4.980015036E-2
1.284882500E-1,-1.707142118E-2,-5.502266474E-2,-2.013079405E-2,6.102602662E-2
1.384552500E-1,-6.650824081E-3,-3.692774556E-2,-2.537106872E-2,4.529440342E-2
1.484232500E-1,-3.249482291E-2,-6.008144732E-2,6.521925867E-2,9.444175733E-2
1.583902500E-1,1.813384200E-2,3.994196467E-2,-1.184751141E-1,1.263350681E-1
1.683582500E-1,-7.454596963E-3,7.623172647E-3,7.882105172E-2,7.953893368E-2
1.783252500E-1,-1.738486849E-3,-3.331766319E-3,-1.865261793E-3,4.195498169E-3
1.882932500E-1,-1.262455886E-2,-1.441594702E-2,2.104003608E-2,2.845842816E-2
1.982602500E-1,-9.876586776E-3,-2.862135774E-2,-1.801877975E-2,3.523358496E-2
2.082282500E-1,-3.897573056E-2,-7.219058326E-2,-4.663329899E-2,9.436764519E-2
2.181952500E-1,-1.468489839E-1,-7.752758366E-2,-1.841779375E-1,2.479852071E-1
2.281632500E-1,5.269110577E-2,6.101457157E-2,2.335962653E-3,8.065102165E-2
2.381302500E-1,1.867839684E-1,1.121782933E-1,6.494677842E-2,2.273550183E-1
2.480982500E-1,-9.218014877E-2,-8.433649270E-2,1.369435447E-1,1.853735641E-1
2.580652500E-1,-2.840342744E-1,-2.116068059E-1,3.098205686E-1,4.705759174E-1
2.680322500E-1,3.461613793E-2,-2.692222996E-2,1.910700506E-1,1.960378731E-1
2.780002500E-1,-1.821246877E-2,-4.515750288E-2,1.064117235E-1,1.170228567E-1
2.879672500E-1,-6.854862671E-2,-1.833771111E-2,1.955279678E-1,2.080057020E-1
2.979352500E-1,-1.070743227E-1,-5.052570823E-2,4.386692280E-1,4.543659861E-1
3.079022500E-1,-2.764570139E-1,-7.337454393E-2,1.250938699E0,1.283222480E0
3.178702500E-1,-3.166306745E-1,-5.324691103E-2,1.975315163E0,2.001239668E0
3.278372500E-1,3.120339590E-1,1.458224321E-2,1.922241740E0,1.947457610E0
3.378052500E-1,2.185111798E0,2.470765825E-1,1.318632499E0,2.564088937E0
3.477722500E-1,3.321512021E0,1.532262277E0,6.797388196E-1,3.720526126E0
3.577402500E-1,2.721138629E0,2.117738425E0,8.135038179E-1,3.542767271E0
3.677072500E-1,1.323498552E0,1.665793825E0,2.146684774E0,3.022378700E0
3.776752500E-1,6.046173012E-1,1.468110428E0,2.223374516E0,2.732087946E0
3.876422500E-1,8.565352321E-1,1.861335095E0,1.231375669E0,2.390503499E0
3.976102500E-1,1.348156845E0,2.503562565E0,4.514483178E-1,2.879089783E0
4.075772500E-1,1.289431504E0,2.277576889E0,-1.114613789E-1,2.619620913E0
4.175452500E-1,1.417729356E0,9.918982744E-1,-7.013226467E-1,1.866995492E0
4.275122500E-1,2.842322758E0,-1.856780553E0,-2.261510641E0,4.079321397E0
4.374802500E-1,1.508687473E0,-1.676383279E0,-3.729022021E0,4.357981646E0
4.474472500E-1,-3.555819308E0,1.689125970E0,-3.252861616E0,5.106672712E0
4.574142500E-1,-4.031704309E0,5.061212825E-1,9.042724854E-1,4.162752349E0
4.673822500E-1,-1.177035155E0,-4.415968923E-1,2.813951483E0,3.082003004E0
4.773492500E-1,-6.787564874E-2,-1.116917592E0,7.628833026E-1,1.354290569E0
4.873172500E-1,-1.746469760E-1,-6.518173416E-1,-8.253613865E-1,1.066109202E0
4.972842500E-1,-1.992345178E-1,-5.702138923E-2,-5.419281328E-1,5.801999078E-1
5.072522500E-1,-8.324447036E-2,-8.786249164E-2,2.184133852E-1,2.497075612E-1
5.172192500E-1,-5.767997575E-1,2.636059668E-1,4.493170077E-1,7.772205860E-1
5.271872500E-1,-8.651183599E-1,4.009584146E-1,4.825987744E-1,1.068690322E0
5.371542500E-1,-8.226459396E-1,4.491511295E-1,4.222894228E-1,1.028013344E0
5.471222500E-1,-8.236914217E-1,2.071649502E-1,4.332833576E-1,9.534774999E-1
5.570892500E-1,-1.147075192E0,-3.090467627E-1,8.997753918E-1,1.490264122E0
5.670572500E-1,-1.860063618E0,-5.559562609E-1,1.612964086E0,2.524000232E0
5.770242500E-1,-2.668076316E0,-6.947062299E-1,2.272277704E0,3.572743195E0
5.869922500E-1,-3.414496783E0,-5.463017039E-1,2.453611556E0,4.239981545E0
5.969592500E-1,-3.529060110E0,-2.200164359E-1,2.724154038E0,4.463595828E0
6.069272500E-1,-2.147781712E0,-6.320561464E-3,3.855104948E0,4.413030749E0
6.168942500E-1,9.858013827E-1,-9.953129753E-1,5.646490095E0,5.817671585E0
6.268622500E-1,-3.027617514E0,-2.345617429E0,1.984496461E0,4.313538586E0
6.368292500E-1,-3.336077435E0,-1.928076531E0,1.086603580E0,4.003448401E0
6.467972500E-1,2.099152173E0,-1.705058025E0,3.221161813E0,4.205894214E0
6.567642500E-1,1.935369909E-1,-2.259405607E-1,3.057446499E0,3.071886196E0
6.667312500E-1,-1.538912315E0,7.291950812E-1,3.411460616E0,3.812878193E0
6.766992500E-1,-4.646723807E-1,1.588397777E-1,4.457651750E0,4.484619228E0
6.866662500E-1,1.488443828E-1,-1.393496100E-1,4.056863708E0,4.061984258E0
6.966342500E-1,-4.579621160E-1,4.348338565E-1,3.061643631E0,3.126095249E0
7.066012500E-1,-1.524950334E0,6.739933455E-1,2.158952233E0,2.727785786E0
7.165692500E-1,-1.180095003E0,-6.097084536E-2,1.630576776E0,2.013733419E0
7.265362500E-1,-1.521555440E0,-6.599038947E-1,1.792241472E0,2.441870922E0
7.365042500E-1,-1.319614246E0,-3.581691483E-1,2.734013321E0,3.056876794E0
7.464712500E-1,-1.124832968E0,8.485096545E-2,3.607176864E0,3.779440941E0
