"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.417124998E-3,-2.007109763E-2,3.565165241E-2,-6.005032003E-2,7.266312831E-2
1.638412499E-2,-1.780533811E-2,3.378545415E-2,-6.902579606E-2,7.888629474E-2
2.635112499E-2,3.086032514E-3,6.111829570E-2,-3.957337081E-2,7.287675448E-2
3.631912499E-2,8.467316441E-4,1.020290709E-2,5.186655700E-2,5.286734344E-2
4.628612500E-2,3.504559765E-2,4.725005690E-2,-3.215500832E-2,6.704257119E-2
5.625312499E-2,1.493252797E-2,3.650111580E-2,5.845461488E-3,3.986829902E-2
6.622112500E-2,4.308299756E-2,3.701473888E-2,-1.481976807E-2,5.870145738E-2
7.618812499E-2,3.978810981E-2,2.567005787E-2,-4.794716835E-3,4.759238240E-2
8.615512500E-2,4.869842593E-2,1.323084660E-2,-4.947913885E-3,5.070575748E-2
9.612212499E-2,5.408996075E-2,5.551963239E-3,-1.631373167E-4,5.437439438E-2
1.060901250E-1,4.916823143E-2,7.473303485E-3,3.876119256E-3,4.988376036E-2
1.160571250E-1,3.979306167E-2,6.997198518E-3,2.079269886E-3,4.045703780E-2
1.260241250E-1,4.572749220E-2,1.338258642E-2,1.285861194E-2,4.935018807E-2
1.359921250E-1,3.808675278E-2,2.027198147E-2,7.320713997E-3,4.376239051E-2
1.459591250E-1,4.000378070E-2,3.027320530E-2,9.118732810E-3,5.098941770E-2
1.559261250E-1,3.276589617E-2,3.692424865E-2,-3.069788218E-4,4.936697607E-2
1.658941250E-1,1.859672220E-2,3.744216121E-2,-8.384907246E-3,4.263871694E-2
1.758611250E-1,1.143132487E-2,2.786052535E-2,-4.041595459E-3,3.038451176E-2
1.858281250E-1,5.819276925E-3,2.884113082E-2,1.376960814E-2,3.248502608E-2
1.957951250E-1,1.368708931E-2,1.989232358E-2,5.984625220E-3,2.487683039E-2
2.057631250E-1,7.106376998E-3,2.619986129E-2,8.529333472E-3,2.845492672E-2
2.157301250E-1,-2.872572597E-3,2.183865154E-2,1.361874998E-2,2.589688640E-2
2.256971250E-1,-3.484849166E-3,1.860655740E-2,1.062672973E-2,2.170888152E-2
2.356651250E-1,5.315484479E-5,7.197374292E-3,7.627108097E-3,1.048703009E-2
2.456321250E-1,-1.779726164E-2,1.350324006E-2,-2.558156848E-3,2.248608860E-2
2.555991250E-1,-9.708241783E-3,8.664833559E-3,4.163217545E-3,1.366241851E-2
2.655671250E-1,-1.646674599E-2,1.812024265E-2,-5.587599277E-3,2.511410327E-2
2.755341250E-1,-1.157810826E-2,2.185468113E-2,-6.506781578E-3,2.557377338E-2
2.855011250E-1,-2.036621757E-3,2.355284046E-2,8.134646416E-3,2.500113186E-2
2.954691250E-1,-1.945375957E-2,5.133610948E-2,-2.555759490E-2,6.055605299E-2
3.054361250E-1,-4.669367149E-4,5.526789148E-2,-1.267150104E-2,5.670383406E-2
3.154031250E-1,2.305812947E-4,1.222648682E-2,-7.154302239E-2,7.258060485E-2
3.253711250E-1,-6.979930960E-3,6.905669494E-2,-9.933542311E-2,1.211819823E-1
3.353381250E-1,6.715784820E-2,1.658488716E-2,1.336667651E-1,1.505059439E-1
3.453051250E-1,-4.545819137E-2,1.633536637E-2,-5.256646872E-4,4.830701482E-2
3.552721250E-1,-1.579623481E-2,-5.882924781E-3,1.240551120E-1,1.251950504E-1
3.652401250E-1,7.272949554E-3,-3.996576467E-2,1.021344852E-1,1.099163828E-1
3.752071250E-1,2.118433440E-2,2.659948650E-3,1.271547210E-1,1.289347681E-1
3.851741250E-1,3.447923999E-2,-1.930870750E-2,8.466008127E-2,9.342897589E-2
3.951421250E-1,4.336240310E-1,-4.482843528E-1,-2.844085693E-3,6.236960398E-1
4.051091250E-1,1.533517674E0,-1.074115754E0,8.706737995E-2,1.874295025E0
4.150761250E-1,1.854604073E0,-5.521093778E-1,1.713000298E-1,1.942607715E0
4.250441250E-1,1.964848939E0,-2.559149596E-1,3.083839077E-1,2.005299093E0
4.350111250E-1,1.551272891E0,-1.174792602E-1,4.195318758E-1,1.611290152E0
4.449781250E-1,1.428392046E0,-1.918723617E-1,6.015638852E-1,1.561729153E0
4.549461250E-1,1.126033255E0,-2.001138294E-1,1.126333948E0,1.605186780E0
4.649131250E-1,4.071190410E-1,2.226011245E-1,2.373428103E0,2.418358562E0
4.748801250E-1,-2.260837626E-1,9.029010209E-1,2.667195725E0,2.824938435E0
4.848471250E-1,-5.080433719E-1,1.528070847E0,2.580926490E0,3.042086476E0
4.948151250E-1,-4.484719388E-1,1.758356711E0,2.318715706E0,2.944382436E0
5.047821250E-1,-3.652890104E-1,1.315750991E0,1.143996048E0,1.781393749E0
5.147491250E-1,-5.683230489E-2,4.865377513E-1,-3.853712726E-1,6.232655229E-1
5.247171250E-1,6.796344468E-1,3.317160888E-1,-1.803356152E0,1.955513220E0
5.346841250E-1,1.154199439E0,7.920762576E-1,-1.897034394E0,2.357604851E0
5.446511250E-1,1.661589531E0,4.457331030E-1,-2.023984462E0,2.656326575E0
5.546191250E-1,2.084839944E0,-5.300863516E-1,-2.668247055E0,3.427403022E0
5.645861250E-1,2.081711976E0,-9.103522740E-1,-2.519428985E0,3.392607908E0
5.745531250E-1,8.747747442E-1,2.604912463E-1,-1.817256153E0,2.033594470E0
5.845211250E-1,-3.123816490E-1,1.093519228E0,-5.633306962E-1,1.269136742E0
5.944881250E-1,-3.308050561E-1,6.484804087E-1,7.502720279E-1,1.045402765E0
6.044551250E-1,-5.966528088E-2,-4.658590000E-1,1.715013494E0,1.778160802E0
6.144231250E-1,-1.503804463E-1,-1.213190098E0,1.863916349E0,2.229042092E0
6.243901250E-1,-5.906529808E-1,-5.284503372E-1,9.899043739E-1,1.268085712E0
6.343571250E-1,-1.053311580E0,2.789416054E-1,5.222849965E-1,1.208327490E0
6.443241250E-1,-1.589311221E0,8.547712733E-1,3.775956452E-1,1.843670946E0
6.542921250E-1,-2.070591449E0,1.232577564E0,8.022707319E-1,2.539731231E0
6.642591250E-1,-2.467831984E0,9.664530922E-1,1.767039680E0,3.185381533E0
6.742261250E-1,-2.536261949E0,4.034548102E-1,2.286005797E0,3.438200541E0
6.841941250E-1,-2.728007938E0,8.650632134E-2,2.164461479E0,3.483447164E0
6.941611250E-1,-3.171956032E0,-1.601526786E-1,1.386979433E0,3.465640763E0
7.041281250E-1,-3.393778344E0,-3.387458673E-1,6.582508868E-1,3.473582364E0
7.140961250E-1,-3.347778298E0,-5.331954258E-1,1.069785526E0,3.554765529E0
7.240631250E-1,-2.846507025E0,-8.969397846E-1,1.347048798E0,3.274392109E0
7.340301250E-1,-1.575892446E0,-1.350868637E0,1.163783610E0,2.379637655E0
7.439981250E-1,-1.584303081E-1,-1.330335993E0,1.243044958E0,1.827581677E0
7.539651250E-1,2.650694883E-1,-7.526945293E-1,1.683903383E0,1.863421984E0
7.639321250E-1,5.492880231E-1,-1.712744482E-1,1.727828836E0,1.821110858E0
7.739001250E-1,5.904483283E-1,-1.890105882E-1,8.146545500E-1,1.023726656E0
