"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.589749991E-3,-3.439399855E-2,3.161092490E-2,-5.644960463E-2,7.327179247E-2
1.355675000E-2,-2.107760444E-2,2.341586030E-2,-5.112805367E-3,3.191721638E-2
2.352375000E-2,-1.235675639E-2,1.410077068E-2,-6.695178866E-2,6.952742745E-2
3.349175000E-2,-2.191781279E-2,-4.857062772E-3,-1.800299227E-2,2.877654091E-2
4.345874999E-2,-2.604130581E-2,-2.602010965E-3,3.618315518E-2,4.465580352E-2
5.342575000E-2,2.247304246E-3,3.509946512E-3,3.548675179E-3,5.473864852E-3
6.339387500E-2,-8.731427863E-3,6.601186702E-3,-4.982412457E-3,1.202655114E-2
7.336087500E-2,-1.376708653E-3,2.448918069E-2,1.014082611E-2,2.654150809E-2
8.332787499E-2,9.474663790E-3,3.012586003E-2,-9.168434143E-3,3.288459945E-2
9.329587499E-2,6.181840841E-3,2.546513580E-2,-1.275862455E-2,2.914568232E-2
1.032628750E-1,2.033186518E-4,2.914776703E-2,-8.562662601E-3,3.038013911E-2
1.132298750E-1,4.873617701E-3,2.391271831E-2,-2.308071434E-2,3.359002265E-2
1.231978750E-1,1.281793725E-2,1.163045911E-2,2.152769387E-2,2.762261207E-2
1.331648750E-1,1.726564011E-2,8.098302316E-3,4.014113545E-3,1.948840517E-2
1.431318750E-1,1.737810764E-2,2.186621111E-3,1.195170879E-2,2.120432221E-2
1.530998750E-1,1.497778907E-2,7.428613398E-4,9.256727099E-3,1.762308160E-2
1.630668750E-1,2.142381443E-2,7.567576133E-5,-5.558947921E-3,2.213340131E-2
1.730338750E-1,2.545541480E-2,4.194171242E-3,8.794212341E-4,2.581361263E-2
1.830018750E-1,1.653230790E-2,1.618311949E-2,2.378062606E-3,2.325652043E-2
1.929688750E-1,2.982772512E-2,2.352608032E-2,-1.364155412E-3,3.801355760E-2
2.029358750E-1,1.801243918E-2,3.041571748E-2,-2.561665177E-3,3.544186738E-2
2.129038750E-1,1.966670785E-2,3.326715787E-2,4.024638534E-3,3.885461241E-2
2.228708750E-1,1.347675400E-2,2.522970314E-2,-3.162758946E-3,2.877783632E-2
2.328378750E-1,8.292722236E-3,9.989246177E-3,1.928937972E-2,2.325154728E-2
2.428058750E-1,8.148515280E-3,-7.111831354E-3,1.419879377E-2,1.784887086E-2
2.527728750E-1,5.727420822E-3,-1.814505220E-2,1.569275737E-2,2.466391904E-2
2.627398750E-1,1.295359265E-3,-2.133391349E-2,6.558821797E-3,2.235692205E-2
2.727078750E-1,9.524383396E-3,-1.011157176E-2,-8.562077880E-3,1.631768795E-2
2.826748750E-1,-4.626792111E-4,3.471884793E-3,-1.678150892E-3,3.883844292E-3
2.926418750E-1,-2.039448520E-2,1.539814906E-2,-2.338243067E-2,3.463778407E-2
3.026088750E-1,-8.897927329E-3,3.050927293E-2,-1.754807889E-2,3.630322187E-2
3.125768750E-1,-1.375685390E-2,3.463293040E-2,1.611492634E-3,3.729997059E-2
3.225438750E-1,-2.313129276E-2,2.763493703E-2,3.402494788E-3,3.619838974E-2
3.325108750E-1,-1.735574204E-2,3.165090524E-2,2.270707726E-2,4.264519835E-2
3.424788750E-1,-1.493382532E-2,1.356187667E-2,3.871733844E-2,4.365748428E-2
3.524458750E-1,-7.467406020E-3,2.683881121E-3,2.823269606E-2,2.932661755E-2
3.624128750E-1,-1.693381062E-2,-7.520862361E-3,1.939521432E-2,2.682334154E-2
3.723808750E-1,-2.525114598E-2,-1.439249192E-2,-1.264168024E-3,2.909230685E-2
3.823478750E-1,-1.405380109E-2,-6.799434721E-3,-2.507052183E-2,2.953426320E-2
3.923148750E-1,-2.333799183E-2,1.324874000E-2,-1.204994202E-2,2.941754709E-2
4.022828750E-1,-2.319451578E-2,2.353196408E-2,-2.507636905E-2,4.147967189E-2
4.122498750E-1,-1.579130122E-2,4.111419437E-2,-9.063768983E-3,4.496547654E-2
4.222168750E-1,-3.222108185E-3,5.173420893E-2,1.323634207E-2,5.349776730E-2
4.321848750E-1,8.731902950E-4,4.873869862E-2,3.952133060E-3,4.890646747E-2
4.421518750E-1,4.797841441E-3,3.521459132E-2,5.847215652E-5,3.553997950E-2
4.521188750E-1,1.420179047E-3,1.935287682E-2,-1.715806961E-2,2.590270454E-2
4.620868750E-1,1.669398341E-2,1.843254335E-2,-5.577951372E-2,6.107210400E-2
4.720538750E-1,2.417860217E-3,5.384901892E-3,-1.416604936E-2,1.534666644E-2
4.820208750E-1,5.634249095E-3,-7.802378386E-5,-1.890989542E-3,5.943626168E-3
4.919888750E-1,6.903277617E-3,2.704090560E-3,-1.910460770E-2,2.049276416E-2
5.019558750E-1,7.170806006E-3,1.319886507E-2,4.031889081E-2,4.302607877E-2
5.119228750E-1,2.367082631E-2,2.894793844E-2,4.914818645E-2,6.175625789E-2
5.218908750E-1,1.329711657E-2,2.658392742E-2,3.641938269E-2,4.700946651E-2
5.318578750E-1,4.828155600E-3,2.480203413E-2,8.570848703E-3,2.668166845E-2
5.418248750E-1,-4.297118783E-3,1.829580073E-2,-2.541199923E-2,3.160650659E-2
5.517928750E-1,-1.163732959E-2,1.966173772E-2,-2.631247044E-2,3.484763221E-2
5.617598750E-1,-2.281214442E-2,2.040037810E-2,-2.885542452E-2,4.206191727E-2
