"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.928416668E-3,-4.330727482E-2,3.646957053E-2,-1.696745038E-2,5.910536354E-2
1.689541666E-2,-5.697654840E-3,1.170367036E-2,-8.890106678E-3,1.576303167E-2
2.686341667E-2,-1.952376170E-2,1.013461801E-2,-7.096765637E-3,2.311388837E-2
3.683041666E-2,-1.878454573E-3,1.125743416E-2,1.894848704E-2,2.212020743E-2
4.679741667E-2,1.171285003E-2,1.760320032E-2,1.250836372E-2,2.456669861E-2
5.676541667E-2,1.250905808E-2,1.939293482E-2,-3.206028342E-3,2.329895003E-2
6.673241667E-2,3.502409086E-3,4.549478672E-3,1.284048557E-3,5.883315926E-3
7.670041667E-2,4.943857379E-3,-1.905043873E-2,-1.233645558E-2,2.322819575E-2
8.666741666E-2,3.314951006E-3,-3.630874698E-2,3.199128628E-2,4.850522039E-2
9.663541666E-2,-3.394710682E-3,-4.091963740E-2,-3.083412230E-2,5.134865026E-2
1.066024167E-1,-1.476840394E-2,-7.220734832E-2,-3.141416609E-2,8.011776793E-2
1.165704167E-1,-4.299934583E-2,-1.158955236E-1,2.951674461E-2,1.270903393E-1
1.265374167E-1,3.972236518E-2,1.552630176E-1,-5.307225287E-2,1.688227915E-1
1.365054167E-1,-2.132285859E-2,5.597111053E-2,2.600490689E-2,6.529689652E-2
1.464724167E-1,4.712545183E-2,5.337125572E-2,4.945574999E-3,7.137056718E-2
1.564394167E-1,-6.792162247E-3,4.484620260E-3,6.477428555E-2,6.528363774E-2
1.664074167E-1,-1.786098533E-1,2.319730006E-2,1.165560579E-1,2.145341676E-1
1.763744167E-1,-6.961990971E-2,-8.893288386E-3,6.153025031E-2,9.333806356E-2
1.863424167E-1,-1.996893581E-2,3.560732778E-3,6.020059347E-2,6.352596847E-2
1.963086667E-1,-9.784986489E-3,3.018042186E-2,4.505864382E-3,3.204538404E-2
2.062766667E-1,-7.857060816E-2,3.258694396E-2,6.479533553E-2,1.069284101E-1
2.162436667E-1,-1.009779791E-1,5.751973189E-2,4.294850063E-1,4.449297051E-1
2.262116667E-1,-1.997420196E-1,-2.591415628E-2,4.855773461E-1,5.256936151E-1
2.361786667E-1,-2.488431725E-1,-5.492139827E-1,1.277432433E0,1.412583641E0
2.461456667E-1,1.058068437E0,-1.044767921E0,1.855353686E0,2.377685035E0
2.561136667E-1,2.559785298E0,-3.479231088E-1,1.586812121E0,3.031752623E0
2.660806667E-1,2.172222196E0,6.034035654E-1,2.335794253E0,3.246317903E0
2.760486667E-1,2.808362129E0,1.642141253E0,2.317187244E0,3.994105966E0
2.860156667E-1,3.795701914E0,3.183745480E0,2.456845651E0,5.529889588E0
2.959836667E-1,2.998534048E0,3.923238166E0,2.822588405E0,5.687706871E0
3.059506667E-1,2.557729124E0,3.707585252E0,1.733421113E0,4.826273451E0
3.159186667E-1,2.612535661E0,2.624367794E0,4.324957377E-1,3.728230339E0
3.258856667E-1,3.524569156E0,6.392130835E-1,-7.162003022E-1,3.652960987E0
3.358526667E-1,3.588390930E0,-1.361067497E0,-1.260110056E0,4.039422181E0
3.458206667E-1,3.182809634E0,-2.632769366E0,-2.490829083E0,4.823482271E0
3.557876667E-1,1.274113553E0,-2.525457464E0,-3.197485560E0,4.269099982E0
3.657556667E-1,-2.277795721E0,-6.266374768E-1,-2.511090270E0,3.447695204E0
3.757226667E-1,-4.020419183E0,8.126186956E-1,-2.066934600E0,4.593075026E0
3.856906667E-1,-2.063500530E0,3.258520990E-1,-1.880283875E0,2.810637201E0
3.956576667E-1,-3.552791619E-1,-6.497596333E-1,-4.691057396E-1,8.766248108E-1
4.056256667E-1,-4.843020684E-1,-9.186160708E-1,7.234894413E-1,1.265638554E0
4.155926667E-1,-1.364248967E0,-5.697125667E-1,1.203356397E0,1.906256612E0
4.255596667E-1,-1.990664688E0,2.567651264E-1,1.294370647E0,2.388319410E0
4.355276667E-1,-1.837558270E0,6.720504619E-1,1.621608902E0,2.541237425E0
4.454946667E-1,-1.903480364E0,6.405077302E-1,2.391840985E0,3.123202034E0
4.554626667E-1,-2.300298146E0,4.839903387E-1,2.979752206E0,3.795331530E0
4.654296667E-1,-2.927124926E0,6.788928006E-1,2.898095255E0,4.174675062E0
4.753976667E-1,-3.571281100E0,8.538343301E-1,2.924172083E0,4.694024300E0
4.853646667E-1,-3.790284469E0,8.251394847E-1,3.526414245E0,5.242395345E0
4.953326667E-1,-3.264391156E0,6.397538048E-1,4.565203973E0,5.648594680E0
5.052996667E-1,-2.354623457E0,5.611391233E-1,5.120535386E0,5.663833629E0
5.152666667E-1,-1.765472041E0,6.240037447E-1,4.239578088E0,4.634683869E0
5.252346667E-1,-1.106924701E0,1.919174766E-1,3.401740497E0,3.582450701E0
5.352016667E-1,4.336628419E-1,-1.276449808E0,3.677087637E0,3.916421972E0
5.451696667E-1,-3.695494671E0,-2.354410765E0,1.571823661E0,4.655164931E0
5.551366667E-1,-8.266232157E-1,-1.345366700E0,3.215829153E0,3.582579327E0
5.651046667E-1,2.797720782E0,-1.613079276E0,6.076814761E0,6.881638174E0
5.750716667E-1,-1.736958679E0,-3.200514783E-1,3.453991801E0,3.879370795E0
5.850396667E-1,-7.658057410E-1,4.109671667E-1,2.196407011E0,2.362108423E0
5.950066667E-1,1.094095910E-1,3.444931869E-2,2.085127627E0,2.088280257E0
6.049736667E-1,-5.617788452E-1,-6.383722539E-1,1.611499650E0,1.822099264E0
6.149416667E-1,-6.631783354E-1,-1.342084804E0,1.074776709E0,1.842862474E0
6.249086667E-1,-6.259543759E-1,-1.866681205E0,6.718100683E-1,2.080299586E0
6.348766667E-1,-1.260795350E0,-1.931806177E0,5.767902558E-1,2.377849242E0
6.448436667E-1,-9.324654204E-1,-2.000812385E0,3.338125715E-1,2.232526101E0
6.548116667E-1,1.439637119E-1,-3.577876540E-1,1.062668003E0,1.130486992E0
6.647786667E-1,-1.081529658E0,6.404398294E-1,2.153610216E0,2.493573047E0
6.747466667E-1,-1.485436605E0,4.141622315E-1,2.563928342E0,2.991952674E0
6.847136667E-1,-2.147974670E-1,-4.395887757E-1,2.740612488E0,2.783941999E0
6.946806667E-1,-5.672576863E-1,-4.789862184E-1,3.611085436E0,3.686617298E0
7.046486667E-1,-1.731793249E0,4.560213155E-1,4.382931935E0,4.734675875E0
7.146156667E-1,-2.129445428E0,3.474114044E-1,4.960801733E0,5.409693739E0
7.245836667E-1,-1.801808394E0,4.491182389E-3,5.439189928E0,5.729862191E0
7.345506667E-1,-1.849656159E0,-2.132442090E-1,6.126676308E0,6.403347842E0
7.445186667E-1,-2.138087028E0,-1.766820994E-1,6.717181354E0,7.051464958E0
7.544856667E-1,-1.224151727E0,3.217765714E-2,7.575605237E0,7.673941462E0
7.644536667E-1,3.610158652E-1,1.044406271E-1,8.092810757E0,8.101532340E0
7.744206667E-1,9.938776300E-1,1.714010039E-1,5.726686411E0,5.814817994E0
7.843886667E-1,-1.447325272E1,6.672398114E-1,-3.263623884E1,3.570776301E1
7.943556667E-1,-5.963043732E0,4.657718400E-3,1.015216970E-1,5.963909699E0
8.043226667E-1,-1.928006218E0,7.475619530E-3,2.943480173E0,3.518712746E0
8.142906667E-1,-2.975746571E0,9.971604031E-4,-6.425259697E-1,3.044323943E0
8.242576667E-1,-2.714444152E0,-5.261449811E-2,-4.185331714E-1,2.747024818E0
8.342256667E-1,-2.357433483E0,-4.273490550E-2,4.254597831E-1,2.395899607E0
8.441926667E-1,-2.117061318E0,-7.293264060E-2,-2.790946198E-1,2.136623879E0
8.541606667E-1,-1.659316134E0,-1.729463133E-1,6.923980415E-2,1.669740881E0
8.641276667E-1,-9.209302526E-1,-2.749215350E-1,3.473725569E-1,1.021940348E0
8.740956667E-1,1.419382729E-1,-1.267892883E-2,-4.106464469E-1,4.346696826E-1
8.840626667E-1,-4.330568511E-2,2.942757457E-2,1.612077355E-2,5.478360930E-2
8.940296667E-1,-5.140131963E-2,1.912621499E-2,3.094931245E-2,6.297434161E-2
9.039976667E-1,-6.936310731E-2,1.333334190E-2,-3.802274770E-1,3.867324048E-1
9.139646667E-1,-5.356161000E-2,-7.649967056E-3,-3.151064515E-3,5.419683819E-2
9.239326667E-1,-3.116220592E-2,-3.607717440E-2,3.296660185E-3,4.778612307E-2
9.338996667E-1,-3.865188617E-2,-3.780122593E-2,-1.089611095E-1,1.216364434E-1
9.438676667E-1,-5.211332778E-2,3.991638310E-5,8.354618669E-2,9.846707995E-2
9.538346667E-1,-5.601555850E-2,2.310829676E-2,-5.715536356E-2,8.329748950E-2
9.638026667E-1,-3.596907400E-2,-1.556309536E-3,-1.330393589E-1,1.378247706E-1
9.737696667E-1,-9.970416315E-4,-3.916753750E-2,-2.629960656E-2,4.718855149E-2
9.837366667E-1,2.337766154E-2,-5.962628726E-2,-1.705843306E-1,1.822109300E-1
9.937046667E-1,5.036247041E-2,-5.965295604E-2,-1.508078778E-1,1.698171652E-1
1.003671667E0,5.634124842E-2,-2.151345042E-2,-2.400282025E-2,6.490993916E-2
1.013639667E0,6.508389562E-2,1.589099625E-2,-6.544905424E-2,9.365904085E-2
1.023606667E0,7.910016490E-2,4.223898852E-2,-2.038163960E-2,9.195857476E-2
1.033574667E0,8.926940482E-2,4.469096359E-2,9.069616199E-2,1.348781030E-1
