"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.733166675E-3,3.732262219E-2,1.311405761E-2,1.394034684E-2,4.194388995E-2
1.170116667E-2,-2.155722231E-3,1.697439852E-2,-4.129537582E-2,4.469994863E-2
2.166916667E-2,-1.549704010E-3,2.469634343E-2,-4.294078231E-2,4.956028396E-2
3.163616668E-2,-1.455381112E-3,2.071345995E-2,-1.854093611E-2,2.783759812E-2
4.160416668E-2,-1.262647748E-2,1.284035310E-2,-1.719256818E-2,2.489753004E-2
5.157216667E-2,-8.128260160E-3,1.141902745E-2,1.738494158E-2,2.233156946E-2
6.153916667E-2,-1.841533061E-2,1.092608204E-2,3.100486100E-2,3.768030090E-2
7.150716668E-2,-1.834078775E-2,1.648805407E-2,1.543431044E-2,2.909395746E-2
8.147516668E-2,-1.808093383E-2,1.570281869E-2,6.302713752E-3,2.476333749E-2
9.144216667E-2,-2.239066067E-2,4.005863490E-3,-1.240896106E-2,2.591082674E-2
1.014101667E-1,-3.158442970E-2,-7.520572285E-3,-2.887413561E-2,4.344940638E-2
1.113771667E-1,-3.385908796E-2,-2.804125913E-3,-2.662705064E-2,4.316596790E-2
1.213451667E-1,-3.792657562E-2,4.359759365E-3,-2.363327622E-2,4.489949203E-2
1.313131667E-1,-3.871986919E-2,1.058036313E-2,1.814975739E-3,4.018042423E-2
1.412801667E-1,-1.971121064E-2,1.735171752E-2,1.708322525E-2,3.132811055E-2
1.512481667E-1,-9.626600035E-3,3.285347650E-2,2.337190568E-2,4.145200021E-2
1.612161667E-1,-1.213920342E-2,3.524067081E-2,3.534641862E-2,5.136764009E-2
1.711831667E-1,-1.179405324E-2,2.345294672E-2,3.339812636E-2,4.248029245E-2
1.811511667E-1,2.783685783E-3,6.209283925E-3,4.507033825E-3,8.161952420E-3
1.911181667E-1,9.206057321E-3,-9.145365050E-4,-6.272308230E-3,1.117719638E-2
2.010861667E-1,2.544347369E-2,3.033110644E-3,-1.345795155E-2,2.894281558E-2
2.110541667E-1,4.099531316E-2,1.273240345E-3,-1.495308459E-2,4.365583101E-2
2.210211667E-1,4.984262553E-2,8.120617666E-3,4.505864382E-3,5.070043949E-2
2.309891667E-1,4.303789177E-2,-1.796390272E-3,-8.815847039E-3,4.396824201E-2
2.409571667E-1,5.610996363E-2,3.836956616E-3,1.977411389E-2,5.961598640E-2
2.509241667E-1,5.434921168E-2,1.622974647E-3,2.201652110E-2,5.866172566E-2
2.608921667E-1,5.229166785E-2,3.784918680E-3,1.258554697E-2,5.391790175E-2
2.708591667E-1,4.772134705E-2,5.639093604E-3,8.243989348E-3,4.875540690E-2
2.808271667E-1,4.571856606E-2,1.503917799E-2,5.997489095E-3,4.850086631E-2
2.907951667E-1,3.810275953E-2,7.143397182E-3,-1.001978874E-2,4.004053663E-2
3.007621667E-1,2.698666354E-2,5.001461590E-3,-1.061795890E-2,2.942848413E-2
3.107301667E-1,1.417331270E-2,5.442161208E-3,-1.181605339E-2,1.923847783E-2
3.206981667E-1,6.799580902E-3,4.200726519E-3,-7.773873210E-3,1.114959678E-2
3.306651667E-1,-8.146505300E-3,3.895837620E-3,5.099356771E-3,1.037046474E-2
3.406331667E-1,-1.035495297E-2,1.189102566E-2,1.587869883E-2,2.237754720E-2
3.506001667E-1,-1.332038666E-2,2.533649934E-2,2.171597421E-2,3.592985438E-2
3.605681667E-1,-2.545423622E-2,3.426432056E-2,9.940266609E-6,4.268444569E-2
3.705361667E-1,-3.455074048E-2,2.869195145E-2,-3.583173752E-3,4.505353349E-2
3.805031667E-1,-3.768487548E-2,1.341790269E-2,-7.924146652E-3,4.077967695E-2
3.904711667E-1,-3.990291623E-2,1.313603948E-2,-3.883135915E-3,4.218858853E-2
4.004391667E-1,-4.662341354E-2,1.229686811E-2,-2.199371696E-2,5.299697389E-2
4.104061667E-1,-3.519498487E-2,1.161118614E-2,-1.286387444E-2,3.922991039E-2
4.203741667E-1,-3.011590149E-2,1.788907435E-2,3.153403401E-3,3.517002213E-2
4.303411667E-1,-2.776692878E-2,1.587061094E-2,1.243468881E-2,3.431472150E-2
4.403091667E-1,-2.303416503E-2,8.482765881E-3,5.399903655E-3,2.513342466E-2
4.502771667E-1,-1.289916786E-2,2.596159182E-3,1.827196419E-2,2.251651060E-2
4.602441667E-1,-1.329108663E-2,5.279112970E-3,9.439744949E-3,1.713565879E-2
4.702121667E-1,7.809111821E-3,2.716424530E-3,3.599545956E-3,9.017644966E-3
4.801801667E-1,2.073100160E-2,2.068035466E-2,-4.426342249E-4,2.928561799E-2
4.901471667E-1,3.115827732E-2,2.106648560E-2,7.041801810E-3,3.826515430E-2
5.001151667E-1,3.736568145E-2,2.254994248E-2,1.213063359E-2,4.529731038E-2
5.100821667E-1,4.574447653E-2,2.415893634E-3,5.841953158E-3,4.617923876E-2
5.200501667E-1,4.648247737E-2,-2.123315865E-4,2.548801303E-3,4.655278913E-2
5.300181667E-1,4.288485917E-2,6.710867677E-4,1.182774782E-2,4.449109037E-2
5.399851667E-1,5.251029890E-2,3.342245626E-3,7.783813477E-3,5.318918921E-2
5.499531667E-1,5.194915806E-2,8.828868514E-3,-6.734822989E-3,5.312270497E-2
5.599211667E-1,4.629969707E-2,8.868590752E-3,4.491246343E-3,4.735488511E-2
