"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.323375110E-3,1.024796263E-2,-2.446870630E-2,2.998200756E-1,3.009913887E-1
1.527237520E-2,9.655971330E-2,-2.490315442E-2,5.713957608E-2,1.149298764E-1
2.522037504E-2,1.659407642E-1,2.948063349E-2,-1.168215215E-2,1.689435340E-1
3.516837512E-2,2.984166342E-1,9.587811068E-2,-3.159461117E-1,4.450472393E-1
4.511637520E-2,3.820889015E-1,1.798326706E-1,-1.296468043E-1,4.417465472E-1
5.506537505E-2,-2.705165899E-1,-8.871612118E-2,-8.695394397E-2,2.976756019E-1
6.501337513E-2,2.651161381E-2,1.453406215E-1,6.402888250E-1,6.571122746E-1
7.496137521E-2,-1.154666120E-1,-4.290801049E-2,-1.974663198E-1,2.327371550E-1
8.490937506E-2,-1.908239742E-2,2.425494488E-2,-1.117736202E-1,1.159559504E-1
9.485837515E-2,-8.386662324E-2,2.260234358E-2,3.863343090E-1,3.959781240E-1
1.048063750E-1,-6.669910672E-2,-9.585961886E-3,1.428737909E-1,1.579670270E-1
1.147543751E-1,6.855772644E-2,-2.401497150E-2,6.009768248E-2,9.427943652E-2
1.247023751E-1,1.400135614E-1,-3.928851548E-2,-1.416569853E-1,2.030125274E-1
1.346503750E-1,1.408544732E-1,-4.675035751E-2,-5.554971814E-2,1.584656106E-1
1.445993751E-1,1.466130853E-1,-1.530010313E-2,1.864817405E-1,2.377076554E-1
1.545473752E-1,6.600604721E-2,-5.567903754E-2,1.234434932E-1,1.506494259E-1
1.644959168E-1,4.358072352E-2,-2.170588776E-2,2.541609228E-2,5.492178778E-2
1.744439167E-1,-5.396568915E-2,-2.598470659E-3,-5.882942140E-2,7.987457967E-2
1.843929167E-1,-1.080705877E-1,4.148421805E-2,1.408301890E-2,1.166127081E-1
1.943409168E-1,-1.185324808E-1,9.570474073E-2,1.374025512E-1,2.051555689E-1
2.042889167E-1,-5.025119972E-2,1.091823353E-1,9.260995567E-2,1.517318994E-1
2.142369167E-1,7.967848194E-2,9.032500084E-2,3.376825511E-2,1.250902127E-1
2.241859168E-1,1.784070646E-1,3.620103487E-2,-2.340465009E-2,1.835412032E-1
2.341339167E-1,2.000348555E-1,-1.498241660E-2,-8.121197820E-3,2.007594831E-1
2.440819168E-1,1.359258186E-1,-4.199640673E-2,7.451340795E-2,1.605981765E-1
2.540299168E-1,7.239282383E-3,-4.921140490E-2,8.664287210E-2,9.990573991E-2
2.639789167E-1,-9.886457607E-2,-5.851261195E-2,5.401833236E-2,1.269484556E-1
2.739269168E-1,-1.650558612E-1,-4.922055944E-2,3.860214829E-2,1.765112650E-1
2.838749168E-1,-1.320638971E-1,-4.374009669E-2,5.131691873E-2,1.482818098E-1
2.938229167E-1,-4.198723848E-2,-3.499404165E-2,8.751995444E-2,1.031855299E-1
3.037719168E-1,1.050351793E-1,-1.582462122E-2,4.469611645E-2,1.152412702E-1
3.137199169E-1,1.859895146E-1,2.723464030E-3,2.134818435E-2,1.872305043E-1
3.236679167E-1,2.058958486E-1,2.741026690E-2,2.929981291E-2,2.097686875E-1
3.336159168E-1,1.345452179E-1,4.722445706E-2,1.569217265E-2,1.434531606E-1
3.435649169E-1,2.775643121E-2,7.382531400E-2,6.689097762E-2,1.034166299E-1
3.535129167E-1,-4.815742143E-2,6.387595680E-2,5.521291852E-2,9.719949315E-2
3.634609168E-1,-8.989545889E-2,4.103202728E-2,1.155363035E-1,1.520311094E-1
3.734089169E-1,-8.700404730E-2,4.739451511E-3,8.355086446E-3,8.753270312E-2
3.833579167E-1,-4.836275007E-2,-1.170523952E-2,4.622399390E-2,6.791631496E-2
3.933059168E-1,-7.970111249E-3,-3.181394205E-2,6.582269132E-2,7.354098364E-2
4.032539167E-1,4.714948936E-2,-3.087204698E-2,4.979956627E-2,7.520740942E-2
4.132019167E-1,6.966708030E-2,-2.396980176E-2,5.518719077E-2,9.205259094E-2
4.231499168E-1,1.137753963E-1,-1.712528409E-2,2.719656944E-2,1.182276175E-1
4.330989167E-1,1.067168933E-1,-2.212081167E-2,3.349051237E-2,1.140150869E-1
4.430469167E-1,8.639452075E-2,-3.636282915E-3,5.116021335E-2,1.004719025E-1
4.529949168E-1,3.132770953E-2,1.302919532E-3,5.820143044E-2,6.610998025E-2
4.629429167E-1,-5.467950627E-3,1.555784657E-2,4.278875470E-2,4.585654373E-2
4.728919168E-1,-3.984763264E-2,1.432665593E-2,4.877805769E-2,6.459400753E-2
4.828399168E-1,-5.616587763E-2,2.438020777E-2,5.850256205E-2,8.468500521E-2
4.927879167E-1,-3.881756337E-2,2.805794653E-2,5.415457249E-2,7.229639902E-2
5.027359168E-1,1.051283693E-3,2.627270937E-2,4.351965666E-2,5.084605167E-2
5.126849168E-1,4.879585516E-2,2.233033842E-2,3.857642055E-2,6.608948265E-2
5.226329167E-1,7.830669774E-2,1.592540346E-2,4.231863856E-2,9.042358407E-2
5.325809168E-1,8.779448122E-2,1.527997135E-2,5.010479093E-2,1.022342337E-1
5.425289168E-1,6.688279152E-2,-4.622630537E-3,4.621580780E-2,8.142835750E-2
5.524779167E-1,3.441138488E-2,-6.512112594E-3,4.921367526E-2,6.040311956E-2
5.624259168E-1,1.475620701E-2,-9.992069285E-3,4.816936255E-2,5.136024320E-2
5.723739169E-1,-1.126375646E-2,-2.384056002E-2,5.490652442E-2,6.090953074E-2
5.823219167E-1,-6.198706403E-3,-2.799378705E-2,5.146134496E-2,5.890964352E-2
5.922709168E-1,1.258097883E-2,-1.468430453E-2,6.043974459E-2,6.345764378E-2
6.022189169E-1,3.943605261E-2,-1.104845102E-2,3.888339937E-2,5.647290732E-2
6.121669167E-1,4.805391658E-2,-8.743816651E-3,3.409394503E-2,5.956534492E-2
6.221149168E-1,5.429644056E-2,1.109225032E-2,4.068200290E-2,6.874712237E-2
6.320639167E-1,6.020560015E-2,1.099473886E-2,4.876811743E-2,7.825552919E-2
6.420119167E-1,3.732830496E-2,3.216811430E-2,4.772146583E-2,6.859685291E-2
6.519599168E-1,2.691903683E-2,2.926846179E-2,4.308228493E-2,5.862900881E-2
6.619079167E-1,1.616599811E-3,1.076694870E-2,5.490769386E-2,5.597674003E-2
6.718559167E-1,-1.076778467E-2,1.720277797E-2,4.502706885E-2,4.938944914E-2
6.818049168E-1,-1.735633590E-2,7.961381539E-3,6.029297948E-2,6.324452045E-2
6.917529167E-1,1.089190096E-2,-2.258308888E-3,5.714717746E-2,5.821969904E-2
7.017009167E-1,2.138074603E-2,-1.386996555E-2,5.849262178E-2,6.380359745E-2
7.116489168E-1,3.007147179E-2,-1.216435558E-2,4.816293061E-2,5.806834634E-2
7.215979167E-1,5.111274127E-2,9.335353877E-4,4.157604218E-2,6.589348292E-2
7.315459168E-1,6.434951275E-2,1.142561470E-2,3.678658783E-2,7.499771668E-2
7.414939168E-1,5.867976923E-2,3.483245750E-3,5.175545990E-2,7.832034185E-2
7.514419167E-1,5.592679046E-2,5.606493093E-3,5.041176975E-2,7.550221974E-2
7.613909168E-1,3.004184285E-2,1.007424551E-2,4.008441746E-2,5.109562866E-2
7.713389168E-1,1.157602519E-2,1.007684021E-2,3.769115210E-2,4.069606878E-2
7.812869167E-1,-3.445161190E-3,1.645210055E-3,5.505445898E-2,5.518667688E-2
7.912349168E-1,-1.827446753E-3,-4.609086011E-3,5.864464939E-2,5.885387105E-2
8.011839169E-1,1.019854909E-3,-1.750144278E-2,4.651752412E-2,4.971137349E-2
8.111319167E-1,1.696131994E-2,-7.641570820E-3,4.711569428E-2,5.065539089E-2
8.210799168E-1,3.907160662E-2,4.264593646E-3,5.175721407E-2,6.498912533E-2
8.310279169E-1,3.721081247E-2,3.259516661E-3,2.526231050E-2,4.509382824E-2
8.409769167E-1,4.092669060E-2,1.549846079E-2,5.160635591E-2,6.766396575E-2
8.509249168E-1,3.440416723E-2,1.933895314E-2,7.016658783E-2,8.050460781E-2
8.608729169E-1,5.079161036E-2,1.145681051E-2,4.876343966E-2,7.133666124E-2
8.708209167E-1,4.833167760E-2,1.093570939E-2,4.128192723E-2,6.449603333E-2
8.807689168E-1,3.033140793E-2,-7.924119243E-4,5.236240089E-2,6.051812333E-2
8.907179167E-1,2.110282970E-2,-9.372661854E-3,5.655660868E-2,6.108867486E-2
9.006659167E-1,5.011219131E-3,-8.765145284E-3,4.562991679E-2,4.673360028E-2
9.106139168E-1,-7.406677203E-3,4.509633095E-3,4.982178569E-2,5.057080172E-2
9.205619167E-1,-1.147796555E-2,9.457725137E-3,4.532878518E-2,4.770629963E-2
9.305109167E-1,-4.530185144E-3,1.285753386E-2,4.413127542E-2,4.618883225E-2
9.404589168E-1,1.869939566E-3,2.919702069E-2,3.604574561E-2,4.642476136E-2
