"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.450708300E-3,-6.638527569E-2,-5.490800450E-2,1.108632088E-1,1.404013705E-1
1.239870838E-2,-9.270182091E-2,4.211893788E-2,4.074117672E-1,4.199428302E-1
2.234770847E-2,-1.491723476E-1,7.043552777E-2,4.498105127E-1,4.791065123E-1
3.229570831E-2,-1.326799561E-1,2.996249888E-2,2.817814153E-1,3.128937330E-1
4.224470840E-2,-1.750053372E-3,1.830594200E-2,-1.319587934E-1,1.332339797E-1
5.219270848E-2,3.334863517E-2,-2.864426238E-2,-2.885998535E-1,2.919289309E-1
6.214170833E-2,5.333191493E-2,2.517888033E-2,-3.138551474E-2,6.680808110E-2
7.208970841E-2,-2.622654377E-2,4.524862351E-2,2.065908998E-1,2.131081167E-1
8.203870850E-2,-2.625748834E-2,6.779418515E-2,2.685064816E-1,2.781748334E-1
9.198670834E-2,-1.479742988E-2,3.844153259E-2,5.457791090E-2,6.837736261E-2
1.019357084E-1,1.286071328E-2,1.430363252E-2,-1.272547084E-1,1.287002434E-1
1.118837085E-1,-4.842810184E-3,1.162319577E-2,-7.721189797E-2,7.823189042E-2
1.218327084E-1,-5.248768662E-2,2.454298878E-2,8.116578519E-2,9.972562475E-2
1.317807084E-1,-7.411325740E-2,2.673120874E-2,1.974394226E-1,2.125785926E-1
1.417297083E-1,-4.782224807E-2,2.240302662E-2,1.161251181E-1,1.275692207E-1
1.516777084E-1,-8.178500533E-3,2.532758005E-4,-7.811880112E-3,1.131271367E-2
1.616267085E-1,2.474987514E-2,9.114996074E-3,-6.107241333E-2,6.652427484E-2
1.715747083E-1,2.189747544E-2,1.693245388E-2,1.304338396E-2,3.059962892E-2
1.815227084E-1,-5.143978335E-3,2.620664954E-2,1.097329420E-1,1.129361215E-1
1.914717085E-1,-2.125811895E-2,2.818112179E-2,1.213881969E-1,1.264166825E-1
2.014197083E-1,-6.133217588E-3,2.389691256E-2,3.980375111E-2,4.682966357E-2
2.113687084E-1,-6.130796475E-3,1.788689763E-2,-2.230128050E-2,2.923824352E-2
2.213167085E-1,-2.381390037E-2,2.950749870E-2,2.414900064E-3,3.799507959E-2
2.312657083E-1,-4.922790044E-2,3.179524924E-2,7.845501602E-2,9.792606187E-2
2.412137084E-1,-4.494758327E-2,4.256560577E-2,1.131681812E-1,1.289928419E-1
2.511627085E-1,-3.354331090E-2,3.942235277E-2,6.570750117E-2,8.364658579E-2
2.611107084E-1,1.076234858E-3,2.600498912E-2,1.601552367E-2,3.056001864E-2
2.710597084E-1,1.753223659E-2,3.125375595E-2,-5.825580955E-3,3.630583940E-2
2.810077085E-1,1.205745203E-2,3.137910564E-2,3.699240983E-2,4.998468570E-2
2.909567084E-1,-1.433067589E-2,3.185403203E-2,7.246395886E-2,8.044297957E-2
3.009047084E-1,-3.767019348E-2,3.869830301E-2,7.185935676E-2,8.989087433E-2
3.108537083E-1,-4.068989664E-2,2.954038929E-2,1.752235115E-2,5.324786454E-2
3.208017084E-1,-2.669092233E-2,1.861684028E-2,4.028029919E-2,5.178314957E-2
3.307507085E-1,-1.575854768E-2,5.732203661E-3,4.686952651E-2,4.977893629E-2
3.406987083E-1,-1.208111499E-2,1.625681725E-2,5.240333140E-2,5.618137225E-2
3.506477084E-1,-1.447572338E-2,1.198536683E-2,5.149935186E-2,5.482133551E-2
3.605957085E-1,1.102753809E-2,1.581760342E-2,3.922370732E-2,4.370700619E-2
3.705447083E-1,-6.109061278E-3,9.714733106E-3,2.740239143E-2,2.970837803E-2
3.804927084E-1,-5.495249815E-3,2.367811249E-2,4.582053602E-2,5.186879893E-2
3.904417085E-1,-2.070762187E-2,2.656211000E-2,5.764711440E-2,6.676481925E-2
4.003897083E-1,-2.986404181E-2,3.476067608E-2,5.315586805E-2,7.018341616E-2
4.103387084E-1,-3.243106999E-2,3.300050656E-2,4.866520643E-2,6.714990730E-2
4.202867085E-1,-2.867862848E-2,3.736449602E-2,4.522236586E-2,6.529649047E-2
4.302357084E-1,-2.880043329E-2,2.426492398E-2,3.160303116E-2,4.916302545E-2
4.401837084E-1,-1.876251818E-2,2.778504373E-2,4.702096939E-2,5.774956542E-2
4.501327083E-1,-1.647526100E-2,3.285898339E-2,5.435396254E-2,6.561631092E-2
4.600807084E-1,2.042030431E-3,1.998700964E-2,4.881314099E-2,5.278610779E-2
4.700297085E-1,-7.097779764E-3,2.327708258E-2,3.654042006E-2,4.390220209E-2
4.799777083E-1,7.642310858E-4,1.441807806E-2,4.941540420E-2,5.148152286E-2
4.899257084E-1,-1.979043128E-2,1.391779394E-2,4.373074114E-2,4.997743370E-2
4.998747085E-1,-1.675242816E-2,1.868133781E-2,5.181451678E-2,5.757065556E-2
5.098227083E-1,-1.813229796E-2,2.366761948E-2,5.375813127E-2,6.147253955E-2
5.197717084E-1,-2.169137936E-2,2.047888154E-2,5.255886734E-2,6.043455190E-2
5.297197085E-1,-2.017357922E-2,1.173771897E-2,4.432598770E-2,5.009531446E-2
5.396687083E-1,-4.983006315E-3,9.792485086E-3,4.282968521E-2,4.421656987E-2
