"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.517041638E-3,-1.428148619E-1,9.691723399E-3,6.322284383E-1,6.482305241E-1
1.746604173E-2,-1.365622697E-2,1.339741459E-2,2.345628101E-1,2.353416561E-1
2.741404157E-2,8.799752578E-2,-2.642436239E-2,-7.215931892E-2,1.168279880E-1
3.736304166E-2,2.607734841E-2,-1.347065279E-1,-2.789665657E-1,3.108829709E-1
4.731204174E-2,8.531846861E-2,-6.211346439E-2,-1.492612892E-1,1.828011379E-1
5.726004159E-2,1.248369578E-2,-4.681157512E-3,1.818630248E-1,1.823510781E-1
6.720904168E-2,-8.327889584E-2,1.166990954E-2,2.825491548E-1,2.947975341E-1
7.715804176E-2,-5.791722378E-2,2.859109840E-2,1.965775430E-1,2.069168580E-1
8.710604161E-2,-2.748814907E-2,2.833871339E-3,-5.220218718E-2,5.906519714E-2
9.705504170E-2,2.841564082E-4,6.269786619E-3,-1.448150665E-1,1.449510070E-1
1.070030415E-1,2.348004263E-3,3.703249066E-2,-1.320769072E-2,3.938732769E-2
1.169520416E-1,-4.320987300E-2,3.914072711E-2,1.391619784E-1,1.508812310E-1
1.269010417E-1,-3.167127913E-2,3.520682091E-2,1.891229278E-1,1.949617193E-1
1.368490416E-1,2.579490049E-3,2.422913491E-2,7.354510903E-2,7.747636937E-2
1.467980416E-1,3.003303548E-3,-1.278474059E-2,-3.796129346E-2,4.016875932E-2
1.567470417E-1,1.136425548E-2,-2.725193983E-2,-3.898689508E-2,4.890595583E-2
1.666950416E-1,-4.085193761E-4,-3.136450130E-2,4.065744460E-2,5.135101393E-2
1.766440417E-1,-2.192455536E-2,-3.442515325E-2,1.255180854E-1,1.319869958E-1
1.865920417E-1,-4.928343985E-3,-2.303033236E-2,9.885536671E-2,1.016221841E-1
1.965410416E-1,-1.840950167E-3,-3.508040228E-2,5.319504440E-2,6.374744285E-2
2.064900417E-1,2.495253598E-3,-3.508183668E-2,-1.535069525E-2,3.837454104E-2
2.164380418E-1,7.548600091E-3,-8.991304622E-3,1.819478095E-2,2.165352109E-2
2.263870416E-1,-1.947691089E-2,8.008721145E-4,6.145657539E-2,6.447404216E-2
2.363350417E-1,-3.111855280E-2,1.543214514E-2,1.015643817E-1,1.073398298E-1
2.462840416E-1,-2.559191074E-2,2.570605936E-2,8.314389825E-2,9.071193526E-2
2.562330416E-1,-8.515848331E-3,9.758148682E-3,2.670949638E-2,2.968397439E-2
2.661810417E-1,7.696224013E-3,7.776933862E-3,3.364487886E-3,1.144693597E-2
2.761300416E-1,-1.489852276E-3,-1.045878673E-2,7.432103455E-2,7.506811611E-2
2.860790417E-1,-1.378063562E-2,1.132532582E-3,2.642005920E-2,2.981959216E-2
2.960270417E-1,-3.205677509E-2,1.320685475E-2,9.602122128E-2,1.020888475E-1
3.059760416E-1,-3.533153563E-2,-1.386383967E-4,3.688949883E-2,5.108005241E-2
3.159235416E-1,-2.186242869E-2,8.604949848E-3,6.832120657E-2,7.224817103E-2
3.258725416E-1,-1.491405442E-3,-1.053584207E-2,2.955299735E-2,3.141031535E-2
3.358215417E-1,1.397076149E-2,-1.256314939E-2,4.467155814E-2,4.846197485E-2
3.457695416E-1,2.298940642E-2,-2.286633166E-2,7.730194509E-2,8.382704006E-2
