"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.029291708E-3,-1.476331503E-2,-2.671532532E-2,3.060818589E-1,3.076000137E-1
1.697829179E-2,-1.815360193E-1,-4.860819608E-2,2.197395337E-1,2.891427773E-1
2.692629164E-2,-7.208166059E-2,1.206147748E-1,4.744360614E-1,4.948062914E-1
3.687529173E-2,-2.495293250E-1,-3.930291425E-2,2.914252281E-1,3.856660040E-1
4.682429181E-2,-4.921123588E-2,1.892642751E-2,-8.191832185E-2,9.741954039E-2
5.677229166E-2,1.041187196E-2,-2.523553208E-2,-1.356179810E-1,1.383382663E-1
6.672129175E-2,5.651335755E-2,-1.625290692E-2,-1.424568844E-1,1.541164510E-1
7.667029160E-2,4.549887520E-2,1.255981465E-2,1.217565715E-1,1.305854483E-1
8.661829168E-2,3.720575097E-2,2.860447390E-2,2.086958975E-1,2.139076003E-1
9.656729177E-2,9.055710789E-3,9.692362938E-3,1.187060791E-1,1.194448870E-1
1.065162916E-1,-5.473806979E-3,-4.884252325E-3,3.069437385E-2,3.155888258E-2
1.164642917E-1,-3.558867607E-2,-8.781892075E-3,-6.941814423E-2,7.850193782E-2
1.264132918E-1,-8.328944824E-2,-1.542003958E-2,-1.505482614E-2,8.603230555E-2
1.363622916E-1,-9.585221848E-2,-2.093691495E-3,1.229517424E-1,1.559139580E-1
1.463102917E-1,-9.914045502E-2,-1.111631983E-2,1.470229751E-1,1.776743020E-1
1.562592918E-1,-2.639195602E-2,-9.737258591E-3,1.095774060E-1,1.131307096E-1
1.662082917E-1,2.633793323E-2,-1.565170809E-2,1.332697392E-2,3.341064092E-2
1.761562917E-1,6.507151597E-2,-2.542753546E-2,-2.931676984E-2,7.576499683E-2
1.861052918E-1,5.214948001E-2,-1.147513331E-2,1.500687897E-2,5.546578555E-2
1.960542917E-1,1.469026138E-2,2.005869057E-4,8.910513461E-2,9.030818915E-2
2.060022918E-1,-2.856297238E-2,5.745711643E-3,9.957691312E-2,1.037517143E-1
2.159512916E-1,-6.495105419E-2,7.896349537E-3,7.786678612E-2,1.017065787E-1
2.258992917E-1,-8.499130776E-2,-4.686908796E-5,3.401091456E-2,9.154379772E-2
