"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.911874844E-3,-5.997016749E-2,6.603532897E-2,5.107437623E-1,5.184749525E-1
1.885987492E-2,-1.055201510E-1,4.030421339E-2,2.540656132E-1,2.780436435E-1
2.880887478E-2,-3.359726060E-2,3.181597259E-2,-8.127278924E-2,9.352164617E-2
3.875787486E-2,-6.335558658E-2,-6.195581798E-3,-2.815188754E-1,2.886263896E-1
4.870587494E-2,3.831963642E-2,2.037143895E-2,-5.153735876E-2,6.737573308E-2
5.865487480E-2,5.220781513E-2,3.250314605E-2,2.598192734E-1,2.669984368E-1
6.860387488E-2,1.868267262E-1,-4.144533863E-4,2.371513724E-1,3.019025850E-1
7.855287497E-2,2.964188965E-1,-9.089547895E-2,1.176541650E-1,3.316152180E-1
8.850087482E-2,2.317564389E-1,-1.183578957E-1,-1.824506700E-1,3.178173775E-1
9.844987490E-2,2.659256120E-2,-1.334274861E-1,-1.305829436E-1,1.885787992E-1
1.083988750E-1,-2.743102452E-1,-4.279527800E-2,7.172604024E-2,2.867440867E-1
1.183468748E-1,-5.083443939E-1,5.363506108E-2,2.146957254E-1,5.544231210E-1
1.282958749E-1,-5.667385266E-1,1.735746515E-1,1.874132019E-1,6.216465438E-1
1.382448748E-1,-3.879147748E-1,2.092340606E-1,8.975826859E-2,4.497925204E-1
1.481928749E-1,-5.640825385E-2,2.034776047E-1,3.937515020E-3,2.111883774E-1
1.581418749E-1,3.225081129E-1,1.258505818E-1,1.062439084E-3,3.461950037E-1
1.680908748E-1,5.700983002E-1,2.167230967E-2,1.616755128E-2,5.707391265E-1
1.780388749E-1,5.932821813E-1,-5.786125953E-2,-1.809947133E-2,5.963717489E-1
1.879878750E-1,3.629815529E-1,-1.001295298E-1,-2.793858111E-2,3.775739594E-1
1.979368748E-1,-1.973988027E-2,-9.014835097E-2,3.947747648E-2,1.003735981E-1
2.078858749E-1,-3.654230578E-1,-6.360719958E-2,7.874094486E-2,3.791833639E-1
2.178338750E-1,-5.556103616E-1,-3.669369933E-2,1.476053578E-1,5.760526392E-1
2.277828748E-1,-4.867893643E-1,-5.066395833E-2,1.764584434E-1,5.202579207E-1
2.377318749E-1,-2.332385984E-1,-7.318013771E-2,1.299999762E-1,2.768674234E-1
2.476798750E-1,9.868749680E-2,-7.212510358E-2,1.813981712E-2,1.235730778E-1
2.576288749E-1,3.334333795E-1,-3.594712638E-2,-3.276253402E-2,3.369620129E-1
2.675778749E-1,4.173155618E-1,2.703546038E-2,-4.680988491E-2,4.208020432E-1
2.775258748E-1,3.019513126E-1,1.111824211E-1,1.250368595E-2,3.220131490E-1
2.874748749E-1,8.044010005E-2,1.718730569E-1,5.594732881E-2,1.978409992E-1
2.974238750E-1,-1.663625678E-1,2.026162367E-1,8.381048083E-2,2.752345182E-1
3.073718748E-1,-3.327092750E-1,1.854517900E-1,6.495379508E-2,3.864024114E-1
3.173208749E-1,-3.555377550E-1,1.288450962E-1,7.257564068E-2,3.850654200E-1
3.272698750E-1,-2.480957887E-1,4.339318321E-2,9.125866413E-2,2.678854839E-1
3.372188748E-1,-7.295344390E-2,-5.876003140E-2,9.032369435E-2,1.301280755E-1
3.471668749E-1,1.331577650E-1,-1.378879066E-1,5.751262844E-2,2.001293771E-1
3.571158750E-1,2.785440861E-1,-1.777212044E-1,1.229786396E-2,3.306400942E-1
3.670648749E-1,3.171281263E-1,-1.755405585E-1,2.308597684E-2,3.632047611E-1
3.770128749E-1,2.377205258E-1,-1.379154708E-1,2.610547900E-2,2.760674220E-1
3.869618748E-1,8.599549396E-2,-7.906652514E-2,4.739109814E-2,1.260660801E-1
3.969108749E-1,-8.576499489E-2,-1.371023834E-2,6.567768037E-2,1.088905996E-1
4.068588750E-1,-2.216236893E-1,4.527277982E-2,7.197922468E-2,2.373766901E-1
4.168078748E-1,-2.798717147E-1,1.143177255E-1,5.581810534E-2,3.074286583E-1
4.267568749E-1,-2.684318748E-1,1.707257053E-1,4.787641704E-2,3.217065265E-1
4.367048750E-1,-1.781858023E-1,1.759236607E-1,6.971167445E-2,2.599212036E-1
4.466538748E-1,-3.824015083E-2,1.739631624E-1,5.905629337E-2,1.876516368E-1
4.566028749E-1,1.192753147E-1,1.313786126E-1,4.061826825E-2,1.820351182E-1
4.665518750E-1,2.522174910E-1,6.092999251E-2,2.922613800E-2,2.611135651E-1
4.764998748E-1,2.862644208E-1,-1.662964120E-2,1.710310578E-2,2.872566445E-1
4.864488749E-1,2.035303210E-1,-9.684516706E-2,1.712064743E-2,2.260457797E-1
4.963978748E-1,3.461641202E-2,-1.433924389E-1,5.591516912E-2,1.577535852E-1
5.063458749E-1,-1.218580847E-1,-1.524346371E-1,7.614478111E-2,2.094844603E-1
5.162948749E-1,-2.397459465E-1,-1.514310996E-1,8.633180022E-2,2.964163904E-1
5.262438748E-1,-2.739314187E-1,-1.096519580E-1,8.153883755E-2,3.061217994E-1
5.361918749E-1,-2.042582993E-1,-4.936130832E-2,7.673593462E-2,2.237105167E-1
5.461408750E-1,-7.533401898E-2,1.875403058E-2,5.621162295E-2,9.584714202E-2
5.560898748E-1,5.753679388E-2,9.327824674E-2,2.820638359E-2,1.131676369E-1
5.660378749E-1,1.635548079E-1,1.452387703E-1,2.071610034E-2,2.197126132E-1
5.759868750E-1,2.149252287E-1,1.792905788E-1,1.981913745E-2,2.805900280E-1
5.859358748E-1,1.784523988E-1,1.648773019E-1,1.848304868E-2,2.436624846E-1
5.958848749E-1,7.466786580E-2,1.354624085E-1,3.152058542E-2,1.578572190E-1
6.058328748E-1,-5.675085501E-2,8.210185133E-2,5.234135091E-2,1.126986715E-1
6.157818749E-1,-1.554806254E-1,9.266653662E-3,7.360358119E-2,1.722718285E-1
6.257308749E-1,-2.104308943E-1,-5.765586695E-2,7.539575279E-2,2.308460088E-1
6.356788748E-1,-1.919859438E-1,-1.140108746E-1,8.286615551E-2,2.381677600E-1
6.456278749E-1,-8.805487418E-2,-1.516116872E-1,7.281830013E-2,1.898480166E-1
6.555768750E-1,1.912978727E-2,-1.647471465E-1,6.187640548E-2,1.770205090E-1
6.655248748E-1,1.152432849E-1,-1.241987982E-1,3.058736980E-2,1.721683577E-1
6.754738749E-1,1.556048970E-1,-5.769823642E-2,3.179189622E-2,1.689754275E-1
6.854228750E-1,1.380864835E-1,2.227904281E-2,3.689651549E-2,1.446567853E-1
6.953708748E-1,7.163095904E-2,9.583572750E-2,4.888798535E-2,1.292498204E-1
7.053198749E-1,-2.506766218E-2,1.496583335E-1,4.276478112E-2,1.576541498E-1
7.152688748E-1,-6.295224748E-2,2.164595198E-1,7.525541961E-2,2.376575001E-1
7.252178749E-1,-9.437745932E-2,1.828436212E-1,-9.576569796E-3,2.059869057E-1
7.351658749E-1,-1.465871291E-1,8.944589937E-2,-9.529382765E-2,1.963906029E-1
7.451148748E-1,-4.201166888E-2,1.160065293E-1,1.368996906E-1,1.842933001E-1
7.550638749E-1,-2.730995061E-2,2.820708708E-2,1.940661639E-1,1.979978513E-1
7.650118750E-1,4.449220394E-2,-5.071508949E-2,5.408323646E-2,8.646717862E-2
7.749608748E-1,1.173789074E-1,-7.931532416E-2,4.434411407E-2,1.484423423E-1
7.849098749E-1,1.112651592E-1,-1.044213130E-1,3.655913115E-2,1.569086241E-1
7.948578750E-1,1.022861657E-1,-8.935047098E-2,3.133639812E-2,1.393841318E-1
8.048068748E-1,2.878382354E-2,-7.661721786E-2,1.460342109E-2,8.313823716E-2
8.147558749E-1,-4.603755908E-2,-4.539733008E-2,4.308170021E-2,7.769431972E-2
8.247038750E-1,-7.874494655E-2,8.054048487E-3,9.369929194E-2,1.226588424E-1
8.346528749E-1,-8.896708550E-2,4.741399365E-2,9.339816034E-2,1.374279646E-1
8.446018749E-1,-5.865137368E-2,7.021509231E-2,7.138573229E-2,1.160433781E-1
8.545508748E-1,-2.065108661E-2,6.789821077E-2,2.064125597E-2,7.391005244E-2
8.644988749E-1,7.633905485E-4,6.486628327E-2,1.959986687E-2,6.776704399E-2
8.744478750E-1,-2.458502934E-2,3.580882831E-2,6.929067492E-2,8.177954197E-2
8.844015000E-1,-1.921833605E-3,3.946548969E-2,8.753574193E-2,9.604022301E-2
8.943494998E-1,3.320770813E-3,2.211779898E-2,3.125219822E-2,3.843077470E-2
9.042984999E-1,-5.396906957E-2,-1.736913125E-2,2.521904111E-3,5.675127480E-2
9.142474998E-1,-6.404190352E-2,-3.333910146E-2,7.707098007E-2,1.056068041E-1
9.241954999E-1,-8.395697186E-2,-7.224619119E-2,4.953878045E-2,1.213357986E-1
9.341444999E-1,-5.483898908E-2,-7.277197008E-2,7.054080963E-3,9.139384230E-2
9.440934998E-1,-2.301002699E-2,-6.592631951E-2,5.153209627E-2,8.678305072E-2
9.540414999E-1,5.149560599E-3,-5.323323859E-2,1.066146219E-1,1.192768765E-1
9.639905000E-1,7.465745045E-2,-1.978478278E-2,7.995891988E-2,1.111692467E-1
9.739394998E-1,1.052141863E-1,3.476005252E-3,7.069868445E-3,1.055087231E-1
9.838884999E-1,9.322026794E-2,3.912133536E-2,2.475418746E-2,1.040829815E-1
9.938365000E-1,2.327630371E-2,6.182893796E-2,7.550451100E-2,1.003271402E-1
1.003785500E0,-3.104905316E-2,8.472382505E-2,7.759547532E-2,1.190093611E-1
1.013734500E0,-9.405268304E-2,8.135691606E-2,2.909516037E-2,1.277160261E-1
1.023682500E0,-1.248024044E-1,9.417511825E-2,5.543101966E-2,1.658830642E-1
