"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.497416757E-3,-8.713018270E-2,2.429796760E-3,3.715484548E-1,3.816357254E-1
1.144641684E-2,7.735223114E-2,3.897269731E-2,-6.905327797E-2,1.107727132E-1
2.139541670E-2,-5.124792159E-3,-7.374814446E-2,-7.452568710E-2,1.049720455E-1
3.134341678E-2,5.316355166E-2,-3.055861338E-2,-3.298648238E-2,6.962973572E-2
4.129241686E-2,2.656968397E-2,-2.167543199E-2,7.241893530E-2,8.012661635E-2
5.124041671E-2,-1.171066646E-2,-3.216587363E-2,2.812189132E-1,2.832946527E-1
6.118941680E-2,6.278566578E-3,1.236395349E-2,6.590806067E-2,6.735102230E-2
7.113841688E-2,-3.268458333E-2,-8.309489584E-3,-1.344742656E-2,3.630651299E-2
8.108641673E-2,3.947712016E-2,3.461585014E-2,-7.576237321E-3,5.304808638E-2
9.103541682E-2,8.378036767E-3,8.316597606E-3,-2.596222222E-2,2.852006799E-2
1.009844167E-1,1.859095722E-2,6.789573940E-2,8.093891323E-2,1.072686478E-1
1.109324167E-1,-1.387764459E-2,1.160993538E-1,1.012843001E-1,1.546937569E-1
1.208814168E-1,-3.140935128E-2,1.199127160E-1,4.108370662E-2,1.305889649E-1
1.308304167E-1,1.086266488E-2,7.858321622E-2,7.085655928E-2,1.063671535E-1
1.407784168E-1,2.160314122E-2,2.023341725E-2,2.298540473E-3,2.968787922E-2
1.507274169E-1,2.740571704E-3,5.119943081E-3,-8.914080262E-3,1.063886166E-2
1.606754167E-1,-2.366835038E-2,-3.678719540E-2,6.908660710E-2,8.177070279E-2
1.706244168E-1,-3.985890680E-2,-4.514468925E-2,6.459068298E-2,8.831042830E-2
1.805734169E-1,-8.920338610E-3,-7.351097134E-2,1.024420488E-1,1.264033572E-1
1.905214167E-1,3.450249181E-2,-9.261302546E-2,7.877135038E-2,1.263824358E-1
2.004704168E-1,7.574766381E-2,-9.293627598E-2,3.550370872E-2,1.250414863E-1
2.104194167E-1,7.741848741E-2,-7.325742602E-2,1.785564244E-2,1.080698692E-1
2.203674167E-1,5.370999224E-2,-3.312061888E-2,2.521611750E-2,6.795286045E-2
2.303164168E-1,-8.633039324E-3,2.336282880E-2,4.514810622E-2,5.156260886E-2
2.402644167E-1,-4.311595210E-2,7.421591258E-2,7.404446125E-2,1.133559405E-1
2.502134168E-1,-5.376882984E-2,1.029745840E-1,6.370366037E-2,1.324877668E-1
2.601624168E-1,-3.496967521E-2,1.036219164E-1,4.946685970E-2,1.200306209E-1
2.701104167E-1,3.377534486E-3,9.479073870E-2,2.086461961E-2,9.711860910E-2
2.800594168E-1,2.966957621E-2,6.955269414E-2,-2.913141310E-2,8.103394501E-2
2.900084169E-1,1.426642961E-2,2.891531737E-2,2.072253227E-1,2.097187664E-1
2.999564167E-1,6.285079828E-2,1.304054486E-2,-9.918514967E-2,1.181438639E-1
3.099054168E-1,6.936314385E-3,-3.650898213E-2,1.311816984E-1,1.363438896E-1
3.198544167E-1,2.989443820E-2,-6.553244559E-2,4.390908122E-2,8.435749091E-2
3.298024167E-1,2.763079830E-2,-8.642306247E-2,2.310234904E-2,9.362758820E-2
3.397514168E-1,1.368362666E-2,-8.523736591E-2,5.619057298E-2,1.030050032E-1
3.496994167E-1,-2.903582026E-2,-6.198970442E-2,3.420036435E-2,7.652102478E-2
3.596484168E-1,-3.685599611E-2,-1.962663387E-2,3.720641792E-2,5.592751327E-2
3.695974168E-1,-2.826143878E-2,3.760803484E-3,8.899579167E-2,9.345107544E-2
3.795454167E-1,8.371714465E-3,5.060219712E-2,5.215716362E-2,7.315078723E-2
3.894944168E-1,4.967774319E-2,5.190737788E-2,5.513456583E-2,9.056530459E-2
3.994434169E-1,6.989320309E-2,7.113631200E-2,1.756035805E-2,1.012610532E-1
4.093914167E-1,7.602354275E-2,7.100204988E-2,2.460683763E-2,1.068941841E-1
4.193404168E-1,1.248118331E-2,6.364189002E-2,3.031255066E-2,7.158855236E-2
4.292884169E-1,-1.746446371E-2,6.189222037E-2,5.861482859E-2,8.701351944E-2
4.392374167E-1,-4.124921937E-2,4.257951574E-2,7.537528753E-2,9.589550161E-2
4.491864168E-1,-4.301744479E-2,-1.545117371E-2,9.122299612E-2,1.020336922E-1
4.591344167E-1,-7.935210681E-3,1.482081874E-3,9.282279432E-2,9.317314678E-2
4.690834167E-1,1.198472181E-1,8.923969366E-2,1.574006134E-1,2.170300249E-1
4.790324168E-1,-1.837572486E-2,2.348434581E-2,1.224050277E-1,1.259848109E-1
4.889804167E-1,1.561013621E-1,1.095827782E-1,-6.563031793E-2,2.017011630E-1
4.989294168E-1,2.388179385E-1,9.142389365E-2,-2.273625487E-1,3.421784106E-1
5.088784168E-1,1.731174540E-1,9.009483067E-2,-5.824294567E-2,2.036638704E-1
5.188264167E-1,1.987933454E-1,9.633936463E-2,1.475457162E-1,2.656497802E-1
5.287754168E-1,7.551014808E-2,1.365923281E-2,1.893334275E-1,2.042926917E-1
5.387234169E-1,-1.115354833E-1,-5.878832187E-2,1.886791241E-1,2.269273952E-1
5.486724167E-1,-2.288746752E-1,-1.418242705E-1,1.382884043E-1,3.026903094E-1
5.586214168E-1,-3.137966021E-1,-1.865621214E-1,6.065375268E-2,3.700710883E-1
5.685694169E-1,-2.365829134E-1,-1.309704678E-1,-4.102581918E-2,2.735102488E-1
5.785184167E-1,-3.173603704E-3,1.067270574E-2,-1.010340393E-1,1.016457353E-1
5.884674168E-1,4.531927432E-2,3.504205506E-2,-6.400888503E-2,8.590063800E-2
5.984154167E-1,-5.958979698E-2,-6.037870514E-2,5.130873263E-2,9.914190831E-2
6.083644168E-1,-2.953926553E-2,-1.988010153E-2,1.282732934E-1,1.331233430E-1
6.183124168E-1,-7.508994341E-3,-5.326491406E-3,9.011260986E-2,9.058167013E-2
6.282614167E-1,3.125703131E-2,1.637927302E-2,5.269744635E-2,6.342163229E-2
6.382104168E-1,7.592664342E-3,4.832990059E-2,1.227044052E-1,1.320976869E-1
6.481584169E-1,5.599439889E-4,8.557336153E-2,2.216609287E-1,2.376061469E-1
6.581074167E-1,-1.287469178E-2,1.171922898E-1,2.870316303E-1,3.103013813E-1
6.680564168E-1,-1.991203692E-1,-5.742951118E-2,2.795869553E-1,3.480171487E-1
6.780044169E-1,-4.766306676E-1,-1.407040901E-1,5.694433755E-1,7.558043346E-1
6.879534167E-1,-4.383084730E-2,-1.193450290E-2,1.539840853E-1,1.605449285E-1
6.979024168E-1,1.293356320E-1,1.582350476E-1,1.728659141E-1,2.676726737E-1
7.078504167E-1,9.403943179E-1,4.283138821E-1,5.642206424E-1,1.177344125E0
7.177994167E-1,9.504895357E-1,4.958330700E-1,8.372172010E-1,1.360225508E0
7.277474168E-1,1.381766933E0,5.338982612E-1,1.094640285E0,1.841891572E0
7.376964167E-1,8.244521445E-1,4.596760445E-1,1.075867800E0,1.431263402E0
7.476454168E-1,-1.364730266E-1,2.780886977E-1,3.371644878E-1,4.578625368E-1
7.575934168E-1,-2.249225787E-1,-7.861025959E-2,-5.454271066E-1,5.951978393E-1
7.675424167E-1,-1.548307987E-1,-8.187789566E-1,-1.793494238E0,1.977623103E0
7.774914168E-1,1.959779841E-1,-1.227027387E0,-4.696442682E-1,1.328370926E0
7.874394169E-1,-6.880573975E-2,-6.617828974E-1,1.479813337E0,1.622509891E0
7.973884167E-1,-2.802383534E-1,-4.904834524E-1,1.500314260E0,1.603137683E0
