"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-9.080835152E-4,-6.112910391E-2,6.194044163E-2,3.409289253E-1,3.518606510E-1
9.040916571E-3,-1.270872679E-1,3.588847378E-2,3.032781190E-1,3.307820637E-1
1.898991666E-2,2.775663220E-2,5.776992877E-2,-2.486411512E-2,6.874605095E-2
2.893891651E-2,-7.670021178E-3,-4.846240855E-2,-1.652247727E-1,1.723562003E-1
3.888691659E-2,3.320061838E-2,-5.638599789E-2,-2.454509103E-1,2.540232493E-1
4.883591668E-2,9.085339727E-2,-5.886722730E-2,-2.918848193E-1,3.113140504E-1
5.878491653E-2,8.062849003E-2,5.422040848E-3,2.042432427E-2,8.335169436E-2
6.873291661E-2,-1.811389751E-2,8.098565441E-2,5.460989517E-1,5.523684047E-1
7.868191646E-2,-1.310269574E-1,5.217502047E-2,5.827335119E-1,5.995570384E-1
8.863091655E-2,-2.909448428E-2,3.196208218E-2,1.702071851E-1,1.756090817E-1
9.857991664E-2,4.156526137E-2,-2.397483813E-2,-2.300470054E-1,2.349980607E-1
1.085279165E-1,4.479037539E-2,-4.365443498E-2,-3.475830567E-1,3.531654976E-1
1.184769166E-1,2.315313759E-2,-4.774155649E-3,-9.194980502E-2,9.494012316E-2
1.284259167E-1,-5.403238395E-2,2.289150210E-2,2.626668674E-1,2.691419748E-1
1.383749165E-1,-5.795091379E-2,6.041452391E-2,3.381631923E-1,3.483713073E-1
1.483229166E-1,-2.128784839E-2,3.428006007E-2,1.671333039E-1,1.719355585E-1
1.582719167E-1,4.347307993E-2,1.319541613E-2,-7.701484680E-2,8.941652148E-2
1.682209165E-1,5.791999664E-2,-1.146497377E-2,-1.818858290E-1,1.912292509E-1
1.781689166E-1,4.167311509E-2,-4.886138965E-3,-5.817687213E-2,7.172915256E-2
1.881179165E-1,-5.356780440E-4,9.859236991E-3,1.496010125E-1,1.499264968E-1
1.980669165E-1,-3.375762049E-2,1.034298445E-2,2.182648659E-1,2.211020261E-1
2.080159166E-1,-3.836310681E-2,-1.310735615E-3,1.306519407E-1,1.361740636E-1
2.179639165E-1,-2.619019968E-2,-4.497404192E-3,-1.724343896E-2,3.167790067E-2
2.279129166E-1,6.258539865E-3,-1.543375312E-2,-7.693415523E-2,7.871616287E-2
2.378619167E-1,-2.538632629E-3,-9.952860964E-3,-2.354089022E-3,1.053782862E-2
2.478099165E-1,-3.288382720E-3,1.144178134E-2,1.052738553E-1,1.059448556E-1
2.577589166E-1,8.860358968E-4,3.207068050E-2,1.462634218E-1,1.497407832E-1
2.677079167E-1,-1.301188208E-3,3.210415581E-2,8.471621454E-2,9.060467381E-2
2.776569165E-1,1.650689078E-2,3.500045075E-2,7.476834655E-3,3.941334866E-2
2.876049166E-1,1.935346154E-2,1.808565728E-2,-2.093712509E-2,3.376404419E-2
2.975539165E-1,-1.076927388E-2,1.805202666E-2,1.575883090E-2,2.627153741E-2
3.075029165E-1,-2.613116107E-2,7.912753718E-3,9.165042758E-2,9.563080114E-2
3.174519166E-1,-3.922282110E-2,-7.453372702E-5,1.115391469E-1,1.182345827E-1
3.273999165E-1,-3.044308062E-2,-9.446478384E-3,6.810895264E-2,7.519871369E-2
3.373489166E-1,7.201768840E-3,-2.031388956E-2,2.305089355E-2,3.155730148E-2
3.472979167E-1,1.676953127E-2,-2.054482260E-2,4.590064287E-4,2.652390622E-2
3.572459165E-1,2.337521302E-2,-1.260039342E-2,3.864190936E-2,4.688675353E-2
3.671949166E-1,2.133848162E-2,-3.511965629E-3,7.591264665E-2,7.893284882E-2
3.771439167E-1,1.208424873E-2,5.685453345E-3,8.159029305E-2,8.267605075E-2
3.870929165E-1,1.801124233E-2,2.198071604E-2,7.425262213E-2,7.950477105E-2
3.970409166E-1,8.746374808E-3,7.835693811E-3,8.993602395E-3,1.479128304E-2
4.069899165E-1,-1.971735936E-3,2.106477255E-2,1.709082663E-2,2.719758702E-2
4.169389165E-1,-2.098253237E-2,2.294504067E-2,3.401266873E-2,4.608256927E-2
4.268879166E-1,-3.525746785E-2,1.918811325E-2,7.263118923E-2,8.298531423E-2
4.368359165E-1,-4.905490508E-2,2.211900725E-2,6.513505876E-2,8.448792857E-2
