"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.242375027E-3,-1.015197236E-2,8.322590545E-2,5.720652670E-1,5.781766889E-1
1.419037511E-2,-1.360780106E-1,7.264747920E-2,7.991062188E-1,8.138584829E-1
2.413937496E-2,-1.045008717E-1,-3.392676034E-2,2.530452740E-1,2.758683888E-1
3.408737504E-2,9.710798113E-2,-4.568199355E-2,-1.942462581E-1,2.219198354E-1
4.403637513E-2,1.729983718E-1,-8.037080141E-2,-5.075184381E-1,5.421834260E-1
5.398437497E-2,5.969818974E-2,-1.031121032E-1,-2.607747084E-1,2.867044266E-1
6.393337506E-2,3.160906110E-2,-1.329723077E-2,2.714388603E-1,2.735964254E-1
7.388137490E-2,-3.576535335E-2,1.350702248E-2,4.343212384E-1,4.360006173E-1
8.383037499E-2,-5.209209507E-2,-1.846511417E-2,2.968894511E-1,3.019898889E-1
9.377837507E-2,3.769095110E-2,-1.504609186E-2,-5.372597158E-2,6.733106784E-2
1.037273749E-1,7.519275391E-2,-3.183306884E-2,-2.290734440E-1,2.431911537E-1
1.136753750E-1,2.661634292E-2,-3.875139847E-2,-1.608416998E-1,1.675713371E-1
1.236243751E-1,-6.247512382E-3,1.206434535E-2,1.073016697E-1,1.081583476E-1
1.335733749E-1,-5.123039821E-2,3.242371528E-2,2.862679839E-1,2.926178560E-1
1.435213750E-1,-5.027133607E-2,2.570499041E-2,1.978475583E-1,2.057464704E-1
1.534703751E-1,3.125537764E-2,2.158970176E-3,1.922622979E-2,3.675877712E-2
1.634183750E-1,8.325525116E-2,-2.966607245E-2,-1.239837760E-1,1.522612538E-1
1.733673750E-1,6.631973206E-2,-5.068573007E-2,-9.382442236E-2,1.255801430E-1
1.833153751E-1,4.080919812E-2,-4.227043558E-2,6.158872247E-2,8.511962823E-2
1.932643750E-1,-8.470075596E-3,-2.840935049E-2,1.828096890E-1,1.851977748E-1
2.032123751E-1,-1.659684654E-2,-2.569723371E-2,1.532666320E-1,1.562896785E-1
2.131613749E-1,-5.030980892E-3,-3.201686785E-2,3.738651216E-2,4.947870135E-2
2.231093750E-1,2.257098332E-2,-4.733238844E-2,-4.252212167E-2,6.751248118E-2
2.330583751E-1,3.003873652E-2,-3.824197808E-2,-2.437353373E-2,5.439525462E-2
2.430063749E-1,2.263606100E-2,-2.221730443E-2,6.664597929E-2,7.380844416E-2
2.529553750E-1,2.143799393E-2,-1.329407876E-2,1.255993617E-1,1.281074540E-1
2.629033751E-1,2.463656707E-2,-7.752741007E-3,9.952136457E-2,1.028181280E-1
2.728523749E-1,2.492910144E-2,-1.299308420E-2,2.586983621E-2,3.820377941E-2
2.828013750E-1,1.061634178E-2,-1.341984871E-2,-1.541910768E-2,2.303362615E-2
2.927493751E-1,-5.327992039E-3,-3.699062825E-3,-1.171782017E-3,6.591178805E-3
3.026983750E-1,-3.063783858E-2,-5.438097850E-3,7.652134180E-2,8.260608823E-2
3.126463750E-1,-2.798785304E-2,-2.533714116E-2,1.011948377E-1,1.080078044E-1
3.225953751E-1,4.591653999E-3,-2.694906320E-2,9.083766460E-2,9.486209256E-2
3.325433750E-1,3.008001421E-2,-4.052043246E-2,2.017698705E-2,5.434908930E-2
3.424923751E-1,6.797568181E-2,-4.831103875E-2,4.174911976E-3,8.349898007E-2
3.524403749E-1,7.038497220E-2,-4.834932431E-2,5.958137333E-2,1.041232036E-1
3.623893750E-1,6.359697609E-2,-3.901757926E-2,1.991912484E-2,7.722511505E-2
3.723373751E-1,4.475385770E-2,-2.261725855E-2,1.019432813E-1,1.136084538E-1
3.822863749E-1,1.243693633E-2,-2.869965104E-2,5.897677124E-2,6.675782277E-2
3.922343750E-1,-8.530356735E-4,-1.660539353E-2,2.470097780E-2,2.977591423E-2
4.021833751E-1,-2.172004899E-2,-2.250935458E-2,3.504119396E-2,4.697144714E-2
4.121323749E-1,-2.877226615E-2,-1.385615607E-2,3.055871844E-2,4.420035784E-2
4.220803750E-1,-2.424641160E-2,2.630790230E-3,6.378201306E-2,6.828583105E-2
4.320293751E-1,-1.396658622E-2,5.059271366E-3,8.696388423E-2,8.822346014E-2
4.419773750E-1,8.241467737E-3,1.153833349E-2,4.982763290E-2,5.180586773E-2
4.519263750E-1,3.833911495E-2,-2.696251636E-3,2.647326887E-2,4.666895620E-2
4.618743751E-1,5.536750428E-2,-9.564025691E-3,3.261752307E-2,6.496871501E-2
4.718233750E-1,4.916615750E-2,-1.687839911E-2,3.920967400E-2,6.511213355E-2
4.817713751E-1,4.052626597E-2,-2.837905461E-2,5.298045158E-2,7.248915245E-2
4.917203749E-1,2.364263177E-2,-3.739695492E-2,6.480586052E-2,7.846850217E-2
5.016683750E-1,1.681890369E-2,-5.321462343E-2,5.672091544E-2,7.957344982E-2
5.116173751E-1,4.160449253E-3,-4.666182701E-2,3.561889887E-2,5.885016053E-2
5.215653749E-1,-4.482274521E-3,-4.534095470E-2,3.023536742E-2,5.468153620E-2
5.315143750E-1,5.760667725E-3,-4.725125832E-2,5.745766461E-2,7.461400625E-2
5.414623751E-1,1.304373022E-1,9.640896477E-2,1.304238993E-1,2.081321018E-1
5.514113749E-1,1.168695692E-1,1.623711122E-1,2.169545048E-1,2.951137602E-1
5.613603750E-1,1.373289128E-1,1.986995707E-1,5.758571863E-2,2.483080036E-1
5.713083751E-1,1.059929075E-1,1.601564062E-1,-1.211320889E-1,2.270628852E-1
5.812573750E-1,6.973946700E-2,1.617231585E-2,-2.120369965E-1,2.237963917E-1
5.912053750E-1,-1.438699737E-1,-1.369423570E-1,-7.061097622E-3,1.987501889E-1
6.011543751E-1,-1.527168110E-1,-1.252187079E-1,2.399305540E-1,3.107552412E-1
6.111023750E-1,-6.804361001E-2,-1.505999910E-1,1.302110606E-1,2.103929905E-1
6.210513751E-1,-3.957450371E-3,-1.381088217E-1,-3.773500621E-2,1.432258313E-1
6.309993749E-1,1.032142284E-1,-5.895775408E-2,5.494336188E-2,1.309502453E-1
6.409483750E-1,3.874637352E-2,-8.163118701E-2,6.767450452E-2,1.128927399E-1
6.508963751E-1,-1.397832633E-2,-9.399265772E-2,5.464983165E-2,1.096203330E-1
6.608453749E-1,-8.407868531E-2,-1.132451817E-1,5.677997231E-2,1.520449334E-1
6.707933750E-1,-6.465062608E-2,-9.918332241E-2,-1.262530804E-2,1.190648281E-1
6.807423751E-1,2.103858341E-2,7.114837188E-3,1.120969713E-2,2.487770508E-2
6.906903749E-1,-7.008769610E-2,-3.840404646E-2,1.188130832E-1,1.431911473E-1
7.006393750E-1,-4.258816780E-2,-3.461597348E-4,1.143920034E-1,1.220631079E-1
7.105883751E-1,5.414183652E-3,2.348911129E-1,4.001021630E-1,4.639880269E-1
7.205363750E-1,-2.008518942E-1,-2.046731775E-1,3.610456860E-1,4.610711229E-1
7.304853750E-1,-1.256304524E-1,-6.670025789E-2,-3.722951442E-1,3.985418540E-1
7.404333751E-1,1.990741945E-1,3.392393723E-1,4.773813039E-1,6.185521772E-1
7.503823750E-1,-1.363138910E-1,-1.198771851E-1,-1.856268775E-1,2.596331143E-1
7.603303751E-1,-4.734619335E-2,-1.319203023E-1,-4.255761427E-1,4.480621401E-1
7.702793749E-1,1.647841850E-1,9.714117321E-2,9.907346785E-2,2.154200250E-1
7.802273750E-1,1.218693132E-1,4.502676736E-2,3.357272422E-1,3.599893338E-1
7.901763751E-1,7.027234021E-3,-1.872875233E-1,-2.697484303E-1,3.284664580E-1
8.001243749E-1,1.498101601E-1,-6.508237900E-2,-1.044792187E-1,1.938935462E-1
8.100733750E-1,1.181858048E-1,1.824216966E-2,2.185595655E-1,2.491363982E-1
8.200213751E-1,3.298957958E-2,-5.876215101E-2,2.846775413E-2,7.315542206E-2
8.299703749E-1,-3.429207884E-2,-6.728949278E-2,-5.519362271E-2,9.354228187E-2
8.399183750E-1,1.216707362E-2,-1.182450216E-2,5.903231978E-2,6.142207511E-2
8.498673751E-1,-3.181250766E-4,2.987448686E-3,2.762224674E-3,4.081168750E-3
8.598153749E-1,-6.423426778E-3,1.363869675E-2,3.106391788E-2,3.452884959E-2
8.697643750E-1,1.388896443E-3,2.980530927E-2,6.160509467E-2,6.845051631E-2
8.797133751E-1,2.353732707E-3,1.642322535E-2,3.361505806E-2,3.748645779E-2
8.896613750E-1,2.609658941E-2,1.687884451E-2,1.939638376E-2,3.663532549E-2
8.996103751E-1,4.401186431E-2,1.459500202E-2,5.143327832E-2,6.924911843E-2
9.095583749E-1,4.640463175E-2,1.115459169E-3,8.032846391E-2,9.277551515E-2
9.195073750E-1,2.170322454E-2,-4.917436187E-2,6.327155113E-2,8.302070226E-2
9.294553751E-1,1.063849268E-2,-7.925386445E-2,2.406830907E-2,8.350829933E-2
9.394043749E-1,1.380536752E-4,-7.854213953E-2,7.587054670E-2,1.092026859E-1
9.493521249E-1,1.923826683E-2,-3.407165708E-2,1.077565831E-1,1.146406120E-1
9.593011250E-1,1.507155009E-2,-2.217192912E-2,7.767207384E-2,8.216871131E-2
9.692491251E-1,3.981058504E-3,-2.170234746E-2,4.654091299E-2,5.150628402E-2
9.791981250E-1,1.621362551E-2,-6.234621098E-3,3.726898313E-2,4.111847828E-2
9.891461250E-1,4.145835782E-2,1.338928559E-2,7.262066424E-2,8.468665347E-2
9.990951251E-1,1.207764137E-1,7.821667803E-2,8.539741516E-2,1.673245629E-1
1.009043125E0,1.429889993E-1,7.887772403E-2,9.173579693E-2,1.873045800E-1
1.018992125E0,-5.019983559E-2,-5.130988380E-2,-5.011823952E-2,8.754750483E-2
1.028941125E0,-1.629080876E-2,-8.016274560E-3,2.447059751E-2,3.047066212E-2
1.038889125E0,6.107288841E-3,2.771078181E-2,2.078655928E-1,2.097934486E-1
1.048838125E0,-9.537336806E-2,-4.900315266E-2,1.073034239E-1,1.516951320E-1
1.058786125E0,-6.247135967E-2,-6.206772363E-2,9.209306180E-2,1.274213684E-1
1.068735125E0,1.967146785E-2,-5.414597982E-2,1.146393406E-1,1.283001645E-1
1.078683125E0,8.731172048E-2,-5.825743123E-2,1.056562632E-1,1.489312284E-1
1.088632125E0,9.600900608E-2,-1.584726821E-1,2.360035640E-1,3.000483335E-1
1.098580125E0,-1.305372622E-2,-1.735504769E-1,5.612876791E-1,5.876512797E-1
1.108529125E0,1.213812168E-1,-1.017631140E-1,4.224689323E-1,4.511863583E-1
1.118477125E0,1.482038568E-1,-1.740996401E-1,-1.889761627E-2,2.294170607E-1
1.128426125E0,2.786826469E-1,-1.721248526E-1,7.118985057E-2,3.351999066E-1
1.138374125E0,3.168294067E-1,-1.975290495E-1,2.913053602E-1,4.735582448E-1
1.148323125E0,1.650090470E-1,-1.940130639E-1,7.379361570E-2,2.651689127E-1
1.158271125E0,-5.449634224E-2,-8.226481323E-1,-2.077650207E-1,8.502270901E-1
1.168220125E0,-3.804127606E-1,-1.108755318E0,4.868181252E-1,1.269269124E0
1.178168125E0,-2.361815752E-1,5.466260782E-1,3.877832490E-1,7.106037250E-1
1.188117125E0,-9.230177086E-2,1.585658758E0,1.091375785E0,1.927157082E0
1.198066125E0,-7.020156880E-1,1.461403817E0,1.448964012E0,2.174401953E0
1.208014125E0,-1.352899229E0,1.188172201E0,1.030981649E0,2.074852444E0
1.217963125E0,-1.362076727E0,1.065533577E0,4.085361868E-1,1.776940243E0
1.227911125E0,-1.352145523E0,8.409809075E-1,1.396807433E0,2.118163688E0
1.237860125E0,-1.233783991E0,9.239313360E-1,3.143560199E0,3.501120217E0
1.247808125E0,-1.357785016E0,1.042384450E0,3.466925257E0,3.866486290E0
1.257757125E0,-1.925536354E0,8.936994769E-1,3.411951490E0,4.018432776E0
1.267705125E0,-2.154465225E0,4.242700940E-1,2.915055689E0,3.649558218E0
1.277654125E0,-2.346948256E0,-4.557027519E-3,2.166295751E0,3.193904219E0
1.287602125E0,-2.247344007E0,1.391033600E-1,1.966878215E0,2.989734895E0
1.297551125E0,-1.959563933E0,3.855967558E-1,2.448703988E0,3.159861846E0
1.307499125E0,-1.523540570E0,5.140706818E-1,3.066762283E0,3.462726590E0
1.317448125E0,-8.473844858E-1,7.509316669E-1,2.836446306E0,3.054077026E0
1.327396125E0,-2.492748066E-1,1.038269472E0,1.662713073E0,1.976045594E0
1.337345125E0,1.636794267E-1,1.112067181E0,6.290732807E-1,1.288106192E0
1.347293125E0,1.213221234E-1,1.040863955E0,1.751206005E-1,1.062442495E0
1.357242125E0,-2.219345053E-1,9.708384309E-1,1.874898005E-1,1.013377821E0
1.367190125E0,-5.927895534E-1,1.098405454E0,3.278487039E-1,1.290495551E0
1.377139125E0,-1.334335781E0,1.268456664E0,2.939974183E-1,1.864368196E0
1.387088125E0,-2.032215734E0,1.355615553E0,1.733664358E-1,2.449010053E0
1.397036125E0,-1.908873836E0,1.025934332E0,7.383606648E-1,2.289435967E0
1.406985125E0,-9.136182363E-1,1.326664527E-1,1.991035987E0,2.194657825E0
1.416933125E0,7.086197526E-1,-8.939451331E-1,3.781763906E0,3.950065582E0
1.426882125E0,2.576075056E0,-1.681629401E0,5.077208102E0,5.936504211E0
1.436830125E0,2.834819903E0,-1.657927420E0,4.767564120E0,5.789179117E0
1.446779125E0,2.801788105E0,-5.285403478E-1,3.046694639E0,4.172735279E0
1.456727125E0,3.012821134E0,5.486784509E-1,1.357283179E0,3.349680113E0
1.466676125E0,3.799994355E0,7.465660626E-1,5.808904696E-1,3.915961150E0
1.476624125E0,4.784591212E0,-7.896255434E-2,5.213447642E-1,4.813558820E0
1.486573125E0,5.352382164E0,-1.178080930E0,1.458026027E0,5.671129464E0
1.496521125E0,6.128642727E0,-2.039466720E0,1.991370447E0,6.759085917E0
1.506470125E0,6.609183281E0,-3.536569104E0,2.069799736E0,7.776419203E0
1.516418125E0,7.138905936E0,-5.356396278E0,2.567991280E0,9.287062951E0
1.526367125E0,7.465738394E0,-5.892946726E0,2.638112844E0,9.870344992E0
1.536315125E0,7.504486138E0,-5.517539109E0,1.810126643E0,9.488788567E0
1.546264125E0,7.569045246E0,-5.259017918E0,1.160591615E0,9.289493435E0
1.556212125E0,7.860835925E0,-5.411057804E0,1.185341125E0,9.616512963E0
1.566161125E0,8.545413315E0,-6.011264550E0,1.659495351E0,1.057890897E1
1.576110125E0,9.070878028E0,-7.374058730E0,1.258471667E0,1.175760695E1
