"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-6.005833857E-4,1.136087506E-1,-4.867277127E-3,3.844889277E-1,4.009518352E-1
9.347416693E-3,-3.576922713E-2,8.193286680E-2,8.252163756E-1,8.300448776E-1
1.929641655E-2,-1.269788843E-1,1.959184979E-2,4.238237321E-1,4.428702220E-1
2.924541663E-2,9.913223237E-2,4.661822414E-2,1.184447086E-1,1.613369372E-1
3.919341648E-2,1.090594889E-1,-5.148717777E-2,-4.390674233E-1,4.553296650E-1
4.914241657E-2,1.531174001E-1,-1.727864102E-2,-3.695089459E-1,4.003502851E-1
5.909141665E-2,6.285791544E-2,2.289920855E-2,8.210835636E-2,1.059116305E-1
6.904041651E-2,-2.304442506E-2,4.875834618E-2,3.224441224E-1,3.269229786E-1
7.898841659E-2,-1.737408768E-2,4.794924685E-2,3.547517431E-1,3.583989236E-1
8.893741667E-2,6.563545251E-2,1.270078737E-2,7.920579851E-2,1.036478709E-1
9.888641653E-2,1.289111515E-1,-3.629489182E-2,-1.283855599E-1,1.855215787E-1
1.088344166E-1,1.545755677E-1,-4.637632300E-2,-1.381626892E-1,2.124459888E-1
1.187834167E-1,1.019546834E-1,-4.163947076E-2,9.516928196E-3,1.105403768E-1
1.287324165E-1,4.637072247E-2,-2.197978870E-2,1.776091754E-1,1.848739414E-1
1.386804166E-1,1.425633403E-2,-1.005441065E-2,1.851707947E-1,1.859907456E-1
1.486294165E-1,3.502471212E-2,-1.144389182E-2,7.944261074E-2,8.757180780E-2
1.585784166E-1,7.131242283E-2,-1.437535684E-2,-2.667792141E-2,7.748434697E-2
1.685264166E-1,9.610750426E-2,-1.475265757E-2,-3.546628654E-2,1.034995206E-1
1.784754165E-1,8.664201329E-2,-4.509025533E-3,4.404824495E-2,9.730065601E-2
1.884244166E-1,6.921144515E-2,1.032307651E-2,1.031641799E-1,1.246580846E-1
1.983734167E-1,6.399072211E-2,2.169856961E-2,1.089710498E-1,1.282198508E-1
2.083214165E-1,7.183304429E-2,1.293569926E-2,5.236649394E-2,8.983077566E-2
2.182704166E-1,6.168622479E-2,1.000126038E-2,1.016421497E-2,6.331292762E-2
2.282194167E-1,6.512658030E-2,-8.571460834E-3,1.378422618E-2,6.711889669E-2
2.381674165E-1,5.572962966E-2,-2.066246127E-3,4.956743181E-2,7.461227306E-2
2.481164166E-1,4.837169448E-2,-5.113750971E-3,7.859359503E-2,9.242794196E-2
2.580654165E-1,5.173512256E-2,-1.694854286E-2,6.689331651E-2,8.624669156E-2
2.680134166E-1,7.410713609E-2,-2.538134702E-2,5.909780860E-2,9.812558982E-2
2.779624166E-1,9.919567466E-2,-3.883994268E-2,2.287781596E-2,1.089574113E-1
2.879114165E-1,1.201538132E-1,-3.672854508E-2,2.917526722E-2,1.289849645E-1
2.978604166E-1,1.100592897E-1,-2.367988950E-2,5.507960200E-2,1.253297530E-1
3.078084167E-1,8.729582336E-2,-1.769468412E-2,4.953878045E-2,1.019203286E-1
3.177574165E-1,5.510902081E-2,-2.872631983E-3,9.699595213E-2,1.115951205E-1
3.277064166E-1,4.449239580E-2,8.440314182E-3,2.978922486E-2,5.420525902E-2
3.376544167E-1,2.247105075E-2,1.406237092E-2,3.548031986E-2,4.428940612E-2
3.476034165E-1,2.231765270E-2,2.006932063E-2,5.029950321E-2,5.857384464E-2
3.575524166E-1,4.018751118E-2,1.845467598E-2,6.390538931E-2,7.771428378E-2
3.675004165E-1,7.421943918E-2,1.686238322E-2,6.568820536E-2,1.005375822E-1
3.774494166E-1,9.111321464E-2,6.157867257E-3,3.798877537E-2,9.890745303E-2
3.873984166E-1,9.519548479E-2,-1.268425071E-2,4.307877660E-2,1.052561235E-1
3.973464165E-1,1.018631927E-1,-2.252384014E-2,4.787115455E-2,1.147827550E-1
4.072957500E-1,1.034595739E-1,-3.627785266E-2,6.119520485E-2,1.255580309E-1
4.172447498E-1,8.228362665E-2,-3.321629623E-2,7.601672709E-2,1.168437433E-1
4.271937499E-1,7.043075407E-2,-3.744666996E-2,4.518026590E-2,9.167333656E-2
4.371417500E-1,5.425244026E-2,-3.732866127E-2,5.072576523E-2,8.312556457E-2
4.470907499E-1,4.590340203E-2,-2.026890711E-2,5.746643543E-2,7.629116669E-2
4.570397499E-1,4.028046364E-2,-9.998103795E-3,5.133036733E-2,6.600972989E-2
4.669877500E-1,4.211438801E-2,1.294120843E-2,6.270144761E-2,7.663268288E-2
4.769367499E-1,5.630223652E-2,2.107971949E-2,5.041995585E-2,7.846316562E-2
4.868857500E-1,8.138045110E-2,2.252754490E-2,4.472710669E-2,9.555512636E-2
4.968337498E-1,8.429508710E-2,2.758506667E-2,3.769232154E-2,9.637068390E-2
5.067827499E-1,8.283757724E-2,2.485290034E-2,4.233384132E-2,9.629062768E-2
5.167317500E-1,9.041575145E-2,7.589037241E-3,5.281439066E-2,1.049855298E-1
5.266797498E-1,7.854780402E-2,-8.696623226E-3,5.625313818E-2,9.700414593E-2
5.366287499E-1,6.550982874E-2,-2.092519768E-2,5.340846777E-2,8.707391107E-2
5.465777500E-1,5.183291724E-2,-3.908237372E-2,4.607547462E-2,7.960548101E-2
5.565267499E-1,4.317562111E-2,-3.825542668E-2,5.490944803E-2,7.964081498E-2
5.664747499E-1,4.164416224E-2,-4.364086761E-2,6.044793069E-2,8.539738813E-2
5.764237500E-1,5.539734336E-2,-2.592765512E-2,6.118701875E-2,8.651566456E-2
5.863727499E-1,8.017126517E-2,-1.803054271E-2,4.306649745E-2,9.277529538E-2
5.963207500E-1,8.996571684E-2,-5.286303218E-3,5.309447229E-2,1.045982705E-1
6.062697498E-1,9.399967438E-2,7.175081782E-4,3.768355072E-2,1.012743975E-1
6.162187499E-1,7.371522646E-2,1.760947923E-2,4.158364356E-2,8.644783272E-2
6.261667500E-1,7.758688722E-2,2.651291573E-2,6.284236550E-2,1.033045143E-1
6.361157498E-1,5.830088792E-2,2.542581327E-2,4.891897559E-2,8.024046165E-2
6.460647499E-1,4.775247434E-2,4.235152001E-3,5.849729955E-2,7.563180133E-2
6.560137500E-1,4.961621951E-2,3.791330061E-3,4.846932471E-2,6.946523490E-2
6.659617499E-1,5.116321005E-2,-1.070844457E-2,3.769290626E-2,6.444455004E-2
6.759107499E-1,6.754299698E-2,-2.202140900E-2,4.472593725E-2,8.394884370E-2
6.858597500E-1,5.799425628E-2,-2.396983373E-2,5.190573335E-2,8.143765619E-2
6.958077499E-1,7.364184391E-2,-3.264377616E-2,6.911876678E-2,1.061420803E-1
7.057567500E-1,8.162861058E-2,-3.541519649E-2,5.130463958E-2,1.027114027E-1
7.157057498E-1,6.630952684E-2,-3.185101706E-2,3.768588960E-2,8.265389835E-2
