"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.843333244E-3,-8.493078908E-2,3.458003137E-2,4.887903911E-1,4.973178701E-1
8.105666609E-3,-1.742151957E-1,3.877795306E-2,5.101520240E-1,5.404717862E-1
1.805366669E-2,-1.421906168E-1,1.090364107E-3,3.439542747E-1,3.721879948E-1
2.800266678E-2,1.893020536E-2,-1.952039955E-2,-5.833591640E-2,6.436208368E-2
3.795066662E-2,4.047411611E-2,-7.882255007E-2,-3.518123478E-1,3.627989478E-1
4.789966671E-2,6.660557868E-2,-4.588165769E-2,-2.024434698E-1,2.180018075E-1
5.784766679E-2,-1.597956330E-2,-2.385534251E-2,4.747237444E-2,5.548017794E-2
6.779566663E-2,-6.255146652E-2,1.845829851E-2,2.618120044E-1,2.698127507E-1
7.774466672E-2,-6.938234830E-2,2.105240660E-2,2.626276910E-1,2.724525980E-1
8.769266657E-2,-5.407480367E-2,1.715482167E-2,7.754986703E-2,9.608514024E-2
9.764166665E-2,-1.540357601E-2,-8.092318056E-4,-5.612391472E-2,5.820497241E-2
1.075896667E-1,1.066350323E-2,-1.285555129E-2,-1.078741121E-1,1.091595143E-1
1.175376666E-1,-2.546160920E-3,2.560308441E-3,-2.265503705E-2,2.294098556E-2
1.274866667E-1,-2.316325145E-2,8.810072914E-3,1.056352133E-1,1.085032344E-1
1.374346667E-1,-2.875685326E-2,5.245422958E-3,1.506611127E-1,1.534706550E-1
1.473836666E-1,-1.167760229E-2,-3.540173876E-3,9.958276033E-2,1.003275903E-1
1.573316667E-1,9.261889094E-3,-2.309650183E-2,3.324726820E-3,2.510547340E-2
1.672796668E-1,1.773009175E-2,-3.835978577E-2,-3.153169513E-2,5.272643659E-2
1.772286666E-1,2.917760611E-3,-3.119168411E-2,1.026127875E-2,3.296556273E-2
1.871766667E-1,-3.428972625E-2,-3.174581286E-2,6.012048662E-2,7.614495959E-2
1.971256668E-1,-3.540013991E-2,-1.824149472E-2,9.558969676E-2,1.035534266E-1
2.070736666E-1,-4.784667847E-2,-1.023523123E-2,8.629262388E-2,9.919920128E-2
2.170226667E-1,-3.992890893E-2,4.551806138E-3,4.242388844E-2,5.843648705E-2
2.269706668E-1,-2.343339281E-2,1.087854372E-2,1.653300226E-2,3.067257367E-2
2.369186666E-1,-1.498867038E-2,2.437427376E-2,2.462671816E-2,3.775236031E-2
2.468676667E-1,-3.261777889E-3,2.312478773E-2,5.351839542E-2,5.839189714E-2
