"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.285416656E-3,-5.856456994E-2,3.239150078E-2,-3.444302380E-2,7.526845331E-2
8.682583342E-3,-7.922154944E-2,2.394557693E-2,-3.369165659E-2,8.935643387E-2
1.864958333E-2,-7.638283588E-2,2.181746908E-2,-3.488624275E-2,8.676052966E-2
2.861658334E-2,-7.422631879E-2,3.060728688E-2,-2.635281622E-2,8.450339244E-2
3.858458334E-2,-6.478284624E-2,2.562065803E-2,1.151901484E-2,7.061106845E-2
4.855158334E-2,-6.057317988E-2,6.616092534E-3,4.935050011E-3,6.113294954E-2
5.851858333E-2,-4.911673025E-2,-5.636240803E-3,7.181550264E-3,4.995793296E-2
6.848658335E-2,-3.179923265E-2,-2.175973697E-2,2.364847898E-2,4.520982093E-2
7.845358334E-2,-2.407056573E-2,-1.893379591E-2,-2.097396255E-3,3.069657690E-2
8.842158334E-2,-2.062412546E-2,-1.099816496E-2,-4.940312505E-3,2.388976499E-2
9.838858334E-2,-9.440110400E-3,-1.177449705E-2,-1.257385254E-2,1.964322358E-2
1.083555833E-1,3.165244013E-3,5.006052568E-3,-1.302350342E-2,1.430702532E-2
1.183235833E-1,9.987848327E-3,2.327711227E-2,1.302116454E-2,2.848037562E-2
1.282905833E-1,2.257033464E-2,2.465975493E-2,1.317143798E-2,3.593063175E-2
1.382575833E-1,2.654626770E-2,2.563170379E-2,1.436953247E-2,3.960015191E-2
1.482255833E-1,3.349462369E-2,1.345063339E-2,2.469863892E-2,4.373593625E-2
1.581925833E-1,3.225388108E-2,-2.921689209E-4,-7.483266592E-3,3.311189342E-2
1.681595833E-1,2.601161292E-2,-2.346724728E-2,6.885681152E-3,3.570333747E-2
1.781275833E-1,2.240085675E-2,-2.467040326E-2,1.766560793E-2,3.771605605E-2
1.880945833E-1,1.902366945E-2,-2.677151798E-2,-8.381983638E-3,3.389501178E-2
1.980615833E-1,1.811932446E-2,-1.445136151E-2,2.080731690E-2,3.114636744E-2
2.080295833E-1,1.247615836E-2,-9.715792914E-3,2.634755373E-2,3.072856565E-2
2.179965833E-1,-3.855781909E-4,-6.355009787E-3,5.092924833E-3,8.153079375E-3
2.279635833E-1,2.120474484E-3,9.768504649E-4,1.800357699E-3,2.948209069E-3
2.379315833E-1,-1.338004653E-2,1.431317536E-2,-4.438036680E-4,1.959820389E-2
2.478985833E-1,-1.562517635E-2,1.623146409E-2,-1.076940179E-2,2.497171554E-2
2.578665833E-1,-3.179677499E-2,1.681973966E-2,-2.753278434E-2,4.529892665E-2
2.678335833E-1,-4.043980940E-2,3.110176032E-2,-2.199488640E-2,5.555603214E-2
2.778005833E-1,-3.937968180E-2,2.270144018E-2,-1.934843659E-3,4.549569589E-2
2.877685833E-1,-3.965941625E-2,1.533429107E-2,4.601758718E-4,4.252318828E-2
2.977355833E-1,-5.320794482E-2,1.108603308E-2,3.459037364E-2,6.442421493E-2
3.077025833E-1,-5.396304877E-2,1.828442607E-3,2.111897349E-2,5.797727896E-2
3.176705833E-1,-5.387420763E-2,1.902871267E-3,4.053874612E-3,5.406001356E-2
3.276375833E-1,-6.510877370E-2,-8.975466890E-3,-9.118148088E-3,6.635399041E-2
3.376045833E-1,-5.835674711E-2,-1.079965199E-2,-1.809771717E-2,6.204570720E-2
3.475725833E-1,-4.509514323E-2,-4.112068112E-3,7.642310858E-4,4.528868619E-2
3.575395833E-1,-4.827141473E-2,-2.125412640E-3,-2.977402210E-3,4.840983147E-2
3.675065833E-1,-3.460725747E-2,-2.389135770E-6,3.130131483E-2,4.666298946E-2
3.774745833E-1,-2.696833617E-2,1.573742461E-2,3.011316061E-3,3.136918414E-2
3.874415833E-1,-1.325805900E-2,1.336766688E-2,-5.374760628E-3,1.957954795E-2
3.974085833E-1,-7.876829887E-3,1.765003972E-2,7.795507908E-3,2.084078441E-2
4.073765833E-1,-2.591294115E-3,3.239409091E-2,-2.079386830E-2,3.858078395E-2
4.173435833E-1,-6.724699996E-3,1.664232235E-2,-8.840990067E-4,1.797136929E-2
4.273115833E-1,-2.389629129E-3,6.609363668E-3,2.576049328E-2,2.670200422E-2
4.372785833E-1,1.298654719E-2,-5.191071262E-3,4.117726207E-2,4.348752166E-2
4.472455833E-1,1.244121211E-2,-9.608811708E-3,5.105613291E-2,5.342136023E-2
4.572135833E-1,4.784036530E-3,-2.608911137E-2,1.393274546E-2,2.996080996E-2
4.671805833E-1,5.680917185E-3,-2.928388382E-2,-1.226511955E-2,3.225293520E-2
4.771475833E-1,7.117888704E-4,-3.064447608E-2,-3.591769159E-2,4.721939355E-2
4.871155833E-1,-5.805956237E-3,-2.925256010E-2,-1.570971429E-2,3.370781102E-2
4.970825833E-1,1.336097913E-3,-1.360336449E-3,-6.278155446E-3,6.561319127E-3
5.070495833E-1,6.361149363E-3,1.546512252E-2,4.347989559E-3,1.727828837E-2
5.170175833E-1,2.475263430E-3,3.214106636E-2,3.907577276E-2,5.065659970E-2
5.269845833E-1,-6.661129799E-3,4.263134126E-2,2.859522343E-2,5.176377798E-2
5.369515833E-1,-2.297688059E-2,2.128745553E-2,1.691950321E-2,3.560003361E-2
