"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.291666745E-6,9.491530267E-2,5.571032928E-2,-1.329539895E-2,1.108572194E-1
9.976291665E-3,5.353754506E-2,1.615682347E-1,7.061682343E-3,1.703538392E-1
1.994329166E-2,3.748369471E-2,1.453310193E-1,-3.185913920E-2,1.534312135E-1
2.991129167E-2,-1.908695642E-3,3.763819368E-2,-9.517746806E-2,1.023671196E-1
3.987829166E-2,-1.105186799E-2,-6.165579186E-2,1.693762958E-2,6.488808636E-2
4.984529167E-2,-1.319237832E-2,-8.329336770E-2,2.890980363E-2,8.914931685E-2
5.981329166E-2,1.139240434E-2,-2.905879799E-2,6.707458019E-2,7.398107816E-2
6.978029167E-2,5.416718055E-2,3.761738582E-2,9.969736576E-2,1.195354169E-1
7.974829167E-2,6.761563950E-2,5.297354913E-2,2.215451539E-2,8.870678759E-2
8.971529166E-2,4.846968102E-2,7.506390503E-3,-2.248254418E-3,4.909898700E-2
9.968229166E-2,1.089088683E-2,-8.595882095E-2,-2.814732671E-2,9.110325086E-2
1.096502917E-1,-2.597102959E-2,-1.343172952E-1,-7.126177132E-2,1.542526182E-1
1.196172917E-1,-1.184795726E-2,-9.218501841E-2,-9.444422722E-3,9.342188625E-2
1.295852917E-1,1.568225979E-2,3.756768905E-2,3.261284530E-2,5.216188466E-2
1.395522917E-1,4.536985273E-2,1.602542922E-1,5.895221293E-2,1.766783097E-1
1.495192917E-1,5.066344670E-2,2.114069225E-1,6.044091403E-2,2.256385955E-1
1.594872917E-1,3.719730905E-2,1.345317327E-1,3.483654141E-2,1.438610842E-1
1.694542917E-1,-9.898806196E-3,-1.812214300E-2,-3.806712806E-2,4.330709722E-2
1.794222917E-1,-5.159856266E-2,-1.392314140E-1,-8.148211956E-2,1.693727668E-1
1.893892917E-1,-7.135626781E-2,-1.643770543E-1,-9.959737837E-2,2.050150500E-1
1.993562917E-1,-4.405993025E-2,-9.320198625E-2,-1.218384326E-2,1.038091216E-1
2.093242917E-1,-9.290238954E-3,2.558505397E-2,3.586331248E-2,4.502311305E-2
2.192912917E-1,4.078990230E-3,1.141843359E-1,3.810688913E-2,1.204443262E-1
2.292592917E-1,-3.149191579E-3,1.274998347E-1,8.256034613E-2,1.519287201E-1
2.392262917E-1,-2.864282342E-2,6.058188675E-2,2.896652162E-2,7.300435405E-2
2.491932917E-1,-7.484902899E-2,-1.581055135E-2,-3.360628724E-2,8.355676643E-2
2.591612917E-1,-8.460075030E-2,-5.630323695E-2,-8.330586612E-2,1.314047517E-1
2.691282917E-1,-6.415744085E-2,-1.631498334E-2,-1.148913556E-1,1.325985652E-1
2.790962917E-1,-1.810942987E-2,5.594570255E-2,-3.450909734E-2,6.818174890E-2
2.890632917E-1,7.269961992E-3,9.337886453E-2,2.731175959E-2,9.756227191E-2
2.990302917E-1,1.156115133E-2,5.678603880E-2,3.719296932E-2,6.885950472E-2
3.089982917E-1,-6.607947545E-3,-3.984401467E-2,9.631592095E-2,1.044412136E-1
3.189652917E-1,-2.815945968E-2,-1.192076332E-1,5.664256275E-2,1.349510833E-1
3.289332917E-1,-4.532376023E-2,-1.333381698E-1,-1.925488114E-2,1.421409907E-1
3.389002917E-1,-2.465165106E-2,-5.143041410E-2,-3.512363970E-2,6.698105299E-2
3.488672917E-1,9.653798724E-3,7.396587102E-2,-4.305772662E-2,8.612847222E-2
3.588352917E-1,4.685943092E-2,1.622091991E-1,-2.704220295E-2,1.709938925E-1
3.688022917E-1,5.602273048E-2,1.621267899E-1,2.579733074E-2,1.734622282E-1
3.787702917E-1,3.327908984E-2,7.559342065E-2,2.504596353E-2,8.630853582E-2
3.887372917E-1,1.475108156E-2,-3.910122185E-2,4.076035559E-2,5.837727765E-2
3.987042917E-1,-2.062870273E-3,-1.091842082E-1,2.279303133E-2,1.115570214E-1
4.086722917E-1,3.356365738E-3,-1.029125304E-1,-3.514059663E-2,1.087985093E-1
4.186392917E-1,2.960062475E-2,-1.558237290E-2,-2.092309177E-2,3.945609078E-2
4.286072917E-1,5.705609794E-2,5.954820409E-2,5.270680189E-3,8.263877414E-2
4.385742917E-1,5.764420906E-2,7.939497421E-2,-1.104597509E-2,9.873413965E-2
4.485412917E-1,2.638440946E-2,4.137982698E-2,-1.628508031E-2,5.170716569E-2
4.585092917E-1,-1.166471100E-2,-2.466360587E-2,1.077057123E-3,2.730419362E-2
4.684762917E-1,-4.484938659E-2,-5.869932085E-2,5.864172578E-3,7.410442811E-2
4.784442917E-1,-5.277272925E-2,-3.424333225E-2,7.730019093E-4,6.291394351E-2
4.884112917E-1,-3.694594273E-2,3.684394080E-2,-1.060392559E-2,5.324398460E-2
4.983782917E-1,-1.741964115E-2,1.047029478E-1,1.888533711E-2,1.078091236E-1
5.083462917E-1,-2.393784307E-2,1.154405645E-1,3.070957661E-2,1.218303015E-1
5.183132917E-1,-3.243857087E-2,6.473267896E-2,-8.957934380E-3,7.295769455E-2
5.282812917E-1,-5.208669554E-2,-3.316005332E-2,-1.329832256E-2,6.316215933E-2
5.382482917E-1,-7.550388060E-2,-8.320638123E-2,-2.946411967E-2,1.161562405E-1
5.482152917E-1,-7.042238524E-2,-8.930697318E-2,-5.925275981E-2,1.282417145E-1
5.581832917E-1,-5.361124738E-2,-2.228907900E-2,-6.563499570E-3,5.842985894E-2
5.681502917E-1,-6.471935827E-3,7.202878897E-2,1.274693012E-2,7.343375669E-2
