"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.556541666E-3,1.915928374E-2,5.665451299E-2,-6.431410968E-2,8.782435141E-2
1.452354166E-2,2.644744062E-2,7.112919941E-2,-1.119157076E-1,1.352181782E-1
2.449054166E-2,1.273905009E-2,2.670150214E-2,-3.078208208E-2,4.269414703E-2
3.445754167E-2,-6.725572511E-3,-4.940459142E-2,-1.865495682E-2,5.323583749E-2
4.442454166E-2,-2.713635683E-2,-1.151168754E-1,3.882551193E-2,1.244817145E-1
5.439154166E-2,-4.126148025E-2,-1.146585085E-1,1.004960954E-1,1.579510954E-1
6.435854165E-2,-3.814556298E-2,-5.772006298E-2,2.220772505E-2,7.266273252E-2
7.432554166E-2,-1.013665540E-2,3.360353265E-2,-5.185310841E-3,3.548008791E-2
8.429254167E-2,1.274169504E-2,1.106296308E-1,-3.542126298E-2,1.168585978E-1
9.426054166E-2,1.844734869E-2,1.206405117E-1,-8.137453079E-2,1.466841913E-1
1.042275417E-1,9.937539431E-3,7.425731817E-2,-4.230518997E-2,8.603855584E-2
1.141945417E-1,-3.238631138E-3,-7.885587006E-3,-1.446250319E-2,1.678794844E-2
1.241610417E-1,-5.075410595E-3,-6.062344309E-2,3.747831345E-2,7.145338077E-2
1.341280417E-1,4.534511170E-3,-6.930024974E-2,7.444908857E-2,1.018123430E-1
1.440950417E-1,4.496026898E-2,-3.430766533E-2,2.505122602E-2,6.185471374E-2
1.540620417E-1,6.402765550E-2,4.683299968E-3,1.548342705E-3,6.421737563E-2
1.640290417E-1,7.311073857E-2,2.101296530E-2,-2.345025837E-2,7.960301139E-2
1.739960417E-1,6.187791296E-2,3.112911433E-3,-6.281663775E-2,8.822979264E-2
1.839630417E-1,5.250051395E-2,-1.878025169E-2,-2.165165484E-2,5.981468027E-2
1.939300417E-1,4.243761570E-2,-3.225963236E-2,-1.442508101E-3,5.332650313E-2
2.038970417E-1,4.174951262E-2,-4.785329313E-3,3.837352216E-2,5.690736669E-2
2.138650417E-1,7.502803601E-2,3.937977316E-2,5.528717816E-2,1.011763055E-1
2.238320417E-1,7.937719502E-2,7.981922625E-2,4.346001506E-2,1.206673977E-1
2.337990417E-1,9.218257902E-2,8.216522053E-2,3.148374796E-2,1.274361712E-1
2.437660417E-1,7.083928715E-2,2.199585028E-2,-3.363026083E-2,8.144333292E-2
