"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.127258333E-2,-4.797128811E-3,7.283086251E-3,-9.230414629E-3,1.269867491E-2
2.123958334E-2,2.700958645E-2,3.352642707E-3,-4.059137106E-2,4.887143724E-2
3.120758334E-2,1.440012071E-2,6.240532268E-4,3.923657119E-2,4.180025643E-2
4.117458334E-2,-1.153494850E-2,5.559135214E-3,-1.137692750E-2,1.712873318E-2
5.114087500E-2,3.190551493E-3,-8.628155985E-3,1.136172473E-2,1.461894262E-2
6.110887500E-2,8.987499364E-3,-1.493400348E-2,1.823921978E-2,2.522833215E-2
7.107587501E-2,3.486530241E-3,-2.667433999E-2,2.510560513E-2,3.679630030E-2
8.104387500E-2,-2.094289921E-3,-2.568897452E-2,-1.818016291E-2,3.154089069E-2
9.101087500E-2,4.166853782E-3,-1.471950203E-2,-1.880172193E-2,2.423904202E-2
1.009788750E-1,-1.654232126E-3,-7.665256611E-3,-1.761298299E-2,1.927977730E-2
1.109458750E-1,5.637684334E-3,4.128184500E-3,5.885807276E-3,9.136088835E-3
1.209128750E-1,8.245085701E-3,9.339191113E-4,2.893436193E-2,3.010068012E-2
1.308808750E-1,-8.003924601E-4,-6.757147475E-3,2.428933382E-2,2.522442086E-2
1.408478750E-1,2.489086613E-3,1.614959850E-3,1.784862578E-2,1.809356487E-2
1.508158750E-1,-5.326941367E-3,8.663079394E-3,5.865342021E-3,1.173999514E-2
1.607828750E-1,-7.878428735E-3,1.342421128E-2,-7.608981729E-3,1.732557909E-2
1.707498750E-1,-2.076496113E-2,-4.055290734E-3,-3.631296337E-2,4.202689974E-2
1.807178750E-1,-6.209542025E-3,2.784502109E-2,-5.856980503E-2,6.514848941E-2
1.906848750E-1,-2.368579153E-3,-9.876148235E-3,1.170612574E-2,1.549780149E-2
2.006528750E-1,-9.187139751E-2,-4.437300297E-2,2.607858181E-3,1.020593847E-1
2.106198750E-1,-1.138430778E-1,-4.902285046E-2,4.543169618E-2,1.320133525E-1
2.205868750E-1,-2.903042255E-1,-1.120876888E-1,1.121870184E-1,3.307961917E-1
2.305548750E-1,-6.388134994E-1,-5.752546307E-1,3.031664371E-2,8.601858381E-1
2.405218750E-1,-3.330717292E-1,-8.220398026E-1,8.619380593E-3,8.869952128E-1
2.504898750E-1,5.966309914E-1,-8.393309695E-1,2.555449587E-1,1.061012838E0
2.604568750E-1,1.573515553E0,-8.854464975E-1,3.508691919E-1,1.839313971E0
2.704248750E-1,1.758311541E0,-9.408704274E-1,2.085947406E-1,2.005095609E0
2.803918750E-1,2.102302215E0,-4.238146690E-1,2.044999355E-1,2.154324418E0
2.903588750E-1,1.916441010E0,3.938879614E-1,9.249359608E-2,1.958685512E0
3.003268750E-1,1.185754377E0,5.567942766E-1,-2.167328954E-2,1.310153823E0
3.102938750E-1,1.893723115E-1,3.470507042E-1,9.651706517E-2,4.069663470E-1
3.202618750E-1,1.499351078E-1,3.685095106E-1,4.693811435E-1,6.153035460E-1
3.302288750E-1,8.557365755E-1,9.620704579E-1,3.181195217E-1,1.326297358E0
3.401958750E-1,1.109607623E0,1.236113668E0,1.050297925E0,1.965281611E0
3.501638750E-1,9.735240570E-1,9.935018002E-1,2.174247379E0,2.581113439E0
3.601308750E-1,4.061407287E-1,6.315325465E-1,3.662558475E0,3.738732169E0
3.700988750E-1,3.678571075E-2,8.892722576E-1,4.833945220E0,4.915199358E0
3.800658750E-1,2.781387462E-1,1.790966340E0,3.559523519E0,3.994387221E0
3.900328750E-1,1.334334612E-1,2.179590565E0,1.189047675E0,2.486413862E0
4.000008750E-1,-3.172515026E-1,1.497973474E0,-8.254748225E-1,1.739534917E0
4.099678750E-1,-3.321025532E-1,3.582313846E-1,-1.483706998E0,1.562052588E0
4.199358750E-1,-1.859563681E-1,-9.607915988E-1,-1.623660105E0,1.895777519E0
4.299028750E-1,-1.738292429E0,-1.808232145E0,-2.296383435E0,3.400697125E0
4.398708750E-1,-4.588193471E0,-1.411574869E0,-1.092106687E0,4.923084394E0
4.498378750E-1,-5.118681234E0,-1.267848115E-2,1.014730482E0,5.218307797E0
4.598048750E-1,-3.198929822E0,4.135767425E-1,4.424015057E-1,3.255751345E0
4.697728750E-1,-1.648700221E0,-4.140948789E-1,-2.708898067E-2,1.700123760E0
4.797398750E-1,-7.298746008E-1,-8.647876999E-1,5.000024271E-1,1.237164955E0
4.897078750E-1,-1.731764013E-1,7.241323426E-2,7.615875596E-1,7.843783229E-1
4.996748750E-1,-5.425046682E-2,1.003974456E0,9.162195164E-1,1.360281597E0
5.096418750E-1,-5.093492013E-1,1.176630674E0,1.059927705E0,1.663533316E0
5.196098750E-1,-1.269559157E0,1.314403208E0,1.590450259E0,2.422595359E0
5.295768750E-1,-1.394745120E0,9.693728994E-1,2.406689404E0,2.945700538E0
5.395448750E-1,-1.334266199E0,9.087391734E-2,1.977593238E0,2.387341487E0
5.495118750E-1,-1.358461978E0,-7.250890933E-1,1.282471563E0,2.003972667E0
5.594788750E-1,-1.397202705E0,-7.266514693E-1,6.107562929E-1,1.689148012E0
5.694468750E-1,-1.407497898E0,-3.965121553E-1,1.227435815E-1,1.467425708E0
5.794138750E-1,-1.611638229E0,-2.748493585E-1,-1.450243968E-1,1.641326302E0
5.893818750E-1,-1.960299513E0,-2.116762964E-1,-1.803637987E-1,1.979927305E0
5.993488750E-1,-2.180517933E0,-3.322328731E-1,7.722183824E-2,2.207034289E0
6.093168750E-1,-1.609925580E0,-4.668764155E-1,3.647680235E-1,1.715485258E0
6.192838750E-1,-1.064968005E0,6.217801217E-2,6.175039798E-1,1.232612722E0
6.292508750E-1,7.299605548E-2,5.136227485E-1,1.042770220E0,1.164691583E0
6.392188750E-1,1.108552566E0,-9.594933707E-1,1.517981622E0,2.110399139E0
6.491858750E-1,-2.853118472E0,-1.026432661E0,-2.618795398E-1,3.043424045E0
6.591538750E-1,8.031261796E-1,-2.165106281E-1,3.629478730E0,3.723574138E0
6.691208750E-1,2.290977100E0,-2.177003464E0,7.751678349E0,8.371167026E0
6.790878750E-1,-3.357219213E0,6.934643544E-1,5.872587891E0,6.799933984E0
6.890558750E-1,-2.082344937E0,2.170296270E0,5.389488010E0,6.171946803E0
6.990228750E-1,-1.852203791E0,2.738850722E0,4.561771950E0,5.633979542E0
7.089908750E-1,-1.391915068E0,1.810277208E0,3.432512054E0,4.122701800E0
7.189578750E-1,-2.545149132E0,1.961413407E-1,2.626762229E0,3.662804300E0
7.289248750E-1,-4.447558871E0,-8.432958933E-1,2.273510589E0,5.065646876E0
7.388928750E-1,-3.947385120E0,-1.694856095E0,2.734711770E0,5.092448816E0
7.488598750E-1,-3.358811994E0,-1.086065855E0,3.060540261E0,4.672051342E0
7.588278750E-1,-2.930491753E0,-6.853828445E-1,3.442005594E0,4.572191386E0
7.687948750E-1,-3.678895596E0,-6.739486874E-1,4.839873712E0,6.116605038E0
7.787628750E-1,-3.932249603E0,-5.700562002E-1,6.371455958E0,7.508861567E0
7.887298750E-1,-3.229525671E0,-4.108994487E-1,7.407536963E0,8.091370606E0
7.986968750E-1,-1.912614884E0,-2.462482695E-1,7.994162967E0,8.223464929E0
8.086648750E-1,-2.464594088E-1,-1.135249070E-1,8.201079556E0,8.205567380E0
8.186318750E-1,1.074778244E0,-6.320044808E-2,6.869149904E0,6.953011073E0
8.285998750E-1,-1.132367339E1,-3.542014835E-3,-3.239991777E1,3.432171708E1
8.385668750E-1,-1.084203122E1,-9.020427959E-1,-1.820374824E1,2.120706892E1
8.485338750E-1,-9.458815643E-1,-3.126758736E-1,9.157612116E0,9.211640343E0
8.585018750E-1,-2.714134541E0,-2.467967201E-1,-2.513671231E-1,2.736899772E0
8.684688750E-1,-3.067041488E0,-3.693305693E-1,-1.467411978E0,3.420006794E0
8.784368750E-1,-2.505297726E0,-2.320214640E-1,1.089267279E0,2.741688141E0
8.884038750E-1,-2.618713829E0,-2.180533428E-1,-2.987903810E-1,2.644708882E0
8.983708750E-1,-2.552530072E0,-2.272853837E-1,-2.513261926E-1,2.574923935E0
9.083388750E-1,-2.223300256E0,-1.672707317E-1,8.854005969E-1,2.398953468E0
9.183058750E-1,-2.279879815E0,-9.354665221E-2,-8.229944336E-1,2.425679860E0
9.282738750E-1,-1.974167500E0,-2.969555521E-2,3.292917967E-2,1.974665409E0
9.382408750E-1,-1.522227432E0,1.944810421E-1,1.628543115E-1,1.543217663E0
9.482088750E-1,-5.659847474E-1,3.347146507E-1,-7.029434949E-1,9.625498370E-1
9.581758750E-1,4.891993490E-2,-2.783808666E-2,3.552066565E-1,3.596385517E-1
9.681428750E-1,-1.361182468E-1,2.181502513E-2,-3.128903568E-2,1.413615089E-1
9.781108750E-1,-9.984411260E-2,-7.993509248E-4,-8.532490969E-2,1.313385929E-1
9.880778750E-1,-1.055773441E-1,5.351702041E-2,3.257191479E-1,3.465596780E-1
9.980458750E-1,-1.249734812E-1,2.675412251E-2,-2.827655017E-1,3.103070786E-1
1.008012875E0,-1.219127013E-1,2.803322834E-2,-1.497238040E-2,1.259870660E-1
1.017979875E0,-1.160837948E-1,1.531768589E-2,-1.230488062E-1,1.698560791E-1
1.027947875E0,-9.652067400E-2,-2.927104735E-2,-3.412937915E-1,3.558854968E-1
1.037914875E0,-7.249588557E-2,-2.488775523E-2,8.936065793E-2,1.177301192E-1
1.047883625E0,-5.941461348E-2,-1.613749294E-2,-3.503066897E-2,7.083546246E-2
1.057850625E0,-7.308861508E-2,1.293863200E-2,-3.667666018E-2,8.279209657E-2
1.067817625E0,-8.894883122E-2,6.853850372E-2,1.610615551E-1,1.963421646E-1
1.077785625E0,-1.100548312E-1,8.391083367E-2,-7.275281131E-2,1.563523758E-1
1.087752625E0,-9.983817402E-2,6.894448778E-2,-7.320187747E-2,1.417022168E-1
1.097720625E0,-8.847890695E-2,4.473432435E-2,-8.308250248E-2,1.293536972E-1
1.107687625E0,-6.860737753E-2,-3.079198580E-3,-1.760386133E-1,1.889604379E-1
1.117655625E0,-5.956042386E-2,-2.513200439E-2,-5.404230595E-2,8.425931739E-2
1.127622625E0,-6.696869991E-2,-9.648906249E-3,-3.967218876E-2,7.843335209E-2
1.137589625E0,-8.785805142E-2,1.826994508E-3,-2.335494876E-2,9.092760163E-2
1.147557625E0,-1.042827614E-1,3.214548375E-2,6.271606565E-2,1.258631453E-1
1.157524625E0,-1.193858454E-1,4.858664361E-2,5.535559058E-3,1.290127297E-1
1.167492625E0,-1.117806186E-1,1.893797119E-2,-6.107475221E-2,1.287776332E-1
1.177459625E0,-1.118403516E-1,1.168228006E-3,-7.020634890E-2,1.320551416E-1
1.187426625E0,-1.145198199E-1,-1.973695667E-3,-1.281358838E-1,1.718647414E-1
1.197394625E0,-1.234421776E-1,1.526871546E-2,-1.046347547E-1,1.625408772E-1
1.207361625E0,-1.399801866E-1,3.415394294E-2,-3.697545290E-2,1.487552640E-1
