"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.995500003E-3,-1.073090153E-2,8.155381191E-4,-4.138191462E-2,4.275839341E-2
1.196350000E-2,-3.459561786E-2,-1.899682250E-2,6.085723579E-2,7.253508936E-2
2.193050001E-2,-6.975932926E-2,3.941525845E-4,1.135529280E-3,6.976968397E-2
3.189850000E-2,-8.234069182E-2,6.525654837E-3,2.467525005E-4,8.259924084E-2
4.186550000E-2,-9.858820377E-2,3.524491918E-2,-1.276914954E-2,1.054745914E-1
5.183350001E-2,-1.129588874E-1,3.341538935E-2,-7.675055265E-3,1.180474691E-1
6.180050000E-2,-1.362341679E-1,1.910813430E-2,-1.276213288E-2,1.381583922E-1
7.176850000E-2,-1.529697579E-1,-1.273929448E-2,-2.772808135E-2,1.559835983E-1
8.173550000E-2,-1.702382850E-1,-2.175988543E-2,-8.878996968E-3,1.718528524E-1
9.170350000E-2,-1.651710697E-1,-1.967660700E-2,-1.113660693E-2,1.667113527E-1
1.016705000E-1,-1.605295682E-1,1.527472941E-2,-1.412570357E-2,1.618721567E-1
1.116385000E-1,-1.336405257E-1,4.394323261E-2,1.888065934E-3,1.406924397E-1
1.216055000E-1,-1.132093127E-1,6.934134470E-2,-3.058678508E-3,1.327927938E-1
1.315735000E-1,-9.999864355E-2,6.425473304E-2,4.873069525E-3,1.189627935E-1
1.415405000E-1,-9.218000259E-2,2.493081677E-2,-1.337725997E-2,9.642432052E-2
1.515085000E-1,-7.593044411E-2,-2.783916474E-2,-3.385771751E-2,8.767437751E-2
1.614755000E-1,-7.553568397E-2,-5.151343999E-2,-2.928928792E-2,9.600591877E-2
1.714435000E-1,-4.324160328E-2,-8.737103317E-2,1.276798010E-2,9.831864018E-2
1.814115000E-1,-1.115425821E-2,-1.153054710E-2,-8.349765480E-2,8.502487488E-2
1.913785000E-1,5.779139444E-2,3.020005800E-2,5.436624169E-2,8.489744997E-2
2.013465000E-1,1.054605642E-1,3.470564829E-2,7.253471017E-2,1.326186141E-1
2.113135000E-1,-8.244208619E-3,-9.091904140E-2,9.179953158E-2,1.294657988E-1
2.212815000E-1,-5.584339455E-2,3.929201011E-2,1.229061341E-1,1.405996607E-1
2.312485000E-1,2.210039210E-2,-2.206154237E-2,8.256268501E-2,8.827081023E-2
2.412165000E-1,1.492940336E-1,3.010913608E-2,-4.696132779E-2,1.593757662E-1
2.511835000E-1,9.326097004E-2,4.832368336E-2,-5.465217054E-2,1.184045888E-1
2.611515000E-1,-1.764616594E-2,-1.677647940E-2,2.550976467E-1,2.562569936E-1
2.711185000E-1,-1.782531001E-1,-2.224408925E-1,1.336906217E0,1.366957334E0
2.810865000E-1,9.859054631E-1,-1.225136763E0,1.783545785E0,2.377815224E0
2.910535000E-1,2.376038592E0,-1.062112079E0,1.791024958E0,3.159337250E0
3.010215000E-1,3.077642782E0,3.507011575E-1,1.797703648E0,3.581426364E0
3.109885000E-1,1.312621415E0,1.403789009E0,1.794043291E0,2.629104390E0
