"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.546041655E-3,1.388056783E0,-5.386157582E-1,-1.942822770E0,2.447727289E0
1.351304166E-2,9.446620544E-1,-5.463311592E-1,-9.150103122E-1,1.424116570E0
2.348004167E-2,5.120466681E-1,-2.785555065E-1,-3.563000858E-2,5.839986798E-1
3.344804166E-2,5.523784228E-1,-3.145970128E-1,5.383256632E-1,8.329992330E-1
4.341504165E-2,6.770856455E-1,6.762151413E-2,8.420429081E-1,1.082614382E0
5.338204166E-2,1.521350349E0,5.947736599E-1,6.827302551E-1,1.770418932E0
6.335004166E-2,3.053926183E0,5.314519688E-1,1.022858112E0,3.264221966E0
7.331704166E-2,3.222661332E0,8.321763895E-1,1.064960403E0,3.494596438E0
8.328504166E-2,1.956137757E0,5.586788707E-1,1.022539439E0,2.276880302E0
9.325204167E-2,1.152482697E0,2.030230019E-1,6.084045428E-1,1.318935477E0
1.032190417E-1,1.001574832E0,-2.468669598E-1,-1.106462771E-1,1.037467126E0
1.131870417E-1,9.425065514E-1,-2.091993427E-1,-7.716471094E-1,1.235929701E0
1.231540417E-1,6.256728324E-1,4.738685891E-2,-9.498895383E-1,1.138420899E0
1.331210417E-1,3.841591448E-1,5.319698860E-1,-7.573073977E-1,1.002040270E0
1.430890417E-1,4.571452600E-1,8.678503253E-1,-7.579184318E-1,1.239591193E0
1.530560417E-1,3.812887466E-1,6.014160968E-1,-8.179669976E-1,1.084505620E0
1.630230417E-1,4.919116348E-1,7.399315193E-2,-4.988277215E-1,7.044722413E-1
1.729910417E-1,7.570799410E-1,-1.015045939E-1,-1.684126747E-1,7.821994942E-1
1.829580417E-1,1.018240566E0,-1.470665368E-1,-2.175474125E-1,1.051555654E0
1.929250417E-1,9.076866746E-1,-9.241129652E-2,-6.385720825E-1,1.113646825E0
2.028930417E-1,7.906838894E-1,3.925265104E-2,-1.175297363E0,1.417055283E0
2.128600417E-1,4.707552391E-1,2.382021171E-1,-1.255586650E0,1.361928258E0
2.228280417E-1,6.367910206E-2,5.287939708E-1,-8.579409027E-1,1.009822105E0
2.327950417E-1,-2.852341962E-1,7.076183438E-1,-4.462445882E-1,8.838645256E-1
2.427620417E-1,-4.719276059E-1,5.405363493E-1,-2.561747038E-1,7.619190829E-1
2.527300417E-1,-6.189412254E-1,8.419193856E-1,4.405841911E-1,1.134033034E0
2.626970417E-1,-8.303151476E-1,1.028745381E0,1.921184564E0,2.332100004E0
2.726640417E-1,-1.014576700E0,6.785136817E-1,3.775623745E0,3.968007228E0
2.826320417E-1,-1.354685846E0,-5.604307696E-2,5.227993176E0,5.400946881E0
2.925990417E-1,-2.278256482E0,-8.955712438E-2,5.966029905E0,6.386860411E0
3.025660417E-1,-2.799971375E0,4.993741438E-2,6.335504937E0,6.926828730E0
3.125340417E-1,-2.681102743E0,-2.972503705E-1,6.808884991E0,7.323768465E0
3.225008750E-1,-2.311165781E0,-1.060972164E0,7.476184444E0,7.896865394E0
3.324688750E-1,-2.086163169E0,-1.918978994E0,7.928756597E0,8.420198235E0
3.424358750E-1,-1.943714470E0,-2.844177495E0,8.106119605E0,8.807754913E0
3.524028750E-1,-1.962695702E0,-3.371042030E0,8.197796345E0,9.078544140E0
3.623708750E-1,-2.133501057E0,-3.105753272E0,8.352715985E0,9.163263309E0
3.723378750E-1,-2.192198331E0,-2.163684238E0,8.928930436E0,9.445266631E0
3.823048750E-1,-2.411191176E0,-7.742500705E-1,9.324315065E0,9.662099021E0
3.922728750E-1,-3.567962220E0,3.453860385E-1,9.266709466E0,9.935871892E0
4.022398750E-1,-4.118887464E0,7.351639920E-1,9.486696922E0,1.036837106E1
4.122068750E-1,-2.771580512E0,8.810002747E-1,9.692497863E0,1.011940388E1
4.221748750E-1,8.527341911E0,1.227203973E0,-6.596075578E0,1.085033652E1
4.321418750E-1,8.527670524E0,-2.214341006E0,-9.909892663E0,1.326010721E1
4.421098750E-1,-1.714509610E0,-9.819664132E-1,-2.639862331E0,3.297373859E0
4.520768750E-1,-1.490386039E1,-1.920287162E0,-4.584678768E1,4.824666307E1
4.620438750E-1,-3.818799586E0,-1.303866525E0,-2.223425971E0,4.607268306E0
4.720118750E-1,-6.215929377E-1,-7.104945892E-1,7.265969440E0,7.327038436E0
4.819788750E-1,-1.810913093E0,-1.023112685E0,1.573602092E0,2.608139057E0
4.919458750E-1,-2.025940940E0,-7.921940790E-1,-8.825155807E-1,2.347518243E0
5.019138750E-1,-1.821729565E0,-7.276986326E-1,-9.022850168E-1,2.159250370E0
5.118808750E-1,-8.872586958E-1,-6.867819370E-1,7.512005657E-1,1.350259128E0
5.218478750E-1,-8.102621216E-1,-3.784591328E-1,-6.172999120E-1,1.086653212E0
5.318158750E-1,-5.594673678E-1,-3.028996579E-1,6.140968072E-1,8.842323377E-1
5.417828750E-1,-4.165642677E-1,-8.647487428E-2,-5.348915935E-2,4.287945699E-1
5.517498750E-1,-6.078734329E-1,-2.485552702E-2,-7.764973748E-1,9.864461874E-1
5.617178750E-1,-3.901081751E-1,1.123387354E-1,5.906564891E-1,7.167143558E-1
5.716848750E-1,-5.674983723E-1,3.716027608E-1,-4.133022523E-1,7.943310180E-1
5.816528750E-1,-7.771494855E-1,4.638581194E-1,-2.972923243E-1,9.526323550E-1
5.916198750E-1,-8.181120086E-1,7.553925077E-1,5.896384889E-1,1.259999463E0
6.015868750E-1,-5.946522936E-1,7.263586700E-1,-3.659702110E-1,1.007542785E0
6.115548750E-1,-9.400385879E-3,-1.985348985E-1,3.423924834E-1,3.959003483E-1
6.215218750E-1,-1.776260593E-1,5.951710878E-2,1.771799898E-1,2.578488937E-1
6.314888750E-1,-1.155359838E-1,-9.636771449E-2,-5.377175528E-1,5.583685759E-1
6.414568750E-1,-8.540622253E-2,-3.732445858E-2,2.763283020E-1,2.916241906E-1
6.514238750E-1,-1.045178195E-1,-3.954266380E-2,-3.026507127E-1,3.226221486E-1
6.613908750E-1,-6.864627065E-2,-1.965951578E-1,-6.426125085E-1,6.755092913E-1
6.713588750E-1,-5.969381346E-2,-8.973832411E-2,2.969642955E-1,3.159178865E-1
6.813258750E-1,-7.724498956E-2,-5.382127206E-2,-2.784672135E-1,2.939515381E-1
6.912928750E-1,-6.653849102E-2,-5.404119132E-2,5.861482859E-2,1.038437253E-1
7.012608750E-1,-7.588121787E-2,-2.980528643E-2,1.873424506E-1,2.043122809E-1
7.112278750E-1,-8.049315440E-2,-7.793548177E-2,-2.433201849E-1,2.678764634E-1
7.211958750E-1,-7.819883488E-2,-4.094722895E-2,8.480099916E-2,1.224048316E-1
7.311628750E-1,-7.553856189E-2,-4.850792547E-2,-1.394315350E-1,1.658319816E-1
7.411298750E-1,-8.603070516E-2,-9.713321552E-2,-4.698097444E-1,4.873985430E-1
7.510978750E-1,-5.000483095E-2,-5.813244243E-2,2.103676164E-1,2.239071192E-1
7.610648750E-1,-4.817906527E-2,-3.531837939E-2,6.770607948E-2,9.029243297E-2
7.710318750E-1,-1.070806084E-1,-6.462116159E-2,-1.248041403E-1,1.766867982E-1
