"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-6.833346561E-6,-5.110267309E-2,3.562360862E-2,-3.856045765E-1,3.906039095E-1
9.961166666E-3,-4.165264070E-2,1.683782149E-2,-3.869394958E-2,5.929313994E-2
1.992816666E-2,-2.826984415E-2,3.026147432E-2,-2.001443446E-2,4.599476604E-2
2.989616666E-2,-5.340916213E-2,3.821013817E-2,-1.122665405E-4,6.567012914E-2
3.986316666E-2,-3.132097609E-2,3.253627419E-2,-2.066406012E-3,4.520932111E-2
4.983016667E-2,-2.298229840E-2,2.966374955E-2,1.670549512E-3,3.756214601E-2
5.979816667E-2,-2.610624645E-2,1.250574732E-2,9.156739712E-4,2.896149648E-2
6.976516666E-2,-2.086639205E-2,-1.045305600E-2,5.849554539E-3,2.406013269E-2
7.973316665E-2,-1.815357635E-2,-1.757654753E-2,-8.928698301E-4,2.528407747E-2
8.970016666E-2,-7.278102413E-3,-1.239351847E-2,-4.493585229E-3,1.505863151E-2
9.966816666E-2,-2.069311347E-3,4.259951276E-3,-1.034313977E-2,1.137584171E-2
1.096351667E-1,1.984782536E-3,3.673547495E-4,-7.504901290E-3,7.771605664E-3
1.196031667E-1,1.255943550E-2,2.840089715E-3,-9.156739712E-3,1.580036113E-2
1.295701667E-1,1.049257267E-2,-3.480526566E-4,-4.522821307E-3,1.143114756E-2
1.395381667E-1,1.419179538E-2,-3.941093585E-3,4.749693274E-3,1.547575074E-2
1.495051667E-1,1.261821829E-2,9.377878096E-3,3.864424825E-3,1.618943512E-2
1.594721667E-1,-2.380531227E-2,-3.663878575E-2,9.024007916E-3,4.461531388E-2
1.694401667E-1,-2.480686722E-2,-2.367803940E-2,3.072887242E-2,4.604664821E-2
1.794071667E-1,-1.874635245E-1,-2.241493210E-1,3.551014066E-2,2.943577096E-1
1.893751667E-1,-5.233839076E-1,-8.067036523E-1,-8.084652722E-2,9.650065587E-1
1.993421667E-1,-1.494707657E-1,-1.969973731E0,-8.715274930E-2,1.977557487E0
2.093101667E-1,1.028829946E0,-1.259934201E0,9.466642141E-2,1.629382393E0
2.192771667E-1,2.169338642E0,-3.742237386E-1,1.662989062E-1,2.207652345E0
2.292451667E-1,2.228038401E0,-1.403903322E-1,3.108590341E-1,2.253995985E0
2.392121667E-1,2.105402993E0,-7.654184360E-1,5.767225742E-1,2.313265241E0
2.491791667E-1,1.957625873E0,-7.475839897E-1,6.169730526E-1,2.184453394E0
2.591471667E-1,1.156231274E0,4.642300388E-1,1.545331389E-1,1.255492245E0
2.691141667E-1,-3.732149112E-1,1.702224902E0,9.856826842E-2,1.745443981E0
2.790821667E-1,-2.229331074E0,1.838707248E0,1.274829837E0,3.158473127E0
2.890491667E-1,-3.395100399E0,1.597411515E0,3.414947019E0,5.073489274E0
2.990171667E-1,-2.648854764E0,1.871735684E0,3.547024511E0,4.806371699E0
3.089841667E-1,-6.377917716E-1,2.171653262E0,2.511658620E0,3.381018376E0
3.189521667E-1,9.506366663E-1,1.669241197E0,2.647948446E0,3.271346392E0
3.289191667E-1,2.145010132E0,8.203419904E-1,2.189080596E0,3.172712294E0
3.388861667E-1,2.386846878E0,2.007230727E-1,1.219736202E0,2.687951669E0
3.488541667E-1,1.921336884E0,3.924198352E-1,4.879577476E-1,2.020799721E0
3.588211667E-1,1.384141195E0,8.916261274E-1,4.107277232E-1,1.696921112E0
3.687891667E-1,1.759566354E0,1.995479651E-1,-6.588174820E-1,1.889426796E0
3.787561667E-1,2.395306630E0,-1.432617244E0,-2.639966996E0,3.841784970E0
3.887241667E-1,9.704237902E-1,-8.647960322E-1,-4.532756896E0,4.715451154E0
3.986911667E-1,-1.340637910E0,6.169479096E-1,-4.060776665E0,4.320629798E0
4.086591667E-1,-1.571527500E0,4.194207788E-3,-3.146628817E0,3.517241702E0
4.186261667E-1,-1.242336275E0,-5.862725392E-1,-6.993924809E-1,1.541513786E0
4.285931667E-1,-1.377580034E0,-1.168454878E0,1.786771109E0,2.540780303E0
4.385611667E-1,-1.774634628E0,-1.365291526E0,3.490014158E0,4.146510320E0
4.485281667E-1,-2.318940239E0,-7.034580499E-2,2.929880719E0,3.737195926E0
4.584961667E-1,-2.359017055E0,9.589565232E-1,1.808184782E0,3.123154061E0
4.684631667E-1,-2.534049947E0,1.061112936E0,1.649443987E0,3.204377516E0
4.784311667E-1,-2.559445574E0,4.014783783E-1,1.595659543E0,3.042708648E0
4.883981667E-1,-2.825520199E0,1.805119891E-1,1.894035941E0,3.406394152E0
4.983661667E-1,-3.483987433E0,9.675901564E-1,2.399457568E0,4.339561702E0
5.083331667E-1,-3.515412709E0,1.239874012E0,2.957024371E0,4.758088609E0
5.183011667E-1,-2.289480797E0,1.132461538E0,4.257986292E0,4.965343767E0
5.282681667E-1,4.411139488E-2,1.283194864E0,6.076906562E0,6.211064985E0
5.382351667E-1,-5.334420687E-1,9.160911700E-1,4.441958408E0,4.566703184E0
5.482031667E-1,-3.825302274E0,-5.927825002E-2,1.237276387E0,4.020858647E0
5.581701667E-1,-1.626892446E0,-3.041174502E-1,2.660645090E0,3.133416466E0
5.681381667E-1,8.639173418E-1,-6.936842827E-1,4.822502219E0,4.948138914E0
5.781044167E-1,-1.241238753E0,-8.533201405E-1,4.041694862E0,4.313250081E0
5.880724167E-1,-1.250511852E0,-1.146342389E0,3.442043601E0,3.837387772E0
5.980394167E-1,-4.985967565E-1,-9.668265101E-1,2.958014013E0,3.151697816E0
6.080074167E-1,-3.389168984E-1,-1.160413422E0,2.290428046E0,2.589881195E0
6.179744167E-1,-7.974128652E-1,-1.560567771E0,1.859880016E0,2.555463308E0
6.279414167E-1,-1.601563477E0,-1.506667845E0,2.132923644E0,3.063399556E0
6.379094167E-1,-1.120707173E0,-1.142627726E0,2.958181535E0,3.363394221E0
6.478764167E-1,-7.182713860E-1,-4.351108318E-1,3.898393639E0,3.987819979E0
6.578444167E-1,-1.164122749E0,1.929837438E-2,4.352487237E0,4.505518766E0
6.678114167E-1,-1.361180348E0,-1.344649648E-1,3.770843647E0,4.011253492E0
6.777794167E-1,-1.859433873E0,1.098633806E-2,4.415148924E0,4.790736379E0
6.877464167E-1,-1.987632322E0,8.670911008E-2,5.328520846E0,5.687823409E0
6.977144167E-1,-2.185883338E0,-1.354982592E-3,6.016180304E0,6.400977524E0
7.076814167E-1,-2.334549089E0,-7.197785881E-2,6.697010214E0,7.092619126E0
7.176484167E-1,-1.665997747E0,-1.771672538E-2,7.505248615E0,7.687952858E0
7.276164167E-1,-1.469947623E-1,9.521821585E-2,8.145296534E0,8.147179242E0
7.375834167E-1,1.145223305E0,1.225950531E-1,8.007812122E0,8.090217608E0
7.475514167E-1,-1.367500896E0,1.920594726E-1,-3.257099093E0,3.537745051E0
7.575184167E-1,-1.659762101E1,4.117156469E-1,-3.097631021E1,3.514516079E1
7.674864167E-1,-2.841588932E0,-5.305648366E-2,7.223834989E0,7.762810999E0
7.774534167E-1,-2.913230773E0,3.630515185E-2,4.498473501E-1,2.947981383E0
7.874214167E-1,-3.265546566E0,-8.684750637E-3,-9.910340559E-1,3.412626305E0
7.973884167E-1,-2.878872826E0,-3.160036337E-2,3.066250652E-1,2.895328351E0
8.073554167E-1,-2.555797789E0,-5.490233087E-2,2.307416546E-1,2.566779756E0
8.173234167E-1,-2.397974714E0,-8.989290987E-2,-4.671018988E-1,2.444697864E0
8.272904167E-1,-1.996084034E0,-8.165995714E-2,3.986959076E-1,2.037149539E0
8.372584167E-1,-1.664766177E0,-1.542234923E-1,-9.482546568E-2,1.674581494E0
8.472254167E-1,-7.085362105E-1,-1.191625548E-1,-3.045387787E-1,7.803634690E-1
8.571934167E-1,3.242366503E-2,5.113738180E-2,1.394391364E-1,1.520184154E-1
8.671604167E-1,-1.799886633E-1,6.911207903E-3,-2.115785748E-1,2.778653937E-1
8.771284167E-1,-1.333139770E-1,-1.334674481E-2,-1.558937860E-1,2.055568645E-1
8.870954167E-1,-1.231749416E-1,-1.772603525E-2,7.372871161E-2,1.446450880E-1
8.970634167E-1,-1.350680229E-1,-4.969365858E-3,-1.460143304E-1,1.989679625E-1
9.070304167E-1,-1.576245435E-1,2.093760931E-2,2.612769842E-2,1.611413567E-1
9.169974167E-1,-1.470318647E-1,2.175477597E-2,1.129682064E-3,1.486368585E-1
9.269654167E-1,-1.373618491E-1,2.133064270E-2,-7.236747980E-2,1.567173444E-1
9.369324167E-1,-1.099429484E-1,4.033144405E-3,4.064750433E-2,1.172857100E-1
9.469004167E-1,-9.596593768E-2,-5.982295470E-3,-4.198300838E-2,1.049181683E-1
9.568674167E-1,-6.952219726E-2,-1.388046769E-2,-1.121864337E-1,1.327094541E-1
9.668354167E-1,-6.642314555E-2,2.876482923E-3,-3.210121393E-2,7.382950870E-2
9.768024167E-1,-7.341522319E-2,4.859428153E-2,-1.383778667E-1,1.640110765E-1
9.867704167E-1,-8.901366223E-2,7.045875675E-2,-1.169712102E-1,1.630034739E-1
