"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.500000065E-4,-7.319800369E-3,1.780941746E-2,4.697653055E-3,1.981975711E-2
1.071670833E-2,-5.358598558E-2,1.767970977E-2,4.855761766E-2,7.444375207E-2
2.068470833E-2,-1.939040864E-2,5.737132682E-3,-1.775623977E-2,2.691071700E-2
3.065170834E-2,-3.808868967E-2,7.197342315E-3,-2.637678981E-3,3.885237918E-2
4.061970834E-2,-3.137378376E-2,2.961258413E-3,1.277675092E-2,3.400483382E-2
5.058670833E-2,-2.784787618E-2,7.076414586E-3,8.287258744E-3,2.990415537E-2
6.055370833E-2,-2.446244795E-2,9.463631739E-3,4.991183281E-3,2.669988007E-2
7.052170833E-2,-9.973230287E-3,4.537220076E-3,5.441418886E-3,1.223359015E-2
8.048870834E-2,-2.826450856E-2,-1.150238682E-3,-2.640017867E-3,2.841082871E-2
9.045670833E-2,-2.103848292E-2,-9.318593382E-3,-4.736244678E-3,2.349225318E-2
1.004237083E-1,-1.742663953E-2,-2.321332737E-2,1.562843800E-2,3.296656499E-2
1.103907083E-1,-1.659640800E-3,-1.472110088E-2,-6.531924605E-3,1.619046811E-2
1.203587083E-1,-1.239330148E-2,-5.439842879E-3,-2.345785975E-2,2.708241120E-2
1.303257083E-1,3.904478252E-4,9.864408122E-3,1.695634067E-2,1.962081767E-2
1.402937083E-1,-9.429018963E-3,3.040126389E-2,-2.807248235E-3,3.195346440E-2
1.502607083E-1,8.996197097E-3,3.312444926E-2,1.598862648E-2,3.786551040E-2
1.602277083E-1,-6.629032239E-2,-4.328502343E-2,-3.869687319E-2,8.812177989E-2
1.701957083E-1,-2.016388015E-1,-4.602397801E-2,-2.668265766E-1,3.375986297E-1
1.801627083E-1,5.221128691E-2,2.458475982E-2,2.051887375E-1,2.131498227E-1
1.901307083E-1,-9.011820126E-3,3.300018679E-2,1.510277331E-2,3.739410371E-2
2.000977083E-1,-4.672510028E-3,3.692055759E-2,1.000569695E-1,1.067537216E-1
2.100647083E-1,-9.997313507E-3,8.350582263E-3,1.129190898E-1,1.136679345E-1
2.200327083E-1,-2.356168438E-2,9.555889838E-3,1.863373142E-1,1.880639856E-1
2.299997083E-1,-2.671015419E-2,5.629196735E-3,1.645599443E-1,1.668085593E-1
2.399677083E-1,1.843593474E-1,-6.087341613E-2,9.030615270E-2,2.141241298E-1
2.499347083E-1,1.387016125E0,-4.954131303E-1,4.167170262E-1,1.530653775E0
2.599017083E-1,1.504766184E0,-4.438814360E-1,3.168547690E-1,1.600546451E0
2.698697083E-1,9.447375566E-1,-1.061425323E-1,-7.226222992E-2,9.534238920E-1
2.798367083E-1,2.417122737E-1,-5.118744402E-2,4.350609112E-1,5.003228699E-1
2.898047083E-1,-1.274216464E-1,7.692670003E-2,1.125804775E0,1.135601332E0
2.997717083E-1,-2.358396958E-1,3.592882688E-1,1.654046915E0,1.708970339E0
3.097387083E-1,-1.296139137E-1,9.507815310E-1,2.300135593E0,2.492269856E0
3.197067083E-1,1.970128682E-1,1.640417055E0,2.211304109E0,2.760370998E0
3.296737083E-1,3.169638196E-1,1.943787122E0,1.797614771E0,2.666494572E0
3.396417083E-1,-4.545479268E-3,1.646097479E0,1.657382167E0,2.335930911E0
3.496087083E-1,-4.024468964E-1,1.030543107E0,1.776236765E0,2.092605947E0
3.595757083E-1,-4.013189685E-1,6.161078840E-1,1.536509694E0,1.703381308E0
3.695437083E-1,1.076089409E-1,4.098071888E-1,9.372379178E-1,1.028560417E0
3.795107083E-1,3.371542552E-1,-4.682154279E-2,1.550693285E-1,3.740477848E-1
3.894787083E-1,6.704239127E-1,-7.993984334E-1,-2.583375889E-1,1.074822957E0
3.994457083E-1,1.572040300E0,-1.620063483E0,-7.313340658E-1,2.372923494E0
4.094137083E-1,1.632302874E0,-1.680934313E0,-1.541345342E0,2.804585228E0
4.193807083E-1,-1.437830329E-2,-8.311043756E-1,-1.908771510E0,2.081910155E0
4.293477083E-1,-5.844753975E-1,2.587262095E-1,-1.496114205E0,1.626932222E0
4.393157083E-1,-3.059573132E-1,4.757502596E-1,-1.876447517E0,1.959847818E0
4.492827083E-1,-3.482315129E-1,-4.484854240E-1,-2.375078772E0,2.442008095E0
4.592507083E-1,-3.673215026E-1,-1.079470269E0,-2.171838911E0,2.452970730E0
4.692177083E-1,-3.509580696E-1,-6.916045743E-1,-8.249164134E-1,1.132243588E0
4.791847083E-1,-4.074117672E-1,-4.471011322E-1,1.426624140E0,1.549561295E0
4.891527083E-1,-5.777768272E-1,-3.853739769E-1,2.171098069E0,2.279474937E0
4.991197083E-1,-1.363775343E0,-3.115998397E-1,1.126195954E0,1.795910625E0
5.090877083E-1,-2.261571452E0,-2.772087465E-1,2.440791535E-1,2.291533276E0
5.190547083E-1,-2.664293752E0,4.576329543E-1,1.889551127E-1,2.709906484E0
5.290217083E-1,-2.066189080E0,1.475374424E0,9.751401544E-1,2.719699492E0
5.389897083E-1,-8.906964201E-1,1.593184709E0,1.537263985E0,2.386369249E0
5.489567083E-1,-2.944458997E-1,9.620209028E-1,1.423628612E0,1.743244397E0
5.589247083E-1,-3.922780037E-1,2.964982724E-1,1.476119066E0,1.555866561E0
5.688917083E-1,-1.049519076E0,2.643336893E-1,2.108758564E0,2.370279577E0
5.788597083E-1,-2.477895042E0,1.063613059E0,2.243166171E0,3.507567683E0
5.888267083E-1,-3.038449481E0,1.628716192E0,2.600746797E0,4.318422812E0
5.987937083E-1,-2.347195154E0,1.206704439E0,3.967460366E0,4.765102565E0
6.087617083E-1,-1.677156866E0,6.335761484E-1,5.009575698E0,5.320725755E0
6.187287083E-1,-1.071811001E0,6.223272749E-1,4.724076915E0,4.883950528E0
6.286967083E-1,-6.106405181E-1,-1.498805276E-1,4.169717894E0,4.216858230E0
6.386637083E-1,-1.947962472E0,-2.206654695E0,1.613463730E0,3.356657258E0
6.486307083E-1,-9.708044440E-1,-7.652514249E-1,5.257576579E-1,1.343313860E0
6.585987083E-1,8.076408148E-1,-4.593121650E-1,2.927461141E0,3.071364531E0
6.685657083E-1,-9.402065492E-1,-6.825897758E-1,2.532966458E0,2.786725002E0
6.785337083E-1,-1.055920023E0,-1.403235716E0,2.245371887E0,2.850567046E0
6.885007083E-1,1.653136504E-1,-1.582474511E0,2.497205472E0,2.961011541E0
6.984677083E-1,-9.694683552E-4,-7.623692592E-1,2.046036651E0,2.183454558E0
7.084357083E-1,-1.646306371E0,1.200116893E-1,1.805993246E0,2.446699630E0
7.184027083E-1,-1.873693478E0,1.743137030E-1,1.904746871E0,2.677531169E0
7.283707083E-1,-1.073660476E0,3.237972047E-1,2.688499763E0,2.913009170E0
7.383377083E-1,-8.976727331E-1,9.052075282E-1,3.359862446E0,3.593590498E0
7.483047083E-1,-8.243135655E-1,1.456474176E0,4.031371310E0,4.364947253E0
7.582727083E-1,-9.038444692E-1,1.798056455E-1,4.521474693E0,4.614433692E0
7.682397083E-1,-9.789145321E-1,-5.699323123E-1,3.909310391E0,4.070111084E0
7.782077083E-1,-1.635629355E0,-2.265932379E-1,4.569244691E0,4.858459111E0
7.881747083E-1,-1.892258388E0,1.001993492E-1,5.549443272E0,5.864043174E0
7.981417083E-1,-2.218590324E0,5.474566660E-2,6.269738964E0,6.650922251E0
8.081097083E-1,-2.287817557E0,-1.395651690E-2,6.904746584E0,7.273914307E0
8.180767083E-1,-1.380820853E0,1.695989354E-2,7.772662252E0,7.894379795E0
8.280447083E-1,2.963594741E-1,6.045214252E-2,8.130124764E0,8.135749017E0
8.380117083E-1,1.315233220E0,1.038814688E-1,7.707860484E0,7.819957994E0
8.479787083E-1,-5.269932330E0,3.199331819E-1,-1.663408775E1,1.745186005E1
8.579467083E-1,-1.281940285E1,-1.205016129E-1,-2.223335456E1,2.566463842E1
8.679137083E-1,-5.810370154E-1,-1.067066242E-1,9.279540596E0,9.298325870E0
8.778817083E-1,-2.689926484E0,-8.578047174E-2,-8.593804872E-1,2.825172136E0
8.878487083E-1,-2.851978557E0,-1.073093990E-1,-9.467472446E-1,3.006929887E0
8.978157083E-1,-2.458497781E0,-3.910804208E-2,6.265203863E-1,2.537374347E0
9.077837083E-1,-2.509030296E0,-5.278124426E-2,1.493086517E-2,2.509629817E0
9.177507083E-1,-2.419776058E0,-9.186171306E-2,-3.555364394E-1,2.447480521E0
9.277187083E-1,-2.169025231E0,-4.674924288E-2,4.032310081E-1,2.206683301E0
9.376857083E-1,-1.957820147E0,-1.771596251E-2,-2.377121204E-1,1.972278032E0
9.476537083E-1,-6.695773821E-1,4.564361206E-2,-1.357811183E-1,6.847289405E-1
9.576207083E-1,3.064864131E-1,-1.962195153E-2,3.741048574E-2,3.093840443E-1
9.675877083E-1,-1.887554303E-3,-2.390705839E-2,-1.631688917E-1,1.649217921E-1
9.775557083E-1,4.041447451E-2,-4.127229759E-2,-5.778686285E-2,8.170712219E-2
