"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.905416677E-3,-2.068977507E-1,-8.182717837E-2,6.788149595E-2,2.326161299E-1
1.187341668E-2,-2.217546304E-1,-1.150619847E-1,6.944153309E-3,2.499251841E-1
2.184041667E-2,-2.046223616E-1,-7.353497691E-2,-8.842042565E-2,2.347251059E-1
3.180841668E-2,-1.494759369E-1,2.293182048E-2,-1.268845797E-1,1.974047128E-1
4.177541667E-2,-8.801115710E-2,1.100676951E-1,-9.424191356E-2,1.695358356E-1
5.174341667E-2,-3.653892171E-2,1.308247716E-1,-3.210823059E-2,1.395748979E-1
6.171041667E-2,-3.463433739E-3,9.139433781E-2,7.582669258E-2,1.188049143E-1
7.167841667E-2,2.098501744E-2,-2.327972524E-2,1.304724312E-1,1.341840969E-1
8.164541668E-2,3.371118994E-2,-8.254754621E-2,5.172973216E-2,1.030849499E-1
9.161341668E-2,4.681419723E-2,-1.278482008E-1,5.845286071E-2,1.481670288E-1
1.015804167E-1,9.152390845E-2,-8.058887514E-2,-5.008023262E-2,1.318302784E-1
1.115484167E-1,1.341559578E-1,-1.341722432E-2,-6.804814160E-2,1.510244765E-1
1.215154167E-1,1.582439281E-1,3.481750599E-2,-8.107106030E-2,1.811792381E-1
1.314824167E-1,1.711512729E-1,3.393009280E-2,-3.885299385E-2,1.787556001E-1
1.414504167E-1,1.556048239E-1,-9.840651525E-3,2.536989927E-2,1.579662351E-1
1.514174167E-1,1.507705835E-1,-3.785532638E-2,6.833114684E-2,1.698055954E-1
1.613854167E-1,1.453816068E-1,-3.481331015E-2,7.446546078E-2,1.670116254E-1
1.713524167E-1,1.322244032E-1,-1.980593554E-3,4.901486993E-2,1.410307520E-1
1.813204167E-1,1.159429774E-1,3.460820993E-2,-7.421870828E-3,1.212253536E-1
1.912874167E-1,1.056264973E-1,4.809255389E-2,-5.083452344E-2,1.267043781E-1
2.012554167E-1,5.416146124E-2,4.938932927E-3,-5.846572459E-2,7.985047209E-2
2.112224167E-1,1.194494795E-3,-6.454069843E-2,-4.169532537E-2,7.684678737E-2
2.211904167E-1,-5.548132399E-2,-1.283996115E-1,9.815136194E-3,1.402175968E-1
2.311574167E-1,-9.209488906E-2,-6.422322202E-2,-1.110321933E-1,1.579057909E-1
2.411254167E-1,-2.340594744E-2,-3.430762421E-3,4.834010124E-2,5.381797000E-2
2.510924167E-1,-1.657100185E-1,7.854804156E-2,1.111748654E-1,2.144515231E-1
2.610594167E-1,-2.560374587E-1,1.169177722E-1,1.780243278E-1,3.330429507E-1
2.710274167E-1,-2.247426489E-1,6.585045646E-2,2.307942796E-1,3.288031939E-1
