"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.184045833E-2,9.347744493E-2,-3.849824145E-2,-7.663068473E-2,1.268558597E-1
2.180845833E-2,1.081282467E-1,-2.726261100E-2,-4.190699458E-2,1.191266716E-1
3.177545832E-2,1.222321877E-1,8.285541125E-3,-1.481099725E-2,1.234047144E-1
4.174345834E-2,1.557200140E-1,1.242023065E-2,-7.179211378E-3,1.563794295E-1
5.171145833E-2,1.597043616E-1,1.041234248E-2,3.398635626E-2,1.636122624E-1
6.167945833E-2,1.492957330E-1,-1.256726985E-2,4.266654789E-2,1.557805715E-1
7.164645832E-2,1.369752111E-1,-3.573965758E-2,1.916424930E-2,1.428523714E-1
8.161445832E-2,1.145775063E-1,-4.803560292E-2,1.800357699E-3,1.242524261E-1
9.158245834E-2,8.572855029E-2,-4.300182633E-2,-3.801742673E-2,1.031691143E-1
1.015504583E-1,7.082419859E-2,-2.299186864E-2,-4.400029778E-2,8.649115177E-2
1.115174583E-1,5.170634329E-2,-9.754891600E-3,-2.483546376E-2,5.818508492E-2
1.214854583E-1,4.025729405E-2,2.248003171E-3,1.403331757E-5,4.032001289E-2
1.314534583E-1,3.739294410E-3,3.061666070E-3,2.336488903E-2,2.385946690E-2
1.414214583E-1,-2.528409138E-2,-4.060745090E-3,4.177601695E-2,4.900010735E-2
1.513884583E-1,-5.268445456E-2,-9.256224604E-3,1.557756722E-2,5.571346379E-2
1.613569583E-1,-7.614209505E-2,-3.984269905E-3,-1.791586876E-3,7.626731166E-2
1.713249583E-1,-7.977732729E-2,5.502782674E-3,-2.141367316E-2,8.278434614E-2
1.812929583E-1,-9.338255558E-2,2.302062507E-2,-4.762089372E-2,1.073219474E-1
1.912599583E-1,-1.056411884E-1,7.019344848E-3,-3.486987054E-2,1.114685595E-1
2.012279583E-1,-1.665242067E-1,-4.480191907E-2,-4.209352076E-2,1.775088389E-1
2.111959583E-1,-1.330066510E-1,1.368861507E-2,-5.201098323E-2,1.434687763E-1
2.211639583E-1,-1.331252947E-1,8.906099726E-3,4.562816262E-2,1.410091909E-1
2.311309583E-1,-1.083974014E-1,-3.917618955E-2,2.450451136E-2,1.178356548E-1
2.410989583E-1,-2.111595852E-1,-5.487598642E-2,8.437473714E-2,2.339205861E-1
2.510669583E-1,1.372758128E-2,-1.202594559E-1,-5.074506104E-2,1.312472645E-1
2.610349583E-1,1.481472302E-1,-2.439345080E-1,1.010509962E-1,3.027588972E-1
2.710019583E-1,-3.298061689E-2,-6.181550307E-2,1.006457841E-1,1.226313638E-1
2.809699583E-1,-6.699136700E-3,3.361116144E-2,6.085197330E-2,6.983946778E-2
2.909379583E-1,1.179204326E-1,-9.915954069E-2,1.706164902E-1,2.298865583E-1
3.009049583E-1,4.977859669E-1,-5.655948478E-1,2.997966868E-1,8.109047133E-1
3.108729583E-1,1.389033268E0,-8.516723952E-1,1.035576975E-1,1.632630848E0
3.208409583E-1,2.161791348E0,-6.065367229E-1,-4.698764026E-2,2.245759664E0
3.308089583E-1,2.224232302E0,-7.352956823E-2,3.939011908E-1,2.260038513E0
3.407759583E-1,2.829767032E0,3.207252238E-1,4.222496617E-1,2.879017350E0
3.507439583E-1,2.934809922E0,7.979526363E-1,1.460751414E-1,3.044860528E0
3.607119583E-1,2.103040279E0,1.310493906E0,1.291475106E0,2.794294301E0
3.706799583E-1,1.379562240E0,1.393000750E0,1.950448709E0,2.765482458E0
3.806469583E-1,5.774894366E-1,1.116516912E0,2.561335979E0,2.853164219E0
3.906149583E-1,2.711004527E-1,8.646930481E-1,2.945070616E0,3.081335823E0
4.005829583E-1,5.734313227E-1,7.515151459E-1,2.711802964E0,2.871841537E0
4.105509583E-1,1.090456895E0,6.017998569E-1,1.554875799E0,1.992209341E0
4.205179583E-1,1.342720104E0,3.663166586E-1,-1.494244266E-1,1.399790281E0
