"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.369875012E-3,1.604285941E-2,-1.983309768E-2,9.107798517E-2,9.458289742E-2
1.133787501E-2,-6.084740516E-3,1.699580024E-3,-6.190037906E-2,6.222193799E-2
2.130487500E-2,2.914782185E-3,-4.922857652E-3,5.168938637E-3,7.710279456E-3
3.127187501E-2,2.501148323E-2,-1.248701682E-2,7.416608334E-3,2.892241279E-2
4.123987500E-2,1.495379722E-2,-1.998318840E-2,1.325622261E-2,2.826077330E-2
5.120687501E-2,8.853013404E-3,-2.110652989E-2,1.759661078E-2,2.887043750E-2
6.117487501E-2,8.456097096E-3,-3.058957164E-2,1.699142396E-2,3.599911054E-2
7.114187501E-2,1.369984355E-3,-1.639100171E-2,-2.836191952E-2,3.278628178E-2
8.110887501E-2,-3.207069878E-3,-2.706233016E-2,-1.473790705E-2,3.098162222E-2
9.107687500E-2,-1.350951668E-2,-2.667897665E-2,-1.562843800E-2,3.374200513E-2
1.010438750E-1,-1.966933910E-2,-4.067429645E-2,2.193290591E-3,4.523374643E-2
1.110108750E-1,-2.151830178E-2,-4.412698137E-2,3.424129486E-3,4.921333619E-2
1.209788750E-1,-8.278656028E-2,-1.856871039E-1,1.616755128E-2,2.039477993E-1
1.309458750E-1,-2.552400995E-2,1.800201286E-1,-1.202912593E-1,2.180107999E-1
1.409128750E-1,-7.549672689E-2,-6.745652671E-2,1.433538473E-1,1.755006105E-1
1.508808750E-1,-2.194527277E-1,-2.861663155E-1,7.976011455E-2,3.693404062E-1
1.608478750E-1,8.483348776E-1,-1.415444264E0,-8.352922976E-2,1.652311006E0
1.708158750E-1,2.095585372E0,-1.930300958E0,1.814168823E-1,2.854899634E0
1.807828750E-1,2.844538853E0,-1.327322339E0,5.135907716E-1,3.180717113E0
1.907498750E-1,2.455805431E0,-7.636631019E-1,9.007542157E-1,2.724980698E0
2.007178750E-1,1.395834603E0,8.609936426E-2,1.072134352E0,1.762168950E0
2.106855000E-1,-2.899482214E-1,1.635832546E0,1.143648723E0,2.016916085E0
2.206525000E-1,-2.611122097E0,2.563994708E0,1.766216392E0,4.063440391E0
2.306205000E-1,-3.520193977E0,2.404349349E0,2.142120438E0,4.770884760E0
2.405875000E-1,-1.267692433E0,1.875055148E0,1.656426732E0,2.804750512E0
2.505555000E-1,6.217794639E-1,1.373874507E0,1.784087822E0,2.336045851E0
2.605225000E-1,1.630626624E0,1.070838682E0,2.703152009E0,3.333567076E0
2.704895000E-1,2.438226362E0,8.008049811E-1,2.240199294E0,3.406571486E0
2.804575000E-1,2.801598070E0,2.135567426E-1,1.144579600E0,3.033911780E0
2.904245000E-1,3.175696203E0,-1.993043920E-1,-2.727579921E-1,3.193613242E0
3.003915000E-1,3.728282349E0,3.055943107E-1,-1.443376998E0,4.009590292E0
