"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.619958326E-3,7.859310167E-2,7.671481155E-2,1.954899609E-2,1.115535799E-1
1.358712499E-2,4.674099740E-2,1.512030582E-3,-6.314992905E-5,4.676549008E-2
2.355412500E-2,3.390462315E-2,-5.073928691E-2,-3.913249075E-2,7.249379656E-2
3.352212500E-2,4.401994077E-2,-4.951751120E-2,-4.197657645E-2,7.843323321E-2
4.348912500E-2,4.526516930E-2,-9.323780502E-3,-3.658427417E-2,5.894300257E-2
5.345712500E-2,4.875781171E-2,3.097540565E-2,-1.173243821E-2,5.894446593E-2
6.342412499E-2,4.669525207E-2,4.585940630E-2,2.479628742E-2,6.998848178E-2
7.339212501E-2,2.281725160E-2,3.247705285E-2,2.539679646E-2,4.712094230E-2
8.335912500E-2,3.677953463E-3,6.711543761E-3,1.746563315E-2,1.906883591E-2
9.332712500E-2,-1.765923995E-2,1.935699957E-2,1.252707481E-2,2.904255139E-2
1.032941250E-1,-1.259510351E-2,5.525066504E-2,-2.442381978E-3,5.672070036E-2
1.132621250E-1,-2.652456905E-2,9.869864305E-2,-9.477751851E-3,1.026391869E-1
1.232291250E-1,-3.058324020E-2,1.129331779E-1,-1.292000771E-2,1.177122078E-1
1.331971250E-1,-3.901018345E-2,7.475889507E-2,-1.157222450E-2,8.511523474E-2
1.431641250E-1,-4.610555124E-2,-2.092275373E-4,7.289723754E-3,4.667875002E-2
1.531321250E-1,-7.853253731E-2,-7.221484920E-2,9.835601449E-3,1.071404822E-1
1.630991250E-1,-7.631360119E-2,-9.067925988E-2,8.338714242E-3,1.188108920E-1
1.730671250E-1,-5.744967037E-2,-5.141458550E-2,1.866489708E-2,7.932403552E-2
1.830341250E-1,-3.624584829E-2,3.513855467E-2,1.900929809E-3,5.051824499E-2
1.930021250E-1,-6.117420970E-3,1.198720870E-1,-1.381638587E-2,1.208206630E-1
2.029691250E-1,1.587286075E-2,1.372152941E-1,2.649958134E-3,1.381557343E-1
2.129371250E-1,5.976548754E-3,1.053653643E-1,-5.132685900E-3,1.056594699E-1
2.229041250E-1,-1.355092227E-3,3.100155138E-2,5.495797992E-3,3.151406446E-2
2.328721250E-1,1.591191832E-3,-2.325303819E-2,7.040047646E-4,2.331804664E-2
2.428391250E-1,1.755145932E-2,-4.617660404E-2,8.490157127E-4,4.940701684E-2
2.528071250E-1,3.211112679E-2,-3.297245592E-2,9.530376792E-3,4.700144035E-2
2.627741250E-1,4.782345406E-2,6.099470474E-3,3.243450522E-3,4.831983309E-2
2.727421250E-1,6.030944305E-2,4.085054889E-2,-9.466642141E-4,7.284842097E-2
2.827091250E-1,4.764446530E-2,4.088200509E-2,5.519771576E-4,6.278246644E-2
2.926771250E-1,3.550825858E-2,2.765506196E-2,4.744430780E-3,4.525647471E-2
3.026441250E-1,3.806054081E-2,3.490721278E-2,8.187271357E-3,5.228909717E-2
3.126121250E-1,3.526481342E-2,3.698431280E-2,1.450694203E-3,5.112290066E-2
3.225791250E-1,4.206371823E-2,6.407214002E-2,-4.837401509E-3,7.679841126E-2
3.325471250E-1,4.710563525E-2,8.531136973E-2,-9.926818013E-3,9.795668631E-2
3.425141250E-1,4.201585329E-2,6.929493243E-2,6.538941264E-3,8.130115215E-2
3.524821250E-1,1.906106422E-2,2.647841259E-2,-2.588562369E-3,3.272814015E-2
3.624491250E-1,1.154048508E-3,-2.449220936E-2,5.495797992E-3,2.512775245E-2
3.724171250E-1,-2.503553904E-2,-5.731804406E-2,1.454787254E-3,6.256398961E-2
3.823841250E-1,-3.503560256E-2,-5.625494717E-2,-4.381318688E-3,6.641768199E-2
3.923521250E-1,-4.737515534E-2,-7.859694804E-3,-1.321178377E-2,4.980694105E-2
4.023191250E-1,-4.556881338E-2,5.951682099E-2,-6.473452449E-3,7.523745291E-2
4.122871250E-1,-4.220044258E-2,1.013526760E-1,3.407757282E-3,1.098401342E-1
4.222541250E-1,-5.079156468E-2,1.063531782E-1,3.857992887E-3,1.179222866E-1
4.322221250E-1,-6.342981881E-2,6.722315429E-2,-3.332912922E-5,9.242453948E-2
4.421891250E-1,-8.081518980E-2,1.173837222E-2,-8.563832045E-3,8.211104374E-2
4.521571250E-1,-8.760896003E-2,-2.055868689E-2,-3.622934818E-3,9.006172961E-2
4.621241250E-1,-6.063405488E-2,-1.780127475E-2,-1.215636134E-2,6.435177631E-2
4.720921250E-1,-4.135926579E-2,6.003706330E-3,1.014550388E-2,4.300656468E-2
4.820591250E-1,-1.890420352E-2,4.201784500E-2,-3.566801548E-5,4.607460777E-2
4.920271250E-1,-7.581298817E-3,4.877733593E-2,-6.379312277E-4,4.936710999E-2
5.019941250E-1,2.303866921E-3,3.532869196E-2,1.522790372E-2,3.853976298E-2
5.119621250E-1,8.716170285E-3,2.680209480E-2,-1.995069981E-2,3.453048411E-2
5.219291250E-1,6.718606101E-3,1.762721730E-2,3.247543573E-3,1.914170831E-2
5.318971250E-1,4.185056895E-2,-1.597336662E-2,6.536602378E-3,4.526969995E-2
5.418641250E-1,6.208327814E-2,1.790634876E-2,-1.067993939E-2,6.549070053E-2
5.518321250E-1,8.154405436E-2,6.069032519E-2,4.436867237E-3,1.017469123E-1
5.617991250E-1,8.089907907E-2,7.238547369E-2,7.576822042E-3,1.088196950E-1
5.717671250E-1,6.838553508E-2,4.506077257E-2,1.588688493E-3,8.191201721E-2
5.817341250E-1,5.909702288E-2,-5.814900650E-3,8.175576925E-3,5.994256619E-2
5.917021250E-1,4.720853711E-2,-2.635980091E-2,7.278029323E-3,5.455689498E-2
6.016691250E-1,3.603288174E-2,-1.052578760E-3,-9.187729955E-3,3.720068373E-2
6.116371250E-1,5.101377714E-2,4.776655791E-2,1.740716100E-3,6.990765055E-2
6.216041250E-1,5.145875939E-2,8.064505409E-2,-1.621842206E-2,9.702920118E-2
6.315721250E-1,4.327297725E-2,8.169769909E-2,-2.742344141E-3,9.249099982E-2
6.415391250E-1,1.940721938E-2,4.747651774E-2,4.596496224E-3,5.149551125E-2
6.515071250E-1,-1.083457997E-2,4.985612438E-3,4.601173997E-3,1.278339770E-2
6.614741250E-1,-1.450078418E-2,-4.210440206E-2,-7.841116190E-4,4.453839070E-2
6.714421250E-1,-2.357508729E-2,-3.650378816E-2,-7.806032896E-4,4.346171456E-2
6.814091250E-1,-3.274126478E-2,-4.194223776E-3,4.159124494E-3,3.326980987E-2
6.913771250E-1,-2.767425955E-2,4.108567092E-2,2.216094732E-3,4.958636982E-2
7.013441250E-1,-2.619922631E-2,6.099346221E-2,-1.222068071E-3,6.639348870E-2
7.113121250E-1,-4.147343268E-2,5.940079944E-2,-1.219144464E-3,7.245679337E-2
7.212791250E-1,-4.949696372E-2,3.562977560E-2,6.863461733E-3,6.137212261E-2
7.312471250E-1,-6.012870013E-2,2.428350716E-2,5.366574526E-3,6.506880529E-2
7.412141250E-1,-5.613490566E-2,2.177044925E-2,9.558443427E-3,6.096264376E-2
7.511821250E-1,-4.189747458E-2,3.585896362E-2,2.372800112E-3,5.519867597E-2
7.611491250E-1,-1.232527278E-2,5.346916004E-2,-5.562456250E-3,5.515255519E-2
7.711171250E-1,9.344645469E-3,4.327184892E-2,-1.230020285E-2,4.594638503E-2
7.810841250E-1,1.223922735E-3,1.338903434E-2,-1.260074973E-2,1.842669589E-2
7.910521250E-1,-1.977382153E-3,-2.412035157E-2,-1.469756126E-2,2.831465534E-2
8.010191250E-1,3.874831041E-3,-3.862232119E-2,-9.609898925E-3,3.998810032E-2
