"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.451458331E-3,-2.044879122E-2,-7.066954431E-2,-2.577160299E-2,7.795199212E-2
1.141945833E-2,-7.829988208E-3,-7.515660624E-2,-3.475351095E-2,8.317229527E-2
2.138645833E-2,-5.309052542E-3,-1.317043299E-2,-3.310401142E-2,3.602113152E-2
3.135445833E-2,4.480785308E-3,4.971263919E-2,-2.307077408E-2,5.498804005E-2
4.132145834E-2,5.746634407E-3,8.683494399E-2,-1.019345105E-2,8.761984792E-2
5.128945834E-2,-1.164276567E-2,7.496792846E-2,1.989749014E-2,7.843248310E-2
6.125645833E-2,-4.600507963E-2,3.005973168E-2,4.249990225E-2,6.947155181E-2
7.122445833E-2,-6.677647269E-2,-3.274730842E-2,3.800690174E-2,8.352250053E-2
8.119145833E-2,-5.359223479E-2,-4.389386476E-2,1.914261460E-2,7.186959501E-2
9.115845834E-2,-5.354968716E-2,-9.968296699E-3,-3.462136388E-3,5.457950460E-2
1.011264583E-1,-4.137403915E-2,2.682099090E-2,-2.801225603E-2,5.670858097E-2
1.110934583E-1,-3.986049651E-2,4.771430299E-2,-3.294964492E-2,7.036471411E-2
1.210614583E-1,-3.226621505E-2,2.621050048E-2,-3.114987195E-2,5.194625579E-2
1.310284583E-1,-4.033722731E-2,-1.106485520E-2,-1.094072521E-2,4.323450469E-2
1.409964583E-1,-5.199953548E-2,-3.251356598E-2,5.835521221E-4,6.133045080E-2
1.509634583E-1,-5.409753473E-2,-3.238086616E-2,2.019043565E-2,6.620209550E-2
1.609314583E-1,-2.954287436E-2,2.163786820E-2,3.410856307E-2,5.004370930E-2
1.708984583E-1,-8.674508873E-3,6.719774631E-2,2.452614605E-2,7.205772723E-2
1.808654583E-1,2.189974124E-3,7.832439470E-2,-1.364623189E-2,7.953443554E-2
1.908334583E-1,-1.065106876E-4,5.738836597E-2,-1.005194843E-2,5.826214517E-2
2.008004583E-1,-5.932685500E-3,2.754760338E-3,-2.921035051E-2,2.993376085E-2
2.107684583E-1,-9.107047515E-3,-6.373730013E-2,-1.513961077E-2,6.614068004E-2
2.207354583E-1,-7.016010107E-3,-7.686772537E-2,-8.253929615E-3,7.762730806E-2
2.307034583E-1,1.172677372E-2,-4.685298985E-2,2.602186382E-2,5.486216616E-2
2.406704583E-1,2.729682178E-2,1.225611575E-2,5.475975931E-2,6.240160328E-2
2.506384583E-1,3.450594532E-2,6.477341304E-2,2.541901588E-2,7.766840843E-2
2.606054583E-1,3.204853417E-2,8.412438495E-2,-9.160248041E-3,9.048718600E-2
2.705724583E-1,2.446283167E-2,6.137695276E-2,-1.963904321E-2,6.892932962E-2
2.805404583E-1,5.536198597E-3,2.464435117E-2,-3.834954858E-2,4.592038127E-2
2.905074583E-1,-5.064328294E-3,-6.222552080E-3,-3.011549950E-2,3.116586090E-2
