"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.249999995E-3,-3.374660214E-2,1.560360560E-2,-2.272637308E-2,4.357515000E-2
1.721799999E-2,-2.231999159E-2,1.385887868E-2,-1.928470194E-2,3.259064700E-2
2.718500000E-2,-1.187700148E-2,3.293038337E-2,-2.820696831E-3,3.512021702E-2
3.715300000E-2,8.086872837E-3,5.311647701E-2,1.933498800E-2,5.710165849E-2
4.712000000E-2,1.649030845E-2,5.815074239E-2,1.334685445E-2,6.189973858E-2
5.708800000E-2,1.906539481E-3,3.959072974E-2,1.394443989E-2,4.201795066E-2
6.705499999E-2,-1.877906397E-3,2.139832879E-2,-3.869687319E-3,2.182634847E-2
7.702299999E-2,1.891482901E-3,1.767054723E-2,-1.120501935E-2,2.100900773E-2
8.699000000E-2,8.692178428E-3,2.063476922E-2,-1.165467024E-2,2.524240490E-2
9.695799999E-2,1.142957071E-2,3.239386251E-2,-2.512723982E-2,4.256025841E-2
1.069250000E-1,2.633321892E-2,5.312755931E-2,-8.510622382E-3,5.990331101E-2
1.168930000E-1,5.604315919E-2,7.493275838E-2,1.858186662E-2,9.539936969E-2
1.268600000E-1,5.579682696E-2,6.550884659E-2,2.531902850E-2,8.969809409E-2
1.368280000E-1,3.701508606E-2,3.262313960E-2,-4.467857480E-3,4.954137244E-2
1.467950000E-1,1.384909373E-2,-1.201011471E-2,3.400155902E-2,3.862830916E-2
1.567630000E-1,-1.056164291E-2,-3.157329715E-2,-3.410447001E-2,4.766063647E-2
1.667300000E-1,-5.079311784E-3,-2.343152901E-3,-1.254870951E-2,1.373899138E-2
1.766980000E-1,1.959840506E-2,3.837404750E-2,-1.419470072E-2,4.536688804E-2
1.866650000E-1,3.942497944E-2,9.285914755E-2,-2.242407203E-2,1.033440337E-1
1.966330000E-1,3.884166487E-2,1.236261822E-1,9.162002206E-3,1.299078525E-1
2.066000000E-1,5.199335022E-3,8.507052840E-2,8.220951319E-2,1.184163500E-1
2.165680000E-1,-2.788343456E-2,2.495394297E-2,-9.849050045E-3,3.869352632E-2
2.265350000E-1,-6.224731081E-2,-3.122473686E-2,1.334977806E-2,7.090788722E-2
2.365030000E-1,-7.609447679E-2,-5.282460501E-2,8.259192109E-3,9.300012122E-2
2.464700000E-1,-8.178458506E-2,-2.910960025E-2,-5.251442850E-2,1.014586240E-1
2.564380000E-1,-7.287031294E-2,2.691140804E-2,-3.889158547E-2,8.687267586E-2
2.664050000E-1,-8.862207237E-2,6.657981439E-2,-9.550257325E-3,1.112562394E-1
2.763730000E-1,-7.872267231E-2,8.896501157E-2,7.214879394E-3,1.190129695E-1
2.863400000E-1,-7.538169206E-2,7.347778383E-2,3.610421777E-2,1.112874600E-1
2.963080000E-1,-8.075489039E-2,4.703414390E-2,2.113300681E-2,9.581318798E-2
3.062750000E-1,-7.484797832E-2,3.288241565E-2,3.490144551E-2,8.889085451E-2
3.162430000E-1,-6.426756036E-2,2.184113204E-2,-1.225167096E-2,6.897432714E-2
3.262100000E-1,-4.795645081E-2,2.653278256E-2,-4.757820904E-2,7.257751511E-2
3.361780000E-1,-2.846624664E-2,3.678577014E-2,-2.946821272E-2,5.506265198E-2
3.461450000E-1,-1.818283070E-3,3.330143946E-2,-1.525012314E-2,3.667230943E-2
