"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.831208327E-3,1.182624034E-2,2.054214110E-2,5.736118555E-4,2.371009389E-2
1.179820833E-2,1.098471637E-2,1.629990392E-2,-1.724168479E-2,2.614625319E-2
2.176520834E-2,1.139477978E-2,2.163697741E-2,-2.338009179E-2,3.383235862E-2
3.173320834E-2,2.265463505E-2,1.022509111E-2,-1.050569236E-2,2.698433897E-2
4.170020833E-2,1.619112287E-2,9.485160799E-3,-5.266002417E-3,1.948977980E-2
5.166820833E-2,6.652706154E-3,1.338846904E-2,-9.256142378E-4,1.497886391E-2
6.163520833E-2,1.071311320E-2,1.589360237E-2,-2.123124003E-3,1.928432126E-2
7.160320833E-2,7.342056334E-3,1.287829262E-2,3.264500499E-3,1.517936677E-2
8.157020833E-2,6.567985481E-3,1.450989077E-2,-1.375265121E-3,1.598645419E-2
9.153820833E-2,3.902587043E-3,2.373910626E-2,-1.760011911E-4,2.405839413E-2
1.015052083E-1,-1.852754233E-3,2.770810260E-2,1.920225620E-3,2.783628772E-2
1.114732083E-1,1.230436899E-3,2.563598870E-2,-3.018917441E-3,2.584244095E-2
1.214402083E-1,-1.040097238E-2,1.854054439E-2,-2.868059278E-3,2.145128847E-2
1.314082083E-1,-9.759368375E-3,1.251487218E-2,-6.157702804E-3,1.702306084E-2
1.413752083E-1,-1.227389951E-2,1.620404384E-2,-3.162758946E-3,2.057237687E-2
1.513422083E-1,-5.055000158E-3,2.053899137E-2,1.778723001E-3,2.122656469E-2
1.613102083E-1,-3.551781513E-3,2.040572510E-2,2.079269886E-3,2.081663114E-2
1.712772083E-1,-3.489179760E-3,7.249102736E-3,5.074213743E-3,9.511651328E-3
1.812452083E-1,-2.999959672E-3,1.038913634E-2,4.025807977E-3,1.153867591E-2
1.912122083E-1,8.303503040E-4,1.272326260E-2,5.820903182E-3,1.401619801E-2
2.011802083E-1,1.213655390E-2,1.994412626E-2,1.180786729E-2,2.616275678E-2
2.111472083E-1,1.655603481E-2,2.240039537E-2,4.021130204E-3,2.814337381E-2
2.211152083E-1,2.239996140E-2,2.177665963E-2,8.062725663E-3,3.226435681E-2
2.310822083E-1,1.211036020E-2,1.623497242E-2,-2.007758439E-2,2.851919614E-2
2.410502083E-1,9.654995576E-3,6.114091369E-3,-1.947766006E-2,2.258274328E-2
2.510172083E-1,1.735066228E-2,-4.503534632E-3,-2.711938620E-3,1.812958678E-2
