"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.866333340E-3,-8.178962829E-2,3.715049021E-2,-3.521777987E-3,8.990052913E-2
1.383333333E-2,-7.549653503E-2,4.014773184E-2,-2.118621647E-2,8.809326275E-2
2.380133333E-2,-7.811868235E-2,1.163669919E-2,-3.794959903E-2,8.762484445E-2
3.376833333E-2,-5.545063525E-2,-8.939922214E-3,-3.959792912E-2,6.872183895E-2
4.373533334E-2,-4.509420220E-2,-2.473113664E-2,-1.924084783E-2,5.491198791E-2
5.370333334E-2,-3.572173677E-2,-7.777143996E-3,1.415610909E-3,3.658593174E-2
6.367033333E-2,-1.563624037E-2,9.395424882E-3,1.683354914E-2,2.482205468E-2
7.363833333E-2,4.914639574E-3,3.091165729E-2,5.454282761E-3,3.177158226E-2
8.360633333E-2,2.204916500E-2,3.616120071E-2,6.202141643E-3,4.280496087E-2
9.357333333E-2,2.402391591E-2,1.631006802E-2,-6.835395098E-4,2.904537968E-2
1.035413333E-1,1.784033004E-2,-6.118654367E-3,-9.366654754E-3,2.105824134E-2
1.135083333E-1,3.014166579E-2,-2.383005330E-3,-8.467937708E-3,3.139911941E-2
1.234763333E-1,2.601143019E-2,8.897264949E-3,1.262998581E-3,2.752001071E-2
1.334433333E-1,4.141798463E-2,3.240789126E-2,6.654131413E-4,5.259433088E-2
1.434113333E-1,4.038702914E-2,4.531599440E-2,5.757168531E-3,6.097373583E-2
1.533783333E-1,4.938466977E-2,4.671971445E-2,9.648490548E-3,6.866345969E-2
1.633463333E-1,4.288865986E-2,2.819709656E-2,1.099627376E-2,5.249220357E-2
1.733133333E-1,2.562485615E-2,-5.719961054E-3,-2.292108536E-4,2.625649909E-2
1.832813333E-1,3.904423434E-3,-2.051362222E-2,-4.719872475E-3,2.140865281E-2
1.932483333E-1,-6.334718121E-3,-1.237440767E-2,1.130032897E-2,1.791513476E-2
2.032153333E-1,-9.599675434E-3,2.057923438E-2,-7.109629512E-3,2.379507276E-2
2.131833333E-1,-1.625747963E-2,4.214513614E-2,6.759381294E-4,4.517715171E-2
2.231503333E-1,-2.818126797E-2,5.070017909E-2,1.190493107E-2,5.921502688E-2
2.331183333E-1,-4.202735586E-2,2.829838587E-2,7.565712333E-3,5.122828600E-2
2.430853333E-1,-5.327362549E-2,-1.143103251E-3,1.071092963E-2,5.435172373E-2
2.530533333E-1,-6.397365555E-2,-1.980858963E-2,-6.800896525E-3,6.731464195E-2
2.630213333E-1,-6.473626952E-2,-2.225253847E-2,3.377351761E-3,6.853733701E-2
2.729883333E-1,-6.755125618E-2,-7.086514737E-3,-1.712649465E-3,6.794353590E-2
2.829563333E-1,-5.702866171E-2,1.551475990E-2,-8.449226618E-3,5.970230700E-2
2.929233333E-1,-5.450573433E-2,2.456330785E-2,-3.808291554E-3,5.990604521E-2
3.028903333E-1,-6.248001172E-2,2.312310209E-2,-3.506575227E-3,6.671376009E-2
3.128583333E-1,-5.098720886E-2,3.204004657E-3,-6.351245642E-3,5.148105898E-2
3.228253333E-1,-5.413303829E-2,-2.778140064E-3,5.324474573E-3,5.446516250E-2
3.327933333E-1,-5.170076103E-2,1.174295406E-2,-4.559074044E-3,5.321325791E-2
3.427613333E-1,-2.543902433E-2,2.976817489E-2,6.664071679E-3,3.972024731E-2
3.527283333E-1,-9.089752547E-3,5.225169665E-2,8.009516001E-3,5.363782015E-2
3.626953333E-1,-6.700534550E-3,4.774312336E-2,2.616629004E-3,4.828198152E-2
3.726633333E-1,1.595138703E-3,1.837778509E-2,5.758337975E-3,1.932474860E-2
3.826313333E-1,1.255854014E-2,-1.657087668E-2,3.812384605E-3,2.113871238E-2
3.925983333E-1,1.148447972E-2,-4.600592473E-2,9.050320387E-3,4.827366450E-2
4.025653333E-1,2.419964301E-2,-3.662832472E-2,5.155490041E-3,4.420221682E-2
4.125333333E-1,3.256769383E-2,-4.149526837E-3,-8.766730428E-3,3.398130099E-2
4.225013333E-1,4.208162533E-2,3.276641237E-2,6.051868200E-3,5.367612206E-2
4.324683333E-1,4.037024581E-2,5.626852824E-2,2.458169460E-3,6.929607935E-2
4.424363333E-1,4.561517998E-2,4.711886000E-2,8.892445564E-3,6.618162283E-2
4.524033333E-1,3.347806877E-2,2.522893113E-2,3.054000735E-3,4.203102395E-2
4.623703333E-1,1.985000893E-2,1.007806904E-2,-1.736623049E-3,2.232949147E-2
4.723383333E-1,1.487294119E-2,-6.373666059E-3,-9.071955085E-3,1.855069723E-2
4.823063333E-1,1.863013356E-2,7.380830683E-3,-7.872106433E-3,2.152971430E-2
4.922733333E-1,-2.784562865E-3,2.039093576E-2,-3.680822253E-3,2.090675738E-2
5.022403333E-1,-1.063392911E-2,2.042224577E-2,9.343265891E-3,2.484844438E-2
5.122083333E-1,-2.182300567E-2,7.491840986E-3,1.173770070E-2,2.588715657E-2
5.221753333E-1,-4.075573264E-2,-6.325417394E-3,-9.665447474E-3,4.236108501E-2
5.321433333E-1,-5.745153417E-2,-2.706003696E-2,-4.424588084E-3,6.365925980E-2
5.421103333E-1,-7.078472075E-2,-1.961192675E-2,-7.568051219E-3,7.384023132E-2
5.520783333E-1,-7.669452902E-2,1.260181411E-2,-8.465014100E-3,7.818256176E-2
5.620453333E-1,-6.734058282E-2,3.796362778E-2,2.913082838E-3,7.735940266E-2
5.720133333E-1,-6.305768922E-2,5.220679186E-2,5.456036925E-3,8.204626515E-2
5.819803333E-1,-6.602569020E-2,4.068305814E-2,-1.878710389E-3,7.757597914E-2
5.919483333E-1,-6.892171562E-2,1.079770140E-2,7.851056457E-3,7.020279429E-2
6.019153333E-1,-7.100136923E-2,-1.469952556E-2,5.133855343E-4,7.250885497E-2
6.118833333E-1,-6.235219524E-2,-3.197398674E-2,-1.138452888E-3,7.008158214E-2
6.218513333E-1,-3.645196265E-2,-1.859152366E-2,2.750530243E-3,4.101165383E-2
6.318183333E-1,-2.780084264E-2,1.554403252E-2,3.796597123E-3,3.207675090E-2
6.417853333E-1,-4.933953658E-3,3.095837106E-2,-3.964412212E-4,3.135158374E-2
6.517533333E-1,8.036586782E-3,3.014525634E-2,9.183052182E-3,3.252155677E-2
6.617203333E-1,5.545298327E-3,1.178723758E-2,2.896710634E-3,1.334467069E-2
6.716883333E-1,2.361417227E-2,-2.050668779E-3,-2.455830574E-4,2.370431787E-2
6.816553333E-1,3.370428292E-2,-8.157523647E-3,-9.677141905E-3,3.600237429E-2
6.916233333E-1,3.523774263E-2,1.086768069E-2,-1.177336872E-2,3.870939422E-2
7.015903333E-1,4.307352324E-2,2.698195836E-2,-4.288347960E-3,5.100729761E-2
7.115583333E-1,5.827886950E-2,3.733879797E-2,1.277792037E-2,7.038385975E-2
7.215253333E-1,5.535703411E-2,2.687064656E-2,1.861461103E-2,6.428791967E-2
7.314933333E-1,4.502940774E-2,-1.026501548E-3,4.095389843E-3,4.522691107E-2
7.414603333E-1,3.253836639E-2,-1.098908808E-2,1.098224044E-2,3.605710678E-2
7.514283333E-1,2.842867828E-2,-2.983880742E-2,3.948040009E-3,4.140206755E-2
7.613953333E-1,1.300752408E-2,-5.370959938E-3,3.578495979E-4,1.407732040E-2
7.713633333E-1,-4.040097110E-3,1.953877717E-2,-2.036585212E-3,2.005576917E-2
7.813303333E-1,-2.262192719E-2,4.321328540E-2,-8.172653317E-3,4.945636346E-2
7.912983333E-1,-2.197441201E-2,4.666888935E-2,8.098393679E-4,5.158988133E-2
8.012653333E-1,-3.552820307E-2,3.518778092E-2,1.069046438E-2,5.113432475E-2
8.112333333E-1,-4.729471045E-2,8.068481516E-3,1.263758719E-2,4.961450030E-2
8.212003333E-1,-4.911694952E-2,-2.701349678E-3,2.191887259E-2,5.385358852E-2
8.311683333E-1,-5.729143010E-2,-9.749391563E-3,1.009170949E-2,5.898475395E-2
8.411353333E-1,-5.193058401E-2,-4.138001427E-3,-3.230586648E-3,5.219526130E-2
