"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-3.349375009E-3,-4.980674738E-2,-2.858630642E-2,-7.675055265E-2,9.585685334E-2
6.617624997E-3,-5.791292517E-2,-2.506891842E-2,-1.740435433E-1,1.851310686E-1
1.658562500E-2,-4.165999540E-2,1.741284833E-2,-8.736968100E-2,9.834746393E-2
2.655262500E-2,-9.525150843E-3,5.151861113E-2,2.759476483E-2,5.921458297E-2
3.652062500E-2,1.877230313E-2,5.725957647E-2,6.950819135E-2,9.199156009E-2
4.648862500E-2,3.166350416E-2,1.937771835E-2,1.425545329E-1,1.473087516E-1
5.645562499E-2,5.420487681E-3,-5.274016757E-2,1.141078287E-1,1.258233029E-1
6.642362500E-2,-2.004294877E-2,-1.083269607E-1,-7.293232083E-3,1.104067092E-1
7.639062499E-2,-3.587627686E-2,-1.322485047E-1,-5.564327359E-2,1.478950578E-1
8.635862499E-2,-3.300444430E-2,-7.696021188E-2,-1.165630746E-1,1.435239280E-1
9.632562500E-2,-1.331554444E-2,2.039974770E-2,-1.321254390E-1,1.343524658E-1
1.062936250E-1,2.263411498E-3,9.507352467E-2,-2.329472244E-2,9.791191050E-2
1.162606250E-1,7.167489538E-3,1.057869485E-1,4.676544607E-2,1.158846768E-1
1.262286250E-1,7.597716702E-3,6.702649141E-2,1.009510088E-1,1.214140932E-1
1.361966250E-1,-1.899563022E-2,-7.160774376E-3,1.177114677E-1,1.194491536E-1
1.461636250E-1,-2.222044274E-2,-6.571238451E-2,3.432958782E-2,7.739758493E-2
1.561316250E-1,-1.653642836E-2,-7.754546335E-2,-4.485866904E-2,9.109913577E-2
1.660986250E-1,-3.421617011E-3,-5.559697095E-2,-9.081486046E-2,1.065367051E-1
1.760666250E-1,1.979623281E-2,-2.058166462E-2,-9.799816489E-2,1.020741695E-1
1.860336250E-1,1.981245884E-2,-9.324253304E-4,-6.071982622E-2,6.387722786E-2
1.960016250E-1,3.310090508E-3,-1.481479794E-2,1.592723072E-2,2.200253657E-2
2.059696250E-1,-6.661367342E-3,-3.350039325E-2,2.371572196E-2,4.158227545E-2
2.159366250E-1,-2.542134563E-2,-2.777051020E-2,6.143786430E-2,7.205593120E-2
2.259046250E-1,-2.326465496E-2,4.946908895E-3,5.066086113E-2,5.596640893E-2
2.358716250E-1,-1.392126116E-2,4.870853065E-2,-2.118972480E-2,5.491199238E-2
2.458396250E-1,8.207937609E-3,7.632112035E-2,-3.870330513E-2,8.596644391E-2
2.558066250E-1,1.559778580E-2,6.965619443E-2,-4.019960761E-2,8.192243158E-2
2.657746250E-1,1.234555531E-2,3.397643426E-4,-3.270932436E-2,3.496323892E-2
2.757416250E-1,-1.400026252E-2,-7.826531041E-2,-2.318421006E-3,7.954144354E-2
2.857096250E-1,-1.702856292E-2,-1.303462227E-1,7.265165448E-3,1.316544430E-1
2.956776250E-1,-8.783787852E-3,-1.180891248E-1,2.912030339E-2,1.219433819E-1
3.056446250E-1,-3.659077920E-4,-5.559788001E-2,2.567863226E-2,6.124255306E-2
3.156126250E-1,2.612024322E-3,2.708550889E-2,5.320966244E-4,2.721636621E-2
3.255796250E-1,7.013762584E-3,8.061541602E-2,9.212288260E-3,8.144264498E-2
3.355476250E-1,-1.712978370E-3,7.448156346E-2,4.722211361E-3,7.465076604E-2
3.455146250E-1,-1.722072618E-2,2.616097273E-2,-6.652961969E-3,3.201892889E-2
3.554826250E-1,-3.664645566E-2,-2.723648126E-2,5.332660675E-4,4.566259953E-2
3.654506250E-1,-2.552844104E-2,-5.509751824E-2,6.073502898E-3,6.102725011E-2
3.754176250E-1,-1.489272122E-2,-4.192707611E-2,-3.987918019E-2,5.974966000E-2
3.853856250E-1,1.517361598E-3,-1.616239842E-2,7.273351550E-3,1.778839936E-2
3.953526250E-1,1.745342709E-2,-2.767281602E-3,1.700370312E-2,2.452357813E-2
4.053206250E-1,1.878704907E-2,-1.075060847E-2,1.984837353E-2,2.936812434E-2
4.152876250E-1,1.741088860E-2,-3.847081435E-2,5.397623241E-2,6.853157129E-2
4.252556250E-1,8.321940042E-3,-5.521104102E-2,1.221015573E-2,5.715419179E-2
4.352226250E-1,7.677065246E-3,-3.943308789E-2,4.122871757E-3,4.038445026E-2
4.451906250E-1,1.269837082E-2,-1.910244240E-3,-1.623830259E-2,2.070217683E-2
4.551586250E-1,2.602192777E-2,4.883461123E-2,-5.051994324E-2,7.492812986E-2
4.651256250E-1,3.732831409E-2,7.078990102E-2,-2.492434144E-2,8.382025958E-2
4.750936250E-1,4.598889015E-2,4.591031362E-2,-4.561997652E-3,6.514251097E-2
4.850606250E-1,2.355286787E-2,-5.926513947E-3,1.759193301E-2,2.998895229E-2
4.950286250E-1,6.830653371E-3,-6.210570769E-2,3.809811831E-2,7.317952837E-2
5.049956250E-1,-1.185436179E-2,-8.368794512E-2,6.210912466E-3,8.475124474E-2
5.149636250E-1,-2.860944861E-2,-5.217548642E-2,-1.220313907E-2,6.074288877E-2
5.249306250E-1,-1.827553648E-2,-3.485260298E-4,-2.552777410E-2,3.139719660E-2
5.348986250E-1,-2.390295164E-2,4.020147141E-2,-4.783314764E-2,6.689932297E-2
5.448666250E-1,-2.379613032E-2,4.864118260E-2,-3.630419254E-2,6.519367192E-2
5.548336250E-1,-2.769112512E-2,2.596651627E-2,-4.866052866E-3,3.827188064E-2
5.648016250E-1,-4.078436572E-2,-7.816822836E-3,6.361185908E-3,4.201109250E-2
5.747686250E-1,-4.830466163E-2,-3.746053882E-2,2.971028745E-2,6.796567873E-2
5.847366250E-1,-3.254414052E-2,-3.784391517E-2,2.432032406E-2,5.552261846E-2
5.947036250E-1,-2.604676017E-2,-2.375153616E-2,-7.862750888E-3,3.611636799E-2
6.046716250E-1,-1.550416639E-2,-2.235847358E-3,5.608649254E-3,1.663836336E-2
6.146386250E-1,-1.761533101E-2,-1.669590660E-2,-3.705146670E-2,4.429293814E-2
6.246066250E-1,-2.084676733E-2,-2.536525348E-2,-4.004348695E-2,5.178286048E-2
6.345746250E-1,-2.490229561E-2,-3.443575589E-2,-1.220021546E-2,4.421301695E-2
6.445416250E-1,-3.934419651E-2,-3.705000947E-2,-1.115239441E-2,5.518192550E-2
6.545096250E-1,-2.485938253E-2,-1.939105731E-3,-8.307139277E-3,2.628226767E-2
6.644766250E-1,-9.913479052E-3,3.017381634E-2,-1.420873404E-3,3.179237551E-2
6.744446250E-1,-2.328470908E-3,5.832981794E-2,1.444671571E-2,6.013731813E-2
6.844116250E-1,8.816632759E-3,5.273604711E-2,6.964033842E-3,5.391958313E-2
6.943796250E-1,1.184097715E-3,5.220101774E-3,-8.750942945E-3,1.025819440E-2
7.043476250E-1,1.088080038E-2,-4.441943351E-2,8.186101913E-5,4.573275185E-2
7.143146250E-1,8.765899027E-3,-8.433793623E-2,-1.864092350E-3,8.481275443E-2
7.242826250E-1,1.095435653E-2,-7.938592929E-2,-5.180633068E-4,8.013982834E-2
7.342496250E-1,2.882434292E-2,-4.021336684E-2,7.115476727E-3,4.998587427E-2
7.442176250E-1,5.428933254E-2,9.811262414E-3,1.998929143E-2,5.867848216E-2
