"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.680125006E-3,-5.251324992E-2,5.971201749E-2,8.466768265E-4,7.952284773E-2
1.264712500E-2,-5.925614937E-2,5.861241661E-2,-3.342268467E-3,8.341389200E-2
2.261512500E-2,-5.644246006E-2,5.330167386E-2,-2.295090616E-2,8.095408469E-2
3.258312499E-2,-5.155291784E-2,5.784392345E-2,-2.549444497E-2,8.156953808E-2
4.255012500E-2,-4.963325866E-2,6.814124937E-2,-6.461173296E-4,8.430366362E-2
5.251812500E-2,-2.618508336E-2,6.278161385E-2,2.015944541E-2,7.094781791E-2
6.248612500E-2,-1.604217418E-2,5.630655798E-2,2.584586263E-2,6.399834716E-2
7.245312500E-2,-7.314802827E-3,4.517827876E-2,1.057468951E-2,4.697240967E-2
8.242112500E-2,-1.622197607E-2,2.941747442E-2,1.741885543E-3,3.363888337E-2
9.238812501E-2,1.245210255E-3,3.050491264E-2,-4.694144726E-3,3.088907960E-2
1.023561250E-1,3.747928189E-3,3.472982516E-2,-2.834437788E-2,4.498456934E-2
1.123241250E-1,1.526764652E-2,5.505360473E-2,-2.714686811E-2,6.325308587E-2
1.222911250E-1,1.573143122E-2,7.068613121E-2,1.593366265E-3,7.243304419E-2
1.322591250E-1,1.378870295E-2,7.568187349E-2,8.029981256E-3,7.734568445E-2
1.422271250E-1,2.709177637E-2,7.069287378E-2,2.584352374E-2,7.999584033E-2
1.521941250E-1,1.842688800E-2,6.355215810E-2,2.000507891E-2,6.912763689E-2
1.621621250E-1,6.302951295E-3,4.480612633E-2,2.938225865E-3,4.534257737E-2
1.721291250E-1,1.087874472E-3,3.983972519E-2,-4.544456005E-3,4.011283155E-2
1.820971250E-1,-1.013865167E-2,3.365192293E-2,-2.445305586E-2,4.281583954E-2
1.920651250E-1,-7.537088385E-3,4.021854254E-2,-1.561732829E-2,4.379771464E-2
2.020321250E-1,-6.471232334E-3,4.090591472E-2,-6.185184717E-3,4.187394437E-2
2.120001250E-1,-1.719580242E-2,4.833770754E-2,3.396647573E-3,5.141757293E-2
2.219681250E-1,-2.720069904E-2,5.232589234E-2,2.330700159E-2,6.341209159E-2
2.319351250E-1,-3.528750792E-2,5.089951433E-2,2.136338711E-2,6.551612842E-2
2.419031250E-1,-4.880227796E-2,5.534946471E-2,1.043435633E-2,7.452584364E-2
2.518701250E-1,-4.544329925E-2,6.385375109E-2,-1.216922522E-2,7.931257792E-2
2.618381250E-1,-5.279356909E-2,7.007345722E-2,-2.339821815E-2,9.080158014E-2
2.718061250E-1,-5.552460252E-2,6.462090578E-2,-9.925648570E-3,8.577506309E-2
2.817734583E-1,-5.417400534E-2,5.031351368E-2,-1.471334875E-2,7.538405100E-2
2.917414583E-1,-5.661048529E-2,4.171065148E-2,-3.336421251E-3,7.039642887E-2
3.017094583E-1,-5.773453027E-2,3.684318934E-2,1.761883020E-2,7.071859560E-2
3.116764583E-1,-4.003983244E-2,3.670429513E-2,2.135812461E-2,5.836576865E-2
3.216444583E-1,-4.605828929E-2,3.765801026E-2,7.432980537E-3,5.995615855E-2
3.316114583E-1,-4.762753579E-2,5.304583990E-2,-5.291730165E-3,7.148598257E-2
3.415794583E-1,-3.565729863E-2,6.528318518E-2,-1.562200606E-2,7.600910660E-2
3.515474583E-1,-3.314608396E-2,7.406615990E-2,-2.370461226E-2,8.453619087E-2
3.615144583E-1,-2.390883540E-2,5.962322661E-2,-6.789202094E-3,6.459608987E-2
3.714824583E-1,-9.663400948E-3,6.000786376E-2,1.865729570E-2,6.358002606E-2
3.814504583E-1,-1.240987469E-2,4.129293187E-2,1.387018025E-2,4.529341136E-2
3.914174583E-1,-2.003776850E-3,4.923251883E-2,1.835967243E-2,5.258263595E-2
4.013854583E-1,6.257068925E-3,4.433733038E-2,7.132433653E-3,4.534116658E-2
4.113524583E-1,5.011977442E-3,5.053606876E-2,9.589433670E-5,5.078408569E-2
4.213204583E-1,1.990008485E-2,4.516238621E-2,-3.647493124E-3,4.948695496E-2
4.312884583E-1,1.424865955E-2,3.811494275E-2,-1.502442062E-2,4.337633428E-2
4.412554583E-1,9.128517760E-3,4.389415255E-2,-1.577227950E-2,4.752674263E-2
4.512234583E-1,7.556183198E-3,4.510564995E-2,4.284839630E-3,4.593446868E-2
4.611914583E-1,9.632401569E-3,5.712005643E-2,1.072203934E-2,5.891049256E-2
4.711584583E-1,5.884939330E-3,5.981747294E-2,7.127171159E-3,6.052734216E-2
4.811264583E-1,4.719214663E-3,6.931335573E-2,1.416254103E-2,7.090267863E-2
4.910934583E-1,5.551200360E-5,5.568965846E-2,-3.596037626E-4,5.569084714E-2
5.010614583E-1,-1.198438011E-2,4.771286402E-2,-7.693181634E-3,4.979284892E-2
5.110294583E-1,-2.006674876E-2,3.722540081E-2,-1.098633349E-2,4.369329920E-2
5.209964583E-1,-3.485796598E-2,3.973759078E-2,-1.532730639E-2,5.503708054E-2
5.309644583E-1,-3.088110102E-2,4.328304999E-2,3.384368420E-3,5.327775114E-2
5.409324583E-1,-3.629184030E-2,4.853239241E-2,1.341409743E-2,6.206793693E-2
5.508994583E-1,-3.901360955E-2,5.098425784E-2,1.439584494E-3,6.421470767E-2
5.608674583E-1,-4.374996386E-2,6.191467276E-2,9.673633575E-3,7.642686195E-2
5.708344583E-1,-3.998536197E-2,5.007698011E-2,8.176746368E-3,6.460179789E-2
5.808024583E-1,-5.045876674E-2,4.817450627E-2,-4.547379613E-3,6.991100669E-2
5.907704583E-1,-5.399979486E-2,4.332484845E-2,-8.888937235E-3,6.979995375E-2
6.007374583E-1,-4.311240722E-2,3.993201527E-2,-1.352870286E-2,6.030150331E-2
6.107054583E-1,-4.422862242E-2,4.711026734E-2,-1.188095748E-2,6.570163986E-2
6.206734583E-1,-3.534928741E-2,5.143050546E-2,1.446601152E-2,6.406195831E-2
6.306404583E-1,-3.775599224E-2,5.126180416E-2,1.251771927E-2,6.488436492E-2
6.406084583E-1,-2.847602245E-2,5.142389994E-2,9.673633575E-3,5.957248128E-2
6.505754583E-1,-2.089568295E-2,5.147115275E-2,5.482934117E-3,5.582088944E-2
6.605434583E-1,-1.634969205E-2,4.655012235E-2,5.033283234E-3,4.959395388E-2
6.705114583E-1,-1.180846115E-2,4.736721592E-2,-1.008352339E-2,4.984747078E-2
6.804784583E-1,1.187569499E-3,5.142093978E-2,-2.340581954E-2,5.650978462E-2
6.904464583E-1,9.198236670E-3,5.420587267E-2,-1.592021406E-2,5.723929948E-2
7.004144583E-1,8.977138828E-3,5.290411344E-2,-1.038290083E-2,5.465563896E-2
7.103814583E-1,1.176182047E-2,5.415396949E-2,1.835616410E-2,5.837757783E-2
7.203494583E-1,1.249448572E-2,4.654716220E-2,2.464133620E-2,5.412897498E-2
7.303164583E-1,6.837222353E-3,4.057236761E-2,9.522190690E-3,4.223193979E-2
7.402844583E-1,1.046877268E-2,4.215651994E-2,1.236569166E-2,4.516279116E-2
7.502524583E-1,-1.728391265E-3,5.115389562E-2,-2.754038572E-3,5.125712733E-2
7.602194583E-1,-8.949172692E-3,5.099035630E-2,-1.203415453E-2,5.315002355E-2
7.701874583E-1,-3.741313526E-3,4.813756831E-2,-1.083606005E-2,4.948376610E-2
7.801554583E-1,-1.066967022E-2,5.602360756E-2,-2.752284408E-3,5.709694857E-2
7.901224583E-1,-1.562256337E-2,5.697638394E-2,8.921681643E-3,5.974921938E-2
8.000904583E-1,-2.647034526E-2,4.099200583E-2,-2.087455988E-4,4.879618115E-2
8.100574583E-1,-3.812769243E-2,3.004586510E-2,1.745452344E-2,5.158619319E-2
8.200254583E-1,-3.376407070E-2,4.399115237E-2,9.223397970E-3,5.621659032E-2
8.299934583E-1,-3.235416083E-2,4.775461680E-2,-1.532438278E-2,5.968359788E-2
8.399604583E-1,-3.992214809E-2,3.868098977E-2,1.072086990E-2,5.661213589E-2
8.499284583E-1,-4.200520040E-2,4.563633045E-2,-1.412745774E-2,6.361365089E-2
8.598964583E-1,-3.397188440E-2,5.190010997E-2,-1.712064743E-2,6.434925728E-2
8.698634583E-1,-4.223789217E-2,6.023008537E-2,1.326674759E-2,7.475098200E-2
8.798314583E-1,-4.824870195E-2,5.973983288E-2,-1.322991014E-2,7.792185441E-2
8.897994583E-1,-3.395517415E-2,5.584873470E-2,-5.613327026E-5,6.536083055E-2
8.997664583E-1,-3.498656818E-2,5.402139758E-2,-5.051994324E-4,6.436323932E-2
9.097344583E-1,-2.811390622E-2,4.772776986E-2,-3.044294357E-2,6.320683944E-2
9.197014583E-1,-3.129800750E-2,3.783486112E-2,1.888065934E-3,4.913864856E-2
9.296694583E-1,-2.944004559E-2,3.613132053E-2,-1.103954315E-3,4.661981684E-2
9.396374583E-1,-2.625483882E-2,3.462190749E-2,-9.636796117E-3,4.450686328E-2
9.496044583E-1,-1.780067861E-2,4.247633523E-2,2.224573195E-2,5.114661087E-2
9.595724583E-1,-1.667965773E-2,4.899803177E-2,3.683161139E-3,5.189011251E-2
9.695404583E-1,-4.599712193E-3,5.124714500E-2,-3.952133060E-3,5.160471470E-2
9.795074583E-1,-2.515526991E-3,5.821233002E-2,6.526077390E-3,5.863098948E-2
9.894754583E-1,7.552684005E-4,5.995112750E-2,-3.951548338E-3,6.008596219E-2
9.994424583E-1,4.077446200E-3,6.334374140E-2,-1.487940967E-2,6.519549045E-2
1.009410458E0,6.416469505E-3,5.665126505E-2,-1.128571093E-2,5.811974005E-2
1.019378458E0,-3.013234679E-4,4.793471104E-2,-9.338003397E-3,4.883672415E-2
1.029345458E0,2.023401568E-3,5.576697875E-2,-1.531795084E-2,5.786786406E-2
1.039313458E0,5.479434924E-3,3.977218985E-2,2.301171720E-2,4.627515987E-2
1.049281458E0,-3.820104757E-3,2.420285898E-2,2.465829313E-2,3.476209147E-2
1.059248458E0,-2.008075467E-2,2.221214244E-2,1.777436614E-2,3.482160352E-2
1.069216458E0,-2.153413494E-2,2.912029426E-2,-4.666078091E-3,3.651688363E-2
1.079183458E0,-2.146617933E-2,4.534523048E-2,-1.169793963E-2,5.151532368E-2
1.089151458E0,-2.414991427E-2,5.316462974E-2,5.364235640E-3,5.863847917E-2
1.099119458E0,1.065465018E-2,8.307622586E-2,9.989967942E-3,8.435034282E-2
1.109086458E0,-1.532190685E-2,9.252015523E-2,-4.255837440E-2,1.029852183E-1
