"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.906833310E-3,3.343320966E-2,1.061945725E-3,1.968465149E-1,1.996683693E-1
1.285583340E-2,-7.511457480E-2,-2.062953413E-2,4.025848907E-1,4.100516690E-1
2.280383324E-2,-5.289990619E-2,-1.512880255E-3,1.805310291E-1,1.881279919E-1
3.275183332E-2,3.297490672E-2,-2.965589464E-2,-1.400285357E-1,1.468836525E-1
4.270083341E-2,1.012636704E-1,-5.829044516E-2,-4.254533511E-1,4.412059167E-1
5.264883325E-2,8.106470145E-2,2.149825679E-2,-8.552196085E-2,1.197817459E-1
6.259783334E-2,-1.004123341E-1,4.717773872E-2,4.057195830E-1,4.206147357E-1
7.254583342E-2,-8.607265893E-2,7.588300858E-2,4.200955474E-1,4.354847903E-1
8.249483327E-2,-2.651383393E-2,2.808269670E-2,1.480222642E-1,1.529778152E-1
9.244283335E-2,5.899000056E-2,-7.829380645E-3,-1.239422607E-1,1.374874662E-1
1.023908332E-1,8.747626478E-2,-3.035100524E-2,-2.696531206E-1,2.851071481E-1
1.123398333E-1,3.636919714E-2,-3.483887116E-2,-4.923764884E-2,7.043302853E-2
1.222878334E-1,-9.076550631E-3,-1.603375054E-2,2.136093128E-1,2.144024334E-1
1.322368332E-1,-5.146266972E-2,-1.220879442E-2,2.377898884E-1,2.436010921E-1
1.421848333E-1,-8.342295662E-3,-2.131176259E-2,1.272687417E-1,1.293101610E-1
1.521338334E-1,3.037911756E-2,-3.848700383E-2,-3.663339078E-2,6.120576417E-2
1.620818332E-1,5.244720379E-2,-3.550468630E-2,-1.190650982E-1,1.348621130E-1
1.720298333E-1,3.553989750E-2,-1.643368639E-2,-6.309730411E-3,3.966059834E-2
1.819788334E-1,6.808671495E-3,1.947927718E-2,1.162806541E-1,1.180973783E-1
1.919268332E-1,-1.753100320E-2,2.892823149E-2,1.598026496E-1,1.633433974E-1
2.018758333E-1,-1.871894728E-3,2.224753636E-2,9.136976123E-2,9.405790839E-2
2.118238334E-1,2.013274007E-2,1.118194113E-2,-1.430404365E-2,2.711030607E-2
2.217728333E-1,1.301982150E-2,-4.780281521E-4,-4.780508101E-2,4.954866328E-2
2.317208333E-1,2.928194236E-3,5.757104577E-3,4.023235202E-2,4.074752414E-2
2.416698332E-1,-2.867156614E-2,8.987956177E-3,1.008480978E-1,1.052291827E-1
2.516178333E-1,-2.704780349E-2,-9.771428257E-4,9.259007514E-2,9.646481480E-2
2.615658334E-1,1.091106886E-2,-1.640823729E-2,8.464020073E-2,8.690365502E-2
2.715148332E-1,3.284575635E-2,-3.132844957E-2,1.354449034E-2,4.736843549E-2
2.814628333E-1,2.981277818E-2,-3.311390600E-2,-5.297577381E-3,4.487089078E-2
2.914118334E-1,2.685129136E-2,-3.264288080E-2,3.393490076E-2,5.420449247E-2
3.013598332E-1,4.805287505E-3,-2.470124732E-2,8.976470053E-2,9.322523193E-2
3.113088333E-1,1.024349956E-2,-9.390166956E-3,8.451331615E-2,8.564814724E-2
3.212568334E-1,2.618453518E-2,-8.007857767E-3,5.067781806E-2,5.760205649E-2
3.312048332E-1,1.245852535E-2,1.003802475E-4,4.581293464E-3,1.327453125E-2
3.411538333E-1,1.015269413E-2,9.281436154E-3,1.222769737E-2,1.840485909E-2
3.511018334E-1,-3.314795690E-3,1.865665160E-2,5.504393399E-2,5.821420091E-2
3.610508332E-1,-1.318077525E-2,2.542401343E-2,8.677151084E-2,9.137509720E-2
3.709988333E-1,-4.147987375E-3,2.103130637E-2,6.715176344E-2,7.049028997E-2
3.809478334E-1,1.340537229E-2,1.369841372E-2,4.649004221E-2,5.028592814E-2
3.908958333E-1,1.324572503E-2,-3.351564626E-3,2.194460034E-2,2.585048745E-2
4.008438333E-1,2.007027537E-2,-1.636717888E-2,3.407698810E-2,4.280118708E-2
4.107928332E-1,2.370941794E-2,-1.707020606E-2,5.892765462E-2,6.577231114E-2
4.207408333E-1,1.086908768E-2,-2.485031934E-2,6.566013873E-2,7.104174305E-2
4.306898334E-1,4.342635702E-3,-1.965995614E-2,5.607596755E-2,5.958092394E-2
4.406378332E-1,4.303203542E-3,-1.682984895E-2,4.634620070E-2,4.949476433E-2
4.505868333E-1,-4.284574678E-3,-2.588323913E-2,2.135344684E-2,3.382705042E-2
4.605348334E-1,-6.701228907E-3,-6.854841658E-3,2.988979697E-2,3.138941360E-2
4.704828332E-1,2.559710015E-4,-2.533301613E-3,5.922878623E-2,5.928349059E-2
4.804318333E-1,1.747656014E-2,9.421687103E-3,7.149799883E-2,7.420351865E-2
4.903798334E-1,1.385662202E-2,1.276958808E-2,5.907032669E-2,6.200299870E-2
5.003288332E-1,2.451884617E-2,7.922547804E-3,4.215667069E-2,4.940774701E-2
5.102768333E-1,3.312762869E-2,-3.202711875E-3,4.186080158E-2,5.347919085E-2
5.202258334E-1,1.138202554E-2,-9.181270609E-3,4.845002890E-2,5.060880887E-2
5.301738332E-1,1.712663169E-2,-1.384238313E-2,5.398851156E-2,5.830688179E-2
5.401228333E-1,-1.482063602E-2,-1.300518519E-2,6.446555257E-2,6.741360072E-2
5.500708334E-1,-1.949827150E-2,-2.118384104E-2,4.141407430E-2,5.043870798E-2
5.600188333E-1,-5.433369828E-3,-1.924812487E-2,5.832948446E-2,6.166312169E-2
5.699678333E-1,-1.846742565E-3,-7.820358574E-3,4.500777304E-2,4.571944991E-2
5.799158332E-1,5.547746848E-3,2.578256652E-3,4.874706745E-2,4.912943606E-2
5.898648333E-1,2.019038083E-2,6.319780312E-3,5.099064410E-2,5.520540632E-2
5.998128334E-1,2.338544564E-2,9.072306831E-3,5.937204301E-2,6.445328006E-2
6.097618332E-1,3.300050656E-2,1.007802792E-2,3.751690507E-2,5.097173968E-2
6.197098333E-1,3.112122972E-2,4.914228441E-3,3.602235675E-2,4.785698242E-2
6.296578334E-1,1.968233088E-2,-7.477446785E-3,4.276068807E-2,4.766322275E-2
6.396068332E-1,-1.044568531E-3,-1.344379032E-2,5.009602010E-2,5.187906950E-2
6.495548333E-1,-1.014256200E-2,-1.676668532E-2,4.605383992E-2,5.004947025E-2
6.595038334E-1,-2.323531838E-2,-1.612330430E-2,4.320975423E-2,5.164226779E-2
6.694518332E-1,-1.563515316E-2,-1.729763534E-2,5.039247394E-2,5.552537827E-2
6.794008333E-1,-3.789562192E-3,-1.026355368E-2,5.577951372E-2,5.684237386E-2
6.893488334E-1,9.683911884E-3,-1.203444690E-2,4.484872878E-2,4.743431811E-2
6.992968332E-1,3.255147695E-2,-1.725353911E-2,4.365063429E-2,5.711970883E-2
7.092458333E-1,2.705080018E-2,-1.028580508E-2,5.308219314E-2,6.045876946E-2
7.191938334E-1,2.487589178E-2,-4.638587041E-3,5.488079667E-2,6.043366880E-2
7.291428333E-1,2.109955891E-2,-8.199975346E-3,4.829624712E-2,5.333815209E-2
7.390908333E-1,2.965525053E-3,-9.335637102E-3,5.503399372E-2,5.589891702E-2
7.490398332E-1,-2.156541754E-2,-1.572750262E-3,4.874589801E-2,5.332638512E-2
7.589878333E-1,-1.144290053E-2,-4.005932012E-3,5.518075883E-2,5.649693451E-2
7.689358334E-1,1.410741275E-3,5.880531077E-3,5.323129714E-2,5.357370466E-2
7.788848332E-1,-2.455309806E-3,-8.607772957E-3,4.873888135E-2,4.955401958E-2
7.888328333E-1,1.500702515E-2,-3.847490740E-3,4.170058787E-2,4.448542478E-2
7.987818334E-1,1.982471058E-2,-5.852044174E-3,4.619183421E-2,5.060584075E-2
8.087298332E-1,2.309868540E-2,-8.035928970E-3,4.858919263E-2,5.439701335E-2
8.186788333E-1,1.035161823E-2,-1.457724567E-2,4.395059645E-2,4.744794010E-2
8.286268334E-1,4.726916542E-3,-8.314900543E-3,5.233608842E-2,5.320288960E-2
8.385748332E-1,-6.977537256E-3,-1.044800136E-2,4.829507768E-2,4.990251784E-2
8.485238333E-1,-1.044590458E-2,-7.847822215E-3,4.125853837E-2,4.327784912E-2
8.584718334E-1,-5.671525095E-3,-9.590456933E-3,5.682441115E-2,5.790644838E-2
8.684208333E-1,5.929405577E-3,-9.136443478E-3,5.442646801E-2,5.550561116E-2
8.783688333E-1,1.119125099E-2,3.272622647E-3,3.841094434E-2,4.014168411E-2
8.883178334E-1,2.387246389E-2,3.261924069E-4,4.095506787E-2,4.740589118E-2
8.982658333E-1,2.841554945E-2,1.385799246E-3,4.933997512E-2,5.695434167E-2
9.082138333E-1,2.120847244E-2,-1.161816169E-2,5.158472121E-2,5.697161088E-2
9.181628332E-1,2.033495324E-2,-1.542125470E-3,4.694670975E-2,5.118478319E-2
9.281108333E-1,9.279257152E-3,-9.192681815E-3,6.027192950E-2,6.167102641E-2
9.380598334E-1,-1.666404384E-2,-9.164245161E-3,6.311659992E-2,6.591948825E-2
