"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.027887501E-2,-1.413299067E-1,-1.041585538E-1,2.790735698E-1,3.297047227E-1
2.022687509E-2,1.742166026E-2,2.547905491E-2,6.061223745E-2,6.801867254E-2
3.017587494E-2,8.889091638E-2,3.935316376E-2,-1.659381330E-1,1.923167452E-1
4.012387502E-2,1.074950298E-1,-5.237187977E-2,-3.300490111E-1,3.510417995E-1
5.007287511E-2,8.858782047E-2,-6.595458258E-3,-6.416091263E-2,1.095806767E-1
6.002087495E-2,-1.117875805E-1,1.606337765E-1,5.620671129E-1,5.951630976E-1
6.996987504E-2,-2.204010365E-1,8.455777327E-2,8.966366065E-1,9.271913707E-1
7.991787512E-2,-5.520068505E-2,-1.029207256E-2,-8.406834304E-2,1.010966305E-1
8.986687497E-2,1.844616919E-1,6.161960308E-3,-5.340519333E-1,5.650447354E-1
9.981487505E-2,1.077883042E-2,-1.220041098E-1,-3.464551288E-1,3.674674710E-1
1.097638751E-1,3.803674081E-2,4.022774277E-2,1.270570725E-1,1.385949661E-1
1.197128750E-1,-1.143874536E-1,2.912949905E-2,4.691209424E-1,4.837431920E-1
1.296608751E-1,-4.906684619E-2,1.209881652E-2,2.994014150E-1,3.036365328E-1
1.396098752E-1,2.757989097E-2,-2.425654373E-2,-1.051990110E-1,1.114264879E-1
1.495578750E-1,5.855237301E-2,-6.155304532E-2,-2.390733522E-1,2.537187922E-1
1.595068751E-1,3.245013739E-2,-2.037940121E-2,-7.778492510E-2,8.671116412E-2
1.694548749E-1,-6.613016350E-2,2.107922613E-2,2.110938406E-1,2.222119300E-1
1.794038750E-1,-5.594903729E-2,3.882235992E-2,2.660997677E-1,2.746753661E-1
1.893518751E-1,-3.614290989E-2,1.601013327E-3,6.966957450E-2,7.850301134E-2
1.993008750E-1,2.643318803E-2,-3.789105378E-3,-9.196266890E-2,9.576117804E-2
2.092488750E-1,3.068745769E-2,-1.491066487E-2,-8.412564576E-2,9.078090251E-2
2.191978751E-1,1.330631680E-2,1.354258999E-2,5.315235972E-2,5.644141347E-2
2.291468750E-1,-2.230360111E-2,2.463466672E-2,1.712216771E-1,1.744166853E-1
2.390948751E-1,-2.698701985E-2,1.694475587E-2,1.214928621E-1,1.256023070E-1
2.490438751E-1,-2.189508174E-3,8.158784453E-3,1.058170617E-2,1.354002272E-2
2.589918750E-1,5.350640863E-3,-1.086892323E-3,-3.623870373E-2,3.664770580E-2
2.689408751E-1,-5.255221613E-3,-6.600227393E-3,1.587285161E-2,1.797575517E-2
2.788888752E-1,-4.574608452E-2,3.099398883E-3,1.077676928E-1,1.171161224E-1
2.888378750E-1,-2.629445370E-2,8.718997962E-3,1.110339475E-1,1.144375669E-1
2.987858751E-1,-1.100287015E-2,-1.219651070E-2,3.707836390E-2,4.055395288E-2
3.087348749E-1,1.178512710E-2,-1.574369667E-2,2.816019058E-3,1.986663456E-2
3.186828750E-1,1.182763819E-2,-2.511516167E-2,1.076706290E-2,2.977572861E-2
3.286318751E-1,5.093482146E-3,-1.372056919E-2,5.597422600E-2,5.785595523E-2
3.385798750E-1,-1.541559021E-2,-8.826920204E-4,9.607969344E-2,9.731252261E-2
3.485288750E-1,-2.042997049E-2,3.773267646E-3,5.296115577E-2,5.689029147E-2
3.584778751E-1,-1.384917595E-2,1.165264655E-2,3.276019514E-2,3.742745291E-2
3.684258750E-1,-2.627948849E-2,1.467454242E-2,7.475665212E-3,3.101353383E-2
3.783748751E-1,-2.773698921E-2,1.928065457E-2,6.331189692E-2,7.175988087E-2
3.883228751E-1,-1.569479476E-2,2.072361492E-2,5.192269027E-2,5.806686286E-2
3.982718750E-1,-4.507746454E-4,1.082378546E-2,7.586294532E-2,7.663252574E-2
4.082198751E-1,3.990222188E-3,-3.755246345E-3,3.080664039E-2,3.129013966E-2
4.181688752E-1,1.496408466E-2,-7.035264806E-3,3.860039413E-2,4.199296617E-2
4.281168750E-1,1.110899711E-2,-1.540224211E-2,1.795153677E-2,2.613228944E-2
4.380658751E-1,-4.295556480E-3,-6.046651388E-3,6.764994621E-2,6.805533793E-2
4.480138749E-1,-1.525551355E-2,-1.128675703E-2,5.851367176E-2,6.151399321E-2
4.579628750E-1,-1.603973480E-2,-7.183656176E-3,4.519079089E-2,4.848799429E-2
4.679118751E-1,-2.964345560E-2,-7.864523325E-3,3.351740956E-2,4.543128802E-2
4.778598750E-1,-1.472796679E-2,-3.072419465E-3,4.280044913E-2,4.536773317E-2
4.878088750E-1,-2.169676976E-2,5.823315158E-3,4.758697987E-2,5.262301274E-2
4.977568751E-1,-1.231899616E-2,1.832343796E-3,6.584257185E-2,6.701014415E-2
5.077058750E-1,7.068552822E-3,8.294321084E-3,5.132159650E-2,5.246586003E-2
5.176538751E-1,6.838327842E-3,-2.076803092E-3,3.949911118E-2,4.014044871E-2
5.276028751E-1,1.842898021E-2,-1.913409960E-4,3.620946765E-2,4.062990857E-2
5.375508750E-1,6.154788332E-3,1.494141757E-3,4.983348012E-2,5.023434701E-2
5.474998751E-1,-7.583518932E-3,7.048982922E-3,5.297460437E-2,5.397690828E-2
5.574478752E-1,-1.364633239E-2,-1.480679456E-3,5.222616076E-2,5.399987655E-2
5.673968750E-1,-2.294002485E-2,-7.499739295E-4,4.069954455E-2,4.672536921E-2
5.773458751E-1,-1.996841504E-2,-7.835913082E-3,2.887647450E-2,3.597207129E-2
5.872938749E-1,-2.061153567E-2,-1.227674546E-2,5.462176502E-2,5.965811844E-2
5.972424999E-1,-5.432648063E-3,-1.155964842E-2,4.488848984E-2,4.667028666E-2
6.071905000E-1,-1.980753439E-3,-1.202940367E-2,4.578486800E-2,4.738020763E-2
6.171395001E-1,8.158958042E-3,-1.051147562E-2,3.740171492E-2,3.969821149E-2
6.270874999E-1,1.111087005E-2,1.778078894E-3,4.488790512E-2,4.627674388E-2
6.370365000E-1,2.271433147E-3,4.453170919E-3,3.561012805E-2,3.595930143E-2
6.469845001E-1,-7.706749002E-3,1.360864526E-2,5.671740711E-2,5.883411829E-2
6.569335000E-1,-1.693963956E-2,1.026404247E-2,5.087837756E-2,5.459772211E-2
6.668815000E-1,-2.318738949E-2,1.238846839E-2,5.192385972E-2,5.819979715E-2
6.768305001E-1,-2.370072934E-2,7.242228831E-3,5.042755723E-2,5.618819251E-2
6.867795000E-1,-2.907289526E-2,-1.233442733E-3,4.309105575E-2,5.199609318E-2
6.967275001E-1,-1.069525179E-2,3.928145771E-3,4.623101056E-2,4.761433688E-2
7.066765002E-1,3.147976454E-3,-8.365785023E-3,5.520824075E-2,5.592714870E-2
7.166245000E-1,6.249979176E-3,-1.483278269E-2,4.562816262E-2,4.838391165E-2
7.265735001E-1,-2.591312388E-3,-2.208227943E-2,3.320575297E-2,3.996203192E-2
7.365214999E-1,1.116771595E-2,-1.176960914E-2,4.308930159E-2,4.604269204E-2
