"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.988083288E-3,6.579265125E-2,3.808397535E-2,1.389865619E-1,1.584182014E-1
1.293608337E-2,1.094862078E-1,8.825136803E-2,8.135055721E-2,1.624606008E-1
2.288508345E-2,4.372547865E-3,1.531661695E-2,1.097785503E-1,1.109281210E-1
3.283308330E-2,3.370892415E-2,5.884177364E-2,6.781015992E-3,6.815150821E-2
4.278208339E-2,-8.000270091E-3,1.560073681E-2,9.166095257E-3,1.978394836E-2
5.273008323E-2,4.834872589E-2,4.892546235E-2,5.618647993E-2,8.881565564E-2
6.267908332E-2,1.560702257E-2,2.146225987E-2,8.311407745E-2,8.724767975E-2
7.262808341E-2,8.225177759E-2,2.464485367E-2,9.237255871E-2,1.261166656E-1
8.257608325E-2,1.036815671E-1,1.671972030E-2,2.095700562E-2,1.070916080E-1
9.252508334E-2,1.146341878E-1,1.721196449E-2,1.406313837E-2,1.167690909E-1
1.024730834E-1,1.324359810E-1,2.842499636E-2,4.192219734E-2,1.417911849E-1
1.124220833E-1,9.392252767E-2,3.889171338E-2,6.961987317E-2,1.232109302E-1
1.223700834E-1,9.334688757E-2,4.364915421E-2,7.530570567E-2,1.276316551E-1
1.323190834E-1,4.462448806E-2,3.848848390E-2,4.865935922E-2,7.642278173E-2
1.422670833E-1,5.130169770E-2,5.283315657E-2,1.363453746E-2,7.489397326E-2
1.522160834E-1,1.899190262E-2,3.763699226E-2,5.375754654E-2,6.831624523E-2
1.621640834E-1,3.010791639E-2,4.216511261E-2,6.048827648E-2,7.964430263E-2
1.721130833E-1,4.478989117E-2,3.461295851E-2,6.765345454E-2,8.821100362E-2
1.820620834E-1,6.702003663E-2,2.927074129E-2,4.069662094E-2,8.369394579E-2
1.920100832E-1,6.852041390E-2,2.579638970E-2,1.734225690E-2,7.524130991E-2
2.019590833E-1,7.399879815E-2,3.860313501E-2,4.443766952E-2,9.455543682E-2
2.119070834E-1,8.595606180E-2,3.108502267E-2,6.478948832E-2,1.120374981E-1
2.218560833E-1,8.069446307E-2,4.482618959E-2,4.561763763E-2,1.029657832E-1
2.318040833E-1,9.168185636E-2,3.269285166E-2,3.977509975E-2,1.051496262E-1
2.417530834E-1,9.902424160E-2,2.718728699E-2,4.920607388E-2,1.138691649E-1
2.517010833E-1,6.943301808E-2,2.944102317E-2,4.457215548E-2,8.760362372E-2
2.616500834E-1,7.197275620E-2,4.196557637E-2,5.549943209E-2,1.001068139E-1
2.715980834E-1,5.340300428E-2,5.075042403E-2,5.849028289E-2,9.406699527E-2
2.815470833E-1,5.856909240E-2,3.866582813E-2,4.351439416E-2,8.257655447E-2
2.914960834E-1,6.333384225E-2,3.444816752E-2,5.054625571E-2,8.804984830E-2
3.014440835E-1,5.439301098E-2,2.925462490E-2,4.111411214E-2,7.419435921E-2
3.113930833E-1,5.345977709E-2,2.395712974E-2,5.592978716E-2,8.099403017E-2
3.213404999E-1,5.066413192E-2,3.027329209E-2,4.798868358E-2,7.606734010E-2
3.312895000E-1,5.945331931E-2,3.358575803E-2,6.160100162E-2,9.196403493E-2
3.412375001E-1,6.566328160E-2,3.173138668E-2,4.707417905E-2,8.680164621E-2
3.511864999E-1,5.827671334E-2,3.511378166E-2,4.198710144E-2,7.995042006E-2
3.611345000E-1,6.449281521E-2,3.791085209E-2,4.019259095E-2,8.492349667E-2
3.710835001E-1,4.254079621E-2,4.437773556E-2,4.812433898E-2,7.807083167E-2
3.810314999E-1,4.778814236E-2,4.079824372E-2,5.455569148E-2,8.321374113E-2
3.909805000E-1,6.711130802E-2,4.367609709E-2,6.068766654E-2,1.004714984E-1
4.009295001E-1,7.229800757E-2,4.223320526E-2,3.493711352E-2,9.072622238E-2
4.108775000E-1,1.291940471E-1,2.646531117E-2,4.959608316E-2,1.408945917E-1
